graph,community,sources,nodes,coverage,iterations,detected_sources,sources_ratio,sizes,avg_sizes,time
barabasi_2,louvain,2,789,0.789,51,12,2,128|78|76|75|69|65|64|64|55|52|44|19,65.75,0.23405981063842773
barabasi_2,leiden,2,789,0.789,51,11,2,108|106|89|81|79|78|61|60|48|47|32,71.72727272727273,0.018722057342529297
barabasi_2,label_propagation,2,789,0.789,51,1,1,789,789.0,0.017726659774780273
barabasi_2,greedy_modularity,2,789,0.789,51,11,2,149|146|144|104|90|56|40|23|20|13|4,71.72727272727273,0.9895849227905273
barabasi_2,eigenvector,2,789,0.789,51,12,2,265|119|95|74|59|55|52|38|24|6|1|1,65.75,0.11325550079345703
barabasi_2,infomap,2,789,0.789,51,1,1,789,789.0,0.03286123275756836
barabasi_2,kcut,2,789,0.789,51,2,1,788|1,394.5,27.780547857284546
barabasi_2,markov_clustering,2,789,0.789,51,349,2,57|50|25|21|14|14|12|8|8|7|7|6|6|6|6|6|6|5|5|5|5|5|5|5|4|4|4|4|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2.2607449856733526,0.23344826698303223
barabasi_2,paris,2,789,0.789,51,17,2,72|56|55|50|47|47|47|46|46|46|45|45|43|41|39|36|28,46.411764705882355,0.10493993759155273
barabasi_2,spinglass,2,789,0.789,51,9,2,104|98|96|93|89|88|85|77|59,87.66666666666667,10.560690879821777
