graph,community,sources,nodes,detected,difference,sources_ratio,nmi,modularity,pcov,pper
barabasi_2,louvain,2,756,12,-10,2,0.017666663252544096,0.28636421870854656,0.3830392714854866,0.9055502995900346
barabasi_2,leiden,2,756,11,-9,2,0.014541791421143256,0.30265906857973424,0.419180421172453,0.8921090437646729
barabasi_2,label_propagation,2,756,1,1,1,1.0138822092591882e-15,0.0,1.0,0.012312975226882511
barabasi_2,greedy_modularity,2,756,10,-8,2,0.026687024217990893,0.28159449364101447,0.46215139442231074,0.8404043589474053
barabasi_2,eigenvector,2,756,12,-10,2,0.06391719252831395,0.2147271957782335,0.3286852589641434,0.8820771575738463
barabasi_2,infomap,2,756,1,1,1,1.0138822092591882e-15,0.0,1.0,0.012312975226882511
barabasi_2,kcut,2,756,2,0,1,0.003986163733814639,-1.0122936176117751e-06,0.9985771200910644,0.014923438102246049
barabasi_2,markov_clustering,2,756,356,-354,2,0.1241137485388968,0.09829281945314117,0.11212293682413205,0.974865972879218
barabasi_2,paris,2,756,23,-21,2,0.01884494393261961,0.2537199360943088,0.30449630051223675,0.9463681278250815
barabasi_2,spinglass,2,756,10,-8,2,0.019206488157208636,0.3309940577554811,0.4428002276607854,0.8888923928659028
barabasi_2,surprise_communities,2,756,128,-126,2,0.053259843934976764,0.2142106020992864,0.22709163346613545,0.9859245243351203
barabasi_2,walktrap,2,756,46,-44,1,0.02435448557078381,0.1818931283565632,0.45219123505976094,0.8862468902204002
barabasi_2,sbm_dl,2,756,1,1,1,1.0138822092591882e-15,0.0,1.0,0.012312975226882511
barabasi_2,louvain,10,795,13,-3,6,0.07296418047728781,0.2860641471939586,0.394583112055231,0.9016871821681479
barabasi_2,leiden,10,795,14,-4,8,0.07999265350621745,0.2976305169460717,0.38369622942113646,0.9171617318568509
barabasi_2,label_propagation,10,795,1,9,1,0.0,0.0,1.0,0.011932259239896709
barabasi_2,greedy_modularity,10,795,10,0,5,0.06161594895132255,0.2803803435665113,0.4500796601168348,0.8471111956022369
barabasi_2,eigenvector,10,795,21,-11,6,0.15660883034872433,0.17672520770998246,0.4235262878385555,0.7518178793783565
barabasi_2,infomap,10,795,1,9,1,0.0,0.0,1.0,0.011932259239896709
barabasi_2,kcut,10,795,2,8,1,0.001882447832160215,-8.813519742386477e-07,0.998672331386086,0.014416298338165169
barabasi_2,markov_clustering,10,795,394,-384,10,0.39497329793867275,0.09318555575517201,0.10355815188528943,0.9799344137636044
barabasi_2,paris,10,795,50,-40,10,0.1220592445633448,0.2387728449957117,0.2604885820499203,0.973258558687008
barabasi_2,spinglass,10,795,9,1,7,0.09401570092886659,0.32625118841500195,0.4437068507700478,0.8850529917779574
barabasi_2,surprise_communities,10,795,125,-115,8,0.2543088412060468,0.21718980429473667,0.2302177376526819,0.9858371750392092
barabasi_2,walktrap,10,795,77,-67,1,0.15463403938429154,0.1762050337748179,0.370154009559214,0.9371005814045593
barabasi_2,spectral,10,795,2,8,2,0.014342612938931904,0.18662451782996192,0.6866702071163038,0.5048555993853271
barabasi_2,sbm_dl,10,795,1,9,1,0.0,0.0,1.0,0.011932259239896709
barabasi_2,louvain,100,889,10,90,9,0.2527234921938434,0.29636559800662243,0.42053056516724335,0.8815300114512713
barabasi_2,leiden,100,889,11,89,11,0.27490675258298836,0.295305292481332,0.39630911188004614,0.9024285815624399
barabasi_2,label_propagation,100,889,1,99,1,0.0,0.0,1.0,0.010982579880217676
barabasi_2,greedy_modularity,100,889,9,91,8,0.2176152299442478,0.2816329093547996,0.44682814302191465,0.8462362812756513
barabasi_2,eigenvector,100,889,18,82,13,0.27907000068282617,0.21068550956579118,0.3271049596309112,0.8854518185226846
barabasi_2,infomap,100,889,1,99,1,0.0,0.0,1.0,0.010982579880217676
barabasi_2,kcut,100,889,4,96,1,0.006694775383584582,-4.549753954135245e-06,0.9963091118800461,0.017643064887159374
barabasi_2,markov_clustering,100,889,447,-347,100,0.6740886185749206,0.08964954921516781,0.10011534025374856,0.9802034880775038
barabasi_2,paris,100,889,50,50,44,0.4575871954193284,0.22927266462592907,0.2512110726643599,0.9736646094913811
barabasi_2,spinglass,100,889,10,90,10,0.2613999910132326,0.3215381361174634,0.4295271049596309,0.8940250711904255
barabasi_2,surprise_communities,100,889,145,-45,55,0.6247799479857074,0.20499421968393852,0.21683967704728951,0.9872110580771998
barabasi_2,walktrap,100,889,55,45,9,0.38154677990106456,0.18713829788649294,0.4143021914648212,0.9022385715299102
barabasi_2,sbm_dl,100,889,1,99,1,0.0,0.0,1.0,0.010982579880217676
