graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
barabasi_2,leiden,733,2,10,-8,2,0.017965013687201128,110|107|79|72|68|67|61|59|57|53,73.3,0.03756284713745117
barabasi_2,df_node_similarity,733,2,3,-1,1,0.0035356683721969127,656|67|10,244.33333333333334,8.104721307754517
barabasi_2,leiden,754,2,12,-10,2,0.032950446408121406,122|109|88|75|71|69|62|60|59|17|15|7,62.833333333333336,0.0389101505279541
barabasi_2,df_node_similarity,754,2,3,-1,1,0.0017934467851627013,667|76|11,251.33333333333334,6.833152770996094
barabasi_2,leiden,758,2,13,-11,2,0.02703970086848606,112|75|72|71|69|67|66|50|48|42|35|27|24,58.30769230769231,0.040574073791503906
barabasi_2,df_node_similarity,758,2,2,0,1,0.000728014655385381,673|85,379.0,5.671770811080933
barabasi_2,leiden,856,10,13,-3,6,0.07109192268547321,138|114|98|80|76|73|53|49|45|40|37|30|23,65.84615384615384,0.04464125633239746
barabasi_2,df_node_similarity,856,10,3,7,1,0.01248922495866152,685|76|95,285.3333333333333,9.97392201423645
barabasi_2,leiden,835,10,11,-1,8,0.0823118622818314,121|114|105|93|83|55|54|54|52|52|52,75.9090909090909,0.07844281196594238
barabasi_2,df_node_similarity,835,10,4,6,2,0.0749987863753558,539|197|47|52,208.75,10.625991344451904
barabasi_2,leiden,831,10,11,-1,7,0.06004397764183124,122|118|116|86|78|68|64|53|50|46|30,75.54545454545455,0.04494524002075195
barabasi_2,df_node_similarity,831,10,3,7,1,0.011103461992705982,709|75|47,277.0,7.750531911849976
barabasi_2,leiden,925,100,13,87,13,0.2806440039737418,138|125|92|92|67|64|63|63|62|56|48|32|23,71.15384615384616,0.04822707176208496
barabasi_2,df_node_similarity,925,100,3,97,2,0.05413112218423045,749|84|92,308.3333333333333,10.28239130973816
barabasi_2,leiden,880,100,11,89,11,0.2795037256488319,136|130|97|93|82|79|71|63|56|50|23,80.0,0.04555201530456543
barabasi_2,df_node_similarity,880,100,3,97,3,0.05411160258543112,735|90|55,293.3333333333333,10.169007778167725
barabasi_2,leiden,926,100,11,89,11,0.25285969045971607,128|111|93|90|89|89|89|86|85|43|23,84.18181818181819,0.049756526947021484
barabasi_2,df_node_similarity,926,100,4,96,2,0.06992605038906069,730|57|55|84,231.5,10.080988883972168
