graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
footbal,leiden,89,2,9,-7,2,0.23115136721183624,13|13|13|11|9|8|8|8|6,9.88888888888889,0.004794597625732422
footbal,df_node_similarity,89,2,7,-5,2,0.18657138618138855,15|19|9|11|15|10|10,12.714285714285714,0.05537104606628418
footbal,leiden,69,2,6,-4,2,0.23217039921721105,15|14|12|11|10|7,11.5,0.003719806671142578
footbal,df_node_similarity,69,2,5,-3,2,0.1730688387248692,11|14|16|14|14,13.8,0.033605098724365234
footbal,leiden,51,2,7,-5,2,0.2211672512732749,12|8|7|7|6|6|5,7.285714285714286,0.0023725032806396484
footbal,df_node_similarity,51,2,6,-4,2,0.23582694530787604,12|7|9|5|9|9,8.5,0.026843547821044922
footbal,leiden,77,6,8,-2,4,0.5044577412271134,12|11|11|9|9|9|8|8,9.625,0.00398707389831543
footbal,df_node_similarity,77,6,6,0,4,0.42918087808004574,17|9|21|9|9|12,12.833333333333334,0.03707766532897949
footbal,leiden,88,6,10,-4,5,0.5196712520256102,14|11|10|10|10|8|7|7|6|5,8.8,0.004362821578979492
footbal,df_node_similarity,88,6,6,0,5,0.4751441161937245,20|15|16|19|11|7,14.666666666666666,0.0408167839050293
footbal,leiden,102,6,9,-3,5,0.39255499325689447,16|14|12|11|11|11|10|9|8,11.333333333333334,0.005188941955566406
footbal,df_node_similarity,102,6,8,-2,5,0.40222129320713923,9|11|17|8|18|14|15|10,12.75,0.08515453338623047
footbal,leiden,99,12,8,4,7,0.6292060478178074,16|15|14|14|12|11|10|7,12.375,0.005127906799316406
footbal,df_node_similarity,99,12,9,3,8,0.6192568921114094,18|12|10|11|6|15|11|6|10,11.0,0.08031392097473145
footbal,leiden,107,12,10,2,8,0.6390534965096599,17|13|12|12|10|9|9|9|8|8,10.7,0.005564212799072266
footbal,df_node_similarity,107,12,7,5,6,0.5301765809541312,9|24|21|13|10|20|10,15.285714285714286,0.08166074752807617
footbal,leiden,102,12,8,4,7,0.5561686649344536,20|14|14|13|12|11|9|9,12.75,0.005379438400268555
footbal,df_node_similarity,102,12,6,6,6,0.4849359977824155,26|12|18|13|15|18,17.0,0.07644963264465332
