graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
barabasi_1,leiden,390,2,11,-9,2,0.021424994446992765,54|46|46|42|38|35|33|30|29|21|16,35.45454545454545,0.019231557846069336
barabasi_1,df_node_similarity,390,2,2,0,1,6.6287217813629645e-06,352|38,195.0,1.1728177070617676
barabasi_1,leiden,353,2,10,-8,2,0.029280530149375702,47|45|43|42|40|34|33|29|21|19,35.3,0.017659664154052734
barabasi_1,df_node_similarity,353,2,3,-1,1,0.0011304084225970974,328|4|21,117.66666666666667,1.0641272068023682
barabasi_1,leiden,370,2,9,-7,2,0.02335409739788046,56|55|51|46|39|33|32|30|28,41.111111111111114,0.018769025802612305
barabasi_1,df_node_similarity,370,2,4,-2,1,0.006768625953041669,342|5|5|18,92.5,1.3417260646820068
barabasi_1,leiden,409,5,9,-4,4,0.07348433415444962,55|55|55|53|50|47|34|30|30,45.44444444444444,0.021221160888671875
barabasi_1,df_node_similarity,409,5,5,0,1,0.024880002967912065,387|6|4|7|5,81.8,1.3993825912475586
barabasi_1,leiden,406,5,10,-5,4,0.060855958816360516,72|56|44|41|39|34|34|32|28|26,40.6,0.021706342697143555
barabasi_1,df_node_similarity,406,5,4,1,1,0.035795376410679945,371|8|14|13,101.5,1.3997037410736084
barabasi_1,leiden,436,5,9,-4,4,0.07975414983290462,76|74|56|51|50|41|39|28|21,48.44444444444444,0.0241091251373291
barabasi_1,df_node_similarity,436,5,6,-1,1,0.016780822856842948,393|5|9|5|8|16,72.66666666666667,2.0527026653289795
barabasi_1,leiden,456,50,11,39,11,0.2752024606925745,69|54|52|48|47|47|40|32|24|22|21,41.45454545454545,0.05115675926208496
barabasi_1,df_node_similarity,456,50,6,44,1,0.06786685838230412,415|4|11|4|5|17,76.0,1.835463523864746
barabasi_1,leiden,449,50,11,39,10,0.28559633759949654,57|56|53|51|46|41|37|37|28|27|16,40.81818181818182,0.024333953857421875
barabasi_1,df_node_similarity,449,50,4,46,1,0.05106095730981377,417|9|12|11,112.25,2.009399652481079
barabasi_1,leiden,452,50,10,40,10,0.2519101459447264,75|59|55|55|54|36|35|33|32|18,45.2,0.02383565902709961
barabasi_1,df_node_similarity,452,50,6,44,1,0.07041496161086161,413|9|5|14|6|5,75.33333333333333,2.004899024963379
