graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
watts_strogatz_graph_2,leiden,175,2,14,-12,2,0.16038453269812986,17|16|16|15|15|14|12|12|11|11|9|9|9|9,12.5,0.006095170974731445
watts_strogatz_graph_2,df_node_similarity,175,2,9,-7,2,0.10365192820158278,24|27|24|11|23|13|14|25|14,19.444444444444443,0.12781810760498047
watts_strogatz_graph_2,leiden,183,2,12,-10,2,0.11735631066103139,23|22|21|16|16|14|13|13|12|12|11|10,15.25,0.006637096405029297
watts_strogatz_graph_2,df_node_similarity,183,2,11,-9,2,0.12250095189513462,18|14|21|24|17|15|11|15|19|17|12,16.636363636363637,0.18392682075500488
watts_strogatz_graph_2,leiden,124,2,11,-9,2,0.2012324611384729,19|17|16|12|11|9|9|8|8|8|7,11.272727272727273,0.0044133663177490234
watts_strogatz_graph_2,df_node_similarity,124,2,8,-6,2,0.19554167250327642,25|13|14|10|13|19|15|15,15.5,0.1079702377319336
watts_strogatz_graph_2,leiden,611,10,20,-10,8,0.21572400215264553,53|52|43|37|36|35|34|33|32|32|30|30|27|26|25|23|19|18|14|12,30.55,0.028499603271484375
watts_strogatz_graph_2,df_node_similarity,611,10,18,-8,6,0.18806416367328552,61|33|46|19|29|37|50|34|20|49|16|23|46|16|16|53|46|17,33.94444444444444,3.3623738288879395
watts_strogatz_graph_2,leiden,510,10,18,-8,8,0.2360165574526202,40|39|37|37|37|34|30|29|28|28|27|25|25|24|21|19|16|14,28.333333333333332,0.02126169204711914
watts_strogatz_graph_2,df_node_similarity,510,10,13,-3,7,0.19020350637713843,26|44|27|38|51|19|23|58|19|46|44|58|57,39.23076923076923,3.076089382171631
watts_strogatz_graph_2,leiden,508,10,20,-10,9,0.27712054780917705,35|32|32|31|28|28|28|27|26|26|25|24|23|23|23|22|22|20|18|15,25.4,0.021326065063476562
watts_strogatz_graph_2,df_node_similarity,508,10,16,-6,7,0.2723217293780193,29|41|29|24|23|75|33|18|33|19|17|15|39|28|47|38,31.75,2.3879382610321045
watts_strogatz_graph_2,leiden,918,100,23,77,23,0.4386087791907222,72|58|50|49|49|48|47|47|46|45|44|43|42|40|37|31|28|28|26|26|25|22|15,39.91304347826087,0.04483461380004883
watts_strogatz_graph_2,df_node_similarity,918,100,24,76,23,0.44424875140686787,44|57|44|37|34|28|21|21|20|22|85|48|31|34|20|62|69|19|22|50|29|76|19|26,38.25,8.618447542190552
watts_strogatz_graph_2,leiden,882,100,20,80,20,0.4228888346791097,70|66|65|61|59|55|54|43|41|41|38|36|36|36|35|34|30|29|28|25,44.1,0.043630361557006836
watts_strogatz_graph_2,df_node_similarity,882,100,23,77,23,0.4438288117728068,51|43|34|31|33|61|30|97|55|35|18|33|48|25|20|37|37|20|24|30|66|23|31,38.34782608695652,7.6268346309661865
watts_strogatz_graph_2,leiden,907,100,25,75,24,0.4468654013895005,63|56|45|44|44|43|42|40|37|36|36|35|34|34|33|32|31|31|30|30|29|28|28|27|19,36.28,0.04419970512390137
watts_strogatz_graph_2,df_node_similarity,907,100,18,82,18,0.4019529179009093,54|33|43|58|24|34|46|66|36|112|31|48|49|52|43|37|75|66,50.388888888888886,8.60482120513916
