graph,method,n,e,real communities,found communities,time,m_nmimodularity,pcov,pper
dolphin,louvain,62,159,2,6,4,0.47425280440506573,0.5195799216803132,0.7232704402515723,0.8598625066102591
dolphin,leiden,62,159,2,5,1,0.588027225496842,0.5276096673391084,0.7610062893081762,0.8175568482284505
dolphin,label_propagation,62,159,2,5,1,0.4612162195441492,0.45633084134330126,0.8050314465408805,0.7551560021152829
dolphin,greedy_modularity,62,159,2,4,6,0.5727004718449734,0.4954906847039278,0.8238993710691824,0.7424643046007403
dolphin,eigenvector,62,159,2,5,5,0.44891416031540016,0.4911989240931925,0.710691823899371,0.8334214701216288
dolphin,infomap,62,159,2,5,14,0.4456825025569224,0.517523041018947,0.7484276729559748,0.8313061872025383
dolphin,markov_clustering,62,159,2,12,186,0.44825363186699324,0.45502551323128043,0.610062893081761,0.893707033315706
dolphin,surprise_communities,62,159,2,18,1,0.41005738332527725,0.459989715596693,0.6477987421383647,0.923320994182972
dolphin,walktrap,62,159,2,4,1,0.5372500354727413,0.4888453779518215,0.8238993710691824,0.745637228979376
dolphin,df_node_similarity,62,159,2,4,20,0.7395638413794857,0.3859222340888413,0.9308176100628931,0.6081438392384981
