graph,method,n,e,real communities,found communities,time,m_nmimodularity,pcov,pper
eu_core,louvain,1005,16706,42,27,160,0.5581426623082159,0.4321437908391819,0.619418173111457,0.8435888287645438
eu_core,leiden,1005,16706,42,27,25,0.5912976359279423,0.4348338274837913,0.5934993415539327,0.8634437374878595
eu_core,label_propagation,1005,16706,42,38,46,0.1797058275130942,0.0887949363481592,0.9632467376990302,0.23559493369804366
eu_core,greedy_modularity,1005,16706,42,44,2346,0.47804271515621394,0.3665850161916692,0.6877768466419251,0.755114863927375
eu_core,eigenvector,1005,16706,42,41,98,0.5183938144657915,0.38948908123816917,0.547527834311026,0.8698777031178767
eu_core,infomap,1005,16706,42,63,348,0.6047276728079803,0.39539306714186373,0.6573686100802107,0.8323204693663159
eu_core,markov_clustering,1005,16706,42,60,394,0.42852444511502874,0.21078754379100223,0.7628396983119837,0.6341222175972726
eu_core,surprise_communities,1005,16706,42,1004,35,0.6483565841730834,0.036223588113209484,0.03848916556925656,0.9694337079542527
eu_core,walktrap,1005,16706,42,126,167,0.4208142590326907,0.21851874565848595,0.8675924817430863,0.5832590037858516
eu_core,df_node_similarity,1005,16706,42,46,3955,0.09421698833251296,0.00643991971118642,0.9967676283969831,0.13746605617331667
