graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
footbal,leiden,89,2,9,-7,2,0.23115136721183624,13|13|13|11|9|8|8|8|6,9.88888888888889,0.0049741268157958984
footbal,df_node_similarity,89,2,7,-5,2,0.18657138618138855,15|19|9|11|15|10|10,12.714285714285714,0.05469632148742676
footbal,leiden,69,2,6,-4,2,0.20075066948383496,15|14|14|11|8|7,11.5,0.0035123825073242188
footbal,df_node_similarity,69,2,5,-3,2,0.1730688387248692,11|14|16|14|14,13.8,0.03408455848693848
footbal,leiden,51,2,7,-5,2,0.2405241938786495,12|8|7|7|6|6|5,7.285714285714286,0.0023467540740966797
footbal,df_node_similarity,51,2,6,-4,2,0.23582694530787604,12|7|9|5|9|9,8.5,0.026884078979492188
footbal,leiden,77,6,8,-2,4,0.5044577412271134,12|11|11|9|9|9|8|8,9.625,0.00390625
footbal,df_node_similarity,77,6,6,0,4,0.42918087808004574,17|9|21|9|9|12,12.833333333333334,0.03802657127380371
footbal,leiden,88,6,10,-4,5,0.5196712520256102,14|11|10|10|10|8|7|7|6|5,8.8,0.004409313201904297
footbal,df_node_similarity,88,6,6,0,5,0.4751441161937245,20|15|16|19|11|7,14.666666666666666,0.04311513900756836
footbal,leiden,102,6,9,-3,5,0.4032128069647389,21|14|12|11|11|10|9|8|6,11.333333333333334,0.0052509307861328125
footbal,df_node_similarity,102,6,9,-3,5,0.4119921446177416,9|11|17|8|12|14|15|6|10,11.333333333333334,0.08852362632751465
footbal,leiden,99,12,8,4,7,0.6292060478178074,16|15|14|14|12|11|10|7,12.375,0.005308628082275391
footbal,df_node_similarity,99,12,9,3,8,0.6057510034797928,18|12|10|11|6|15|14|7|6,11.0,0.08214473724365234
footbal,leiden,107,12,10,2,8,0.6298924104889969,16|13|13|12|10|9|9|9|8|8,10.7,0.005665302276611328
footbal,df_node_similarity,107,12,7,5,6,0.5301765809541312,9|24|21|13|10|20|10,15.285714285714286,0.08043289184570312
footbal,leiden,102,12,8,4,7,0.5561686649344536,20|14|14|13|12|11|9|9,12.75,0.005649566650390625
footbal,df_node_similarity,102,12,6,6,6,0.4849359977824155,26|12|18|13|15|18,17.0,0.06909680366516113
