graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
karate_graph,leiden,19,2,3,-1,2,0.48645753859860896,9|6|4,6.333333333333333,0.001495361328125
karate_graph,df_node_similarity,19,2,2,0,2,1.0,8|11,9.5,0.0030045509338378906
karate_graph,leiden,19,2,3,-1,2,0.21724794577517717,8|8|3,6.333333333333333,0.001055002212524414
karate_graph,df_node_similarity,19,2,2,0,2,0.3768892770255369,10|9,9.5,0.0024526119232177734
karate_graph,leiden,23,2,3,-1,2,0.5206792188568199,10|8|5,7.666666666666667,0.0014133453369140625
karate_graph,df_node_similarity,23,2,2,0,2,0.7828496729585407,11|12,11.5,0.0033457279205322266
karate_graph,leiden,11,3,3,0,2,0.6039574921779599,5|3|3,3.6666666666666665,0.0007274150848388672
karate_graph,df_node_similarity,11,3,3,0,2,0.5831483683198329,4|2|5,3.6666666666666665,0.0031309127807617188
karate_graph,leiden,23,3,3,0,2,0.5750884374893125,12|6|5,7.666666666666667,0.0010597705841064453
karate_graph,df_node_similarity,23,3,2,1,2,0.6504686618407521,12|11,11.5,0.0027189254760742188
karate_graph,leiden,17,3,4,-1,2,0.38287753303497085,7|5|3|2,4.25,0.0008833408355712891
karate_graph,df_node_similarity,17,3,2,1,2,0.532135445068006,12|5,8.5,0.0027611255645751953
karate_graph,leiden,19,4,3,1,2,0.4400129180200995,8|8|3,6.333333333333333,0.0009696483612060547
karate_graph,df_node_similarity,19,4,2,2,2,0.47051770582510505,8|11,9.5,0.004235506057739258
karate_graph,leiden,27,4,4,0,2,0.43725904194628845,11|9|4|3,6.75,0.0012211799621582031
karate_graph,df_node_similarity,27,4,2,2,2,0.4361279586989063,15|12,13.5,0.0037398338317871094
karate_graph,leiden,21,4,2,2,2,0.3521359533801766,11|10,10.5,0.0011191368103027344
karate_graph,df_node_similarity,21,4,2,2,2,0.32458240592514664,10|11,10.5,0.002472400665283203
