graph,method,n,e,real communities,found communities,time,m_nmimodularity,pcov,pper
karate_graph,louvain,34,78,2,4,2,0.4868850505933337,0.39521696252465477,0.6666666666666666,0.803921568627451
karate_graph,leiden,34,78,2,4,1,0.5878497068250673,0.41978961209730437,0.7307692307692307,0.803921568627451
karate_graph,label_propagation,34,78,2,3,1,0.3635987784607561,0.3251150558842867,0.7692307692307693,0.6684491978609626
karate_graph,greedy_modularity,34,78,2,3,4,0.5646068790944767,0.3806706114398422,0.7564102564102564,0.714795008912656
karate_graph,eigenvector,34,78,2,4,3,0.5791572850332136,0.3934089414858646,0.6666666666666666,0.8003565062388592
karate_graph,infomap,34,78,2,3,4,0.5683801456945561,0.40203813280736356,0.8205128205128205,0.7112299465240641
karate_graph,markov_clustering,34,78,2,2,163,0.7323776321005694,0.3599605522682445,0.8717948717948718,0.6114081996434938
karate_graph,surprise_communities,34,78,2,8,1,0.4911539739556041,0.3854372123602892,0.6538461538461539,0.8609625668449198
karate_graph,walktrap,34,78,2,5,1,0.4898767770113758,0.3532215647600263,0.5897435897435898,0.8306595365418895
karate_graph,df_node_similarity,34,78,2,2,5,0.8371694628777809,0.37146614069691,0.8717948717948718,0.6167557932263814
