graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
karate_graph,leiden,19,2,3,-1,2,0.48645753859860896,9|6|4,6.333333333333333,0.0015151500701904297
karate_graph,df_node_similarity,19,2,2,0,2,1.0,8|11,9.5,0.0031280517578125
karate_graph,leiden,19,2,2,0,2,0.3768892770255369,10|9,9.5,0.0011599063873291016
karate_graph,df_node_similarity,19,2,2,0,2,0.3768892770255369,10|9,9.5,0.0025103092193603516
karate_graph,leiden,23,2,3,-1,2,0.5206792188568199,10|8|5,7.666666666666667,0.0013074874877929688
karate_graph,df_node_similarity,23,2,2,0,2,0.7828496729585407,11|12,11.5,0.002796173095703125
karate_graph,leiden,11,3,3,0,2,0.6039574921779599,5|3|3,3.6666666666666665,0.0008475780487060547
karate_graph,df_node_similarity,11,3,3,0,2,0.5831483683198329,4|2|5,3.6666666666666665,0.00318145751953125
karate_graph,leiden,23,3,3,0,2,0.5750884374893125,12|6|5,7.666666666666667,0.001226186752319336
karate_graph,df_node_similarity,23,3,2,1,2,0.6504686618407521,12|11,11.5,0.002796649932861328
karate_graph,leiden,17,3,4,-1,2,0.38287753303497085,7|5|3|2,4.25,0.0010809898376464844
karate_graph,df_node_similarity,17,3,2,1,2,0.532135445068006,12|5,8.5,0.0028388500213623047
karate_graph,leiden,19,4,3,1,2,0.4400129180200995,8|8|3,6.333333333333333,0.0011391639709472656
karate_graph,df_node_similarity,19,4,2,2,2,0.47051770582510505,8|11,9.5,0.004340410232543945
karate_graph,leiden,27,4,4,0,2,0.4962390760780083,10|8|5|4,6.75,0.0014026165008544922
karate_graph,df_node_similarity,27,4,2,2,2,0.4361279586989063,15|12,13.5,0.003961324691772461
karate_graph,leiden,21,4,2,2,2,0.3521359533801766,11|10,10.5,0.0012273788452148438
karate_graph,df_node_similarity,21,4,2,2,2,0.32458240592514664,10|11,10.5,0.0025839805603027344
