graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
barabasi_2,louvain,733,2,11,-9,2,0.01211224465319941,131|100|99|70|56|55|54|52|43|41|32,66.63636363636364,0.10022783279418945
barabasi_2,leiden,733,2,10,-8,2,0.03374953080749304,109|108|98|84|74|70|59|52|50|29,73.3,0.009663581848144531
barabasi_2,label_propagation,733,2,1,1,1,0.0,733,733.0,0.01245427131652832
barabasi_2,greedy_modularity,733,2,9,-7,2,0.02172875613005892,146|138|128|112|103|41|41|14|10,81.44444444444444,0.5839488506317139
barabasi_2,eigenvector,733,2,9,-7,2,0.1262265618517846,319|117|95|66|46|44|42|3|1,81.44444444444444,0.03798389434814453
barabasi_2,infomap,733,2,1,1,1,0.0,733,733.0,0.03240084648132324
barabasi_2,markov_clustering,733,2,364,-362,2,0.12476365997867811,31|19|17|16|14|13|13|9|8|8|7|6|5|5|5|5|5|5|5|5|4|4|4|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2.0137362637362637,0.23065948486328125
barabasi_2,paris,733,2,10,-8,0,0.002250305443542049,106|103|99|87|82|66|52|51|46|41,73.3,0.06651759147644043
barabasi_2,surprise_communities,733,2,121,-119,1,0.04205898569980225,31|14|14|13|11|11|11|11|10|9|9|9|9|9|8|8|8|8|8|8|8|8|7|7|7|7|7|7|7|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3,6.0578512396694215,0.011345863342285156
barabasi_2,walktrap,733,2,95,-93,1,0.040601815136816384,157|37|29|20|18|15|13|13|12|11|11|10|10|9|9|9|9|9|9|8|8|8|7|7|7|7|7|7|6|6|6|6|6|6|6|6|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|1|1,7.71578947368421,0.03243732452392578
barabasi_2,df_node_similarity,733,2,3,-1,1,0.0035356683721969127,656|67|10,244.33333333333334,7.676645040512085
barabasi_2,louvain,754,2,12,-10,2,0.02862769652191195,123|82|75|67|67|66|65|65|52|38|32|22,62.833333333333336,0.11175823211669922
barabasi_2,leiden,754,2,11,-9,2,0.02269491980274477,116|97|95|85|65|60|51|49|48|45|43,68.54545454545455,0.009547948837280273
barabasi_2,label_propagation,754,2,1,1,1,0.0,754,754.0,0.01518106460571289
barabasi_2,greedy_modularity,754,2,10,-8,2,0.023268088588289618,152|129|126|119|87|60|29|21|20|11,75.4,0.6980142593383789
barabasi_2,eigenvector,754,2,20,-18,2,0.09419874870478263,106|83|78|77|69|68|39|37|37|34|33|33|17|14|12|10|2|2|2|1,37.7,0.0666966438293457
barabasi_2,infomap,754,2,1,1,1,0.0,754,754.0,0.028970718383789062
barabasi_2,markov_clustering,754,2,352,-350,2,0.12101128365049629,40|23|22|18|15|14|13|11|11|8|6|6|6|6|5|5|5|5|5|4|4|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2.1420454545454546,0.21748566627502441
barabasi_2,paris,754,2,24,-22,0,0.005806599356300606,58|45|41|39|39|39|38|38|37|37|33|30|29|28|25|25|25|25|24|24|22|18|18|17,31.416666666666668,0.07007861137390137
barabasi_2,surprise_communities,754,2,126,-124,2,0.04386550336343963,15|14|13|13|13|12|11|11|10|10|10|10|10|9|9|9|9|8|8|8|7|7|7|7|7|7|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|3|3|3,5.984126984126984,0.012252330780029297
barabasi_2,walktrap,754,2,84,-82,1,0.04098386258386109,170|30|29|23|23|21|20|18|14|13|13|12|10|10|9|9|9|9|9|9|9|8|8|8|8|7|7|7|7|7|7|7|7|6|6|6|6|6|6|6|6|6|5|5|5|5|5|5|5|5|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|1,8.976190476190476,0.032994985580444336
barabasi_2,df_node_similarity,754,2,3,-1,1,0.0017934467851627013,667|76|11,251.33333333333334,5.986604690551758
barabasi_2,louvain,758,2,9,-7,2,0.0325636645321901,145|134|126|85|84|73|65|41|5,84.22222222222223,0.15271949768066406
barabasi_2,leiden,758,2,11,-9,2,0.0188384070373899,105|94|90|71|69|67|60|58|55|45|44,68.9090909090909,0.009735584259033203
barabasi_2,label_propagation,758,2,1,1,1,0.0,758,758.0,0.012609720230102539
barabasi_2,greedy_modularity,758,2,8,-6,1,0.008194152758659203,155|147|136|113|88|87|17|15,94.75,0.6698629856109619
barabasi_2,eigenvector,758,2,15,-13,2,0.12264043089655144,157|127|83|77|75|56|45|38|35|27|21|13|2|1|1,50.53333333333333,0.05687403678894043
barabasi_2,infomap,758,2,1,1,1,0.0,758,758.0,0.030222654342651367
barabasi_2,markov_clustering,758,2,398,-396,2,0.12467673099997545,33|25|24|13|13|11|10|9|9|9|8|7|6|6|5|5|5|5|4|4|4|4|4|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,1.9045226130653266,0.23843646049499512
barabasi_2,paris,758,2,7,-5,0,0.003413808420369213,126|123|121|118|92|92|86,108.28571428571429,0.06964230537414551
