graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
footbal,louvain,89,2,9,-7,2,0.23115136721183624,13|13|13|11|9|8|8|8|6,9.88888888888889,0.008016586303710938
footbal,leiden,89,2,9,-7,2,0.23115136721183624,13|13|13|11|9|8|8|8|6,9.88888888888889,0.002390623092651367
footbal,label_propagation,89,2,7,-5,2,0.19950814165302483,19|16|16|11|10|9|8,12.714285714285714,0.0026540756225585938
footbal,greedy_modularity,89,2,5,-3,2,0.17498539049574735,26|24|17|14|8,17.8,0.02812933921813965
footbal,eigenvector,89,2,6,-4,2,0.16435407325569415,24|21|17|14|7|6,14.833333333333334,0.0074367523193359375
footbal,infomap,89,2,10,-8,2,0.24903990372994544,12|12|11|10|9|8|8|8|6|5,8.9,0.05047106742858887
footbal,markov_clustering,89,2,11,-9,2,0.24759967494999316,12|11|10|9|9|8|8|8|6|6|2,8.090909090909092,0.048958539962768555
footbal,paris,89,2,10,-8,0,0.02275951567624618,12|11|10|10|9|9|8|7|7|6,8.9,0.012303352355957031
footbal,surprise_communities,89,2,11,-9,2,0.24403044567574989,12|11|10|10|9|8|8|8|6|5|2,8.090909090909092,0.002661466598510742
footbal,walktrap,89,2,8,-6,1,0.24546351383901868,16|15|13|11|9|9|8|8,11.125,0.0027031898498535156
footbal,spectral,89,2,3,-1,1,0.09153134266301659,42|26|21,29.666666666666668,40.47753715515137
footbal,df_node_similarity,89,2,7,-5,2,0.18657138618138855,15|19|9|11|15|10|10,12.714285714285714,0.05834603309631348
footbal,louvain,69,2,6,-4,2,0.23217039921721105,15|14|12|11|10|7,11.5,0.0035102367401123047
footbal,leiden,69,2,6,-4,2,0.23217039921721105,15|14|12|11|10|7,11.5,0.0016002655029296875
footbal,label_propagation,69,2,7,-5,2,0.2354506808872406,15|15|11|10|8|6|4,9.857142857142858,0.0015997886657714844
footbal,greedy_modularity,69,2,5,-3,2,0.20350918432710988,17|16|14|12|10,13.8,0.01030421257019043
footbal,eigenvector,69,2,6,-4,2,0.3107368007079179,15|15|14|11|8|6,11.5,0.006028413772583008
footbal,infomap,69,2,7,-5,2,0.25745748472596675,15|14|12|10|8|6|4,9.857142857142858,0.027920007705688477
footbal,markov_clustering,69,2,9,-7,2,0.22259146235840124,11|10|9|8|8|7|6|6|4,7.666666666666667,0.028222322463989258
footbal,paris,69,2,2,0,0,0.018331526653735022,35|34,34.5,0.0038862228393554688
footbal,surprise_communities,69,2,12,-10,2,0.2292567017254626,11|10|8|8|7|6|6|5|4|2|1|1,5.75,0.0011377334594726562
footbal,walktrap,69,2,6,-4,2,0.21291208993349647,15|15|14|11|8|6,11.5,0.001146078109741211
footbal,spectral,69,2,2,0,2,0.0821709329973419,35|34,34.5,10.771392822265625
footbal,df_node_similarity,69,2,5,-3,2,0.1730688387248692,11|14|16|14|14,13.8,0.039337158203125
footbal,louvain,51,2,7,-5,2,0.22116725127327486,12|8|7|7|6|6|5,7.285714285714286,0.002460002899169922
footbal,leiden,51,2,7,-5,2,0.2405241938786495,12|8|7|7|6|6|5,7.285714285714286,0.0009157657623291016
footbal,label_propagation,51,2,7,-5,2,0.2835213985025532,17|9|7|6|5|4|3,7.285714285714286,0.0009772777557373047
footbal,greedy_modularity,51,2,6,-4,2,0.20530567730117308,13|12|7|7|6|6,8.5,0.004756927490234375
footbal,eigenvector,51,2,7,-5,2,0.28003828636876865,12|11|7|6|6|5|4,7.285714285714286,0.0062274932861328125
footbal,infomap,51,2,7,-5,2,0.24052419387864948,12|8|7|7|6|6|5,7.285714285714286,0.030894756317138672
footbal,markov_clustering,51,2,11,-9,2,0.24699639948821944,7|7|6|6|6|5|4|4|3|2|1,4.636363636363637,0.03202700614929199
footbal,paris,51,2,3,-1,0,0.004566162989900115,19|18|14,17.0,0.0022149085998535156
footbal,surprise_communities,51,2,12,-10,2,0.255167820905417,7|7|6|5|5|4|4|3|3|3|2|2,4.25,0.0009629726409912109
footbal,walktrap,51,2,7,-5,2,0.2803547474648729,16|8|7|6|5|5|4,7.285714285714286,0.0008559226989746094
