graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
karate_graph,louvain,19,2,3,-1,2,0.48645753859860896,9|6|4,6.333333333333333,0.0022199153900146484
karate_graph,leiden,19,2,3,-1,2,0.48645753859860896,9|6|4,6.333333333333333,0.0015971660614013672
karate_graph,label_propagation,19,2,2,0,2,0.7461794155034627,12|7,9.5,0.0009262561798095703
karate_graph,greedy_modularity,19,2,3,-1,2,0.48645753859860896,9|6|4,6.333333333333333,0.0026640892028808594
karate_graph,eigenvector,19,2,3,-1,2,0.6432256899702894,10|6|3,6.333333333333333,0.004606008529663086
karate_graph,infomap,19,2,3,-1,2,0.48645753859860896,9|6|4,6.333333333333333,0.17994952201843262
karate_graph,markov_clustering,19,2,2,0,1,0.7510880455266724,10|9,9.5,0.043221473693847656
karate_graph,paris,19,2,2,0,1,0.7510880455266724,10|9,9.5,0.0016319751739501953
karate_graph,surprise_communities,19,2,8,-6,2,0.5510328814291306,7|4|2|2|1|1|1|1,2.375,0.0012121200561523438
karate_graph,walktrap,19,2,4,-2,2,0.6060942606231947,9|5|3|2,4.75,0.0009930133819580078
karate_graph,spectral,19,2,2,0,2,0.7510880455266724,10|9,9.5,10.349031448364258
karate_graph,df_node_similarity,19,2,2,0,2,1.0,8|11,9.5,0.004600048065185547
karate_graph,louvain,19,2,3,-1,2,0.21724794577517717,8|8|3,6.333333333333333,0.001245737075805664
karate_graph,leiden,19,2,2,0,2,0.3768892770255369,10|9,9.5,0.001524209976196289
karate_graph,label_propagation,19,2,2,0,2,0.3768892770255369,10|9,9.5,0.0007624626159667969
karate_graph,greedy_modularity,19,2,2,0,2,0.3768892770255369,10|9,9.5,0.002584695816040039
karate_graph,eigenvector,19,2,2,0,2,0.3768892770255369,10|9,9.5,0.005681753158569336
karate_graph,infomap,19,2,2,0,2,0.3768892770255369,10|9,9.5,0.051302433013916016
karate_graph,markov_clustering,19,2,2,0,1,0.3768892770255369,10|9,9.5,0.035108089447021484
karate_graph,paris,19,2,2,0,1,0.20936496946004038,11|8,9.5,0.001749277114868164
karate_graph,surprise_communities,19,2,6,-4,2,0.29317740745532966,7|6|3|1|1|1,3.1666666666666665,0.0012969970703125
karate_graph,walktrap,19,2,2,0,2,0.20936496946004038,11|8,9.5,0.0011458396911621094
karate_graph,spectral,19,2,2,0,2,0.3768892770255369,10|9,9.5,9.167083024978638
karate_graph,df_node_similarity,19,2,2,0,2,0.3768892770255369,10|9,9.5,0.004439830780029297
karate_graph,louvain,23,2,3,-1,2,0.5805685377729649,11|7|5,7.666666666666667,0.0022017955780029297
karate_graph,leiden,23,2,3,-1,2,0.5206792188568199,10|8|5,7.666666666666667,0.0012614727020263672
karate_graph,label_propagation,23,2,3,-1,2,0.49732189840876173,13|7|3,7.666666666666667,0.0006549358367919922
karate_graph,greedy_modularity,23,2,3,-1,2,0.5419934264209074,10|7|6,7.666666666666667,0.003530740737915039
karate_graph,eigenvector,23,2,3,-1,2,0.5965844564032315,11|6|6,7.666666666666667,0.007628440856933594
karate_graph,infomap,23,2,3,-1,2,0.5206792188568199,10|8|5,7.666666666666667,0.05066943168640137
karate_graph,markov_clustering,23,2,2,0,1,0.4476996169023793,12|11,11.5,0.026374340057373047
karate_graph,paris,23,2,3,-1,1,0.5206792188568199,10|8|5,7.666666666666667,0.0020644664764404297
karate_graph,surprise_communities,23,2,5,-3,2,0.47987421347081577,8|7|5|2|1,4.6,0.001323699951171875
karate_graph,walktrap,23,2,3,-1,2,0.5805685377729649,11|7|5,7.666666666666667,0.0011374950408935547
karate_graph,spectral,23,2,3,-1,2,0.5206792188568199,10|8|5,7.666666666666667,7.219470500946045
karate_graph,df_node_similarity,23,2,2,0,2,0.7828496729585407,11|12,11.5,0.003955841064453125
karate_graph,louvain,11,3,3,0,2,0.6039574921779599,5|3|3,3.6666666666666665,0.0009012222290039062
karate_graph,leiden,11,3,3,0,2,0.6039574921779599,5|3|3,3.6666666666666665,0.0007367134094238281
karate_graph,label_propagation,11,3,2,1,1,0.22276458390233558,9|2,5.5,0.0004341602325439453
