graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
watts_strogatz_graph_1,louvain,90,2,8,-6,2,0.23940725965076323,20|14|13|13|10|9|7|4,11.25,0.0038251876831054688
watts_strogatz_graph_1,leiden,90,2,7,-5,2,0.32802872213930967,19|18|13|12|11|10|7,12.857142857142858,0.0010941028594970703
watts_strogatz_graph_1,label_propagation,90,2,13,-11,2,0.22946193966452702,30|12|11|10|5|5|4|3|2|2|2|2|2,6.923076923076923,0.0014796257019042969
watts_strogatz_graph_1,greedy_modularity,90,2,8,-6,2,0.3756801177868436,19|17|14|13|12|6|5|4,11.25,0.0076847076416015625
watts_strogatz_graph_1,eigenvector,90,2,7,-5,2,0.35981642433056943,23|23|15|14|8|4|3,12.857142857142858,0.007480621337890625
watts_strogatz_graph_1,infomap,90,2,11,-9,2,0.3632838924907888,15|14|13|12|7|7|7|5|4|3|3,8.181818181818182,0.003123760223388672
watts_strogatz_graph_1,markov_clustering,90,2,24,-22,2,0.3170308660150964,9|8|7|6|6|5|4|4|4|4|4|4|4|3|3|3|3|2|2|1|1|1|1|1,3.75,0.03513979911804199
watts_strogatz_graph_1,paris,90,2,6,-4,0,0.01535806233734747,21|17|15|14|13|10,15.0,0.0031778812408447266
watts_strogatz_graph_1,surprise_communities,90,2,20,-18,2,0.32637879262882824,11|9|8|7|6|5|5|5|4|4|4|4|4|3|3|3|2|1|1|1,4.5,0.0011210441589355469
watts_strogatz_graph_1,walktrap,90,2,11,-9,2,0.30256415849553686,15|14|14|10|9|7|5|5|4|4|3,8.181818181818182,0.0009737014770507812
watts_strogatz_graph_1,spectral,90,2,2,0,1,0.12005476564536072,63|27,45.0,5.226625919342041
watts_strogatz_graph_1,df_node_similarity,90,2,7,-5,2,0.3125545815642953,19|14|22|4|7|11|13,12.857142857142858,0.09171438217163086
watts_strogatz_graph_1,louvain,177,2,10,-8,2,0.1513744554713741,26|23|20|17|17|17|16|15|13|13,17.7,0.01056814193725586
watts_strogatz_graph_1,leiden,177,2,10,-8,2,0.1464390173714558,25|23|21|19|18|17|15|14|14|11,17.7,0.0018966197967529297
watts_strogatz_graph_1,label_propagation,177,2,20,-18,2,0.1603158037699137,26|19|14|14|13|10|10|10|10|9|8|6|5|5|4|4|3|3|2|2,8.85,0.0038700103759765625
watts_strogatz_graph_1,greedy_modularity,177,2,9,-7,2,0.10839705102588937,33|30|24|19|17|17|14|13|10,19.666666666666668,0.024241924285888672
watts_strogatz_graph_1,eigenvector,177,2,16,-14,2,0.14576643434967013,23|21|18|18|16|16|15|10|10|9|9|5|3|2|1|1,11.0625,0.021104812622070312
watts_strogatz_graph_1,infomap,177,2,16,-14,2,0.1535872799981882,19|18|16|13|13|12|11|11|10|10|9|9|8|8|7|3,11.0625,0.005403280258178711
watts_strogatz_graph_1,markov_clustering,177,2,44,-42,2,0.18929567108104278,12|11|10|9|9|8|8|8|7|7|7|6|5|5|5|4|4|4|4|4|3|3|3|3|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1,4.0227272727272725,0.0482478141784668
watts_strogatz_graph_1,paris,177,2,10,-8,0,0.01153847307826106,26|24|24|21|19|19|18|9|9|8,17.7,0.008226156234741211
watts_strogatz_graph_1,surprise_communities,177,2,24,-22,2,0.19717348939349652,16|13|11|11|10|10|9|9|9|8|7|7|7|7|7|7|6|5|4|4|3|3|2|2,7.375,0.0020761489868164062
watts_strogatz_graph_1,walktrap,177,2,11,-9,2,0.14105002786838158,36|29|21|19|16|13|13|10|9|8|3,16.09090909090909,0.002396821975708008
watts_strogatz_graph_1,spectral,177,2,2,0,2,0.08217457134286282,93|84,88.5,37.10295915603638
watts_strogatz_graph_1,df_node_similarity,177,2,9,-7,2,0.12269753482594283,17|23|18|27|13|29|11|19|20,19.666666666666668,0.33072495460510254
watts_strogatz_graph_1,louvain,174,2,10,-8,2,0.08421729191112053,21|21|21|20|20|17|16|16|14|8,17.4,0.009706258773803711
watts_strogatz_graph_1,leiden,174,2,10,-8,2,0.08490159418449028,22|21|20|19|18|17|17|15|14|11,17.4,0.0020761489868164062
watts_strogatz_graph_1,label_propagation,174,2,25,-23,2,0.11864862457936658,33|16|13|12|11|11|10|9|7|5|5|5|5|4|4|3|3|3|3|2|2|2|2|2|2,6.96,0.0027403831481933594
watts_strogatz_graph_1,greedy_modularity,174,2,8,-6,2,0.11221501638742637,30|29|25|25|21|16|16|12,21.75,0.024040937423706055
watts_strogatz_graph_1,eigenvector,174,2,13,-11,2,0.1346095925267413,40|25|22|16|15|15|13|12|8|3|2|2|1,13.384615384615385,0.02125239372253418
watts_strogatz_graph_1,infomap,174,2,17,-15,2,0.11533271538917968,23|17|14|13|13|11|11|9|9|8|8|7|7|7|7|6|4,10.235294117647058,0.005566120147705078
watts_strogatz_graph_1,markov_clustering,174,2,53,-51,2,0.20319735543885442,15|9|8|7|7|7|7|6|6|5|5|5|5|4|4|4|4|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,3.2830188679245285,0.047449588775634766
watts_strogatz_graph_1,paris,174,2,11,-9,0,0.02499729879885374,26|24|22|17|16|14|14|13|11|10|7,15.818181818181818,0.007909774780273438
watts_strogatz_graph_1,surprise_communities,174,2,30,-28,2,0.14010637614095459,12|12|12|10|9|8|8|7|7|5|5|5|5|5|5|5|5|5|4|4|4|4|4|4|4|4|3|3|3|3,5.8,0.0020389556884765625
watts_strogatz_graph_1,walktrap,174,2,21,-19,2,0.12056031561170213,23|20|19|13|12|10|9|9|8|7|7|5|5|5|4|4|4|3|3|2|2,8.285714285714286,0.0023202896118164062
watts_strogatz_graph_1,spectral,174,2,3,-1,2,0.05118081291985526,73|64|37,58.0,34.020857095718384
watts_strogatz_graph_1,df_node_similarity,174,2,8,-6,2,0.10314372198028207,36|27|13|18|29|21|11|19,21.75,0.4135756492614746
watts_strogatz_graph_1,louvain,162,5,10,-5,5,0.3907185514427534,20|19|19|18|18|17|15|15|15|6,16.2,0.010190725326538086
watts_strogatz_graph_1,leiden,162,5,11,-6,5,0.4553719838348036,18|18|17|16|16|15|15|14|13|12|8,14.727272727272727,0.0016336441040039062
watts_strogatz_graph_1,label_propagation,162,5,19,-14,5,0.43839409479793773,36|26|17|16|12|8|6|5|5|4|4|4|4|3|3|3|2|2|2,8.526315789473685,0.0026922225952148438
watts_strogatz_graph_1,greedy_modularity,162,5,11,-6,4,0.3412178883567868,25|19|18|18|15|14|13|13|11|8|8,14.727272727272727,0.018154144287109375
watts_strogatz_graph_1,eigenvector,162,5,10,-5,4,0.40103230836668613,25|22|21|19|17|16|14|11|9|8,16.2,0.0171048641204834
watts_strogatz_graph_1,infomap,162,5,20,-15,5,0.4735925502951142,15|14|12|11|10|10|8|8|8|8|7|7|6|6|6|6|6|5|5|4,8.1,0.0048711299896240234
watts_strogatz_graph_1,markov_clustering,162,5,45,-40,5,0.5055264918657775,14|10|10|8|7|7|6|6|5|5|5|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1,3.6,0.043146371841430664
watts_strogatz_graph_1,paris,162,5,11,-6,0,0.09381648128333608,19|19|19|18|18|15|15|12|11|9|7,14.727272727272727,0.006677150726318359
watts_strogatz_graph_1,surprise_communities,162,5,27,-22,5,0.4728052047010389,13|11|10|9|8|8|8|7|7|6|6|6|5|5|5|5|5|5|5|5|5|4|3|3|3|3|2,6.0,0.001622915267944336
