graph,community,nodes,sources,detected,difference,sources_ratio,nmi,sizes,avg_sizes,time
watts_strogatz_graph_2,louvain,175,2,13,-11,2,0.14774539825207283,17|15|15|14|14|14|14|13|13|12|12|11|11,13.461538461538462,0.0068242549896240234
watts_strogatz_graph_2,leiden,175,2,13,-11,2,0.15223761584616466,22|17|15|15|15|15|14|13|12|12|10|10|5,13.461538461538462,0.0015921592712402344
watts_strogatz_graph_2,label_propagation,175,2,34,-32,2,0.20429815849303828,11|11|10|9|8|7|7|7|7|6|6|6|6|5|5|5|5|5|5|4|4|4|4|4|3|3|3|3|2|2|2|2|2|2,5.147058823529412,0.002637624740600586
watts_strogatz_graph_2,greedy_modularity,175,2,13,-11,2,0.1352104567326569,24|21|17|17|16|15|13|12|12|9|8|6|5,13.461538461538462,0.013108968734741211
watts_strogatz_graph_2,eigenvector,175,2,16,-14,2,0.14272063623737977,28|18|16|13|12|11|11|11|10|10|10|10|8|4|2|1,10.9375,0.021507978439331055
watts_strogatz_graph_2,infomap,175,2,23,-21,2,0.15452313551290092,15|12|11|11|11|9|9|8|8|8|8|8|7|7|6|6|6|5|5|5|4|3|3,7.608695652173913,0.009635448455810547
watts_strogatz_graph_2,markov_clustering,175,2,54,-52,2,0.21314469934698455,8|7|7|7|6|6|6|6|6|6|5|5|4|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1,3.240740740740741,0.04568624496459961
watts_strogatz_graph_2,paris,175,2,6,-4,0,0.005990044139477597,53|40|29|25|16|12,29.166666666666668,0.005801200866699219
watts_strogatz_graph_2,surprise_communities,175,2,31,-29,2,0.17802007283970425,10|10|8|8|8|8|8|7|7|7|7|6|6|6|6|6|6|6|6|5|5|4|4|4|3|3|3|3|2|2|1,5.645161290322581,0.0018432140350341797
watts_strogatz_graph_2,walktrap,175,2,25,-23,2,0.1723328066604593,27|15|12|11|11|11|9|9|8|8|7|6|6|5|4|4|3|3|3|3|2|2|2|2|2,7.0,0.002034902572631836
