graph,community,sources,nodes,coverage,iterations,detected_sources,sources_ratio,sizes,avg_sizes,time
facebook,louvain,5,3567,0.883139390938351,51,16,4,527|512|434|400|390|316|236|225|225|73|66|57|46|25|18|17,222.9375,1.3044426441192627
facebook,leiden,5,3567,0.883139390938351,51,15,4,526|512|417|396|387|362|236|225|225|73|66|61|38|25|18,237.8,0.22174596786499023
facebook,label_propagation,5,3567,0.883139390938351,51,28,4,995|726|511|460|225|200|159|61|48|31|25|25|19|18|12|9|7|6|6|5|3|3|3|2|2|2|2|2,127.39285714285714,0.2702634334564209
facebook,greedy_modularity,5,3567,0.883139390938351,51,11,4,961|775|578|497|229|225|216|38|25|17|6,324.27272727272725,15.329760313034058
facebook,eigenvector,5,3567,0.883139390938351,51,16,5,569|504|385|376|351|308|290|265|224|86|69|38|36|33|24|9,222.9375,1.0331683158874512
facebook,infomap,5,3567,0.883139390938351,51,6,4,1274|754|726|577|225|11,594.5,0.43651270866394043
facebook,markov_clustering,5,3567,0.883139390938351,51,9,4,991|759|726|508|225|201|88|57|12,396.3333333333333,1.6843321323394775
facebook,paris,5,3567,0.883139390938351,51,5,0,1275|763|725|579|225,713.4,1.3007476329803467
facebook,surprise_communities,5,3567,0.883139390938351,51,281,5,298|229|201|178|166|158|125|119|113|108|86|84|83|73|60|53|50|47|47|47|46|38|36|32|31|30|28|27|25|25|25|24|23|22|22|20|19|19|18|18|18|16|15|15|14|14|14|14|14|13|13|13|12|11|11|11|10|10|10|9|9|9|8|8|8|7|7|7|7|7|7|7|7|7|6|6|6|6|6|6|6|6|6|5|5|5|5|5|5|4|4|4|4|4|4|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,12.693950177935942,0.23349308967590332
facebook,walktrap,5,3567,0.883139390938351,51,51,5,464|430|281|232|225|190|184|180|162|156|142|120|114|73|54|53|48|40|38|28|25|25|22|19|19|19|18|17|17|15|14|13|13|12|11|9|9|9|8|8|7|7|7|6|6|5|3|3|3|2|2,69.94117647058823,1.6886308193206787
facebook,sbm_dl,5,3567,0.883139390938351,51,59,5,175|163|162|132|126|121|120|118|118|117|94|93|84|79|75|73|72|71|67|66|65|64|64|64|61|60|59|57|56|55|54|53|50|50|49|48|47|46|38|37|35|35|35|33|28|25|24|22|21|20|18|17|16|14|9|4|4|3|1,60.45762711864407,4.246902704238892
facebook,louvain,41,3817,0.9450358999752414,51,16,10,502|500|415|407|407|322|308|236|224|183|144|73|33|25|19|19,238.5625,1.9976232051849365
facebook,leiden,41,3817,0.9450358999752414,51,16,11,519|500|416|407|384|366|311|236|224|183|102|73|33|25|19|19,238.5625,0.23270821571350098
