graph,community,sources,nodes,detected,difference,sources_ratio,nmi,modularity,pcov,pper
facebook,louvain,5,3719,14,-9,4,0.6572310081804957,0.8325444621510557,0.9611981174412851,0.9133389001219476
facebook,leiden,5,3719,13,-8,4,0.6637483499694794,0.833389866005177,0.9610370182847543,0.9117922431675095
facebook,label_propagation,5,3719,30,-25,4,0.707357989496675,0.73404081242464,0.9805070020597678,0.8570466908729882
facebook,greedy_modularity,5,3719,10,-5,4,0.7200586866308156,0.7679500603748035,0.9653061459328216,0.8512338179949407
facebook,eigenvector,5,3719,17,-12,5,0.6559449385100349,0.7972378312730177,0.9298873456612545,0.9133801230932387
facebook,infomap,5,3719,5,0,4,0.8066532943529429,0.7001651173863995,0.9953856598736522,0.7784597969718039
facebook,markov_clustering,5,3719,9,-4,4,0.7691649884642965,0.7254650715519614,0.9865252062644557,0.8332805631086807
facebook,paris,5,3719,6,-1,4,0.7772663097995579,0.6992409967478626,0.9937746683083438,0.7861839692977095
facebook,surprise_communities,5,3719,296,-291,5,0.4681525628607494,0.7648176471898603,0.8678181420664419,0.9806911602472858
facebook,walktrap,5,3719,58,-53,5,0.5620472787236603,0.8130145780677053,0.9267574191915123,0.9520342523838087
facebook,sbm_dl,5,3719,56,-51,5,0.5054620774931944,0.5626542645214185,0.6113022565388997,0.9768500471749898
facebook,louvain,41,3783,17,24,10,0.7020203225787619,0.8335570526966618,0.9609199357650837,0.9172365503330956
facebook,leiden,41,3783,15,26,11,0.705469698252945,0.8342478197458318,0.960782289515944,0.9153445100006947
facebook,label_propagation,41,3783,33,8,9,0.6964802798752537,0.7346526540006224,0.9794562973158981,0.8634689158112645
facebook,greedy_modularity,41,3783,12,29,8,0.7080025849032077,0.8031591491731358,0.9627322780454233,0.8707513489961003
facebook,eigenvector,41,3783,17,24,11,0.6948882958837179,0.7979895556553402,0.9298233539802707,0.9153129177498545
facebook,infomap,41,3783,7,34,7,0.6891366683790143,0.7033083520574651,0.9956412021105758,0.7906789719881576
facebook,markov_clustering,41,3783,10,31,10,0.7347326615457018,0.7275005679999784,0.9865794907088782,0.8398518910548219
facebook,paris,41,3783,7,34,7,0.6985942441110871,0.7024721478704067,0.9932553337921541,0.7976945485054978
facebook,surprise_communities,41,3783,305,-264,20,0.6232440059353596,0.762023113888771,0.8640857994952971,0.9816924304268043
facebook,walktrap,41,3783,62,-21,11,0.6696842056833324,0.8172816897279657,0.9320715760495526,0.9512356833634508
facebook,sbm_dl,41,3783,60,-19,22,0.6418237185158623,0.5897110055054817,0.6456526726313374,0.9800585798612261
facebook,louvain,404,3777,16,388,12,0.5972474213922844,0.8338008277917964,0.9609662234133938,0.9171077002643117
facebook,leiden,404,3777,16,388,12,0.5998072729719098,0.8345149801496176,0.9603477304745215,0.9166252978554408
facebook,label_propagation,404,3777,32,372,12,0.5599975047756436,0.7352510553903894,0.9798073509031142,0.8614192503242193
facebook,greedy_modularity,404,3777,12,392,8,0.5325875092202772,0.7749379693864071,0.9606684305168998,0.854660287736209
facebook,eigenvector,404,3777,17,387,13,0.5813608031562851,0.7978014051099088,0.9294688978226758,0.9152431588607226
facebook,infomap,404,3777,7,397,7,0.48946690627903006,0.703678283197181,0.9962317745020559,0.7896052377682943
facebook,markov_clustering,404,3777,10,394,10,0.5464576907552049,0.727587037797309,0.9861068160212578,0.8397997693443366
facebook,paris,404,3777,7,397,7,0.4969183623997168,0.7034694808328762,0.9941357706536554,0.7968506695296689
facebook,surprise_communities,404,3777,312,92,52,0.6825878404545728,0.7626491528791811,0.8645844071057966,0.9815293166040665
facebook,walktrap,404,3777,57,347,24,0.6440952805016367,0.8149682117383861,0.9288847656026298,0.9528962094389324
facebook,sbm_dl,404,3777,66,338,49,0.6728293450462878,0.5405143740011246,0.5861251417379651,0.9801972408825945
