type,experiment,sources,detected,normalized,per_community,time,nr_of_empty_communities,error_distance,TP,TN,FP,FN,SUM,TPR,TNR,PPV,ACC,F1
centrality-cm:betweenness:leiden,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (11, 0.0), (19, 0.0), (21, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.25, 33: 0.4464285714285714}, 1: {0: 0.9, 4: 0.0, 10: 0.0, 11: 0.0, 19: 0.0, 21: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",0.003325939178466797,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:eigenvector,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.3414634146341463), (29, 0.024390243902439025), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (27, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (11, 0.0), (19, 0.0), (21, 0.0), (2, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 27: 0.0, 29: 0.013888888888888888, 30: 0.0, 31: 0.0, 32: 0.19444444444444442, 33: 0.5694444444444444}, 1: {0: 0.9, 4: 0.0, 10: 0.0, 11: 0.0, 19: 0.0, 21: 0.0}, 2: {2: 0.0, 3: 0.0, 7: 0.0}}",0.004492282867431641,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:louvain,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.3414634146341463), (29, 0.024390243902439025), (8, 0.0), (14, 0.0), (15, 0.0), (19, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (11, 0.0), (21, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 19: 0.0, 26: 0.0, 29: 0.013888888888888888, 30: 0.0, 31: 0.0, 32: 0.19444444444444442, 33: 0.5694444444444444}, 1: {0: 0.8333333333333333, 4: 0.0, 10: 0.0, 11: 0.0, 21: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",0.002623319625854492,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:greedy_modularity,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (11, 0.0), (19, 0.0), (21, 0.0), (3, 0.0), (27, 0.0), (7, 0.0)])","{0: {32: 0.25, 33: 0.4464285714285714, 8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0}, 1: {0: 0.9, 19: 0.0, 4: 0.0, 21: 0.0, 10: 0.0, 11: 0.0}, 2: {27: 0.0, 2: 0.6666666666666666, 3: 0.0, 7: 0.0}}",0.002732992172241211,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:label_propagation,0,"0,33","0,33","OrderedDict([(33, 1.0), (0, 1.0), (32, 0.4187327823691461), (8, 0.046831955922865015), (2, 0.03305785123966942), (27, 0.030303030303030307), (29, 0.024793388429752067), (14, 0.0), (15, 0.0), (19, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (3, 0.0), (4, 0.0), (7, 0.0), (10, 0.0), (11, 0.0), (21, 0.0)])","{0: {32: 0.23030303030303031, 33: 0.5499999999999999, 2: 0.01818181818181818, 8: 0.025757575757575753, 14: 0.0, 15: 0.0, 19: 0.0, 26: 0.0, 27: 0.016666666666666666, 29: 0.013636363636363636, 30: 0.0, 31: 0.0}, 1: {0: 0.8666666666666667, 3: 0.0, 4: 0.0, 7: 0.0, 10: 0.0, 11: 0.0, 21: 0.0}}",0.00235748291015625,0,0,2,17,0,0,19,1.0,1.0,1.0,1.0,1.0
centrality-cm:betweenness:infomap,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.56), (29, 0.04), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (4, 0.0), (10, 0.0), (11, 0.0), (19, 0.0), (21, 0.0), (27, 0.0), (3, 0.0), (7, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.25, 33: 0.4464285714285714}, 1: {0: 0.9, 4: 0.0, 10: 0.0, 11: 0.0, 19: 0.0, 21: 0.0}, 2: {2: 0.6666666666666666, 3: 0.0, 7: 0.0, 27: 0.0}}",0.04491090774536133,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
centrality-cm:betweenness:surprise_communities,0,"0,33","0,10,11,19,21,26,27,32","OrderedDict([(32, 1.0), (33, 1.0), (8, 0.0), (14, 0.0), (15, 0.0), (30, 0.0), (31, 0.0), (0, 0.0), (2, 0.0), (3, 0.0), (7, 0.0), (10, 0.0), (4, 0.0), (26, 0.0), (29, 0.0), (19, 0.0), (11, 0.0), (21, 0.0), (27, 0.0)])","{0: {8: 0.0, 14: 0.0, 15: 0.0, 30: 0.0, 31: 0.0, 32: 0.3, 33: 0.3}, 1: {0: 0.0, 2: 0.0, 3: 0.0, 7: 0.0}, 2: {4: 0.0, 10: 0.0}, 3: {26: 0.0, 29: 0.0}, 4: {19: 0.0}, 5: {11: 0.0}, 6: {21: 0.0}, 7: {27: 0.0}}",0.003239154815673828,6,1,1,16,7,1,19,0.5,0.9411764705882353,0.125,0.8947368421052632,0.2
centrality-cm:betweenness:walktrap,0,"0,33","0,2,10,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.303030303030303), (29, 0.0303030303030303), (14, 0.0), (15, 0.0), (19, 0.0), (26, 0.0), (30, 0.0), (31, 0.0), (3, 0.0), (7, 0.0), (11, 0.0), (21, 0.0), (8, 0.0), (27, 0.0), (10, 0.0), (4, 0.0)])","{0: {14: 0.0, 15: 0.0, 19: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0, 32: 0.17857142857142855, 33: 0.5892857142857143}, 1: {0: 0.8333333333333333, 3: 0.0, 7: 0.0, 11: 0.0, 21: 0.0}, 2: {2: 1.0, 8: 0.0, 27: 0.0}, 3: {4: 0.0, 10: 0.0}}",0.0024025440216064453,2,0,2,17,2,0,19,1.0,1.0,0.5,1.0,0.6666666666666666
centrality-cm:betweenness:df_node_similarity,0,"0,33","0,33","OrderedDict([(0, 1.0), (33, 1.0), (32, 0.56), (2, 0.27586206896551724), (29, 0.04), (3, 0.0), (4, 0.0), (7, 0.0), (10, 0.0), (11, 0.0), (19, 0.0), (21, 0.0), (27, 0.0), (8, 0.0), (14, 0.0), (15, 0.0), (26, 0.0), (30, 0.0), (31, 0.0)])","{0: {0: 0.8055555555555555, 2: 0.2222222222222222, 3: 0.0, 4: 0.0, 7: 0.0, 10: 0.0, 11: 0.0, 19: 0.0, 21: 0.0, 27: 0.0}, 1: {32: 0.25, 33: 0.4464285714285714, 8: 0.0, 14: 0.0, 15: 0.0, 26: 0.0, 29: 0.017857142857142856, 30: 0.0, 31: 0.0}}",0.0049402713775634766,0,0,2,17,0,0,19,1.0,1.0,1.0,1.0,1.0
rumor:leiden,0,"0,33","0,2,33","OrderedDict([(33, 1.0), (0, 1.0), (2, 1.0), (32, 0.45454545454545453), (3, 0.25), (7, 0.25), (29, 0.09090909090909091), (10, 0.062499999999999986), (4, 0.062499999999999986), (8, 0.01818181818181819), (30, 0.01818181818181819), (14, 0.0), (15, 0.0), (26, 0.0), (31, 0.0), (11, 0.0), (21, 0.0), (19, 0.0), (27, 0.0)])","{0: {8: 0.011111111111111112, 14: 0.009259259259259259, 15: 0.009259259259259259, 26: 0.009259259259259259, 29: 0.018518518518518517, 30: 0.011111111111111112, 31: 0.009259259259259259, 32: 0.05555555555555555, 33: 0.1111111111111111}, 1: {0: 0.16666666666666666, 4: 0.041666666666666664, 10: 0.041666666666666664, 11: 0.03333333333333333, 19: 0.03333333333333333, 21: 0.03333333333333333}, 2: {2: 0.25, 3: 0.125, 7: 0.125, 27: 0.08333333333333333}}",0.0025162696838378906,1,0,2,17,1,0,19,1.0,1.0,0.6666666666666666,1.0,0.8
