method,threshold,ACC,recall,PPV,f12
eigenvector,,0.9511867540293029,0.5399999999999999,0.4571268237934905,0.49511953536535946
louvain,,0.9548655432179073,0.62,0.4627212293878961,0.5299372625817709
greedy_modularity,,0.9535981775529502,0.4844444444444444,0.4272486772486772,0.45405245068642425
label_propagation,,0.959788803405871,0.24000000000000002,1.0,0.38709677419354843
infomap,,0.9594885031055708,0.24000000000000002,0.9444444444444444,0.3827392120075047
surprise_communities,,0.8021663703978261,0.46666666666666656,0.09510611712412298,0.1580099853126837
walktrap,,0.8955131542338487,0.24444444444444446,0.046199422118962344,0.07771154579696186
df_node_similarity,,0.9578545865644094,0.45625,0.8240740740740741,0.5873259808352921
leiden,,0.9550127088888544,0.6725,0.5840909090909091,0.6251853861457768
eigenvector,0.05,0.7175127754152766,0.9666666666666666,0.13832450406570718,0.24201765734452566
louvain,0.05,0.5402316101608694,0.9888888888888889,0.08636007094384963,0.15884789065652974
greedy_modularity,0.05,0.5661166289033334,0.991111111111111,0.09392676775390246,0.17159191391368345
label_propagation,0.05,0.8667431265705984,0.9977777777777779,0.27037104365954473,0.42545514305224985
infomap,0.05,0.8661425259699976,0.9977777777777779,0.2702876269094613,0.4253518576276719
surprise_communities,0.05,0.5126055755610961,0.98,0.07274228121434806,0.13543188463529815
walktrap,0.05,0.4496388491667177,0.9755555555555555,0.06642777684574988,0.12438584136606445
df_node_similarity,0.05,0.8579311645959162,0.9977777777777779,0.2657094871595106,0.4196623567007591
leiden,0.05,0.5228394594708479,0.9925000000000002,0.0896228396940568,0.16440031599647217
eigenvector,0.1,0.8151204367332426,0.9088888888888889,0.1917490056899179,0.3166864262723787
louvain,0.1,0.6965079191174381,0.9822222222222222,0.12482080142490022,0.22149412865855223
greedy_modularity,0.1,0.722469535374833,0.9644444444444444,0.1394865203589092,0.2437235731656473
label_propagation,0.1,0.9283694372048169,0.9377777777777779,0.38971957110875455,0.550615567944332
infomap,0.1,0.9271682360036159,0.9377777777777779,0.38923778851315083,0.5501345389025742
surprise_communities,0.1,0.5485633617000717,0.9555555555555557,0.07626188960437494,0.1412507079240743
walktrap,0.1,0.5233345300985389,0.9422222222222223,0.06918027459614498,0.12889664059358003
df_node_similarity,0.1,0.9154583699374191,0.9555555555555556,0.37471801386038917,0.5383311946402817
leiden,0.1,0.6942613428180626,0.9750000000000001,0.13267675231647955,0.23356964608679903
eigenvector,0.15,0.8560328609883054,0.8599999999999999,0.2302155854986118,0.3632041334985267
louvain,0.15,0.7733099036324058,0.9600000000000001,0.14917444024604315,0.2582235173115499
greedy_modularity,0.15,0.7962288470958867,0.9199999999999999,0.16582985961182892,0.2810080593978549
label_propagation,0.15,0.9386294573316252,0.84,0.4146633825944171,0.5552361632791949
infomap,0.15,0.9383291570313249,0.84,0.4143897099069513,0.5549907713252202
surprise_communities,0.15,0.5800392802936232,0.9466666666666667,0.08030660081526804,0.14805367288970395
walktrap,0.15,0.5770722584602924,0.8933333333333332,0.06700020605936752,0.12465151941040269
df_node_similarity,0.15,0.9285744418192993,0.8988888888888888,0.3921861886517059,0.546105820625471
leiden,0.15,0.7891498846875082,0.9475,0.185117458557135,0.3097229177560614
eigenvector,0.2,0.8796844316713968,0.8177777777777777,0.25980469566708336,0.39433177861486585
