method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9187537271584897,0.34179821589664416,0.3867571402737641,0.3628904774668651,342,109545,553,6324,"[28, 10, 12, 8, 2, 2, 1, 2, 2, 2, 2, 2, 2, 12, 12, 20, 1, 0, 1, 2, 2, 2, 1, 2, 4, 11, 8, 11, 2, 2, 2, 4, 5, 5, 10, 10, 9, 4, 5, 1, 1, 2, 8, 8, 7, 13, 11, 8, 7, 0, 0, 0, 0, 0, 0, 3, 0, 0, 5, 4, 22, 4, 0, 0, 1, 1, 0, 1, 1, 2, 2, 8, 5422, 6948, 3400, 3712, 16, 17, 19, 7, 19, 12, 14, 21, 17, 3400, 3400, 6148, 160, 169, 113, 583, 485, 483, 795, 764, 787, 7076, 3749, 6936, 381, 343, 360, 397, 395, 425, 406, 399, 402, 3696, 6617, 721, 741, 744, 843, 821, 817, 825, 780, 824, 7059, 78, 61, 42, 63, 72, 87, 82, 85, 82, 7056, 3653, 6108, 3654, 80, 165, 162, 147, 173, 178, 394, 376, 381, 3698, 4, 4, 3, 9, 1, 0, 2, 1, 1, 2, 1, 2, 0, 5, 5, 2, 13, 12, 9, 18, 15, 15, 23, 18, 20, 7, 9, 11, 7, 8, 8, 7, 6, 6, 0, 0, 0, 13, 17, 10, 11, 12, 3, 4, 4, 0, 0, 2, 8, 9, 6, 7, 8, 10, 9, 5, 10, 8, 9, 13, 1, 12, 8, 10, 10, 10, 11, 11, 14, 14, 13, 7, 1237, 117, 392, 33, 0, 0, 1, 1, 1, 1, 2, 2, 2, 392, 392, 1245, 1, 2, 1, 8, 8, 8, 99, 98, 96, 116, 33, 116, 0, 0, 0, 1, 0, 0, 40, 40, 41, 1, 8, 1, 1, 0, 2, 2, 3, 87, 89, 92, 6, 2, 2, 2, 6, 6, 6, 9, 12, 12, 8, 1, 1243, 1, 2, 2, 1, 4, 5, 4, 49, 48, 48, 33]"
louvain,,0.9193039398750281,0.34209336768400767,0.38014118880353975,0.3601150853419385,331,109556,542,6335,"[18, 10, 12, 8, 2, 2, 2, 2, 2, 2, 2, 2, 2, 12, 12, 19, 1, 1, 1, 2, 0, 0, 2, 2, 4, 10, 8, 13, 2, 2, 2, 3, 4, 3, 12, 10, 7, 4, 7, 2, 1, 1, 6, 6, 6, 11, 11, 13, 8, 0, 0, 0, 0, 0, 0, 2, 0, 0, 7, 4, 23, 4, 0, 0, 1, 1, 2, 1, 2, 0, 2, 8, 5421, 6949, 3401, 3713, 16, 16, 20, 7, 19, 12, 14, 21, 17, 3401, 3401, 6148, 162, 170, 113, 582, 480, 480, 798, 763, 789, 7078, 3749, 6937, 380, 342, 360, 397, 395, 423, 405, 398, 400, 3696, 6625, 721, 742, 746, 842, 821, 815, 823, 779, 826, 7061, 79, 61, 42, 63, 72, 88, 81, 86, 82, 7058, 3654, 6106, 3655, 80, 164, 163, 149, 174, 178, 394, 374, 381, 3698, 5, 3, 2, 8, 1, 1, 1, 1, 1, 2, 1, 2, 0, 4, 4, 2, 11, 11, 9, 19, 20, 18, 20, 19, 18, 5, 9, 10, 8, 9, 8, 7, 6, 8, 1, 1, 2, 13, 9, 10, 10, 10, 4, 4, 6, 2, 1, 0, 6, 8, 6, 7, 8, 10, 8, 6, 9, 8, 7, 12, 3, 11, 8, 11, 9, 8, 10, 11, 14, 16, 13, 7, 1247, 117, 392, 33, 0, 0, 0, 1, 1, 1, 2, 2, 2, 392, 392, 1246, 1, 1, 1, 8, 10, 10, 98, 98, 96, 117, 33, 114, 0, 0, 0, 2, 1, 2, 38, 40, 43, 1, 6, 0, 1, 1, 4, 4, 4, 89, 89, 87, 5, 2, 2, 2, 6, 6, 6, 10, 12, 12, 6, 1, 1242, 1, 2, 2, 1, 4, 3, 4, 48, 50, 48, 33]"
infomap,,0.9095155501746137,0.2665667327633104,0.5091837236507297,0.3499358343074893,888,107692,2406,5778,"[206, 37, 7, 6, 2, 2, 1, 2, 2, 2, 2, 2, 2, 6, 6, 206, 0, 1, 0, 2, 2, 3, 10, 6, 10, 37, 6, 32, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 4, 217, 4, 0, 1, 1, 1, 2, 1, 3, 3, 3, 6, 5308, 6730, 3403, 3721, 16, 17, 19, 8, 19, 14, 15, 22, 17, 3405, 3405, 6021, 151, 158, 104, 558, 458, 453, 770, 738, 757, 6848, 3758, 6679, 388, 351, 367, 404, 401, 431, 406, 399, 402, 3707, 6411, 731, 752, 756, 846, 825, 821, 825, 780, 826, 6795, 77, 60, 41, 63, 73, 86, 78, 84, 82, 6820, 3665, 6023, 3663, 78, 158, 153, 140, 164, 169, 383, 364, 367, 3705, 118, 222, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 129, 22, 23, 18, 43, 42, 45, 48, 44, 50, 235, 0, 268, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 272, 10, 7, 8, 8, 9, 10, 9, 11, 8, 245, 1, 86, 3, 10, 17, 19, 17, 20, 20, 25, 26, 27, 0, 1059, 90, 397, 35, 0, 0, 1, 1, 1, 1, 2, 2, 2, 398, 398, 1059, 2, 1, 2, 8, 8, 7, 90, 94, 90, 90, 35, 95, 1, 1, 1, 4, 4, 4, 49, 49, 49, 1, 9, 1, 1, 1, 9, 9, 9, 99, 99, 99, 5, 2, 2, 2, 6, 6, 6, 11, 12, 12, 6, 1, 1048, 1, 2, 1, 1, 4, 3, 4, 47, 47, 47, 35]"
df_node_similarity,,0.9261353237407756,0.3126058705852057,0.4647362564806291,0.373784661839979,189,109677,421,6477,"[15, 1, 5, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 6, 18, 1, 1, 1, 0, 4, 3, 5, 5, 6, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 3, 3, 3, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 4, 20, 3, 0, 2, 0, 3, 0, 1, 2, 3, 4, 6, 5419, 6944, 3403, 3721, 17, 17, 21, 7, 20, 12, 14, 23, 17, 3405, 3405, 6140, 164, 169, 113, 582, 481, 474, 803, 759, 791, 7070, 3758, 6937, 387, 349, 368, 403, 401, 430, 406, 398, 401, 3707, 6625, 728, 745, 843, 821, 814, 754, 823, 778, 822, 7059, 80, 60, 44, 64, 77, 87, 80, 88, 84, 7058, 3664, 6101, 3664, 81, 167, 163, 150, 173, 175, 399, 378, 387, 3705, 7, 8, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 10, 9, 12, 9, 19, 19, 24, 15, 23, 16, 13, 0, 10, 1, 2, 0, 1, 0, 1, 0, 1, 1, 2, 9, 3, 7, 3, 4, 7, 2, 2, 2, 4, 8, 7, 7, 5, 7, 5, 9, 7, 7, 6, 7, 2, 8, 2, 7, 8, 9, 7, 11, 14, 9, 12, 7, 0, 1250, 126, 399, 36, 0, 0, 0, 1, 1, 1, 2, 2, 2, 399, 398, 1247, 1, 1, 1, 10, 6, 7, 95, 95, 94, 126, 35, 126, 1, 1, 1, 4, 4, 4, 49, 49, 49, 2, 12, 1, 1, 9, 8, 9, 1, 97, 97, 97, 12, 2, 2, 1, 6, 5, 6, 11, 12, 12, 12, 1, 1245, 2, 2, 0, 2, 2, 5, 4, 48, 47, 46, 35]"
eigenvector,,0.9231223077978886,0.36839887147662814,0.34347098662922254,0.3554984732626641,280,84386,1080,2464,"[20, 12, 8, 2, 2, 1, 2, 2, 2, 2, 2, 2, 12, 12, 2, 1, 2, 2, 5, 4, 6, 6, 7, 18, 8, 2, 1, 2, 3, 4, 3, 7, 6, 5, 4, 2, 2, 1, 1, 3, 6, 4, 12, 9, 14, 6, 0, 0, 0, 0, 0, 0, 1, 1, 0, 8, 4, 4, 1, 0, 1, 1, 1, 2, 4, 2, 3, 8, 6726, 3398, 3712, 16, 17, 19, 7, 19, 12, 15, 23, 17, 3400, 3400, 159, 164, 109, 585, 485, 487, 810, 773, 801, 6786, 3749, 381, 334, 364, 397, 399, 424, 402, 395, 402, 3695, 6624, 724, 733, 742, 834, 806, 810, 825, 779, 811, 7044, 81, 61, 42, 64, 74, 87, 79, 89, 81, 7041, 3653, 3653, 82, 159, 160, 148, 174, 182, 402, 379, 386, 3695, 226, 5, 9, 1, 0, 2, 1, 1, 2, 0, 0, 0, 5, 5, 14, 17, 13, 16, 15, 11, 8, 9, 6, 297, 9, 7, 17, 4, 7, 2, 7, 4, 4, 0, 14, 10, 7, 19, 14, 12, 19, 11, 0, 1, 15, 23, 6, 6, 7, 7, 8, 9, 8, 6, 9, 24, 13, 13, 6, 16, 12, 9, 10, 7, 6, 11, 8, 10, 107, 392, 33, 0, 0, 1, 1, 1, 1, 2, 2, 2, 392, 392, 0, 1, 0, 8, 5, 6, 94, 94, 93, 109, 33, 0, 1, 0, 2, 1, 2, 43, 44, 45, 1, 11, 0, 1, 1, 7, 4, 6, 88, 91, 86, 7, 2, 2, 2, 6, 6, 6, 11, 11, 12, 5, 1, 1, 1, 2, 1, 4, 4, 3, 46, 48, 47, 33]"
surprise_communities,,0.7811375444282418,0.31733349891374196,0.09837940507278879,0.15019538981552474,505,65543,26870,2366,"[17, 32, 14, 1, 2, 1, 2, 2, 2, 2, 2, 2, 34, 33, 1, 0, 2, 1, 2, 3, 15, 14, 11, 18, 16, 16, 2, 1, 1, 0, 2, 3, 16, 19, 25, 4, 1, 1, 0, 1, 3, 6, 4, 42, 41, 39, 1, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 4, 4, 0, 0, 0, 2, 1, 0, 5, 4, 4, 16, 3356, 3126, 3431, 10, 12, 17, 5, 18, 11, 12, 18, 10, 3120, 3125, 145, 144, 96, 533, 434, 430, 752, 714, 739, 3356, 3463, 3330, 316, 283, 298, 319, 325, 349, 344, 340, 341, 3410, 3375, 605, 624, 630, 705, 690, 689, 713, 674, 711, 3397, 76, 55, 37, 62, 71, 85, 76, 84, 79, 3334, 3376, 3374, 68, 151, 142, 132, 149, 154, 368, 349, 354, 3422, 3596, 277, 290, 7, 5, 4, 3, 2, 3, 3, 5, 7, 285, 280, 28, 37, 26, 68, 66, 68, 66, 68, 68, 3727, 295, 3617, 72, 68, 70, 85, 76, 82, 62, 59, 61, 299, 3259, 126, 128, 126, 141, 135, 132, 112, 106, 115, 3670, 11, 12, 12, 9, 11, 11, 11, 11, 11, 3731, 290, 292, 20, 24, 30, 25, 35, 35, 40, 41, 40, 283, 110, 372, 27, 1, 0, 1, 1, 1, 1, 2, 2, 2, 370, 371, 1, 2, 0, 9, 8, 7, 85, 86, 89, 109, 25, 111, 0, 1, 1, 5, 3, 2, 34, 31, 25, 1, 12, 1, 2, 1, 7, 4, 6, 58, 59, 61, 12, 2, 2, 2, 4, 5, 5, 11, 11, 11, 12, 1, 1, 2, 2, 2, 3, 4, 5, 45, 46, 46, 25]"
greedy_modularity,,0.9249382911215837,0.3073604921467756,0.3367011058855978,0.3213624843571535,185,70903,528,2305,"[9, 6, 2, 2, 1, 2, 2, 2, 2, 1, 2, 7, 7, 1, 0, 1, 0, 1, 2, 4, 7, 3, 8, 1, 1, 2, 3, 3, 4, 5, 7, 6, 4, 4, 2, 2, 1, 4, 4, 4, 6, 6, 6, 5, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 3, 3, 0, 0, 1, 1, 0, 1, 3, 5, 3, 7, 3400, 3715, 16, 17, 19, 7, 20, 13, 14, 21, 17, 3400, 3399, 161, 169, 113, 584, 488, 483, 811, 779, 801, 3754, 381, 343, 362, 400, 395, 426, 403, 397, 400, 3700, 6586, 724, 744, 749, 839, 818, 816, 822, 776, 823, 7032, 82, 62, 43, 65, 75, 88, 81, 89, 83, 6997, 3655, 3656, 80, 166, 165, 147, 173, 179, 402, 386, 390, 3702, 3, 6, 1, 0, 2, 1, 0, 1, 1, 2, 0, 5, 6, 12, 12, 9, 17, 12, 15, 7, 3, 6, 4, 7, 8, 6, 4, 6, 5, 3, 2, 2, 9, 48, 7, 8, 7, 7, 7, 5, 3, 4, 3, 35, 5, 5, 6, 6, 7, 8, 6, 6, 7, 68, 11, 10, 8, 9, 7, 10, 11, 10, 6, 4, 4, 3, 395, 35, 0, 0, 1, 1, 1, 1, 2, 3, 2, 397, 397, 1, 2, 1, 10, 9, 8, 96, 93, 97, 33, 1, 1, 0, 2, 2, 1, 45, 43, 44, 1, 9, 0, 0, 1, 6, 6, 6, 94, 94, 94, 8, 2, 2, 2, 6, 6, 6, 10, 12, 12, 9, 2, 2, 2, 2, 1, 4, 5, 4, 47, 45, 47, 34]"
label_propagation,,0.9070960954174703,0.28379532606168667,0.4523514289948999,0.34877616563346664,163,70465,966,2327,"[10, 8, 2, 2, 2, 0, 2, 2, 2, 1, 1, 8, 8, 1, 2, 1, 3, 4, 4, 12, 8, 11, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 4, 4, 1, 1, 1, 0, 2, 1, 1, 3, 6, 8, 3378, 3694, 17, 17, 20, 6, 19, 14, 15, 22, 17, 3381, 3376, 140, 149, 98, 562, 452, 448, 775, 734, 765, 3735, 388, 351, 368, 404, 401, 431, 406, 399, 402, 3678, 6585, 731, 752, 756, 846, 825, 821, 825, 780, 826, 7013, 80, 60, 42, 63, 74, 89, 81, 87, 82, 7024, 3642, 3642, 77, 158, 148, 138, 164, 159, 408, 369, 373, 3683, 25, 27, 0, 0, 1, 2, 1, 0, 0, 1, 0, 24, 29, 33, 32, 24, 39, 48, 50, 43, 48, 42, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 7, 7, 7, 8, 8, 7, 6, 8, 8, 41, 24, 24, 11, 17, 24, 19, 20, 30, 0, 21, 21, 22, 394, 33, 0, 0, 0, 3, 1, 1, 2, 3, 3, 396, 396, 1, 0, 1, 7, 6, 6, 88, 92, 89, 33, 1, 1, 1, 4, 4, 4, 49, 49, 49, 1, 12, 1, 1, 1, 9, 9, 9, 99, 99, 99, 12, 2, 2, 2, 6, 6, 5, 10, 11, 12, 12, 1, 1, 1, 1, 1, 5, 3, 4, 49, 47, 44, 33]"
walktrap,,0.8831478954923059,0.25395032996449035,0.15076398110014508,0.18920291030196573,186,71415,6963,2431,"[18, 10, 2, 2, 2, 2, 2, 2, 2, 2, 2, 16, 18, 0, 0, 2, 0, 1, 1, 5, 2, 2, 11, 16, 1, 1, 1, 1, 1, 1, 2, 2, 1, 4, 4, 1, 1, 1, 1, 1, 1, 2, 3, 3, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 4, 4, 0, 0, 1, 1, 0, 0, 1, 2, 1, 11, 3359, 3671, 15, 17, 20, 8, 19, 14, 13, 22, 17, 3359, 3357, 148, 160, 106, 565, 466, 458, 792, 755, 771, 3708, 4419, 364, 334, 341, 372, 373, 392, 382, 377, 374, 3656, 4479, 637, 669, 706, 760, 775, 781, 730, 744, 772, 6810, 79, 61, 42, 63, 71, 89, 79, 85, 82, 6819, 3614, 3614, 77, 164, 152, 138, 161, 172, 388, 370, 372, 3656, 44, 50, 2, 0, 1, 0, 1, 0, 2, 1, 0, 46, 48, 25, 21, 16, 36, 34, 40, 26, 27, 36, 50, 2528, 24, 17, 27, 32, 28, 39, 24, 22, 28, 53, 2155, 94, 83, 50, 86, 50, 40, 95, 36, 54, 257, 8, 6, 7, 8, 11, 7, 8, 10, 8, 246, 52, 52, 11, 11, 20, 19, 23, 17, 20, 20, 22, 49, 386, 31, 0, 0, 0, 1, 1, 1, 2, 2, 2, 388, 386, 2, 2, 0, 10, 9, 9, 95, 98, 98, 30, 111, 1, 1, 1, 4, 4, 4, 48, 48, 49, 1, 9, 1, 1, 1, 9, 9, 9, 98, 97, 97, 9, 2, 2, 2, 6, 6, 6, 11, 12, 12, 10, 1, 1, 2, 2, 1, 4, 5, 5, 49, 48, 49, 30]"
leiden,0.05,0.5929919161560889,0.7966259410379068,0.16967613233614687,0.2797642938340917,2369,93298,16800,4297,"[246, 95, 89, 20, 2, 2, 2, 1, 3, 3, 4, 3, 3, 97, 100, 215, 2, 2, 2, 10, 9, 10, 83, 81, 82, 99, 22, 103, 2, 2, 2, 5, 5, 5, 49, 49, 49, 4, 13, 2, 2, 2, 10, 10, 10, 89, 90, 91, 13, 0, 0, 1, 4, 3, 4, 8, 11, 8, 13, 4, 244, 4, 2, 2, 2, 5, 4, 5, 46, 43, 41, 21, 5364, 6817, 2901, 3111, 15, 14, 14, 8, 12, 12, 12, 17, 16, 2850, 2845, 6090, 54, 58, 52, 113, 130, 125, 165, 144, 166, 6948, 3147, 6763, 186, 176, 169, 186, 202, 204, 213, 230, 206, 3051, 6379, 418, 422, 422, 527, 513, 470, 510, 503, 618, 6897, 39, 38, 21, 23, 49, 51, 31, 40, 38, 6829, 3003, 6024, 3019, 26, 46, 46, 57, 50, 49, 78, 82, 80, 3114, 62, 135, 502, 610, 2, 3, 7, 0, 8, 2, 3, 6, 1, 555, 560, 60, 119, 123, 70, 488, 370, 373, 653, 638, 641, 135, 611, 184, 202, 175, 199, 218, 199, 227, 193, 169, 196, 658, 255, 313, 330, 334, 319, 312, 351, 315, 277, 208, 170, 48, 29, 28, 48, 33, 45, 56, 55, 52, 236, 663, 85, 647, 62, 129, 126, 100, 134, 140, 330, 308, 314, 591, 1019, 32, 315, 21, 0, 0, 0, 2, 0, 0, 0, 1, 1, 307, 304, 1050, 0, 0, 0, 0, 1, 0, 17, 19, 18, 28, 19, 24, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 11, 10, 9, 0, 2, 2, 1, 2, 3, 2, 4, 1, 4, 0, 1, 1021, 1, 0, 0, 0, 0, 1, 0, 4, 7, 9, 20]"
