method,threshold,ACC,recall,PPV,f12
eigenvector,,0.9516873079186742,0.40555555555555556,0.38092379736057896,0.39285395526301864
louvain,,0.9590769762131117,0.46111111111111114,0.5345894845894846,0.49513910565440067
greedy_modularity,,0.9560347858124802,0.4311111111111111,0.40580808080808084,0.4180770958635903
label_propagation,,0.9597143290591936,0.20333333333333337,1.0,0.3379501385041552
infomap,,0.9597143290591936,0.20333333333333337,1.0,0.3379501385041552
surprise_communities,,0.8244446263429719,0.39111111111111113,0.1014924346249463,0.16116335019968975
walktrap,,0.8809167129638635,0.20888888888888893,0.027522719257358212,0.04863712310872538
df_node_similarity,,0.9872578068958108,0.3975,0.6083333333333334,0.4808202154101078
leiden,,0.9562626391316388,0.515,0.6320616883116883,0.567557565207546
eigenvector,0.05,0.7728266807708118,0.9433333333333334,0.13791069113152388,0.24064087111471957
louvain,0.05,0.628217960290399,0.9700000000000001,0.10162499455077995,0.1839752622708828
greedy_modularity,0.05,0.6763632008405396,0.9599999999999999,0.10700092236553632,0.19254132460013834
label_propagation,0.05,0.937431722925645,0.8766666666666667,0.39733081776092527,0.5468247588054143
infomap,0.05,0.937431722925645,0.8766666666666667,0.39733081776092527,0.5468247588054143
surprise_communities,0.05,0.4752578819492268,0.9433333333333334,0.06563761572138366,0.12273524998616665
walktrap,0.05,0.5282210469359878,0.8788888888888889,0.05814351024828176,0.10907133022351638
df_node_similarity,0.05,0.8018131568350944,1.0,0.22143194841961023,0.36257762654090914
leiden,0.05,0.6300115007328341,0.9625,0.10887560114768025,0.19562283477873865
eigenvector,0.1,0.8610470062069046,0.8955555555555557,0.20448203594402087,0.33294320978857056
louvain,0.1,0.7726694699619848,0.9100000000000001,0.14144757270649988,0.24483824872330542
greedy_modularity,0.1,0.7871428595430499,0.8811111111111111,0.12479608686320653,0.21862696475339483
label_propagation,0.1,0.9516167645546408,0.7855555555555555,0.4491525471977409,0.5715266271539371
infomap,0.1,0.9516167645546408,0.7855555555555555,0.4491525471977409,0.5715266271539371
surprise_communities,0.1,0.5055568017281856,0.9288888888888889,0.0662188509644318,0.12362471405340807
walktrap,0.1,0.5602631977975877,0.7777777777777778,0.042979442223519966,0.08145759610298621
df_node_similarity,0.1,0.8698884094722855,1.0,0.25941219842189034,0.41195757631528024
leiden,0.1,0.7876520217827244,0.8999999999999999,0.15959183448424058,0.27110939582830995
eigenvector,0.15,0.9001002571998536,0.8488888888888888,0.24626942557339002,0.38178111106236884
louvain,0.15,0.8360781994400103,0.8655555555555554,0.17328504227293143,0.28876004913080633
greedy_modularity,0.15,0.8362129877800327,0.8300000000000001,0.13459527677864638,0.23162891715446882
label_propagation,0.15,0.9573398648264122,0.7355555555555555,0.5225419597400274,0.6110156594774956
infomap,0.15,0.9573398648264122,0.7355555555555555,0.5225419597400274,0.6110156594774956
surprise_communities,0.15,0.533843058276887,0.9222222222222223,0.06843380106227552,0.12741288723309133
walktrap,0.15,0.5904787431426182,0.7455555555555556,0.03775755998307955,0.0718751111176017
df_node_similarity,0.15,0.899133488390351,1.0,0.3079143632033244,0.4708478962631546
