method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.8856008184914423,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,142,10,10,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 16, 17, 19, 7, 19, 12, 14, 21, 17, 1, 0, 2, 1, 1, 2, 1, 2, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2]"
eigenvector,,0.8996792243827135,0.6666666666666666,0.7592592592592592,0.7099567099567099,17,145,7,10,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 16, 17, 19, 7, 19, 12, 15, 23, 17, 1, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2]"
louvain,,0.8894147010238603,0.7222222222222222,0.6666666666666666,0.6933333333333334,18,142,10,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 16, 16, 20, 7, 19, 12, 14, 21, 17, 1, 1, 1, 1, 1, 2, 1, 2, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2]"
greedy_modularity,,0.8928524577408081,0.6388888888888888,0.7037037037037037,0.6697318007662835,16,144,8,11,"[2, 2, 1, 2, 2, 2, 2, 1, 2, 16, 17, 19, 7, 20, 13, 14, 21, 17, 1, 0, 2, 1, 0, 1, 1, 2, 0, 0, 0, 1, 1, 1, 1, 2, 3, 2]"
label_propagation,,0.8844364205037841,0.5925925925925926,0.7592592592592592,0.6656519533231862,14,147,5,13,"[2, 2, 2, 0, 2, 2, 2, 1, 1, 17, 17, 20, 6, 19, 14, 15, 22, 17, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 3, 1, 1, 2, 3, 3]"
infomap,,0.9187369035711117,0.6666666666666666,0.8148148148148148,0.7333333333333333,17,147,5,10,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 16, 17, 19, 8, 19, 14, 15, 22, 17, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2]"
surprise_communities,,0.7131160358751928,0.6111111111111112,0.3131834215167548,0.4141317771523372,16,113,39,11,"[1, 2, 1, 2, 2, 2, 2, 2, 2, 10, 12, 17, 5, 18, 11, 12, 18, 10, 7, 5, 4, 3, 2, 3, 3, 5, 7, 1, 0, 1, 1, 1, 1, 2, 2, 2]"
walktrap,,0.9108548796707814,0.7222222222222222,0.7777777777777778,0.7489711934156379,18,145,7,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 15, 17, 20, 8, 19, 14, 13, 22, 17, 2, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2]"
df_node_similarity,,0.9190028958802982,0.7222222222222222,0.8703703703703703,0.7894056847545219,18,148,4,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 17, 17, 21, 7, 20, 12, 14, 23, 17, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2]"
leiden,0.05,0.8080900955820565,0.8703703703703705,0.5166345999679334,0.6483948619312606,23,120,32,4,"[2, 2, 2, 1, 3, 3, 4, 3, 3, 15, 14, 14, 8, 12, 12, 12, 17, 16, 2, 3, 7, 0, 8, 2, 3, 6, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1]"
eigenvector,0.05,0.8146260432944749,0.8703703703703705,0.5438832772166105,0.669441284789273,23,121,31,4,"[2, 2, 2, 1, 3, 3, 4, 3, 3, 16, 14, 14, 8, 12, 13, 11, 17, 16, 1, 3, 7, 0, 8, 1, 4, 6, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1]"
louvain,0.05,0.796394189149308,0.8703703703703705,0.5039361872695207,0.6383017289971109,23,118,34,4,"[2, 2, 2, 1, 3, 3, 4, 3, 3, 15, 12, 14, 8, 12, 12, 12, 17, 16, 2, 5, 7, 0, 8, 2, 3, 6, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1]"
greedy_modularity,0.05,0.8266980755426935,0.8981481481481483,0.5354056437389771,0.6708832136661005,24,123,29,3,"[2, 2, 2, 1, 3, 3, 4, 4, 3, 15, 14, 14, 8, 15, 12, 12, 17, 16, 2, 3, 7, 0, 5, 2, 3, 6, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1]"
label_propagation,0.05,0.8282062621513123,0.9629629629629629,0.5003687670354338,0.6585473144617643,26,123,29,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 16, 14, 18, 5, 16, 12, 14, 16, 12, 1, 3, 3, 3, 4, 2, 1, 7, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
infomap,0.05,0.8003715849395694,0.9722222222222222,0.4654882154882155,0.6295537340619308,26,117,35,1,"[2, 2, 2, 3, 3, 3, 4, 4, 3, 15, 14, 14, 5, 12, 12, 11, 18, 16, 2, 3, 7, 3, 8, 2, 4, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
surprise_communities,0.05,0.7993545495975911,0.7777777777777778,0.3945326278659611,0.5235110241880212,21,122,30,6,"[1, 2, 2, 0, 3, 3, 3, 3, 4, 16, 13, 14, 8, 13, 12, 12, 19, 15, 1, 4, 7, 0, 7, 2, 3, 4, 2, 1, 0, 0, 3, 0, 0, 1, 1, 0]"
walktrap,0.05,0.8159014308787719,0.9629629629629629,0.5168991502324836,0.6727042105106872,26,118,34,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 15, 12, 14, 8, 12, 12, 12, 17, 16, 2, 5, 7, 0, 8, 2, 3, 6, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
df_node_similarity,0.05,0.8471698289529314,0.9490740740740742,0.5620370370370371,0.7059901506899057,25,126,26,2,"[2, 2, 2, 1, 3, 3, 4, 4, 4, 15, 14, 17, 8, 15, 13, 11, 17, 16, 2, 3, 4, 0, 5, 1, 4, 6, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
leiden,0.1,0.8129210134564526,0.8425925925925927,0.5228395061728395,0.6452766057196437,22,122,30,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 15, 14, 14, 8, 13, 12, 13, 17, 16, 2, 3, 7, 0, 7, 2, 2, 6, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
eigenvector,0.1,0.8383662849345385,0.8425925925925927,0.5716931216931216,0.6811981266713777,22,127,25,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 16, 14, 15, 8, 13, 13, 13, 19, 16, 1, 3, 6, 0, 7, 1, 2, 4, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
louvain,0.1,0.8235998845472231,0.8425925925925927,0.5629629629629629,0.674962182208559,22,124,28,5,"[2, 2, 2, 1, 3, 3, 3, 3, 3, 15, 13, 15, 8, 13, 12, 15, 17, 16, 2, 4, 6, 0, 7, 2, 0, 6, 1, 0, 0, 0, 2, 0, 0, 1, 1, 1]"
greedy_modularity,0.1,0.8315289934170897,0.8703703703703705,0.5445326278659612,0.6699329432268043,23,125,27,4,"[2, 2, 2, 1, 3, 3, 3, 4, 3, 15, 14, 14, 8, 16, 12, 13, 17, 16, 2, 3, 7, 0, 4, 2, 2, 6, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1]"
label_propagation,0.1,0.8841651621598077,0.9351851851851851,0.6104938271604938,0.7387365400544313,25,134,18,2,"[2, 2, 2, 2, 3, 3, 3, 4, 4, 16, 14, 18, 7, 19, 13, 14, 21, 12, 1, 3, 3, 1, 1, 1, 1, 2, 5, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
