method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9352675212467741,0.17944408666764022,0.6241213027444911,0.2787449002071522,119,59370,63,4096,"[28, 10, 20, 11, 11, 5, 7, 5, 22, 5422, 6948, 6148, 7076, 6936, 6617, 7059, 7056, 6108, 4, 4, 2, 7, 11, 17, 8, 9, 1, 1237, 117, 1245, 116, 116, 8, 6, 8, 1243]"
louvain,,0.9354100626776122,0.22217567133691749,0.6757810426288687,0.33440833948383764,115,59383,50,4100,"[18, 10, 19, 10, 13, 7, 8, 7, 23, 5421, 6949, 6148, 7078, 6937, 6625, 7061, 7058, 6106, 5, 3, 2, 5, 10, 9, 6, 7, 3, 1247, 117, 1246, 117, 114, 6, 5, 6, 1242]"
infomap,,0.9177931656308509,0.31037970360120304,0.26960255916044645,0.2885576603805006,754,57635,1798,3461,"[206, 37, 206, 37, 32, 4, 8, 7, 217, 5308, 6730, 6021, 6848, 6679, 6411, 6795, 6820, 6023, 118, 222, 129, 235, 268, 223, 272, 245, 86, 1059, 90, 1059, 90, 95, 9, 5, 6, 1048]"
df_node_similarity,,0.9340656918719018,0.18312713951193924,0.48503057262115234,0.2658721428400032,59,59353,80,4156,"[15, 1, 18, 1, 1, 1, 1, 1, 20, 5419, 6944, 6140, 7070, 6937, 6625, 7059, 7058, 6101, 7, 8, 10, 13, 10, 9, 8, 7, 8, 1250, 126, 1247, 126, 126, 12, 12, 12, 1245]"
eigenvector,,0.9770309934419343,0.3059963658388855,0.15240137770835835,0.20346639303555264,54,34221,580,239,"[20, 18, 2, 6, 8, 6726, 6786, 6624, 7044, 7041, 226, 297, 10, 23, 24, 107, 109, 11, 7, 5]"
surprise_communities,,0.4794101188104403,0.10539067231980619,0.0024604700114242216,0.004808675793721871,54,20148,21600,366,"[17, 18, 16, 1, 1, 1, 3356, 3356, 3330, 3375, 3397, 3334, 3596, 3727, 3617, 3259, 3670, 3731, 110, 109, 111, 12, 12, 12]"
walktrap,,0.8069110759543242,0.24303452453058755,0.008878970258260344,0.017132042226211532,27,22527,5186,139,"[16, 4, 4, 3, 4419, 4479, 6810, 6819, 2528, 2155, 257, 246, 111, 9, 9, 10]"
greedy_modularity,,0.9914908257432007,0.3333333333333333,0.08582621082621082,0.13650523930897762,13,20615,151,26,"[4, 5, 4, 6586, 7032, 6997, 48, 35, 68, 9, 8, 9]"
label_propagation,,0.9913376342601082,0.07692307692307693,0.020663780663780662,0.03257655034350971,3,20622,144,36,"[1, 1, 1, 6585, 7013, 7024, 49, 54, 41, 12, 12, 12]"
leiden,0.05,0.9297152923055427,0.6550994366810867,0.40988008733988296,0.5042579848096026,1041,58111,1322,3174,"[246, 95, 215, 99, 103, 13, 13, 13, 244, 5364, 6817, 6090, 6948, 6763, 6379, 6897, 6829, 6024, 62, 135, 60, 135, 184, 255, 170, 236, 85, 1019, 32, 1050, 28, 24, 0, 0, 0, 1021]"
louvain,0.05,0.9323988326244841,0.6546429720000415,0.4356563854948547,0.5231579547591955,991,58328,1105,3224,"[219, 89, 187, 112, 101, 13, 13, 13, 244, 5393, 6788, 6108, 6949, 6787, 6457, 6886, 6900, 6060, 33, 164, 42, 134, 160, 177, 181, 165, 49, 1046, 38, 1078, 15, 26, 0, 0, 0, 1021]"
infomap,0.05,0.8795305599182585,0.6602075850278522,0.22895424083274213,0.33999958618504367,1695,54270,5163,2520,"[454, 85, 463, 85, 82, 11, 13, 13, 489, 5084, 6234, 5757, 6411, 6294, 6050, 6348, 6359, 5733, 342, 718, 393, 672, 653, 584, 719, 706, 376, 811, 42, 802, 42, 45, 2, 0, 0, 776]"
df_node_similarity,0.05,0.932266485086988,0.606258966033016,0.375873033618779,0.4640443378328072,185,59113,320,4030,"[47, 7, 44, 9, 8, 8, 8, 8, 46, 5397, 6911, 6114, 7044, 6911, 6594, 7045, 7023, 6074, 29, 41, 36, 39, 36, 40, 22, 42, 35, 1218, 120, 1221, 118, 119, 5, 5, 5, 1219]"
eigenvector,0.05,0.9613707495756894,0.8629921259842519,0.1258319228741104,0.21963858739719933,206,33523,1278,87,"[92, 75, 13, 13, 13, 6702, 6752, 6492, 6833, 6744, 250, 331, 142, 234, 321, 35, 52, 0, 0, 0]"
surprise_communities,0.05,0.8548592737353115,0.4832424793054715,0.024721364957589743,0.047036472492456904,149,35902,5846,271,"[39, 47, 38, 7, 9, 9, 5934, 6129, 6014, 5628, 6100, 6097, 1018, 954, 933, 1006, 967, 968, 88, 80, 89, 6, 4, 4]"
walktrap,0.05,0.9669254431453664,0.8937007874015748,0.10421983022157585,0.18667084873689657,112,26849,864,54,"[73, 13, 13, 13, 6702, 6352, 6899, 6896, 245, 282, 168, 169, 54, 0, 0, 0]"
greedy_modularity,0.05,0.9789832907906546,0.9743589743589745,0.08059198675919312,0.14887047541434226,38,20331,435,1,"[13, 13, 12, 6475, 6922, 6934, 159, 145, 131, 0, 0, 1]"
label_propagation,0.05,0.9924695414907582,0.6410256410256411,0.15042145593869732,0.24366508029900177,25,20623,143,14,"[9, 8, 8, 6593, 7015, 7015, 41, 52, 50, 4, 5, 5]"
leiden,0.1,0.9338555746011773,0.5595516963541612,0.46461051858484453,0.5076805217494167,679,58729,704,3536,"[150, 68, 121, 73, 75, 13, 13, 13, 153, 5393, 6896, 6121, 7019, 6848, 6492, 6967, 6934, 6059, 33, 56, 29, 64, 99, 142, 100, 131, 50, 1115, 59, 1144, 54, 52, 0, 0, 0, 1112]"
