method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.8992919332326791,0.1111111111111111,0.06557239057239056,0.08247313535546026,8,2056,101,163,"[0, 0, 1, 1, 0, 1, 1, 2, 2, 80, 165, 162, 147, 173, 178, 394, 376, 381, 8, 10, 10, 10, 11, 11, 14, 14, 13, 2, 2, 1, 4, 5, 4, 49, 48, 48]"
eigenvector,,0.9076050425571347,0.22,0.16216499549832883,0.1867062626346078,15,2072,85,156,"[1, 0, 1, 1, 1, 2, 4, 2, 3, 82, 159, 160, 148, 174, 182, 402, 379, 386, 6, 16, 12, 9, 10, 7, 6, 11, 8, 1, 2, 1, 4, 4, 3, 46, 48, 47]"
louvain,,0.9016706666583068,0.15333333333333335,0.07993827160493826,0.10508952985798711,9,2057,100,162,"[0, 0, 1, 1, 2, 1, 2, 0, 2, 80, 164, 163, 149, 174, 178, 394, 374, 381, 8, 11, 9, 8, 10, 11, 14, 16, 13, 2, 2, 1, 4, 3, 4, 48, 50, 48]"
greedy_modularity,,0.9106194636996876,0.12444444444444445,0.18047538880872216,0.1473118967472956,14,2088,69,157,"[0, 0, 1, 1, 0, 1, 3, 5, 3, 80, 166, 165, 147, 173, 179, 402, 386, 390, 8, 9, 7, 10, 11, 10, 6, 4, 4, 2, 2, 1, 4, 5, 4, 47, 45, 47]"
label_propagation,,0.8631406486875206,0.2555555555555556,0.183253140726259,0.21344772144407634,16,1994,163,155,"[1, 1, 1, 0, 2, 1, 1, 3, 6, 77, 158, 148, 138, 164, 159, 408, 369, 373, 11, 17, 24, 19, 20, 30, 0, 21, 21, 1, 1, 1, 5, 3, 4, 49, 47, 44]"
infomap,,0.8650237925997145,0.22000000000000003,0.06780337584935286,0.10365926141648607,15,1976,181,156,"[0, 1, 1, 1, 2, 1, 3, 3, 3, 78, 158, 153, 140, 164, 169, 383, 364, 367, 10, 17, 19, 17, 20, 20, 25, 26, 27, 2, 1, 1, 4, 3, 4, 47, 47, 47]"
surprise_communities,,0.8069300098452595,0.09555555555555556,0.04364010475121586,0.059916443441049023,16,1867,290,155,"[0, 0, 0, 2, 1, 0, 5, 4, 4, 68, 151, 142, 132, 149, 154, 368, 349, 354, 20, 24, 30, 25, 35, 35, 40, 41, 40, 2, 2, 2, 3, 4, 5, 45, 46, 46]"
walktrap,,0.8658648519738119,0.08666666666666667,0.03106949411297237,0.0457410785600647,6,1994,163,165,"[0, 0, 1, 1, 0, 0, 1, 2, 1, 77, 164, 152, 138, 161, 172, 388, 370, 372, 11, 11, 20, 19, 23, 17, 20, 20, 22, 2, 2, 1, 4, 5, 5, 49, 48, 49]"
df_node_similarity,,0.9089638107538041,0.2377777777777778,0.1645221932587524,0.19448035955558166,15,2073,84,156,"[0, 2, 0, 3, 0, 1, 2, 3, 4, 81, 167, 163, 150, 173, 175, 399, 378, 387, 7, 8, 9, 7, 11, 14, 9, 12, 7, 2, 0, 2, 2, 5, 4, 48, 47, 46]"
leiden,0.05,0.292477362334172,0.9333333333333333,0.05928555498268326,0.11148928415895334,150,514,1643,21,"[2, 2, 2, 5, 4, 5, 46, 43, 41, 26, 46, 46, 57, 50, 49, 78, 82, 80, 62, 129, 126, 100, 134, 140, 330, 308, 314, 0, 0, 0, 0, 1, 0, 4, 7, 9]"
eigenvector,0.05,0.35985610731598344,0.911111111111111,0.0622902403359793,0.11660828290308183,149,648,1509,22,"[2, 2, 2, 4, 5, 4, 40, 45, 45, 32, 64, 74, 59, 60, 70, 101, 103, 85, 56, 111, 98, 98, 124, 119, 307, 287, 309, 0, 0, 0, 1, 0, 1, 10, 5, 5]"
louvain,0.05,0.3028872113989513,0.9533333333333334,0.06027568787068597,0.11338261841526073,150,531,1626,21,"[2, 2, 2, 5, 5, 5, 45, 44, 40, 28, 47, 48, 54, 62, 49, 84, 76, 83, 60, 128, 124, 103, 122, 140, 324, 314, 311, 0, 0, 0, 0, 0, 0, 5, 6, 10]"
greedy_modularity,0.05,0.2863935307135254,0.9333333333333331,0.05940021483368883,0.1116920056017194,159,476,1681,12,"[2, 2, 2, 3, 5, 5, 44, 46, 50, 27, 40, 47, 55, 59, 50, 66, 80, 52, 61, 135, 125, 102, 125, 139, 342, 310, 342, 0, 0, 0, 2, 0, 0, 6, 4, 0]"
label_propagation,0.05,0.39249342428431455,0.8711111111111111,0.06363905904064954,0.11861285122198038,155,642,1515,16,"[2, 1, 2, 4, 5, 4, 50, 42, 45, 37, 64, 85, 80, 74, 99, 10, 95, 98, 51, 111, 87, 77, 110, 90, 398, 295, 296, 0, 1, 0, 1, 0, 1, 0, 8, 5]"
infomap,0.05,0.3275097993823893,0.8777777777777778,0.056758590670281585,0.1066227731106803,134,602,1555,37,"[2, 2, 2, 4, 4, 5, 38, 40, 37, 28, 51, 58, 57, 66, 60, 91, 95, 96, 60, 124, 114, 100, 118, 129, 317, 295, 298, 0, 0, 0, 1, 1, 0, 12, 10, 13]"
surprise_communities,0.05,0.3891934420142252,0.8066666666666666,0.05726454893478783,0.10693768664264883,129,714,1443,42,"[2, 2, 2, 4, 2, 4, 38, 36, 39, 39, 58, 80, 65, 77, 81, 102, 101, 111, 49, 117, 92, 92, 107, 108, 306, 289, 283, 0, 0, 0, 1, 3, 1, 12, 14, 11]"
walktrap,0.05,0.3298354705767576,0.8955555555555557,0.05684917849900516,0.10691168536471579,133,591,1566,38,"[2, 2, 2, 4, 5, 5, 41, 35, 37, 30, 43, 64, 66, 70, 55, 78, 90, 95, 58, 132, 108, 91, 114, 134, 330, 300, 299, 0, 0, 0, 1, 0, 0, 9, 15, 13]"
df_node_similarity,0.05,0.3788047819171305,0.9211111111111111,0.06513172277165992,0.12166081510492499,148,728,1429,23,"[2, 2, 2, 4, 4, 4, 43, 40, 47, 33, 56, 65, 58, 70, 77, 124, 129, 116, 55, 119, 107, 99, 114, 112, 284, 261, 278, 0, 0, 0, 1, 1, 1, 7, 10, 3]"
