method,threshold,ACC,recall,PPV,f12
leiden,,0.9192182200548529,0.35131135199286245,0.3904935157284012,0.36986763210763535
louvain,,0.9192006863506196,0.33852898950705956,0.3787821890070399,0.3575261491210813
df_node_similarity,,0.9266524718963223,0.31776899892613897,0.4644207949119751,0.3773471150921297
eigenvector,,0.9226504169601735,0.3813661055980373,0.35271048049539555,0.36647898842811183
infomap,,0.9108288087554998,0.26412500573580194,0.5082526684677653,0.34760776614292543
surprise_communities,,0.7812408065241383,0.3196588362061155,0.09909825549806542,0.15129359550020777
greedy_modularity,,0.9257466516229029,0.31232624064338466,0.33400518611229757,0.3228021408690717
label_propagation,,0.9020992361758264,0.2861860680841602,0.46748635649471854,0.3550297924803838
walktrap,,0.8821953848370512,0.26105384935385284,0.15371835890947608,0.19349786948212816
leiden,0.05,0.4299107634755982,0.8796777473899725,0.12249695455767035,0.2150480247366151
louvain,0.05,0.4249925733670689,0.8769449828277469,0.12519853648782947,0.21911478009729052
df_node_similarity,0.05,0.5184349763514597,0.8781564153614118,0.14199837794788464,0.24446640330207814
eigenvector,0.05,0.4335880565987525,0.9242208322457782,0.09890135496910145,0.17868186955969223
infomap,0.05,0.5571432853190247,0.8596198869120596,0.13228025127366003,0.22927859421120816
surprise_communities,0.05,0.46291160421942223,0.8322462247393734,0.090416759529867,0.16311265988739676
greedy_modularity,0.05,0.3997632325416543,0.9100383320710267,0.09804714953868358,0.17702202056917846
label_propagation,0.05,0.5041983853890223,0.8608958294203404,0.11978188024163196,0.21030297746992077
walktrap,0.05,0.3625808773931442,0.925728094222904,0.0849325644562154,0.15559022775117082
leiden,0.1,0.5390921386434286,0.8420413759777626,0.14569796330866305,0.24841313618269942
louvain,0.1,0.5305082803055389,0.8465640103038032,0.14805182025995667,0.25202764492699703
df_node_similarity,0.1,0.6138414977813236,0.8352247929962134,0.17502738753936845,0.28940737044237086
eigenvector,0.1,0.5477059752886161,0.8701836563672936,0.12877153861266266,0.22434417252969444
infomap,0.1,0.6423383218926614,0.7986593013037228,0.1865082372361174,0.3023983893321566
surprise_communities,0.1,0.4949550951540285,0.8045681684996695,0.09207529489317759,0.1652403756917007
greedy_modularity,0.1,0.5162387615322116,0.8576522235118522,0.11754173316644818,0.2067484690922804
label_propagation,0.1,0.6157602692092063,0.8179284839053012,0.18296531510843209,0.29903780589181606
walktrap,0.1,0.4404201585263702,0.8876111440604401,0.09729523001716617,0.17536759371273133
leiden,0.15,0.6047805843205661,0.7976898770604829,0.1622945701113229,0.2697142356026438
louvain,0.15,0.5987165251927092,0.804317454977425,0.16405565588233828,0.27252476578326545
df_node_similarity,0.15,0.6600029737575406,0.785497396675279,0.2398429799686888,0.36747999136225085
eigenvector,0.15,0.6189434096357003,0.8245078920608581,0.1575463942608827,0.26454392031699153
infomap,0.15,0.6785194101554701,0.760593128614882,0.25458975750443663,0.3814863761421691
surprise_communities,0.15,0.5372462554838356,0.7691051810993254,0.09856719272606827,0.17474000763170594
greedy_modularity,0.15,0.5782493140453352,0.8148228972696059,0.12810185961799866,0.22139694103291852
label_propagation,0.15,0.669653560215384,0.7646919500312399,0.22208533605077616,0.34420506246613397
walktrap,0.15,0.4915454918461817,0.8406896544716442,0.10063366556039728,0.17975052721588933
leiden,0.2,0.6536021420961908,0.7558513188099232,0.18443905228946242,0.2965222344030736
louvain,0.2,0.6486185726698888,0.7620052246442517,0.18495279663718964,0.29765838439044723
df_node_similarity,0.2,0.6963706103938384,0.7376607781169195,0.2900573687265853,0.4163864284591257
eigenvector,0.2,0.6645770891632005,0.780682824458061,0.18796997872971094,0.3029876823256064
infomap,0.2,0.7086526806150235,0.714175500045583,0.3058012213790529,0.4282367148299119
surprise_communities,0.2,0.5787576166963362,0.733007452905394,0.10400709475534152,0.1821664290633193
greedy_modularity,0.2,0.619130813509128,0.768841906672326,0.14181012807598622,0.2394538530527125
label_propagation,0.2,0.7022181226299464,0.7299006451167762,0.24247264884382802,0.3640185182244506
walktrap,0.2,0.5477539470830208,0.7910517739812271,0.12235249662808823,0.2119262250528265
leiden,0.25,0.6892504007181554,0.7208866816165316,0.1994898304424356,0.31250159038104236
louvain,0.25,0.6853889655459231,0.7314624746639823,0.20335880043672624,0.31824121973715647
df_node_similarity,0.25,0.723255802038847,0.7086144301889497,0.3237904430721535,0.4444817847351904
eigenvector,0.25,0.7011941254316958,0.7480573819236107,0.20573860807792532,0.3227195042393349
infomap,0.25,0.7340103405164451,0.6721219403069462,0.33689107546073366,0.4488185578825019
surprise_communities,0.25,0.6108837536634215,0.7048787336866649,0.10660131533377229,0.1851949416439931
greedy_modularity,0.25,0.660181118642849,0.7398735091954648,0.15353170009113615,0.25429454974833043
label_propagation,0.25,0.732725154318458,0.6877615125043283,0.26695485812833486,0.3846195218692116
walktrap,0.25,0.5906670700869332,0.7580866733096021,0.128037757215135,0.21907468992309778
leiden,0.3,0.7228147001456164,0.6806764133646774,0.21446427935770562,0.32616275330769134
louvain,0.3,0.7215042267054427,0.6906662321346144,0.2148604095454266,0.3277580640152485
