method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
leiden,,0.9580169947957907,0.7088888888888889,0.5438832772166106,0.6155194416074888,49,3508,42,122
eigenvector,,0.9527985351711133,0.6,0.4845117845117845,0.5361067991307048,36,3501,49,135
louvain,,0.9548655432179073,0.62,0.4627212293878961,0.5299372625817709,45,3500,50,126
greedy_modularity,,0.9535981775529502,0.4844444444444444,0.4272486772486772,0.45405245068642425,32,3507,43,139
label_propagation,,0.959788803405871,0.24000000000000002,1.0,0.38709677419354843,9,3550,0,162
infomap,,0.9594885031055708,0.24000000000000002,0.9444444444444444,0.3827392120075047,9,3549,1,162
surprise_communities,,0.8031970304492041,0.4911111111111111,0.09783780809110805,0.163169446699678,71,2917,633,100
walktrap,,0.8960004836685466,0.2466666666666667,0.050472926392466616,0.08379892011001115,12,3310,240,159
df_node_similarity,,0.9578545865644094,0.47444444444444445,0.8240740740740741,0.6021898966850479,9,3543,7,162
leiden,0.05,0.33092578671493933,1.0,0.06064457741518119,0.1143541931133493,171,1075,2475,0
eigenvector,0.05,0.521346034922714,0.9933333333333333,0.08910987895915701,0.16354818819910744,168,1791,1759,3
louvain,0.05,0.3014713886092622,1.0,0.05988113760322041,0.11299594922244507,171,969,2581,0
greedy_modularity,0.05,0.3350673727268076,1.0,0.0633460092495971,0.11914467858735907,171,1094,2456,0
label_propagation,0.05,0.6717803414631036,1.0,0.12900576217013793,0.2285298560782671,171,2355,1195,0
infomap,0.05,0.6708794405622028,1.0,0.12898112373911322,0.2284911962246738,171,2352,1198,0
surprise_communities,0.05,0.4666419118182852,0.991111111111111,0.0697460020468494,0.13032110870885577,167,1575,1975,4
walktrap,0.05,0.32845544359147205,1.0,0.05783107095454307,0.10933895315129796,171,1057,2493,0
df_node_similarity,0.05,0.6615387346584028,1.0,0.1280186334392408,0.22697964314458527,171,2318,1232,0
leiden,0.1,0.5555391625139962,0.9977777777777779,0.09033434423640302,0.16566969418990876,170,1914,1636,1
eigenvector,0.1,0.7251942952745278,0.9711111111111109,0.14637710264582166,0.25440703363432166,158,2558,992,13
louvain,0.1,0.5424796863179862,0.9955555555555556,0.08821328001706889,0.16206633391219308,169,1866,1684,2
greedy_modularity,0.1,0.581078254943789,0.9933333333333333,0.10156461714877958,0.18428661713486189,168,2016,1534,3
label_propagation,0.1,0.872525355425148,1.0,0.2848002324981216,0.44333776612783726,171,3094,456,0
infomap,0.1,0.8713241542239466,1.0,0.2846462323441214,0.4431511573808477,171,3090,460,0
surprise_communities,0.1,0.4927320668181348,0.9844444444444446,0.07170024578784427,0.13366522463057598,164,1675,1875,7
walktrap,0.1,0.4189159456844863,0.9866666666666666,0.06386374206570962,0.11996268738354232,165,1396,2154,6
df_node_similarity,0.1,0.8631976253383562,0.9988888888888889,0.2783068483718504,0.43532500215912157,170,3062,488,1
leiden,0.15,0.6951987341352005,0.9844444444444446,0.13009784102512706,0.2298236657345729,164,2441,1109,7
eigenvector,0.15,0.8211252081258884,0.9244444444444445,0.196576955213189,0.3242123196009223,137,2931,619,34
louvain,0.15,0.6745156284675212,0.9866666666666668,0.11852108063893081,0.2116215997668124,165,2360,1190,6
greedy_modularity,0.15,0.7125776711420415,0.9755555555555555,0.1365135949334525,0.23951135752237862,160,2510,1040,11
label_propagation,0.15,0.9196510210981139,0.9644444444444447,0.3771589813135339,0.5422599215482075,155,3281,269,16
infomap,0.15,0.918750120197213,0.9644444444444447,0.376897338194748,0.5419894446777263,155,3278,272,16
surprise_communities,0.15,0.5274946798699736,0.98,0.07454106568626362,0.1385441435132722,162,1804,1746,9
walktrap,0.15,0.4752693336213149,0.9622222222222222,0.06620359129163841,0.12388364020945204,154,1614,1936,17
df_node_similarity,0.15,0.9076080282857111,0.9744444444444444,0.363085513750323,0.5290448405503884,154,3239,311,17
leiden,0.2,0.7869654239578711,0.9622222222222222,0.17782915418199316,0.30018149612272677,154,2790,760,17
eigenvector,0.2,0.8577962527437274,0.8711111111111112,0.23354217460272528,0.3683349080485823,113,3088,462,58
louvain,0.2,0.76691104534025,0.9666666666666666,0.15054213070804093,0.2605136300866978,156,2709,841,15
