method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.8856008184914423,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,142,10,10,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 16, 17, 19, 7, 19, 12, 14, 21, 17, 1, 0, 2, 1, 1, 2, 1, 2, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2]"
eigenvector,,0.8996792243827135,0.6666666666666666,0.7592592592592592,0.7099567099567099,17,145,7,10,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 16, 17, 19, 7, 19, 12, 15, 23, 17, 1, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2]"
louvain,,0.8894147010238603,0.7222222222222222,0.6666666666666666,0.6933333333333334,18,142,10,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 16, 16, 20, 7, 19, 12, 14, 21, 17, 1, 1, 1, 1, 1, 2, 1, 2, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2]"
greedy_modularity,,0.8928524577408081,0.6388888888888888,0.7037037037037037,0.6697318007662835,16,144,8,11,"[2, 2, 1, 2, 2, 2, 2, 1, 2, 16, 17, 19, 7, 20, 13, 14, 21, 17, 1, 0, 2, 1, 0, 1, 1, 2, 0, 0, 0, 1, 1, 1, 1, 2, 3, 2]"
label_propagation,,0.8844364205037841,0.5925925925925926,0.7592592592592592,0.6656519533231862,14,147,5,13,"[2, 2, 2, 0, 2, 2, 2, 1, 1, 17, 17, 20, 6, 19, 14, 15, 22, 17, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 3, 1, 1, 2, 3, 3]"
infomap,,0.9187369035711117,0.6666666666666666,0.8148148148148148,0.7333333333333333,17,147,5,10,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 16, 17, 19, 8, 19, 14, 15, 22, 17, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2]"
surprise_communities,,0.7131160358751928,0.6111111111111112,0.3131834215167548,0.4141317771523372,16,113,39,11,"[1, 2, 1, 2, 2, 2, 2, 2, 2, 10, 12, 17, 5, 18, 11, 12, 18, 10, 7, 5, 4, 3, 2, 3, 3, 5, 7, 1, 0, 1, 1, 1, 1, 2, 2, 2]"
walktrap,,0.9108548796707814,0.7222222222222222,0.7777777777777778,0.7489711934156379,18,145,7,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 15, 17, 20, 8, 19, 14, 13, 22, 17, 2, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2]"
df_node_similarity,,0.9190028958802982,0.7222222222222222,0.8703703703703703,0.7894056847545219,18,148,4,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 17, 17, 21, 7, 20, 12, 14, 23, 17, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2]"
leiden,0.05,0.5233729033402983,0.9629629629629629,0.2889617463146875,0.4445306612323305,26,63,89,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 8, 2, 7, 7, 9, 10, 10, 7, 3, 9, 15, 14, 1, 11, 4, 5, 16, 14, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
eigenvector,0.05,0.49573181045937953,0.9629629629629629,0.2723547827778994,0.42461556066070977,26,60,92,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 7, 2, 4, 7, 9, 6, 9, 13, 3, 10, 15, 17, 1, 11, 8, 6, 10, 14, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
louvain,0.05,0.5205760561498586,0.9629629629629629,0.2930010210711965,0.4492949399641687,26,62,90,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 7, 4, 7, 9, 10, 11, 7, 3, 13, 10, 17, 1, 11, 4, 4, 16, 14, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
greedy_modularity,0.05,0.5463592315269676,0.9629629629629629,0.2929300002829414,0.4492114364334906,26,69,83,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 8, 2, 9, 7, 8, 9, 10, 13, 3, 9, 15, 12, 1, 12, 5, 5, 10, 14, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
label_propagation,0.05,0.500107094025821,1.0,0.25435869504496955,0.4055597430778772,27,63,89,0,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 3, 2, 14, 5, 11, 3, 6, 12, 7, 14, 15, 7, 3, 9, 11, 9, 11, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
infomap,0.05,0.5268997438124433,1.0,0.28662229201444883,0.44554224467180314,27,63,89,0,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 8, 2, 7, 7, 9, 8, 9, 10, 3, 9, 15, 14, 1, 11, 6, 6, 13, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
surprise_communities,0.05,0.7157222267077041,0.8333333333333334,0.3232465065798399,0.465808030748237,23,103,49,4,"[1, 2, 2, 0, 3, 3, 4, 4, 4, 14, 10, 10, 8, 10, 12, 11, 13, 15, 3, 7, 11, 0, 10, 2, 4, 10, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0]"
walktrap,0.05,0.47668918838958174,1.0,0.2483666431034852,0.3979065677148127,27,54,98,0,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 7, 6, 4, 4, 9, 8, 10, 3, 3, 10, 11, 17, 4, 11, 6, 5, 20, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
df_node_similarity,0.05,0.4919074030514181,0.9814814814814814,0.29816324504147,0.4573796107639868,26,60,92,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 8, 2, 4, 7, 8, 4, 9, 15, 3, 9, 15, 17, 1, 12, 10, 6, 8, 14, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
leiden,0.1,0.6668300432378146,0.9629629629629629,0.347693664360331,0.5109135592892198,26,90,62,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 10, 10, 10, 7, 9, 10, 12, 11, 11, 7, 7, 11, 1, 11, 4, 3, 12, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
eigenvector,0.1,0.6791480252092567,0.9629629629629629,0.35264550264550265,0.5162395453969956,26,93,59,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 11, 10, 9, 7, 9, 11, 10, 15, 11, 6, 7, 12, 1, 11, 3, 5, 8, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
louvain,0.1,0.6561511721470442,0.9629629629629629,0.345069745069745,0.5080750383390671,26,88,64,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 8, 11, 9, 7, 9, 10, 12, 11, 11, 9, 6, 12, 1, 11, 4, 3, 12, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
greedy_modularity,0.1,0.7009095902471713,0.9629629629629629,0.36060205226871894,0.5247138096082533,26,98,54,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 10, 10, 12, 7, 12, 9, 12, 15, 11, 7, 7, 9, 1, 8, 5, 3, 8, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
label_propagation,0.1,0.7185448717133855,1.0,0.3587461920795254,0.5280547524927725,27,102,50,0,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 12, 10, 17, 5, 16, 10, 8, 15, 9, 5, 7, 4, 3, 4, 4, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
infomap,0.1,0.677580825918422,1.0,0.3492538325871659,0.5176992262715742,27,91,61,0,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 10, 10, 10, 7, 9, 10, 10, 14, 11, 7, 7, 11, 1, 11, 4, 5, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
