method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9352976571597416,0.17970759127897096,0.6207217679439901,0.27872144490034084,122,59369,64,4093,"[28, 10, 20, 11, 11, 5, 7, 5, 25, 5422, 6948, 6148, 7076, 6936, 6617, 7059, 7056, 6107, 4, 4, 2, 7, 11, 17, 8, 9, 2, 1237, 117, 1245, 116, 116, 8, 6, 8, 1240]"
louvain,,0.9354401985905797,0.22226350620736104,0.680054546902373,0.33502889028065946,116,59384,49,4099,"[18, 10, 19, 10, 13, 7, 8, 7, 24, 5421, 6949, 6148, 7078, 6937, 6625, 7061, 7058, 6107, 5, 3, 2, 5, 10, 9, 6, 7, 2, 1247, 117, 1246, 117, 114, 6, 5, 6, 1241]"
df_node_similarity,,0.9341893117199391,0.18060414137956074,0.49564495823553795,0.2647412977324102,63,59357,76,4152,"[16, 1, 18, 1, 1, 1, 1, 1, 23, 5420, 6944, 6140, 7070, 6937, 6625, 7059, 7058, 6104, 6, 8, 10, 13, 10, 9, 8, 7, 5, 1249, 126, 1247, 126, 126, 12, 12, 12, 1242]"
eigenvector,,0.9769179831297432,0.30284675953967294,0.15077536144819575,0.20132100054366686,52,34219,582,241,"[18, 18, 2, 6, 8, 6724, 6786, 6624, 7044, 7041, 228, 297, 10, 23, 24, 109, 109, 11, 7, 5]"
infomap,,0.9295052196375961,0.3279359975868021,0.2238199597698901,0.2660546598848122,548,52327,1680,2402,"[37, 205, 36, 32, 4, 8, 7, 219, 6730, 6020, 6847, 6679, 6411, 6795, 6820, 6025, 222, 130, 236, 268, 223, 272, 245, 84, 90, 1060, 91, 95, 9, 5, 6, 1046]"
surprise_communities,,0.4782327883710953,0.10670300827781143,0.002505732075311295,0.004896478972459342,55,20097,21651,365,"[17, 18, 17, 1, 1, 1, 3356, 3356, 3331, 3375, 3397, 3282, 3596, 3727, 3616, 3259, 3670, 3783, 110, 109, 110, 12, 12, 12]"
greedy_modularity,,0.9886042826878462,0.2869473046638401,0.1334630647130647,0.18218802142463722,23,27537,176,143,"[9, 5, 5, 4, 6921, 6587, 7032, 6997, 26, 47, 35, 68, 118, 8, 8, 9]"
walktrap,,0.7550716417620745,0.2214819301433475,0.006730070178319028,0.013063195020360761,23,15717,4929,130,"[16, 4, 3, 4419, 4479, 6819, 2528, 2155, 246, 111, 9, 10]"
label_propagation,,0.991667468339315,0.07692307692307693,0.021904761904761906,0.03409933283914011,2,13609,90,24,"[1, 1, 6585, 7024, 49, 41, 12, 12]"
leiden,0.05,0.9094224491592667,0.7451329453383545,0.32178929020407776,0.44947193638006605,1618,56259,3174,2597,"[415, 116, 402, 119, 112, 13, 13, 13, 415, 5275, 6556, 5992, 6700, 6486, 6085, 6679, 6550, 5936, 151, 396, 158, 383, 461, 549, 388, 515, 173, 850, 11, 863, 8, 15, 0, 0, 0, 850]"
louvain,0.05,0.9153953852609307,0.7428423225752908,0.3391811095817211,0.4657165006363529,1574,56675,2758,2641,"[380, 115, 375, 119, 115, 13, 13, 13, 431, 5323, 6527, 6029, 6673, 6569, 6227, 6674, 6694, 5959, 103, 425, 121, 410, 378, 407, 393, 371, 150, 885, 12, 890, 8, 12, 0, 0, 0, 834]"
df_node_similarity,0.05,0.932416121123432,0.7075285283775526,0.3844543310083231,0.49819904169498297,322,58987,446,3893,"[70, 28, 63, 28, 27, 13, 12, 13, 68, 5382, 6908, 6102, 7037, 6905, 6568, 7026, 7006, 6053, 44, 44, 48, 46, 42, 66, 41, 59, 56, 1195, 99, 1202, 99, 100, 0, 1, 0, 1197]"
eigenvector,0.05,0.9423659189358687,0.9118110236220472,0.09469184359053937,0.17156645975994447,237,32826,1975,56,"[99, 99, 13, 13, 13, 6538, 6605, 6355, 6733, 6595, 414, 478, 279, 334, 470, 28, 28, 0, 0, 0]"
infomap,0.05,0.8455775314734119,0.8305327589220093,0.16759215492610666,0.2789045196113495,1627,46517,7490,1323,"[117, 612, 114, 117, 12, 13, 13, 629, 5878, 5534, 6035, 5941, 5737, 5949, 5949, 5494, 1074, 616, 1048, 1006, 897, 1118, 1116, 615, 10, 653, 13, 10, 1, 0, 0, 636]"
surprise_communities,0.05,0.8150321609125609,0.863517060367454,0.0388475489935891,0.0743502592221076,316,34062,7686,104,"[91, 98, 88, 13, 13, 13, 5650, 5775, 5741, 5253, 5761, 5882, 1302, 1308, 1206, 1381, 1306, 1183, 36, 29, 39, 0, 0, 0]"
greedy_modularity,0.05,0.9585064692112638,0.9547244094488189,0.12159018156141031,0.21570852101342342,143,26582,1131,23,"[104, 13, 13, 13, 6768, 6314, 6718, 6782, 179, 320, 349, 283, 23, 0, 0, 0]"
walktrap,0.05,0.9308946384255729,0.9343832020997375,0.07670451020534773,0.14177089680531832,128,19241,1405,25,"[102, 13, 13, 6452, 6062, 6727, 495, 572, 338, 25, 0, 0]"
label_propagation,0.05,0.9877226437657662,1.0,0.13489782886334611,0.2377268251512168,26,13530,169,0,"[13, 13, 6560, 6970, 74, 95, 0, 0]"
leiden,0.1,0.9237721940490093,0.6390775263763966,0.3593755118417071,0.46004930498870467,993,57783,1650,3222,"[227, 91, 207, 97, 94, 13, 13, 13, 238, 5337, 6768, 6058, 6906, 6711, 6327, 6877, 6790, 6009, 89, 184, 92, 177, 236, 307, 190, 275, 100, 1038, 36, 1058, 30, 33, 0, 0, 0, 1027]"
