method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9181610824197245,0.2577777777777778,0.12997976968565203,0.17281879568724448,22,4346,136,314,"[2, 0, 1, 3, 2, 2, 4, 5, 3, 161, 169, 113, 584, 485, 483, 798, 767, 786, 12, 12, 9, 17, 15, 15, 20, 15, 21, 0, 2, 1, 7, 8, 8, 96, 95, 97]"
eigenvector,,0.9188863286311084,0.4222222222222222,0.26445868945868944,0.3252175316069103,36,4374,108,300,"[2, 1, 2, 2, 5, 4, 7, 6, 7, 159, 164, 109, 585, 485, 487, 811, 773, 801, 14, 17, 13, 16, 15, 11, 7, 9, 6, 0, 1, 0, 8, 5, 6, 93, 94, 93]"
louvain,,0.9162620462292852,0.21000000000000002,0.09194324194324194,0.1278921209417912,15,4339,143,321,"[1, 1, 1, 2, 1, 0, 3, 3, 3, 162, 170, 113, 582, 481, 480, 799, 764, 788, 11, 11, 9, 19, 19, 18, 19, 18, 19, 1, 1, 1, 8, 9, 10, 97, 97, 97]"
greedy_modularity,,0.9243149742170369,0.22444444444444445,0.19393177628471744,0.20807544803807132,19,4389,93,317,"[1, 0, 2, 0, 2, 2, 4, 5, 3, 161, 169, 114, 584, 489, 483, 811, 777, 801, 12, 12, 8, 17, 11, 15, 7, 5, 6, 1, 2, 0, 10, 8, 8, 96, 95, 97]"
label_propagation,,0.8546632363948712,0.37888888888888883,0.10213857193262792,0.1609021238253606,46,4123,359,290,"[1, 2, 1, 3, 4, 4, 12, 8, 11, 140, 149, 98, 562, 452, 448, 775, 734, 765, 33, 32, 24, 39, 48, 50, 43, 48, 42, 1, 0, 1, 7, 6, 6, 88, 92, 89]"
infomap,,0.8702422263131135,0.16555555555555557,0.07930231433104996,0.10723722061290762,37,4150,332,299,"[0, 1, 0, 2, 2, 3, 11, 9, 9, 151, 158, 104, 558, 458, 453, 771, 741, 756, 22, 23, 18, 43, 42, 45, 47, 41, 51, 2, 1, 2, 8, 8, 7, 89, 91, 91]"
surprise_communities,,0.8306846393845029,0.2755555555555556,0.07358031794177974,0.11614656027923913,47,3985,497,289,"[1, 0, 2, 1, 2, 3, 14, 14, 10, 145, 144, 96, 533, 434, 430, 751, 714, 738, 28, 37, 26, 68, 66, 68, 67, 68, 69, 1, 2, 0, 9, 8, 7, 86, 86, 90]"
walktrap,,0.881053665481789,0.20111111111111113,0.06061489514935387,0.09315336360757717,16,4224,258,320,"[1, 0, 2, 0, 1, 1, 6, 2, 3, 149, 160, 106, 565, 466, 458, 793, 755, 772, 24, 21, 16, 36, 34, 40, 25, 27, 35, 1, 2, 0, 10, 9, 9, 94, 98, 97]"
df_node_similarity,,0.9172626082133948,0.3322222222222222,0.2026985069859466,0.25177916934227285,26,4336,146,310,"[1, 1, 1, 0, 3, 2, 6, 6, 6, 164, 169, 113, 582, 480, 473, 804, 760, 791, 9, 12, 9, 19, 20, 25, 14, 22, 16, 1, 1, 1, 10, 7, 8, 94, 94, 94]"
leiden,0.05,0.1573746450345761,0.9755555555555557,0.04934664222518193,0.09394143377783548,323,348,4134,13,"[2, 2, 2, 9, 10, 10, 96, 96, 96, 40, 32, 30, 46, 35, 38, 48, 36, 43, 133, 149, 92, 555, 465, 460, 770, 746, 764, 0, 0, 0, 1, 0, 0, 4, 4, 4]"
