method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
df_node_similarity,,0.8951829062212775,0.14761480217725587,0.25272555839736405,0.1863715826923721,64,73995,478,4950
leiden,,0.8886705563975148,0.14906025561905778,0.156736913879771,0.1528022282622887,114,50066,599,2337
eigenvector,,0.8929983443818058,0.15828911811041727,0.17676143004960737,0.167016057918074,124,50063,602,2327
louvain,,0.8884290088179766,0.1584253349841372,0.15700243060187039,0.15771067341021955,116,50073,592,2335
greedy_modularity,,0.8966225253196283,0.13841959805736667,0.179355694621801,0.1562509341084278,102,50218,447,2349
label_propagation,,0.8828262519224396,0.1290922239726876,0.3152442961595981,0.18317462302595072,82,49765,900,2369
surprise_communities,,0.7781631815212208,0.11571607451105156,0.037730868776506526,0.056906549314924684,222,45166,5499,2229
walktrap,,0.8624924425105756,0.09235746803484061,0.05257597247685913,0.06700708518735804,73,48802,1863,2378
infomap,,0.8707325373127265,0.11041666666666665,0.3224937735020864,0.16450833330318726,58,24960,642,1053
df_node_similarity,0.05,0.11958933828247888,0.945156800124588,0.06676644823259738,0.12472242864200148,4941,782,73691,73
leiden,0.05,0.1335231915701148,0.9309146628948609,0.06383936733406623,0.11948481999622922,2409,1318,49347,42
eigenvector,0.05,0.13221602451228798,0.939074859866939,0.06480909816235965,0.12125025863426407,2415,1379,49286,36
louvain,0.05,0.13671730505393087,0.9385337105139084,0.06471178349902704,0.12107543097628201,2410,1343,49322,41
greedy_modularity,0.05,0.12843938771110452,0.9458451873061872,0.06409156271395604,0.12004850034166774,2412,2365,48300,39
label_propagation,0.05,0.1356016535183521,0.9284535468645585,0.06507596687702502,0.12162701042483498,2395,1440,49225,56
surprise_communities,0.05,0.23417549352396702,0.8622038231697734,0.06389577243243096,0.11897463196667149,2289,6573,44092,162
walktrap,0.05,0.16389247265509438,0.9277059192562694,0.06630150149339831,0.12375822173362695,2371,2897,47768,80
infomap,0.05,0.1413427007332421,0.9354166666666669,0.06780085878917493,0.12643729144761442,1044,942,24660,67
df_node_similarity,0.1,0.14063062255091272,0.937053884459927,0.06744535318361117,0.12583370463821497,4925,1310,73163,89
leiden,0.1,0.16836705703397878,0.9195148783171002,0.0643010800302025,0.12019687072154084,2362,3015,47650,89
eigenvector,0.1,0.17121501265078348,0.9177619852577591,0.06494180174144895,0.12130026907588587,2372,3625,47040,79
louvain,0.1,0.17237231259383035,0.927281642217648,0.06532235235400258,0.12204709732299386,2384,3150,47515,67
greedy_modularity,0.1,0.16493400382366835,0.932064335353396,0.0647104170101849,0.12101885943242473,2386,4315,46350,65
label_propagation,0.1,0.1702415848651981,0.9136418752212038,0.06648620896124023,0.12395233972377256,2365,2707,47958,86
surprise_communities,0.1,0.2555530043334004,0.8469907966406397,0.06451593768237063,0.11989907127607605,2245,7585,43080,206
walktrap,0.1,0.1940585125077239,0.9114765750674951,0.06739459943268182,0.12550905628682493,2327,4741,45924,124
infomap,0.1,0.17560612120107955,0.9189880952380952,0.06853603297782852,0.12755900661436476,1022,1666,23936,89
df_node_similarity,0.15,0.17818187706147662,0.91430182443447,0.06949686617045159,0.1291750276533743,4896,2243,72230,118
leiden,0.15,0.21700038237221894,0.9043317885795547,0.06735910185271873,0.12537933133958362,2289,5210,45455,162
eigenvector,0.15,0.22743732666463964,0.9011843367844334,0.06687184934838317,0.12450488735641026,2314,7326,43339,137
louvain,0.15,0.22360051161975034,0.8999187630725906,0.06718379740327414,0.1250331915736518,2300,6086,44579,151
greedy_modularity,0.15,0.21943582441248943,0.9131869714265269,0.06729604393372828,0.1253542786281679,2287,6841,43824,164
label_propagation,0.15,0.2277592315199785,0.8818612685891122,0.06827685690087437,0.1267409738154264,2316,4673,45992,135
surprise_communities,0.15,0.2814849453614842,0.8197766431695432,0.06374615528683589,0.11829374247570544,2190,9069,41596,261
