method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
leiden,,0.951586541672887,0.4422222222222223,0.4084175084175084,0.42464815987615234,37,3496,54,134
eigenvector,,0.9467441957893232,0.2822222222222222,0.34971941638608306,0.31236615793856587,25,3490,60,146
louvain,,0.9486575054171309,0.44000000000000006,0.342674609341276,0.38528611075568187,33,3488,62,138
greedy_modularity,,0.9508490347408787,0.3266666666666667,0.3589065255731922,0.34202853810797834,27,3502,48,144
label_propagation,,0.9593014739711732,0.23777777777777778,0.8888888888888888,0.37519175980714436,8,3549,1,163
infomap,,0.9590011736708729,0.23777777777777778,0.8333333333333334,0.3699861687413555,8,3548,2,163
surprise_communities,,0.7845942437271608,0.16888888888888887,0.04726357450967767,0.07385798392811292,34,2880,670,137
walktrap,,0.8938142800780664,0.14444444444444446,0.03467662180305859,0.055926926703661596,8,3306,244,163
df_node_similarity,,0.9573672571297117,0.34,0.7129629629629629,0.4604291241646149,8,3542,8,163
leiden,0.05,0.11045870572810773,1.0,0.04584034763841732,0.08766222825869766,171,252,3298,0
eigenvector,0.05,0.08099060692561046,1.0,0.043976351331731806,0.08424779215665963,171,138,3412,0
louvain,0.05,0.10410745219627725,1.0,0.04492409266990202,0.08598537058345697,171,225,3325,0
greedy_modularity,0.05,0.08831603365378855,0.9955555555555556,0.04413245949455083,0.08451826816146024,169,171,3379,2
label_propagation,0.05,0.061183889139952825,1.0,0.0433298459418768,0.08306068519061742,171,65,3485,0
infomap,0.05,0.06148418944025312,1.0,0.043331482431671654,0.0830636919546985,171,66,3484,0
surprise_communities,0.05,0.2530439270830884,0.9644444444444444,0.051412906505411665,0.09762176157020984,164,787,2763,7
walktrap,0.05,0.14693225190898576,1.0,0.047951970463037466,0.09151558814637256,171,392,3158,0
df_node_similarity,0.05,0.04890718512678183,0.9988888888888889,0.04705965114722607,0.08988465655170433,170,24,3526,1
leiden,0.1,0.17965754485096042,0.9977777777777779,0.048483303470087856,0.09247321469324428,170,507,3043,1
eigenvector,0.1,0.12432130386465721,1.0,0.04571826271182222,0.08743896772590115,171,296,3254,0
louvain,0.1,0.17303397479159172,0.9977777777777779,0.04868879613613205,0.09284691938068859,170,483,3067,1
greedy_modularity,0.1,0.15772159716616688,0.9955555555555556,0.048688698361696994,0.09283710006528248,169,435,3115,2
label_propagation,0.1,0.18200555268426036,1.0,0.05112400719469935,0.09727493016003327,171,476,3074,0
infomap,0.1,0.18470825538696306,1.0,0.05113906290081197,0.0973021833280257,171,485,3065,0
surprise_communities,0.1,0.2740758191597382,0.9622222222222222,0.052794965846902735,0.10009779136054087,163,867,2683,8
walktrap,0.1,0.1903421732287088,1.0,0.05028855907051567,0.09576141458690178,171,552,2998,0
df_node_similarity,0.1,0.05584410301664222,0.9988888888888889,0.0479990816584014,0.09159671463295661,170,51,3499,1
leiden,0.15,0.25034626161220874,0.9955555555555556,0.05285223162488701,0.10037570010648779,169,772,2778,2
eigenvector,0.15,0.20281189297035312,0.9977777777777779,0.04943936760368902,0.09421064687472887,170,592,2958,1
louvain,0.15,0.2560468160637285,0.9933333333333335,0.05384697833885969,0.10215623400683464,168,796,2754,3
greedy_modularity,0.15,0.25653252944433347,0.991111111111111,0.056713319701578974,0.10728744177235089,167,812,2738,4
label_propagation,0.15,0.3570320744909385,0.9333333333333333,0.061180933878299565,0.11483436052291089,168,1136,2414,3
infomap,0.15,0.349524566983431,0.9333333333333333,0.061129377068882405,0.11474353873201422,168,1111,2439,3
surprise_communities,0.15,0.30030859002178595,0.9577777777777777,0.05393319013312399,0.10211614311315649,161,965,2585,10
walktrap,0.15,0.24597672898548995,0.9977777777777779,0.052901342549730716,0.10047555526615588,170,755,2795,1
df_node_similarity,0.15,0.10053248745702924,0.9944444444444445,0.05307953585497967,0.10077983996048714,167,218,3332,4
leiden,0.2,0.33169197007417117,0.991111111111111,0.05876584872836096,0.1109529742179671,167,1078,2472,4
eigenvector,0.2,0.33231134128188167,0.9933333333333333,0.05946550396639368,0.11221339762264136,168,1081,2469,3
louvain,0.2,0.3374532415472282,0.9888888888888889,0.06025638723206644,0.11359126934010437,166,1107,2443,5
greedy_modularity,0.2,0.3844138055803329,0.991111111111111,0.07072990064511268,0.13203707455452826,167,1297,2253,4
label_propagation,0.2,0.6307303406107173,0.8888888888888888,0.13339530631172927,0.23197777323977223,166,2110,1440,5
