method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9524420437694398,0.22444444444444445,0.3072113072113072,0.25938540478252886,32,7089,73,304,"[0, 1, 1, 3, 3, 2, 10, 7, 5, 720, 741, 743, 838, 816, 812, 822, 776, 821, 11, 11, 13, 8, 9, 9, 3, 4, 5, 2, 1, 1, 7, 7, 8, 90, 93, 95]"
eigenvector,,0.9481276328969455,0.29555555555555557,0.26980417198808004,0.2820933931378726,38,7050,112,298,"[1, 1, 1, 2, 3, 4, 8, 6, 12, 723, 733, 742, 833, 803, 810, 821, 776, 809, 8, 19, 14, 13, 22, 11, 4, 4, 17, 1, 1, 1, 8, 7, 6, 92, 94, 88]"
louvain,,0.954393166138463,0.2177777777777778,0.3620953120953121,0.27197783028395517,39,7097,65,297,"[0, 0, 1, 4, 3, 5, 10, 8, 8, 719, 741, 746, 840, 818, 814, 822, 776, 821, 12, 11, 10, 6, 7, 7, 3, 4, 5, 2, 2, 1, 6, 7, 5, 90, 92, 92]"
greedy_modularity,,0.9536448573534037,0.27222222222222214,0.30390011223344554,0.28719026824028526,26,7102,60,310,"[1, 1, 1, 3, 2, 3, 5, 5, 5, 723, 743, 749, 838, 816, 815, 821, 775, 822, 8, 9, 7, 8, 9, 6, 4, 5, 4, 1, 1, 1, 7, 8, 7, 95, 95, 95]"
label_propagation,,0.9597143290591936,0.20333333333333337,1.0,0.3379501385041552,9,7162,0,327,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 731, 752, 756, 846, 825, 821, 825, 780, 826, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 9, 9, 9, 99, 99, 99]"
infomap,,0.9597143290591936,0.20333333333333337,1.0,0.3379501385041552,9,7162,0,327,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 731, 752, 756, 846, 825, 821, 825, 780, 826, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 9, 9, 9, 99, 99, 99]"
surprise_communities,,0.8069428498940412,0.23222222222222222,0.04897607203721474,0.08089190095658595,66,5970,1192,270,"[1, 0, 1, 2, 2, 1, 20, 21, 18, 605, 624, 630, 704, 686, 686, 691, 654, 690, 126, 128, 126, 142, 139, 135, 134, 126, 136, 1, 2, 1, 8, 8, 9, 80, 79, 82]"
walktrap,,0.8801184933002085,0.15111111111111114,0.019646064321879746,0.034771465399468494,11,6571,591,325,"[1, 1, 0, 1, 1, 1, 2, 1, 3, 637, 669, 705, 760, 775, 781, 730, 742, 772, 94, 83, 51, 86, 50, 40, 95, 38, 54, 1, 1, 2, 9, 9, 9, 98, 99, 97]"
df_node_similarity,,0.9551556043612689,0.23,0.6453703703703704,0.3391368732811509,14,7124,38,322,"[0, 1, 1, 2, 1, 1, 3, 3, 2, 726, 745, 843, 821, 814, 754, 823, 778, 820, 5, 7, 3, 4, 7, 2, 2, 2, 6, 2, 1, 9, 8, 9, 1, 97, 97, 98]"
leiden,0.05,0.07345698414671233,0.9955555555555556,0.04217129578016799,0.08091506497086921,332,241,6921,4,"[2, 2, 2, 10, 10, 10, 100, 99, 97, 23, 29, 30, 27, 30, 33, 22, 16, 31, 708, 723, 726, 819, 795, 788, 803, 764, 795, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
eigenvector,0.05,0.08084651456498952,0.9933333333333335,0.04282067960160964,0.08210209654795061,330,304,6858,6,"[2, 2, 2, 10, 10, 10, 99, 98, 97, 13, 29, 42, 18, 34, 37, 55, 24, 52, 718, 723, 714, 828, 791, 784, 770, 756, 774, 0, 0, 0, 0, 0, 0, 1, 2, 3]"
louvain,0.05,0.08792597363368847,0.9955555555555556,0.0438204047853608,0.08394584653747415,332,353,6809,4,"[2, 2, 2, 10, 10, 10, 100, 99, 97, 28, 30, 47, 22, 29, 25, 22, 106, 44, 703, 722, 709, 824, 796, 796, 803, 674, 782, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
greedy_modularity,0.05,0.08689262096928241,0.9977777777777779,0.04242976005710946,0.08139812520402429,334,339,6823,2,"[2, 2, 2, 10, 10, 10, 99, 100, 99, 26, 35, 12, 16, 187, 12, 17, 15, 19, 705, 717, 744, 830, 638, 809, 808, 765, 807, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
