method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
leiden,,0.9572322843716934,0.01712549303710859,0.12200435729847496,0.030035032257596912,18,32308,130,1332
eigenvector,,0.9570246215500665,0.014690493439587858,0.11728395061728396,0.026110496155902437,18,32301,137,1332
louvain,,0.9574697456783561,0.03934771525933081,0.13614223467164643,0.06105062867401672,19,32315,123,1331
greedy_modularity,,0.958567554228435,0.08893718640156699,0.2018111518111518,0.12346427248304172,22,32349,89,1328
label_propagation,,0.9527745101635214,0.018460382623628216,0.046871554734457956,0.026488326216927403,14,32161,277,1336
surprise_communities,,0.8830429071015614,0.05927178083662025,0.023183364771738997,0.03333010464459429,65,29755,2683,1285
walktrap,,0.9463424120764993,0.0472430169846253,0.053630860492309466,0.05023468347823911,30,31928,510,1320
infomap,,0.9968846848202748,0.0,0.0,nan,0,7362,13,10
leiden,0.05,0.04743477127820209,0.9986248624862486,0.039564000534391,0.07611253790203028,1345,274,32164,5
eigenvector,0.05,0.05212533291703481,0.9994499449944995,0.03993594609539829,0.07680300352450506,1348,430,32008,2
louvain,0.05,0.04640957399522998,0.9986248624862486,0.039554989499132366,0.076095863108259,1345,240,32198,5
greedy_modularity,0.05,0.0828169673797779,0.9620274222544205,0.039485181771315256,0.07585691380021718,1336,1469,30969,14
label_propagation,0.05,0.05282202451111209,0.9939896428667256,0.039769847326985554,0.07647971644547047,1337,466,31972,13
surprise_communities,0.05,0.1330868809326471,0.9776489844106363,0.04253297029849579,0.08151940940407607,1313,3201,29237,37
walktrap,0.05,0.067266232653818,0.9769043977568488,0.0399544610830204,0.07676913743277729,1328,963,31475,22
infomap,0.05,0.005427606704193179,1.0,0.0013597009700518975,0.0027157093874153474,10,30,7345,0
leiden,0.1,0.06748569781359935,0.9866041482197,0.03972676344731132,0.07637807488190829,1319,975,31463,31
eigenvector,0.1,0.08696578064445055,0.9798894523598702,0.040577263011256574,0.07792754321418924,1330,1627,30811,20
louvain,0.1,0.06842438325713902,0.9891196436716841,0.039577166899836834,0.07610902030453934,1337,987,31451,13
greedy_modularity,0.1,0.1148400905507598,0.9311170141404383,0.03940607784586959,0.07561215152075827,1321,2561,29877,29
label_propagation,0.1,0.06576492246067957,0.9917894228447235,0.04019648142623459,0.07726160783615998,1329,911,31527,21
surprise_communities,0.1,0.14641103918222095,0.9567133542622555,0.04248917118768015,0.08136480133191056,1290,3674,28764,60
walktrap,0.1,0.09986246316439301,0.9088545439909844,0.04007904814251215,0.0767725483113283,1311,2079,30359,39
infomap,0.1,0.006244822721627121,1.0,0.0013608293574426348,0.002717960035077181,10,36,7339,0
leiden,0.15,0.08546109220398722,0.9758780756124392,0.04031545558764624,0.07743204027258162,1280,1627,30811,70
eigenvector,0.15,0.15326153330985134,0.9668088760095522,0.04320427490184396,0.08271234175311008,1309,3890,28548,41
louvain,0.15,0.11015023033446082,0.9764683785451717,0.04064203755245571,0.07803609889648239,1291,2440,29998,59
greedy_modularity,0.15,0.13798075772450524,0.9137902814671711,0.03845657753227183,0.07380701017885809,1258,3396,29042,92
label_propagation,0.15,0.07466660750940954,0.9882140653089699,0.04048488072028514,0.07778316234223874,1316,1226,31212,34
surprise_communities,0.15,0.17094074797885023,0.9395476132979153,0.04301769933696506,0.08226868223798531,1263,4530,27908,87
walktrap,0.15,0.11696904273428406,0.894908637205184,0.04035881984283887,0.07723449841559059,1278,2692,29746,72
infomap,0.15,0.006789633399916416,1.0,0.0013615836829146144,0.0027194645872210045,10,40,7335,0
leiden,0.2,0.10358677601637321,0.9658228017923745,0.04093503554361333,0.07854121270080287,1270,2251,30187,80
eigenvector,0.2,0.1907636348012066,0.9355509941238025,0.04462723423764534,0.0851907380677484,1284,5176,27262,66
louvain,0.2,0.12998593272016212,0.9602417558829054,0.040519681810439405,0.07775817281519881,1232,3173,29265,118
greedy_modularity,0.2,0.17752561390460134,0.8879846521237489,0.03908706194996081,0.07487815792730734,1235,4752,27686,115
label_propagation,0.2,0.09786776384479247,0.9857388177842176,0.04146927410725851,0.07959024769282559,1307,2021,30417,43
surprise_communities,0.2,0.20441476185315421,0.9155061847648179,0.0433208045595272,0.08272705075017245,1211,5713,26725,139
walktrap,0.2,0.13759711118597479,0.8888580321446777,0.04094355339016776,0.0782812308810183,1256,3412,29026,94
infomap,0.2,0.010430836108361876,1.0,0.001366552370253154,0.0027293749067581682,10,67,7308,0
leiden,0.25,0.1431645710184352,0.911655799726314,0.041144446447061625,0.0787354398377581,1197,3667,28771,153
eigenvector,0.25,0.2374056173616996,0.890842254957203,0.043310512031906695,0.08260497761241364,1148,6885,25553,202
louvain,0.25,0.1903724666213453,0.9136547801121575,0.04147531765134376,0.07934860877602308,1160,5293,27145,190
greedy_modularity,0.25,0.2430310306565024,0.8349848399474094,0.04055077547429151,0.0773453008027237,1060,7152,25286,290
label_propagation,0.25,0.11407274996326772,0.9700622501274518,0.04129959106932811,0.07922619305993962,1250,2627,29811,100
surprise_communities,0.25,0.2568088227726356,0.899869865035284,0.04479902048374839,0.08534903421588641,1163,7531,24907,187
walktrap,0.25,0.16370409624739188,0.8380396576242989,0.04024470761965882,0.07680123278842785,1213,4330,28108,137
infomap,0.25,0.3261883774602111,0.8,0.0016057901272271192,0.0032051467631684758,8,2401,4974,2
leiden,0.3,0.192567661703192,0.8870240682604845,0.04072728234943627,0.07787879727696528,1134,5395,27043,216
eigenvector,0.3,0.26982275299102165,0.8097601223536987,0.043643267164093384,0.08282267868347769,1128,7994,24444,222
louvain,0.3,0.25184023820160595,0.894288819125815,0.042898954719844354,0.08187058480440525,1125,7407,25031,225
greedy_modularity,0.3,0.28566825913624894,0.7979030829912259,0.03980896405623286,0.07583439981102622,996,8649,23789,354
label_propagation,0.3,0.13630878137613886,0.9464501328181599,0.04106138194980605,0.07870804505853808,1173,3458,28980,177
