method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.7130511456650761,0.06481481481481481,0.09259259259259259,0.07625272331154684,2,127,25,25,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 14, 15, 18, 6, 17, 10, 12, 19, 16, 3, 2, 3, 2, 3, 4, 3, 4, 1, 2, 2, 2, 2, 3, 3, 4, 4, 3]"
eigenvector,,0.7353600042312445,0.09259259259259259,0.14814814814814814,0.11396011396011395,3,131,21,24,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 14, 15, 18, 6, 17, 10, 13, 22, 16, 3, 2, 3, 2, 3, 4, 2, 1, 1, 2, 2, 2, 2, 3, 3, 4, 3, 3]"
louvain,,0.7072031924487018,0.06481481481481481,0.09259259259259259,0.07625272331154684,2,126,26,25,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 14, 14, 18, 6, 17, 10, 12, 19, 16, 3, 3, 3, 2, 3, 4, 3, 4, 1, 2, 2, 2, 2, 3, 3, 4, 4, 3]"
greedy_modularity,,0.728533237589339,0.06481481481481481,0.09259259259259259,0.07625272331154684,2,130,22,25,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 14, 15, 18, 6, 18, 11, 12, 20, 16, 3, 2, 3, 2, 2, 3, 3, 3, 1, 2, 2, 2, 2, 3, 3, 4, 4, 3]"
label_propagation,,0.7630529517279641,0.12962962962962962,0.12962962962962962,0.12962962962962962,3,136,16,24,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 15, 15, 19, 6, 18, 13, 13, 21, 16, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 3, 2, 2, 4, 4, 4]"
infomap,,0.7259852105427254,0.027777777777777776,0.05555555555555555,0.037037037037037035,1,131,21,26,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 15, 18, 6, 17, 12, 13, 20, 16, 3, 2, 3, 2, 3, 2, 2, 3, 1, 2, 2, 2, 3, 3, 3, 4, 4, 3]"
surprise_communities,,0.5522622694815751,0.06481481481481481,0.034567901234567905,0.04508856682769726,2,99,53,25,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 9, 10, 16, 4, 16, 9, 10, 16, 9, 8, 7, 5, 4, 4, 5, 5, 7, 8, 2, 2, 2, 2, 3, 3, 4, 4, 3]"
walktrap,,0.7392253816776334,0.09259259259259259,0.16666666666666666,0.11904761904761904,3,130,22,24,"[0, 0, 0, 1, 0, 0, 0, 0, 2, 13, 15, 18, 7, 17, 12, 11, 20, 17, 4, 2, 3, 1, 3, 2, 4, 3, 0, 2, 2, 2, 2, 3, 3, 4, 4, 2]"
df_node_similarity,,0.7556038505620475,0.125,0.2037037037037037,0.15492957746478872,4,134,18,23,"[0, 0, 0, 1, 0, 0, 0, 1, 2, 15, 15, 19, 6, 18, 10, 12, 22, 17, 2, 2, 2, 2, 2, 4, 3, 1, 0, 2, 2, 2, 2, 3, 3, 4, 3, 2]"
leiden,0.05,0.28549691789846743,0.8518518518518519,0.1543572472174348,0.2613562270715894,23,28,124,4,"[2, 2, 2, 1, 3, 1, 4, 4, 4, 3, 2, 3, 2, 3, 4, 4, 4, 3, 14, 15, 18, 6, 17, 10, 11, 19, 14, 0, 0, 0, 2, 0, 2, 0, 0, 0]"
eigenvector,0.05,0.28449040743203263,0.8888888888888888,0.1603524507446076,0.27169251989780097,24,26,126,3,"[2, 2, 2, 1, 3, 2, 4, 4, 4, 4, 2, 3, 2, 3, 5, 2, 2, 3, 13, 15, 18, 6, 17, 9, 13, 21, 14, 0, 0, 0, 2, 0, 1, 0, 0, 0]"
louvain,0.05,0.2961757889892378,0.8518518518518519,0.1557590360031245,0.2633628216232967,23,30,122,4,"[2, 2, 2, 1, 3, 1, 4, 4, 4, 3, 3, 4, 2, 3, 4, 4, 4, 3, 14, 14, 17, 6, 17, 10, 11, 19, 14, 0, 0, 0, 2, 0, 2, 0, 0, 0]"
greedy_modularity,0.05,0.27416827422809986,0.8611111111111112,0.15604774673402122,0.2642152649807184,23,25,127,4,"[2, 2, 2, 1, 3, 2, 4, 3, 4, 4, 2, 3, 2, 2, 3, 4, 2, 3, 13, 15, 18, 6, 18, 11, 11, 21, 14, 0, 0, 0, 2, 0, 1, 0, 1, 0]"
label_propagation,0.05,0.24532671246001886,0.9259259259259258,0.1622403776325345,0.27610223068059897,25,18,134,2,"[2, 2, 2, 2, 2, 3, 4, 4, 4, 3, 2, 3, 1, 2, 2, 2, 2, 1, 14, 15, 18, 7, 18, 12, 13, 21, 16, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
infomap,0.05,0.2833518576178722,0.9629629629629631,0.17700228239443927,0.2990383136677432,26,23,129,1,"[2, 2, 2, 3, 3, 2, 4, 4, 4, 3, 2, 3, 2, 3, 2, 2, 3, 3, 14, 15, 18, 6, 17, 12, 13, 20, 14, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
surprise_communities,0.05,0.39395281081764977,0.574074074074074,0.144257423862687,0.2305744555825503,16,54,98,11,"[0, 2, 1, 1, 2, 2, 3, 3, 2, 7, 8, 6, 3, 4, 5, 4, 7, 10, 10, 9, 15, 5, 16, 9, 11, 16, 7, 2, 0, 1, 2, 1, 1, 1, 1, 2]"
walktrap,0.05,0.2860815628647399,0.898148148148148,0.16542321532001616,0.27938803093739395,24,27,125,3,"[2, 2, 2, 2, 3, 2, 3, 4, 4, 5, 2, 4, 1, 3, 2, 5, 3, 2, 12, 15, 17, 7, 17, 12, 10, 20, 15, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
df_node_similarity,0.05,0.24120470214605808,0.9120370370370372,0.1627001599860217,0.2761392687442629,23,20,132,4,"[2, 2, 2, 1, 3, 2, 3, 4, 4, 2, 2, 2, 1, 2, 4, 3, 2, 2, 15, 15, 19, 7, 18, 10, 12, 21, 15, 0, 0, 0, 2, 0, 1, 1, 0, 0]"
leiden,0.1,0.28503683048185824,0.8240740740740741,0.14985852765163574,0.25359974026499565,22,29,123,5,"[2, 2, 2, 1, 3, 1, 4, 4, 3, 3, 2, 4, 2, 3, 4, 4, 4, 3, 14, 15, 17, 6, 17, 10, 11, 19, 14, 0, 0, 0, 2, 0, 2, 0, 0, 1]"
eigenvector,0.1,0.2791994021410273,0.8611111111111112,0.15526893585717116,0.263098053283962,23,26,126,4,"[2, 2, 2, 1, 3, 2, 4, 4, 3, 4, 2, 3, 2, 3, 5, 2, 2, 3, 13, 15, 18, 6, 17, 9, 13, 21, 14, 0, 0, 0, 2, 0, 1, 0, 0, 1]"
louvain,0.1,0.29088478369823245,0.8240740740740741,0.15067552111568802,0.25476859115774547,22,30,122,5,"[2, 2, 2, 1, 3, 1, 4, 4, 3, 3, 3, 4, 2, 3, 4, 4, 4, 3, 14, 14, 17, 6, 17, 10, 11, 19, 14, 0, 0, 0, 2, 0, 2, 0, 0, 1]"
greedy_modularity,0.1,0.2778234131489392,0.8333333333333335,0.15215289190252174,0.2573228794853816,22,27,125,5,"[2, 2, 2, 1, 3, 2, 4, 3, 3, 4, 2, 4, 2, 2, 3, 4, 3, 3, 13, 15, 17, 6, 18, 11, 11, 20, 14, 0, 0, 0, 2, 0, 1, 0, 1, 1]"
label_propagation,0.1,0.250157630334415,0.9259259259259258,0.16282517295417193,0.27694860503326857,25,19,133,2,"[2, 2, 2, 2, 2, 3, 4, 4, 4, 3, 2, 3, 1, 3, 2, 2, 2, 1, 14, 15, 18, 7, 17, 12, 13, 21, 16, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
infomap,0.1,0.282891770201263,0.9351851851851853,0.17250356282864027,0.2912781711257261,25,24,128,2,"[2, 2, 2, 3, 3, 2, 4, 4, 3, 3, 2, 4, 2, 3, 2, 2, 3, 3, 14, 15, 17, 6, 17, 12, 13, 20, 14, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
surprise_communities,0.1,0.4046316819084202,0.574074074074074,0.14681514210667979,0.23383001125047473,16,56,96,11,"[0, 2, 1, 1, 2, 2, 3, 3, 2, 7, 8, 6, 3, 5, 5, 5, 7, 10, 10, 9, 15, 5, 15, 9, 10, 16, 7, 2, 0, 1, 2, 1, 1, 1, 1, 2]"
walktrap,0.1,0.29722052137211946,0.898148148148148,0.16794376170021166,0.28297443620134805,24,29,123,3,"[2, 2, 2, 2, 3, 2, 3, 4, 4, 6, 2, 4, 1, 3, 2, 5, 3, 3, 11, 15, 17, 7, 17, 12, 10, 20, 14, 0, 0, 0, 1, 0, 1, 1, 0, 0]"
