method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
df_node_similarity,,0.9328238648880721,0.035721686355031104,0.13649999472732455,0.056624810168717385,19,59313,120,4196,"[4, 0, 6, 1, 1, 0, 1, 1, 5, 5408, 6943, 6128, 7070, 6937, 6624, 7059, 7058, 6086, 18, 9, 22, 13, 10, 10, 8, 7, 23, 1261, 127, 1259, 126, 126, 13, 12, 12, 1260]"
leiden,,0.9325668491709685,0.008060059686215112,0.16487508966308267,0.015368802333762354,38,59279,154,4177,"[14, 1, 6, 3, 2, 0, 0, 0, 12, 5401, 6939, 6132, 7069, 6930, 6615, 7048, 7047, 6098, 25, 13, 18, 14, 17, 19, 19, 18, 11, 1251, 126, 1259, 124, 125, 13, 13, 13, 1253]"
eigenvector,,0.9948379816529501,0.05128205128205129,0.022988505747126436,0.031746031746031744,2,20695,71,37,"[0, 2, 0, 6622, 7040, 7033, 12, 27, 32, 13, 11, 13]"
louvain,,0.9957736535729573,0.0,0.0,nan,0,20717,49,39,"[0, 0, 0, 6620, 7050, 7047, 14, 17, 18, 13, 13, 13]"
greedy_modularity,,0.9903423740698499,0.025641025641025644,0.006410256410256411,0.010256410256410258,1,20603,163,38,"[1, 0, 0, 6583, 7027, 6993, 51, 40, 72, 12, 13, 13]"
label_propagation,,0.9912373383872835,0.05128205128205129,0.013997113997113996,0.02199172476336224,2,20621,145,37,"[0, 1, 1, 6584, 7013, 7024, 50, 54, 41, 13, 12, 12]"
infomap,,0.9616897834008703,0.0,0.0,nan,0,20007,759,39,"[0, 0, 0, 6407, 6787, 6813, 227, 280, 252, 13, 13, 13]"
surprise_communities,,0.4939633624476183,0.0,0.0,nan,0,6768,6931,26,"[0, 0, 3463, 3305, 3171, 3760, 13, 13]"
walktrap,,0.8182512528942578,0.038461538461538464,0.002008032128514056,0.0038167938931297713,1,11292,2407,25,"[0, 1, 4475, 6817, 2159, 248, 13, 12]"
df_node_similarity,0.05,0.06695053560425818,0.997979797979798,0.06566737003616081,0.12322640562245005,4169,132,59301,46,"[1254, 127, 1248, 127, 127, 13, 13, 13, 1247, 12, 15, 19, 20, 12, 12, 15, 10, 17, 5414, 6937, 6131, 7063, 6935, 6622, 7052, 7055, 6092, 11, 0, 17, 0, 0, 0, 0, 0, 18]"
leiden,0.05,0.07893401355589974,0.990696419864513,0.0661825989798033,0.12407638470922894,4127,958,58475,88,"[1239, 126, 1216, 127, 126, 13, 13, 13, 1254, 41, 77, 535, 48, 39, 48, 102, 27, 41, 5385, 6875, 5615, 7035, 6908, 6586, 6965, 7038, 6068, 26, 1, 49, 0, 1, 0, 0, 0, 11]"
eigenvector,0.05,0.012479342136274822,0.8974358974358975,0.001705543285528191,0.003404616225531041,35,228,20538,4,"[13, 11, 11, 18, 73, 137, 6616, 6994, 6928, 0, 2, 2]"
louvain,0.05,0.017769377014328194,1.0,0.0019073834490050436,0.0038075045268934787,39,324,20442,0,"[13, 13, 13, 208, 40, 76, 6426, 7027, 6989, 0, 0, 0]"
greedy_modularity,0.05,0.014786715033434405,1.0,0.001900812851835077,0.0037944132342293577,39,268,20498,0,"[13, 13, 13, 95, 64, 109, 6539, 7003, 6956, 0, 0, 0]"
label_propagation,0.05,0.011363532838490327,1.0,0.0018942102819713754,0.0037812580660352793,39,197,20569,0,"[13, 13, 13, 69, 71, 57, 6565, 6996, 7008, 0, 0, 0]"
infomap,0.05,0.05173547404688467,0.794871794871795,0.001572670049315384,0.003139129267385281,31,1046,19720,8,"[11, 8, 12, 323, 367, 356, 6311, 6700, 6709, 2, 5, 1]"
surprise_communities,0.05,0.5271979153988867,1.0,0.0040013930730305,0.007970891476122566,26,7222,6477,0,"[13, 13, 3303, 3919, 3331, 3146, 0, 0]"
walktrap,0.05,0.19024739823394526,1.0,0.002425781587707081,0.004839822822324004,26,2523,11176,0,"[13, 13, 2210, 313, 4424, 6752, 0, 0]"
df_node_similarity,0.1,0.06735866408300474,0.9979358805445762,0.06584993058604237,0.12354744305780674,4168,159,59274,47,"[1254, 127, 1248, 127, 127, 13, 13, 13, 1246, 12, 31, 22, 21, 14, 15, 15, 10, 19, 5414, 6921, 6128, 7062, 6933, 6619, 7052, 7055, 6090, 11, 0, 17, 0, 0, 0, 0, 0, 19]"
leiden,0.1,0.08832439431006842,0.987270859917214,0.06654202992831978,0.12468059129092401,4088,1598,57835,127,"[1229, 126, 1205, 127, 126, 13, 13, 13, 1236, 112, 258, 674, 79, 110, 74, 144, 47, 100, 5314, 6694, 5476, 7004, 6837, 6560, 6923, 7018, 6009, 36, 1, 60, 0, 1, 0, 0, 0, 29]"
eigenvector,0.1,0.020332964248530594,0.8974358974358975,0.0017199174038101362,0.0034332550450760987,35,389,20377,4,"[13, 11, 11, 107, 98, 184, 6527, 6969, 6881, 0, 2, 2]"
louvain,0.1,0.03089614958593394,0.9743589743589745,0.0018860781930692735,0.0037648686852870604,38,597,20169,1,"[13, 12, 13, 312, 75, 210, 6322, 6992, 6855, 0, 1, 0]"
greedy_modularity,0.1,0.026375888301782894,1.0,0.0019232085934082499,0.003839033923783893,39,513,20253,0,"[13, 13, 13, 112, 127, 274, 6522, 6940, 6791, 0, 0, 0]"
label_propagation,0.1,0.011696206561018071,1.0,0.0018948390160593066,0.0037825107831081146,39,204,20562,0,"[13, 13, 13, 70, 74, 60, 6564, 6993, 7005, 0, 0, 0]"
infomap,0.1,0.05817070907978591,0.7435897435897436,0.0014838163439997686,0.002961722638143744,29,1182,19584,10,"[11, 8, 10, 364, 412, 406, 6270, 6655, 6659, 2, 5, 3]"
surprise_communities,0.1,0.5389349768593276,1.0,0.004105196372937268,0.008176825272424039,26,7384,6315,0,"[13, 13, 3367, 4017, 3267, 3048, 0, 0]"
walktrap,0.1,0.19543699760577968,1.0,0.0024431462776407483,0.004874383722833264,26,2594,11105,0,"[13, 13, 2248, 346, 4386, 6719, 0, 0]"
df_node_similarity,0.15,0.0676906909942227,0.9978041282389107,0.06662724977897563,0.1249135383559687,4165,183,59250,50,"[1254, 127, 1246, 127, 127, 13, 13, 13, 1245, 14, 34, 26, 24, 18, 19, 15, 11, 22, 5412, 6918, 6124, 7059, 6929, 6615, 7052, 7054, 6087, 11, 0, 19, 0, 0, 0, 0, 0, 20]"
leiden,0.15,0.11129915167890175,0.9785786658090664,0.0681071393027197,0.12735090737914354,3998,3124,56309,217,"[1203, 126, 1169, 127, 125, 13, 13, 13, 1209, 694, 344, 818, 99, 217, 129, 533, 92, 198, 4732, 6608, 5332, 6984, 6730, 6505, 6534, 6973, 5911, 62, 1, 96, 0, 2, 0, 0, 0, 56]"
eigenvector,0.15,0.03028802926641456,0.8974358974358975,0.0017370759259687848,0.0034674402783872686,35,598,20168,4,"[13, 11, 11, 144, 145, 309, 6490, 6922, 6756, 0, 2, 2]"
louvain,0.15,0.05273351201642792,0.9487179487179488,0.001880343557052436,0.003753248237091771,37,1052,19714,2,"[13, 12, 12, 462, 187, 403, 6172, 6880, 6662, 0, 1, 1]"
greedy_modularity,0.15,0.03469198310234659,1.0,0.0019397452427152833,0.0038719798309735463,39,685,20081,0,"[13, 13, 13, 183, 197, 305, 6451, 6870, 6760, 0, 0, 0]"
label_propagation,0.15,0.012279606662138195,1.0,0.0018959699770440118,0.0037847641548801785,39,216,20550,0,"[13, 13, 13, 76, 78, 62, 6558, 6989, 7003, 0, 0, 0]"
infomap,0.15,0.06850223568336895,0.6923076923076922,0.0013987909043326966,0.002791940760062289,27,1401,19365,12,"[11, 7, 9, 401, 482, 518, 6233, 6585, 6547, 2, 6, 4]"
surprise_communities,0.15,0.5562946471973644,1.0,0.0042680622440002,0.008499846613589148,26,7623,6076,0,"[13, 13, 3471, 4152, 3163, 2913, 0, 0]"
walktrap,0.15,0.2021257425426483,1.0,0.002461637590966459,0.00491118562278765,26,2687,11012,0,"[13, 13, 2274, 413, 4360, 6652, 0, 0]"
df_node_similarity,0.2,0.06814596851195248,0.9975845410628019,0.06583986583055376,0.12352703570174153,4160,217,59216,55,"[1254, 127, 1243, 127, 127, 13, 13, 13, 1243, 15, 42, 27, 26, 23, 21, 17, 16, 30, 5411, 6910, 6123, 7057, 6924, 6613, 7050, 7049, 6079, 11, 0, 22, 0, 0, 0, 0, 0, 22]"
leiden,0.2,0.13959349591452663,0.9414348898087344,0.0665643593922611,0.12433741473382129,3602,5358,54075,613,"[1193, 125, 1157, 126, 124, 13, 13, 13, 838, 768, 462, 920, 189, 276, 168, 653, 454, 1468, 4658, 6490, 5230, 6894, 6671, 6466, 6414, 6611, 4641, 72, 2, 108, 1, 3, 0, 0, 0, 427]"
eigenvector,0.2,0.21718542428383425,0.8974358974358975,0.0024906985227517303,0.004967610189644113,35,4347,16419,4,"[13, 11, 11, 3531, 280, 536, 3103, 6787, 6529, 0, 2, 2]"
louvain,0.2,0.08984263155805573,0.8974358974358975,0.0018451607883181334,0.0036827497095239543,35,1835,18931,4,"[11, 12, 12, 573, 515, 747, 6061, 6552, 6318, 2, 1, 1]"
greedy_modularity,0.2,0.044042135181796116,0.9743589743589745,0.0019091882994810704,0.0038109093884101755,38,881,19885,1,"[13, 13, 12, 238, 286, 357, 6396, 6781, 6708, 0, 0, 1]"
label_propagation,0.2,0.6183494159388884,0.8974358974358975,0.014377635195657455,0.028301852260476663,35,12705,8061,4,"[11, 11, 13, 6033, 6606, 66, 601, 461, 6999, 2, 2, 0]"
infomap,0.2,0.1301501190808884,0.6153846153846154,0.0013312303183288133,0.0026567135031186208,24,2710,18056,15,"[10, 7, 7, 449, 540, 1721, 6185, 6527, 5344, 3, 6, 6]"
surprise_communities,0.2,0.5747120046805496,1.0,0.004454347811823679,0.008869189170274096,26,7876,5823,0,"[13, 13, 3590, 4286, 3044, 2779, 0, 0]"
walktrap,0.2,0.21028105955802168,0.9615384615384616,0.0023786432378766565,0.004745546993955427,25,2798,10901,1,"[12, 13, 2359, 439, 4275, 6626, 1, 0]"
df_node_similarity,0.25,0.06881561377480008,0.9974527887571365,0.06762407498049006,0.12666094715400322,4157,262,59171,58,"[1253, 127, 1243, 127, 127, 13, 13, 13, 1241, 17, 47, 30, 29, 32, 35, 19, 18, 35, 5409, 6905, 6120, 7054, 6915, 6599, 7048, 7047, 6074, 12, 0, 22, 0, 0, 0, 0, 0, 24]"
leiden,0.25,0.21566515401860833,0.9131831841177956,0.07013934976354308,0.13027276919243913,3361,10425,49008,854,"[1096, 122, 1149, 124, 120, 13, 13, 13, 711, 1620, 1407, 966, 540, 847, 414, 731, 1514, 2386, 3806, 5545, 5184, 6543, 6100, 6220, 6336, 5551, 3723, 169, 5, 116, 3, 7, 0, 0, 0, 554]"
eigenvector,0.25,0.2648297547800798,0.8717948717948718,0.002576453231819592,0.005137722728615506,34,5351,15415,5,"[13, 11, 10, 3667, 771, 913, 2967, 6296, 6152, 0, 2, 3]"
louvain,0.25,0.135551473352553,0.8461538461538461,0.0018430725922691778,0.0036781335597192545,33,2758,18008,6,"[11, 11, 11, 1338, 594, 826, 5296, 6473, 6239, 2, 2, 2]"
greedy_modularity,0.25,0.13450961892148147,0.9487179487179488,0.0020591184917622633,0.0041093180284732436,37,2788,17978,2,"[12, 13, 12, 472, 716, 1600, 6162, 6351, 5465, 1, 0, 1]"
label_propagation,0.25,0.6199706810433169,0.8974358974358975,0.014634890131832121,0.028800123714873848,35,12738,8028,4,"[11, 11, 13, 6055, 6608, 75, 579, 459, 6990, 2, 2, 0]"
infomap,0.25,0.20189613709840504,0.6153846153846154,0.0014820012922418292,0.002956881667997568,24,4151,16615,15,"[10, 7, 7, 1721, 622, 1808, 4913, 6445, 5257, 3, 6, 6]"
