method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
leiden,,0.8970137930235045,0.051111111111111114,0.040656565656565655,0.045288326300984526,5,2053,104,166
eigenvector,,0.9032228926838131,0.08888888888888889,0.13239229905896574,0.10636425509040703,13,2070,87,158
louvain,,0.8988168109699222,0.10666666666666666,0.05300224466891133,0.07081619981489942,6,2054,103,165
greedy_modularity,,0.9092630207291413,0.10222222222222221,0.17390171556838224,0.1287582667109257,13,2087,70,158
label_propagation,,0.8533213232004593,0.03333333333333333,0.026141040029928918,0.029302301200398385,6,1984,173,165
infomap,,0.8596801549216743,0.062222222222222213,0.04163750255704279,0.04988994419904136,10,1971,186,161
surprise_communities,,0.8070188236817193,0.12888888888888891,0.045071081182192295,0.06678733702035028,16,1867,290,155
walktrap,,0.8678316974911044,0.07777777777777778,0.04172051780747433,0.05430921247723691,8,1996,161,163
df_node_similarity,,0.9043262061614633,0.11444444444444446,0.14514389931056598,0.12797888133817636,12,2070,87,159
leiden,0.05,0.1295151877271485,0.9733333333333333,0.0537887802985683,0.10194389182959897,168,154,2003,3
eigenvector,0.05,0.13179391763171536,0.9866666666666666,0.05367935838903275,0.10181926461953208,165,165,1992,6
louvain,0.05,0.1362154171534985,0.9866666666666666,0.05390340191164149,0.10222221740207688,165,169,1988,6
greedy_modularity,0.05,0.11035205487876137,0.9755555555555555,0.05275174682418495,0.10009120728890715,169,108,2049,2
label_propagation,0.05,0.18107428064241227,0.9644444444444444,0.054618675958303574,0.10338256293698209,164,244,1913,7
infomap,0.05,0.16578937901504384,0.9555555555555555,0.05229474916844215,0.09916261940898796,151,245,1912,20
surprise_communities,0.05,0.22149880779494494,0.94,0.053380163545664924,0.10102346629074482,144,355,1802,27
walktrap,0.05,0.18031511375613152,0.9066666666666667,0.051826425759628654,0.09804826567874987,153,249,1908,18
df_node_similarity,0.05,0.12758847849397553,0.9977777777777779,0.05452745460308282,0.1034039949770988,170,147,2010,1
leiden,0.1,0.16367495693729672,0.9600000000000001,0.054283652077528374,0.10275686862878464,162,234,1923,9
eigenvector,0.1,0.1824679177036654,0.9733333333333333,0.05544205490444624,0.10490841970749364,159,290,1867,12
louvain,0.1,0.1720649112893772,0.98,0.05531065152278144,0.10471144754977549,162,251,1906,9
greedy_modularity,0.1,0.1440755402486649,0.9733333333333333,0.053945547182524985,0.10222540393566884,168,171,1986,3
label_propagation,0.1,0.20572484692927356,0.9555555555555555,0.05499402079059876,0.10400250184419238,160,297,1860,11
