method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9171689084834256,0.23444444444444443,0.11238717709305944,0.15193856419122714,19,4343,139,317,"[2, 0, 1, 1, 2, 2, 6, 3, 2, 161, 169, 113, 582, 485, 483, 800, 765, 785, 12, 12, 9, 19, 15, 15, 18, 17, 22, 0, 2, 1, 9, 8, 8, 94, 97, 98]"
eigenvector,,0.9133245856818328,0.25999999999999995,0.17589031339031339,0.20983022598408466,24,4362,120,312,"[1, 0, 2, 0, 4, 3, 7, 5, 2, 158, 163, 109, 583, 484, 486, 811, 772, 796, 15, 18, 13, 18, 16, 12, 7, 10, 11, 1, 2, 0, 10, 6, 7, 93, 95, 98]"
louvain,,0.9168872776080943,0.23111111111111107,0.09862113195446527,0.13824816871487489,16,4340,142,320,"[1, 1, 1, 2, 2, 1, 4, 3, 1, 162, 170, 113, 582, 482, 481, 800, 764, 786, 11, 11, 9, 19, 18, 17, 18, 18, 21, 1, 1, 1, 8, 8, 9, 96, 97, 99]"
greedy_modularity,,0.9192671955819064,0.09555555555555556,0.09659998679606524,0.09607493275490721,10,4380,102,326,"[0, 0, 1, 1, 0, 2, 2, 3, 1, 160, 169, 113, 585, 487, 483, 809, 775, 799, 13, 12, 9, 16, 13, 15, 9, 7, 8, 2, 2, 1, 9, 10, 8, 98, 97, 99]"
label_propagation,,0.850994422965785,0.25333333333333335,0.0874011820565033,0.1299641321180222,40,4117,365,296,"[0, 1, 1, 3, 3, 4, 12, 6, 10, 139, 148, 98, 562, 451, 448, 775, 732, 764, 34, 33, 24, 39, 49, 50, 43, 50, 43, 2, 1, 1, 7, 7, 6, 88, 94, 90]"
infomap,,0.8679945705148517,0.1466666666666667,0.06221264367816093,0.08736644196817538,29,4142,340,307,"[0, 1, 0, 3, 0, 3, 10, 5, 7, 151, 158, 104, 559, 456, 453, 770, 737, 754, 22, 23, 18, 42, 44, 45, 48, 45, 53, 2, 1, 2, 7, 10, 7, 90, 95, 93]"
surprise_communities,,0.8251796700098597,0.1466666666666667,0.055794828440894895,0.08083750937744563,38,3976,506,298,"[1, 0, 0, 1, 1, 3, 12, 11, 9, 145, 144, 94, 533, 433, 430, 749, 711, 737, 28, 37, 28, 68, 67, 68, 69, 71, 70, 1, 2, 2, 9, 9, 7, 88, 89, 91]"
walktrap,,0.8791181960954081,0.13333333333333336,0.051691076246625306,0.07449982967324739,13,4221,261,323,"[0, 0, 2, 0, 1, 0, 5, 4, 1, 148, 160, 106, 565, 466, 457, 792, 757, 770, 25, 21, 16, 36, 34, 41, 26, 25, 37, 2, 2, 0, 10, 9, 10, 95, 96, 99]"
df_node_similarity,,0.9136257394704983,0.2383333333333333,0.12432497834067882,0.16340883719308272,12,4322,160,324,"[1, 1, 1, 0, 2, 2, 2, 2, 1, 164, 169, 113, 582, 479, 473, 800, 756, 786, 9, 12, 9, 19, 21, 25, 18, 26, 21, 1, 1, 1, 10, 8, 8, 98, 98, 99]"
leiden,0.05,0.119547399828144,0.9655555555555555,0.04858979339323574,0.09252351253746055,323,281,4201,13,"[2, 2, 2, 8, 10, 10, 97, 96, 96, 18, 22, 15, 34, 24, 37, 45, 41, 45, 155, 159, 107, 567, 476, 461, 773, 741, 762, 0, 0, 0, 2, 0, 0, 3, 4, 4]"
eigenvector,0.05,0.12287498626818029,0.9922222222222222,0.048585415588232234,0.09263484869108012,329,231,4251,7,"[2, 2, 2, 10, 10, 10, 99, 95, 99, 22, 27, 19, 30, 46, 29, 24, 17, 17, 151, 154, 103, 571, 454, 469, 794, 765, 790, 0, 0, 0, 0, 0, 0, 1, 5, 1]"
louvain,0.05,0.10856245149589071,0.9777777777777779,0.048244396274893596,0.0919518111262074,325,234,4248,11,"[2, 2, 2, 10, 9, 10, 96, 99, 95, 16, 16, 13, 32, 29, 33, 29, 34, 32, 157, 165, 109, 569, 471, 465, 789, 748, 775, 0, 0, 0, 0, 1, 0, 4, 1, 5]"
greedy_modularity,0.05,0.10872061014539385,0.9955555555555556,0.04869835236067994,0.09285464937511323,332,185,4297,4,"[2, 2, 2, 10, 10, 10, 98, 99, 99, 19, 17, 20, 26, 19, 24, 23, 17, 20, 154, 164, 102, 575, 481, 474, 795, 765, 787, 0, 0, 0, 0, 0, 0, 2, 1, 1]"
label_propagation,0.05,0.19458477596459664,0.8555555555555556,0.048840189964512504,0.0924053348669809,313,545,3937,23,"[0, 2, 2, 9, 10, 10, 92, 93, 95, 43, 46, 30, 58, 68, 70, 85, 72, 73, 130, 135, 92, 543, 432, 428, 733, 710, 734, 2, 0, 0, 1, 0, 0, 8, 7, 5]"
infomap,0.05,0.16263421650930288,0.938888888888889,0.048510029017578456,0.092253549033353,308,477,4005,28,"[2, 2, 2, 10, 8, 9, 92, 91, 92, 26, 30, 22, 66, 56, 65, 71, 68, 73, 147, 151, 100, 535, 444, 433, 747, 714, 734, 0, 0, 0, 0, 2, 1, 8, 9, 8]"
surprise_communities,0.05,0.20349419991389403,0.9233333333333333,0.04874076131692091,0.09259370219540537,294,646,3836,42,"[2, 2, 2, 9, 9, 9, 84, 88, 89, 32, 42, 32, 90, 77, 83, 101, 95, 94, 141, 139, 90, 511, 423, 415, 717, 687, 713, 0, 0, 0, 1, 1, 1, 16, 12, 11]"
walktrap,0.05,0.15022138615469313,0.9666666666666668,0.04852310421199905,0.09240768327351187,315,375,4107,21,"[2, 2, 2, 10, 9, 10, 93, 95, 92, 33, 28, 22, 48, 42, 53, 50, 48, 51, 140, 153, 100, 553, 458, 445, 768, 734, 756, 0, 0, 0, 0, 1, 0, 7, 5, 8]"
df_node_similarity,0.05,0.11873766656298557,0.9866666666666668,0.04891316084178409,0.09320572703701069,325,293,4189,11,"[2, 2, 2, 10, 9, 10, 98, 97, 95, 15, 18, 14, 33, 40, 39, 34, 48, 52, 158, 163, 108, 568, 460, 459, 784, 734, 755, 0, 0, 0, 0, 1, 0, 2, 3, 5]"
