method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.8898285248367839,0.07387910515917502,0.14229201452444915,0.09726004768581484,146,109345,753,6520,"[12, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 0, 0, 0, 1, 1, 3, 3, 6, 3, 3, 0, 2, 0, 0, 1, 1, 1, 1, 10, 8, 7, 0, 0, 0, 0, 1, 4, 3, 4, 12, 6, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 10, 0, 0, 0, 1, 1, 0, 1, 3, 3, 2, 0, 5406, 6940, 3393, 3704, 14, 15, 18, 5, 17, 10, 12, 19, 15, 3393, 3393, 6136, 159, 169, 112, 582, 484, 484, 797, 768, 786, 7068, 3741, 6927, 379, 341, 359, 394, 391, 421, 406, 397, 400, 3692, 6612, 720, 740, 743, 839, 816, 814, 824, 775, 822, 7052, 78, 61, 42, 63, 72, 87, 80, 85, 82, 7051, 3649, 6092, 3650, 80, 165, 162, 147, 173, 178, 396, 377, 381, 3690, 20, 12, 10, 17, 3, 2, 3, 3, 3, 4, 3, 4, 2, 12, 12, 14, 14, 12, 10, 19, 16, 14, 21, 14, 21, 15, 17, 20, 9, 10, 9, 10, 10, 10, 0, 2, 2, 17, 22, 11, 12, 13, 7, 9, 7, 1, 5, 4, 15, 9, 6, 7, 8, 10, 9, 7, 10, 8, 14, 17, 17, 16, 8, 10, 10, 10, 11, 11, 12, 13, 13, 15, 1253, 125, 399, 41, 2, 2, 2, 3, 3, 3, 4, 4, 4, 399, 399, 1257, 2, 2, 2, 9, 9, 7, 97, 94, 97, 124, 41, 125, 2, 2, 1, 4, 4, 4, 40, 42, 43, 5, 13, 2, 2, 1, 6, 7, 6, 88, 94, 94, 13, 2, 2, 2, 6, 6, 6, 11, 12, 12, 13, 5, 1255, 5, 2, 2, 1, 4, 5, 4, 47, 47, 48, 41]"
louvain,,0.8897192324859758,0.10829258168313691,0.14429225916997657,0.12372699176745892,150,109375,723,6516,"[10, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 11, 0, 1, 1, 2, 2, 2, 4, 5, 4, 4, 0, 2, 1, 0, 1, 2, 1, 2, 5, 6, 7, 0, 0, 2, 0, 1, 4, 4, 1, 10, 8, 10, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 12, 0, 0, 0, 1, 1, 0, 0, 2, 1, 3, 0, 5413, 6941, 3393, 3705, 14, 14, 18, 5, 17, 10, 12, 19, 15, 3394, 3394, 6140, 161, 170, 113, 582, 482, 482, 800, 766, 789, 7072, 3741, 6926, 379, 340, 359, 396, 392, 422, 398, 394, 400, 3692, 6618, 721, 741, 746, 840, 819, 810, 822, 776, 823, 7053, 79, 61, 42, 63, 72, 88, 80, 86, 82, 7051, 3650, 6095, 3651, 80, 164, 163, 149, 172, 177, 394, 375, 382, 3690, 13, 11, 10, 16, 3, 3, 3, 3, 3, 4, 3, 4, 2, 11, 11, 10, 12, 11, 9, 19, 18, 16, 18, 16, 18, 11, 17, 21, 9, 11, 9, 8, 9, 9, 8, 5, 2, 17, 16, 10, 11, 10, 6, 6, 11, 3, 4, 3, 14, 8, 6, 7, 8, 10, 8, 7, 9, 8, 14, 16, 14, 15, 8, 11, 9, 8, 12, 12, 14, 15, 12, 15, 1255, 125, 400, 41, 2, 2, 2, 3, 3, 3, 4, 4, 4, 399, 399, 1254, 2, 1, 1, 8, 8, 8, 96, 95, 96, 123, 41, 125, 1, 2, 1, 3, 4, 3, 45, 44, 43, 5, 13, 0, 2, 1, 6, 6, 9, 90, 92, 90, 13, 2, 2, 2, 6, 6, 6, 11, 12, 12, 13, 5, 1253, 5, 2, 2, 1, 4, 5, 5, 48, 49, 47, 41]"
greedy_modularity,,0.8971701450632046,0.08713123587846469,0.13848988192442954,0.10696511644162596,129,103000,948,5272,"[17, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 0, 0, 2, 3, 5, 2, 2, 1, 3, 1, 0, 0, 1, 2, 1, 4, 5, 3, 0, 0, 1, 2, 1, 4, 3, 4, 4, 7, 6, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 15, 0, 0, 0, 0, 1, 0, 0, 3, 4, 2, 1, 5341, 6893, 3393, 3711, 14, 15, 18, 5, 18, 11, 12, 20, 15, 3398, 3395, 160, 169, 112, 584, 487, 483, 810, 777, 800, 7011, 3747, 6915, 381, 342, 360, 398, 394, 423, 402, 395, 397, 3696, 6582, 723, 744, 749, 839, 817, 816, 820, 777, 823, 7028, 82, 62, 43, 65, 75, 89, 81, 90, 83, 6993, 3652, 6032, 3653, 80, 166, 164, 147, 173, 178, 402, 385, 389, 3696, 85, 59, 10, 10, 3, 2, 3, 3, 2, 3, 3, 3, 2, 7, 10, 13, 12, 10, 17, 13, 15, 8, 5, 7, 72, 11, 32, 7, 9, 8, 6, 7, 8, 4, 4, 5, 13, 52, 8, 8, 7, 7, 8, 5, 5, 3, 3, 39, 5, 5, 6, 6, 7, 7, 6, 5, 7, 72, 14, 77, 13, 8, 9, 8, 10, 11, 11, 6, 5, 5, 9, 1248, 125, 402, 39, 2, 2, 2, 3, 3, 3, 4, 4, 4, 399, 401, 2, 2, 2, 10, 10, 8, 97, 95, 98, 125, 40, 124, 1, 2, 2, 4, 3, 4, 46, 45, 47, 5, 13, 1, 0, 1, 6, 7, 6, 96, 93, 94, 12, 2, 2, 2, 6, 6, 5, 10, 11, 12, 13, 5, 1250, 5, 2, 2, 2, 4, 5, 5, 47, 46, 48, 40]"
label_propagation,,0.8848318510741141,0.11365169505740853,0.16891804807968097,0.1358802416487366,99,108657,1441,6567,"[12, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13, 0, 2, 0, 3, 2, 4, 8, 7, 7, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 7, 0, 0, 1, 2, 0, 0, 0, 0, 2, 5, 0, 5361, 6914, 3369, 3686, 15, 15, 18, 6, 17, 12, 13, 21, 16, 3374, 3370, 6065, 139, 149, 97, 562, 450, 448, 771, 733, 761, 7028, 3727, 6891, 388, 350, 368, 404, 401, 431, 405, 398, 401, 3674, 6585, 731, 752, 756, 845, 825, 821, 824, 779, 825, 7013, 80, 60, 43, 64, 74, 88, 80, 87, 82, 7024, 3638, 6032, 3638, 76, 158, 149, 138, 162, 158, 407, 368, 372, 3675, 65, 38, 34, 35, 2, 2, 3, 2, 3, 2, 2, 2, 1, 31, 35, 85, 34, 32, 25, 39, 50, 50, 47, 49, 46, 55, 31, 56, 0, 1, 0, 0, 0, 0, 1, 1, 1, 35, 49, 0, 0, 0, 1, 0, 0, 1, 1, 1, 54, 7, 7, 6, 7, 8, 8, 7, 8, 8, 41, 28, 77, 28, 12, 17, 23, 19, 22, 31, 1, 22, 22, 30, 1253, 126, 403, 41, 2, 2, 2, 3, 3, 3, 4, 4, 4, 403, 402, 1252, 2, 0, 2, 7, 8, 6, 92, 93, 93, 126, 41, 126, 1, 2, 1, 4, 4, 4, 50, 50, 50, 5, 12, 1, 1, 1, 10, 9, 9, 100, 100, 100, 12, 2, 2, 1, 5, 6, 6, 11, 11, 12, 12, 5, 1258, 5, 2, 1, 0, 5, 5, 5, 50, 48, 45, 41]"
infomap,,0.8797989685879991,0.0784879955679121,0.17966294828459817,0.10924914298772524,231,107035,3063,6435,"[61, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 53, 0, 1, 0, 1, 1, 2, 7, 5, 5, 2, 1, 2, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 1, 1, 0, 2, 2, 1, 1, 5163, 6695, 3398, 3716, 14, 15, 18, 6, 17, 12, 13, 20, 15, 3403, 3403, 5868, 151, 158, 104, 557, 457, 452, 767, 737, 752, 6813, 3753, 6649, 388, 350, 367, 404, 401, 431, 405, 398, 401, 3703, 6407, 731, 752, 756, 845, 825, 821, 824, 779, 825, 6787, 77, 60, 41, 63, 73, 86, 77, 84, 82, 6813, 3661, 5864, 3659, 78, 157, 153, 140, 163, 168, 382, 363, 365, 3700, 263, 257, 5, 5, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 282, 22, 23, 18, 44, 43, 46, 51, 45, 55, 270, 5, 298, 0, 1, 1, 0, 0, 0, 1, 1, 1, 6, 227, 0, 0, 0, 1, 0, 0, 1, 1, 1, 280, 10, 7, 8, 8, 9, 10, 10, 11, 8, 252, 5, 245, 7, 10, 18, 19, 17, 21, 21, 26, 27, 29, 5, 1204, 125, 402, 40, 2, 2, 2, 3, 3, 3, 4, 4, 4, 400, 400, 1212, 2, 1, 2, 9, 9, 8, 93, 95, 95, 125, 40, 125, 1, 2, 1, 4, 4, 4, 50, 50, 50, 5, 13, 1, 1, 1, 10, 9, 9, 100, 100, 100, 13, 2, 2, 2, 6, 6, 6, 12, 12, 12, 13, 5, 1207, 5, 2, 2, 1, 4, 4, 5, 48, 48, 49, 40]"
df_node_similarity,,0.8984309725477638,0.14409629988583644,0.19862602495770557,0.16702311569871162,103,109590,508,6563,"[6, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 7, 0, 2, 1, 1, 4, 2, 1, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 3, 3, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 8, 1, 0, 1, 1, 2, 1, 0, 3, 5, 6, 1, 5410, 6944, 3400, 3717, 15, 15, 19, 5, 18, 10, 12, 21, 15, 3402, 3402, 6129, 163, 170, 113, 583, 481, 473, 799, 759, 789, 7070, 3753, 6937, 387, 349, 368, 403, 401, 430, 405, 398, 401, 3705, 6625, 728, 744, 843, 821, 814, 754, 823, 778, 822, 7059, 80, 60, 44, 64, 76, 87, 79, 88, 84, 7058, 3660, 6089, 3662, 81, 166, 164, 149, 174, 174, 400, 380, 389, 3700, 16, 8, 3, 4, 2, 2, 2, 3, 2, 4, 3, 2, 2, 3, 3, 21, 10, 11, 9, 18, 19, 25, 19, 23, 18, 13, 5, 10, 1, 2, 0, 1, 0, 1, 1, 1, 1, 4, 9, 3, 8, 3, 4, 7, 2, 2, 2, 4, 8, 7, 7, 5, 7, 6, 9, 8, 7, 6, 7, 6, 20, 4, 7, 9, 8, 8, 10, 15, 8, 10, 5, 5, 1259, 126, 402, 40, 2, 2, 2, 3, 3, 3, 4, 4, 4, 402, 401, 1258, 2, 0, 1, 9, 6, 8, 99, 95, 96, 126, 40, 126, 1, 1, 1, 4, 4, 4, 50, 49, 49, 4, 12, 1, 1, 9, 8, 9, 1, 97, 97, 97, 12, 2, 2, 1, 6, 6, 6, 12, 12, 12, 12, 5, 1257, 4, 2, 1, 1, 3, 4, 5, 47, 45, 44, 40]"
walktrap,,0.8578643952655681,0.0547073627968857,0.020238758572139276,0.02954680209034033,82,86291,5325,3927,"[2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 25, 0, 0, 0, 0, 1, 2, 4, 3, 3, 2, 0, 1, 0, 0, 0, 1, 1, 3, 2, 1, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 6732, 3345, 3661, 13, 15, 18, 6, 17, 12, 11, 20, 15, 3348, 3342, 5869, 148, 160, 104, 565, 466, 459, 791, 756, 772, 6811, 3697, 364, 333, 340, 371, 373, 392, 383, 377, 374, 3652, 4475, 637, 669, 706, 760, 775, 781, 730, 743, 773, 6807, 79, 61, 42, 63, 71, 89, 78, 85, 82, 6817, 3610, 3610, 77, 164, 151, 138, 161, 172, 387, 369, 372, 3645, 220, 58, 60, 4, 2, 3, 2, 3, 2, 4, 3, 2, 57, 63, 281, 25, 21, 18, 36, 34, 39, 27, 26, 35, 272, 61, 24, 18, 28, 33, 28, 39, 23, 22, 28, 57, 2159, 94, 83, 50, 86, 50, 40, 95, 37, 53, 260, 8, 6, 7, 8, 11, 7, 9, 10, 8, 248, 56, 56, 11, 11, 21, 19, 23, 17, 21, 21, 22, 60, 125, 400, 41, 2, 2, 2, 3, 3, 3, 4, 4, 4, 399, 401, 1240, 2, 2, 2, 10, 9, 8, 96, 97, 97, 125, 41, 1, 2, 2, 5, 4, 4, 47, 48, 49, 5, 13, 1, 1, 1, 9, 9, 9, 98, 98, 96, 12, 2, 2, 2, 6, 6, 6, 12, 12, 12, 12, 5, 5, 2, 2, 2, 4, 5, 5, 50, 49, 49, 41]"
eigenvector,,0.8920043322608622,0.1552552451479543,0.1756055567256952,0.16480455590023244,143,89961,676,5004,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 2, 0, 0, 1, 4, 5, 3, 5, 3, 6, 0, 2, 2, 1, 2, 3, 1, 3, 6, 4, 5, 0, 1, 1, 1, 1, 3, 4, 4, 10, 9, 14, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 5, 0, 0, 0, 0, 1, 1, 1, 5, 5, 4, 0, 3390, 3704, 14, 15, 18, 5, 17, 10, 13, 21, 15, 3391, 3392, 6148, 157, 163, 108, 587, 485, 486, 809, 770, 800, 3741, 6943, 381, 334, 364, 397, 396, 424, 401, 393, 402, 3691, 6623, 723, 733, 742, 834, 804, 810, 823, 779, 811, 7039, 81, 61, 43, 64, 74, 87, 78, 89, 81, 7034, 3649, 6104, 3649, 81, 159, 159, 148, 174, 181, 403, 382, 387, 3687, 13, 17, 3, 2, 3, 3, 3, 4, 2, 2, 2, 14, 13, 2, 16, 18, 14, 14, 15, 12, 9, 12, 7, 17, 4, 7, 17, 4, 7, 5, 7, 5, 6, 0, 18, 11, 8, 19, 14, 12, 21, 11, 2, 1, 15, 28, 6, 6, 6, 7, 8, 9, 9, 6, 9, 31, 17, 5, 17, 7, 16, 13, 9, 10, 8, 5, 8, 7, 18, 400, 41, 2, 2, 2, 3, 3, 3, 4, 4, 4, 401, 400, 1263, 2, 2, 1, 6, 5, 7, 95, 97, 94, 41, 125, 0, 1, 0, 2, 4, 2, 44, 46, 45, 5, 12, 1, 1, 1, 7, 6, 6, 90, 91, 86, 12, 2, 2, 1, 6, 6, 6, 12, 11, 12, 12, 5, 1260, 5, 2, 2, 2, 4, 4, 4, 45, 45, 46, 41]"
surprise_communities,,0.7565792466521764,0.03729630280101182,0.01677110014995621,0.023137787108661656,111,55169,16262,2379,"[10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 0, 0, 0, 0, 2, 3, 6, 9, 7, 2, 0, 0, 0, 2, 0, 0, 1, 6, 2, 0, 0, 0, 0, 0, 1, 0, 1, 12, 10, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 3, 1, 2, 3104, 3419, 9, 10, 16, 3, 16, 9, 10, 16, 8, 3091, 3102, 144, 144, 94, 532, 434, 430, 743, 709, 735, 3449, 314, 282, 297, 321, 323, 346, 329, 327, 318, 3406, 3463, 604, 624, 629, 703, 684, 686, 683, 643, 679, 3318, 76, 55, 37, 60, 70, 84, 76, 83, 78, 3333, 3372, 3370, 68, 151, 142, 131, 148, 154, 368, 348, 351, 3408, 299, 302, 8, 7, 5, 5, 4, 5, 5, 7, 9, 314, 303, 29, 37, 28, 69, 66, 68, 75, 73, 72, 309, 74, 69, 71, 83, 78, 85, 77, 72, 84, 303, 3171, 127, 128, 127, 143, 141, 135, 142, 137, 147, 3749, 11, 12, 12, 11, 12, 12, 11, 12, 12, 3732, 294, 296, 20, 24, 30, 26, 36, 35, 40, 42, 43, 297, 394, 39, 2, 2, 2, 3, 3, 3, 4, 4, 4, 399, 394, 2, 2, 2, 10, 8, 7, 94, 91, 93, 39, 2, 2, 2, 3, 5, 5, 49, 44, 48, 5, 13, 2, 2, 2, 9, 10, 9, 88, 90, 93, 13, 2, 2, 2, 6, 6, 6, 11, 12, 12, 13, 5, 5, 2, 2, 2, 4, 5, 5, 45, 47, 49, 39]"
leiden,0.05,0.3287148055800142,0.7717403669873114,0.06816526294231805,0.12526618030480074,4287,45261,64837,2379,"[637, 94, 358, 32, 0, 0, 0, 1, 2, 1, 2, 2, 2, 363, 369, 628, 2, 2, 2, 8, 9, 9, 64, 52, 66, 98, 34, 97, 2, 2, 2, 5, 5, 5, 49, 48, 48, 3, 13, 2, 2, 2, 10, 10, 10, 87, 79, 74, 13, 0, 2, 2, 4, 1, 3, 11, 7, 9, 13, 3, 633, 3, 2, 2, 2, 5, 5, 5, 47, 45, 45, 33, 3188, 3554, 751, 708, 1, 0, 2, 1, 3, 2, 1, 3, 0, 700, 699, 3103, 23, 32, 20, 266, 205, 205, 418, 455, 334, 3688, 688, 3511, 129, 89, 100, 130, 117, 154, 198, 187, 182, 693, 3437, 423, 438, 399, 579, 548, 558, 600, 593, 691, 3455, 12, 9, 7, 10, 12, 10, 15, 14, 10, 3536, 591, 3166, 489, 12, 19, 14, 15, 12, 23, 69, 75, 68, 812, 2238, 3398, 2652, 3013, 16, 17, 19, 7, 17, 12, 14, 20, 17, 2705, 2706, 3047, 150, 149, 102, 335, 295, 293, 400, 327, 473, 3395, 3070, 3436, 259, 262, 268, 274, 284, 277, 208, 212, 220, 3016, 3197, 308, 314, 357, 267, 277, 263, 225, 187, 135, 3612, 75, 58, 42, 61, 70, 86, 72, 81, 80, 3529, 3075, 2943, 3177, 76, 156, 158, 142, 172, 166, 339, 315, 326, 2893, 628, 33, 46, 9, 2, 2, 2, 2, 1, 2, 2, 2, 2, 41, 35, 637, 0, 0, 0, 2, 1, 1, 36, 48, 34, 29, 7, 30, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 13, 21, 26, 0, 2, 0, 0, 2, 5, 3, 1, 5, 3, 0, 2, 632, 2, 0, 0, 0, 0, 0, 0, 3, 5, 5, 8]"
