method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9534096916258085,0.20444444444444448,0.3463591963591963,0.2571196275121357,36,7093,69,300,"[0, 0, 1, 4, 3, 4, 12, 6, 6, 720, 740, 743, 839, 816, 814, 824, 775, 822, 11, 12, 13, 7, 9, 7, 1, 5, 4, 2, 2, 1, 6, 7, 6, 88, 94, 94]"
eigenvector,,0.9503713905357366,0.3255555555555556,0.3411707109408259,0.3331802747874108,47,7059,103,289,"[1, 1, 1, 3, 4, 4, 10, 9, 14, 723, 733, 742, 834, 804, 810, 823, 779, 811, 8, 19, 14, 12, 21, 11, 2, 1, 15, 1, 1, 1, 7, 6, 6, 90, 91, 86]"
louvain,,0.9546759366333545,0.2977777777777778,0.37178192178192176,0.33069013729163743,40,7098,64,296,"[2, 0, 1, 4, 4, 1, 10, 8, 10, 721, 741, 746, 840, 819, 810, 822, 776, 823, 10, 11, 10, 6, 6, 11, 3, 4, 3, 0, 2, 1, 6, 6, 9, 90, 92, 90]"
greedy_modularity,,0.9552375280799388,0.3633333333333333,0.36978114478114477,0.36652888450027166,32,7108,54,304,"[1, 2, 1, 4, 3, 4, 4, 7, 6, 723, 744, 749, 839, 817, 816, 820, 777, 823, 8, 8, 7, 7, 8, 5, 5, 3, 3, 1, 0, 1, 6, 7, 6, 96, 93, 94]"
label_propagation,,0.9587219773650999,0.1888888888888889,0.5555555555555556,0.2819237147595357,5,7158,4,331,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 731, 752, 756, 845, 825, 821, 824, 779, 825, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 10, 9, 9, 100, 100, 100]"
infomap,,0.9587219773650999,0.1888888888888889,0.5555555555555556,0.2819237147595357,5,7158,4,331,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 731, 752, 756, 845, 825, 821, 824, 779, 825, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 10, 9, 9, 100, 100, 100]"
surprise_communities,,0.7982151499165931,0.05444444444444445,0.022855691097988018,0.0321956849232359,31,5935,1227,305,"[0, 0, 0, 1, 0, 1, 12, 10, 7, 604, 624, 629, 703, 684, 686, 683, 643, 679, 127, 128, 127, 143, 141, 135, 142, 137, 147, 2, 2, 2, 9, 10, 9, 88, 90, 93]"
walktrap,,0.8809041685128742,0.20888888888888893,0.026623034147146785,0.04722695946903301,14,6574,588,322,"[1, 1, 1, 1, 1, 1, 2, 2, 4, 637, 669, 706, 760, 775, 781, 730, 743, 773, 94, 83, 50, 86, 50, 40, 95, 37, 53, 1, 1, 1, 9, 9, 9, 98, 98, 96]"
df_node_similarity,,0.9558229655073178,0.2922222222222222,0.44618606701940033,0.35315281783446417,16,7127,35,320,"[1, 1, 1, 2, 1, 1, 3, 3, 3, 728, 744, 843, 821, 814, 754, 823, 778, 822, 3, 8, 3, 4, 7, 2, 2, 2, 4, 1, 1, 9, 8, 9, 1, 97, 97, 97]"
leiden,0.05,0.673857947447854,0.9333333333333333,0.11731463371116442,0.20843072382927436,276,4829,2333,60,"[2, 2, 2, 10, 10, 10, 87, 79, 74, 423, 438, 399, 579, 548, 558, 600, 593, 691, 308, 314, 357, 267, 277, 263, 225, 187, 135, 0, 0, 0, 0, 0, 0, 13, 21, 26]"
eigenvector,0.05,0.7157800162242691,0.9266666666666666,0.1128453174900858,0.20119055056841165,270,5116,2046,66,"[2, 2, 2, 10, 10, 10, 79, 77, 78, 567, 401, 500, 731, 545, 580, 625, 631, 536, 164, 351, 256, 115, 280, 241, 200, 149, 290, 0, 0, 0, 0, 0, 0, 21, 23, 22]"
