method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9570545448749699,0.004125412541254126,0.10239651416122005,0.007931284699370562,15,32305,133,1335,"[5, 0, 5, 5, 0, 0, 0, 0, 0, 3393, 3704, 3393, 3393, 3741, 3692, 3649, 3650, 3690, 10, 17, 12, 12, 17, 17, 17, 16, 15, 399, 41, 399, 399, 41, 5, 5, 5, 41]"
eigenvector,,0.9566136089035262,0.0030253025302530256,0.0718954248366013,0.005806281340723146,11,32294,144,1339,"[4, 0, 3, 4, 0, 0, 0, 0, 0, 3390, 3704, 3391, 3392, 3741, 3691, 3649, 3649, 3687, 13, 17, 14, 13, 17, 18, 17, 17, 18, 400, 41, 401, 400, 41, 5, 5, 5, 41]"
louvain,,0.9571737698649105,0.0038503850385038507,0.10119047619047619,0.007418490119069884,14,32310,128,1336,"[4, 0, 5, 5, 0, 0, 0, 0, 0, 3393, 3705, 3394, 3394, 3741, 3692, 3650, 3651, 3690, 10, 16, 11, 11, 17, 17, 16, 15, 15, 400, 41, 399, 399, 41, 5, 5, 5, 41]"
greedy_modularity,,0.9580922883132099,0.01359038342858676,0.12934472934472935,0.02459639807399114,14,32341,97,1336,"[2, 2, 5, 3, 1, 0, 0, 0, 1, 3393, 3711, 3398, 3395, 3747, 3696, 3652, 3653, 3696, 10, 10, 7, 10, 11, 13, 14, 13, 9, 402, 39, 399, 401, 40, 5, 5, 5, 40]"
label_propagation,,0.9521873080499977,0.0011001100110011,0.012652831402831403,0.002024222466295666,4,32151,287,1346,"[1, 0, 1, 2, 0, 0, 0, 0, 0, 3369, 3686, 3374, 3370, 3727, 3674, 3638, 3638, 3675, 34, 35, 31, 35, 31, 35, 28, 28, 30, 403, 41, 403, 402, 41, 5, 5, 5, 41]"
infomap,,0.9596931341704447,0.010880356328315759,0.23544973544973546,0.020799545850119013,13,32396,42,1337,"[2, 1, 4, 4, 1, 0, 0, 0, 1, 3398, 3716, 3403, 3403, 3753, 3703, 3661, 3659, 3700, 5, 5, 2, 2, 5, 6, 5, 7, 5, 402, 40, 400, 400, 40, 5, 5, 5, 40]"
surprise_communities,,0.8810529267347063,0.023135850170382895,0.011076011252623497,0.014980356295600463,31,29721,2717,1319,"[10, 2, 5, 10, 2, 0, 0, 0, 2, 3104, 3419, 3091, 3102, 3449, 3406, 3372, 3370, 3408, 299, 302, 314, 303, 309, 303, 294, 296, 297, 394, 39, 399, 394, 39, 5, 5, 5, 39]"
walktrap,,0.9452862620900375,0.0033003300330033004,0.021179537308569567,0.00571077139342822,12,31910,528,1338,"[4, 0, 5, 3, 0, 0, 0, 0, 0, 3345, 3661, 3348, 3342, 3697, 3652, 3610, 3610, 3645, 58, 60, 57, 63, 61, 57, 56, 56, 60, 400, 41, 399, 401, 41, 5, 5, 5, 41]"
df_node_similarity,,0.959815740177654,0.05449971826450938,0.24814814814814815,0.08937121759513056,12,32401,37,1338,"[2, 1, 2, 3, 1, 1, 0, 1, 1, 3400, 3717, 3402, 3402, 3753, 3705, 3660, 3662, 3700, 3, 4, 3, 3, 5, 4, 6, 4, 5, 402, 40, 402, 401, 40, 4, 5, 4, 40]"
leiden,0.05,0.2162587760965675,0.768072660924629,0.04365639957642266,0.08261694356083327,1198,6131,26307,152,"[358, 32, 363, 369, 34, 3, 3, 3, 33, 751, 708, 700, 699, 688, 693, 591, 489, 812, 2652, 3013, 2705, 2706, 3070, 3016, 3075, 3177, 2893, 46, 9, 41, 35, 7, 2, 2, 2, 8]"
eigenvector,0.05,0.2727479015316675,0.6013536719525612,0.045336947406637886,0.08431710305344178,1168,8066,24372,182,"[357, 29, 360, 360, 29, 1, 1, 1, 30, 823, 962, 927, 936, 938, 945, 815, 779, 941, 2580, 2759, 2478, 2469, 2820, 2764, 2851, 2887, 2764, 47, 12, 44, 44, 12, 4, 4, 4, 11]"
louvain,0.05,0.2659560085723036,0.7783224663929806,0.0456879574819436,0.08630949978662306,1191,7812,24626,159,"[348, 35, 372, 358, 34, 3, 3, 3, 35, 988, 878, 646, 938, 920, 908, 785, 798, 951, 2415, 2843, 2759, 2467, 2838, 2801, 2881, 2868, 2754, 56, 6, 32, 46, 7, 2, 2, 2, 6]"
greedy_modularity,0.05,0.36279902461517033,0.6578510290053395,0.038520621361935806,0.0727796152744284,797,11471,20967,553,"[274, 23, 185, 246, 28, 3, 4, 4, 30, 1011, 2028, 1817, 1241, 705, 1476, 887, 1450, 856, 2392, 1693, 1588, 2164, 3053, 2233, 2779, 2216, 2849, 130, 18, 219, 158, 13, 2, 1, 1, 11]"
