method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.6822671148810453,0.0,0.0,nan,0,125,27,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 18, 5, 17, 10, 12, 19, 15, 3, 2, 3, 3, 3, 4, 3, 4, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4]"
eigenvector,,0.6963455207723166,0.0,0.0,nan,0,128,24,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 18, 5, 17, 10, 13, 21, 15, 3, 2, 3, 3, 3, 4, 2, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4]"
louvain,,0.6764191616646711,0.0,0.0,nan,0,124,28,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 18, 5, 17, 10, 12, 19, 15, 3, 3, 3, 3, 3, 4, 3, 4, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4]"
greedy_modularity,,0.6977492068053083,0.0,0.0,nan,0,128,24,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 18, 5, 18, 11, 12, 20, 15, 3, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4]"
label_propagation,,0.7306573848055429,0.0,0.0,nan,0,133,19,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 18, 6, 17, 12, 13, 21, 16, 2, 2, 3, 2, 3, 2, 2, 2, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4]"
infomap,,0.7154031999607148,0.0,0.0,nan,0,130,22,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 18, 6, 17, 12, 13, 20, 15, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4]"
surprise_communities,,0.5214782386975444,0.0,0.0,nan,0,97,55,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 16, 3, 16, 9, 10, 16, 8, 8, 7, 5, 5, 4, 5, 5, 7, 9, 2, 2, 2, 3, 3, 3, 4, 4, 4]"
walktrap,,0.697859340311592,0.0,0.0,nan,0,127,25,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 18, 6, 17, 12, 11, 20, 15, 4, 2, 3, 2, 3, 2, 4, 3, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4]"
df_node_similarity,,0.7060073565211089,0.0,0.0,nan,0,130,22,27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 19, 5, 18, 10, 12, 21, 15, 2, 2, 2, 3, 2, 4, 3, 2, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4]"
leiden,0.05,0.1281762435947985,0.31481481481481477,0.06981760929129349,0.11428894894096682,10,13,139,17,"[0, 0, 0, 1, 2, 1, 2, 2, 2, 1, 0, 2, 1, 3, 2, 1, 3, 0, 16, 17, 19, 7, 17, 12, 14, 20, 17, 2, 2, 2, 2, 1, 2, 2, 2, 2]"
eigenvector,0.05,0.13330850527422522,0.39814814814814814,0.0832133312164272,0.1376563565858826,13,11,141,14,"[0, 0, 0, 1, 2, 1, 3, 4, 2, 1, 0, 1, 1, 3, 2, 1, 2, 0, 16, 17, 20, 7, 17, 12, 14, 21, 17, 2, 2, 2, 2, 1, 2, 1, 0, 2]"
louvain,0.05,0.13402419681117278,0.31481481481481477,0.06981760929129349,0.11428894894096682,10,14,138,17,"[0, 0, 0, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 3, 2, 1, 3, 0, 16, 16, 19, 7, 17, 12, 14, 20, 17, 2, 2, 2, 2, 1, 2, 2, 2, 2]"
greedy_modularity,0.05,0.11680937800798406,0.3796296296296296,0.07717209690893902,0.12826928124497278,12,9,143,15,"[0, 0, 0, 1, 3, 1, 2, 3, 2, 1, 0, 1, 1, 2, 1, 1, 2, 0, 16, 17, 20, 7, 18, 13, 14, 21, 17, 2, 2, 2, 2, 0, 2, 2, 1, 2]"
label_propagation,0.05,0.24053858471530956,0.4907407407407407,0.1352720035382574,0.21208348815423825,16,30,122,11,"[0, 0, 0, 2, 2, 1, 3, 4, 4, 0, 0, 2, 2, 3, 0, 1, 15, 7, 17, 17, 19, 6, 17, 14, 14, 8, 10, 2, 2, 2, 1, 1, 2, 1, 0, 0]"
infomap,0.05,0.11496651762277461,0.37037037037037035,0.07724549604569347,0.12783033456322426,12,10,142,15,"[0, 0, 0, 1, 2, 1, 3, 3, 2, 1, 0, 2, 0, 3, 0, 1, 3, 0, 16, 17, 19, 8, 17, 14, 14, 20, 17, 2, 2, 2, 2, 1, 2, 1, 1, 2]"
surprise_communities,0.05,0.3052154269007143,0.2777777777777778,0.08561253561253561,0.13088549152837667,9,44,108,18,"[0, 0, 0, 1, 1, 1, 2, 2, 2, 7, 5, 4, 4, 3, 3, 4, 7, 7, 10, 12, 17, 4, 17, 11, 11, 16, 10, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
walktrap,0.05,0.13251037727189743,0.34259259259259256,0.07351066878145444,0.12104788853560575,11,14,138,16,"[0, 0, 0, 1, 2, 1, 2, 3, 2, 3, 0, 2, 0, 3, 0, 3, 3, 0, 14, 17, 19, 8, 17, 14, 12, 20, 17, 2, 2, 2, 2, 1, 2, 2, 1, 2]"
df_node_similarity,0.05,0.15408838646600576,0.4907407407407407,0.11627597777752577,0.18800589085646344,15,12,140,12,"[0, 0, 1, 1, 3, 1, 3, 4, 2, 0, 0, 1, 2, 2, 2, 3, 2, 0, 17, 17, 20, 6, 18, 12, 12, 21, 17, 2, 2, 1, 2, 0, 2, 1, 0, 2]"
leiden,0.1,0.1281762435947985,0.31481481481481477,0.06981760929129349,0.11428894894096682,10,13,139,17,"[0, 0, 0, 1, 2, 1, 2, 2, 2, 1, 0, 2, 1, 3, 2, 1, 3, 0, 16, 17, 19, 7, 17, 12, 14, 20, 17, 2, 2, 2, 2, 1, 2, 2, 2, 2]"
