method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9326303107530026,0.008759280583998146,0.16771551493773712,0.01664903194007029,37,59284,149,4178,"[12, 2, 8, 3, 2, 0, 0, 0, 10, 5406, 6940, 6136, 7068, 6927, 6612, 7052, 7051, 6092, 20, 12, 14, 15, 20, 22, 15, 14, 17, 1253, 125, 1257, 124, 125, 13, 13, 13, 1255]"
louvain,,0.9330866052070991,0.00989767583399901,0.21417777069950983,0.01892096771892685,41,59309,124,4174,"[10, 2, 11, 4, 2, 0, 0, 0, 12, 5413, 6941, 6140, 7072, 6926, 6618, 7053, 7051, 6095, 13, 11, 10, 11, 21, 16, 14, 14, 14, 1255, 125, 1254, 123, 125, 13, 13, 13, 1253]"
greedy_modularity,,0.9395576448148232,0.01966720373088055,0.06252979286434382,0.029922898072999943,40,52795,488,2910,"[17, 2, 2, 3, 0, 1, 0, 15, 5341, 6893, 7011, 6915, 6582, 7028, 6993, 6032, 85, 59, 72, 32, 52, 39, 72, 77, 1248, 125, 125, 124, 13, 12, 13, 1250]"
label_propagation,,0.926853450000019,0.03107641341123026,0.054984880060068034,0.039709671913854126,38,58913,520,4177,"[12, 1, 13, 1, 1, 1, 1, 1, 7, 5361, 6914, 6065, 7028, 6891, 6585, 7013, 7024, 6032, 65, 38, 85, 55, 56, 49, 54, 41, 77, 1253, 126, 1252, 126, 126, 12, 12, 12, 1258]"
infomap,,0.8998760216055762,0.02035694154831437,0.06218236862683207,0.03067248419658632,178,57059,2374,4037,"[61, 2, 53, 2, 2, 0, 0, 0, 58, 5163, 6695, 5868, 6813, 6649, 6407, 6787, 6813, 5864, 263, 257, 282, 270, 298, 227, 280, 252, 245, 1204, 125, 1212, 125, 125, 13, 13, 13, 1207]"
df_node_similarity,,0.9330754898377255,0.03605935317677872,0.20231114338513762,0.061208992523348445,27,59321,112,4188,"[6, 1, 7, 1, 1, 1, 1, 1, 8, 5410, 6944, 6129, 7070, 6937, 6625, 7059, 7058, 6089, 16, 8, 21, 13, 10, 9, 8, 7, 20, 1259, 126, 1258, 126, 126, 12, 12, 12, 1257]"
walktrap,,0.8815269281851799,0.034184177114680366,0.01764251789479661,0.023273525597353403,31,37511,3440,1527,"[2, 25, 2, 0, 1, 1, 6732, 5869, 6811, 4475, 6807, 6817, 220, 281, 272, 2159, 260, 248, 125, 1240, 125, 13, 12, 12]"
eigenvector,,0.9374050499873374,0.042008476517206406,0.24706657088122605,0.07180758307890518,12,39891,81,2684,"[2, 2, 1, 1, 1, 5, 6148, 6943, 6623, 7039, 7034, 6104, 2, 4, 11, 28, 31, 5, 1263, 125, 12, 12, 12, 1260]"
surprise_communities,,0.48684223748106303,0.0,0.0,nan,0,10114,10652,39,"[0, 0, 0, 3463, 3318, 3333, 3171, 3749, 3732, 13, 13, 13]"
leiden,0.05,0.5167514954509344,0.7528873120108998,0.07368883240903015,0.13423902282249,2226,30638,28795,1989,"[637, 94, 628, 98, 97, 13, 13, 13, 633, 3188, 3554, 3103, 3688, 3511, 3437, 3455, 3536, 3166, 2238, 3398, 3047, 3395, 3436, 3197, 3612, 3529, 2943, 628, 33, 637, 29, 30, 0, 0, 0, 632]"
