method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9007673864548573,0.11777777777777779,0.08733164983164982,0.10029502560384491,11,2059,98,160,"[0, 0, 1, 1, 0, 1, 3, 3, 2, 80, 165, 162, 147, 173, 178, 396, 377, 381, 8, 10, 10, 10, 11, 11, 12, 13, 13, 2, 2, 1, 4, 5, 4, 47, 47, 48]"
eigenvector,,0.9052141455484283,0.09777777777777778,0.1722524389191056,0.12474500743165859,17,2074,83,154,"[0, 0, 0, 1, 1, 1, 5, 5, 4, 81, 159, 159, 148, 174, 181, 403, 382, 387, 7, 16, 13, 9, 10, 8, 5, 8, 7, 2, 2, 2, 4, 4, 4, 45, 45, 46]"
louvain,,0.8991791843844646,0.09111111111111111,0.06651234567901236,0.07689228292322087,8,2056,101,163,"[0, 0, 1, 1, 0, 0, 2, 1, 3, 80, 164, 163, 149, 172, 177, 394, 375, 382, 8, 11, 9, 8, 12, 12, 14, 15, 12, 2, 2, 1, 4, 5, 5, 48, 49, 47]"
greedy_modularity,,0.9071912981136835,0.042222222222222223,0.1282667949334616,0.06353147211198258,10,2084,73,161,"[0, 0, 0, 1, 0, 0, 3, 4, 2, 80, 166, 164, 147, 173, 178, 402, 385, 389, 8, 9, 8, 10, 11, 11, 6, 5, 5, 2, 2, 2, 4, 5, 5, 47, 46, 48]"
label_propagation,,0.8569608664497175,0.18222222222222223,0.04489711934156378,0.07204364719856655,10,1988,169,161,"[0, 1, 2, 0, 0, 0, 0, 2, 5, 76, 158, 149, 138, 162, 158, 407, 368, 372, 12, 17, 23, 19, 22, 31, 1, 22, 22, 2, 1, 0, 5, 5, 5, 50, 48, 45]"
infomap,,0.8594557926283465,0.1111111111111111,0.03608194700148723,0.054474107322651365,8,1969,188,163,"[0, 0, 1, 1, 1, 0, 2, 2, 1, 78, 157, 153, 140, 163, 168, 382, 363, 365, 10, 18, 19, 17, 21, 21, 26, 27, 29, 2, 2, 1, 4, 4, 5, 48, 48, 49]"
surprise_communities,,0.8023759367726679,0.04222222222222223,0.02639356528245417,0.03248217412112511,10,1861,296,161,"[0, 0, 0, 1, 0, 0, 5, 3, 1, 68, 151, 142, 131, 148, 154, 368, 348, 351, 20, 24, 30, 26, 36, 35, 40, 42, 43, 2, 2, 2, 4, 5, 5, 45, 47, 49]"
walktrap,,0.8635974609020239,0.026666666666666665,0.015436978480456741,0.019554257501477695,3,1991,166,168,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 77, 164, 151, 138, 161, 172, 387, 369, 372, 11, 11, 21, 19, 23, 17, 21, 21, 22, 2, 2, 2, 4, 5, 5, 50, 49, 49]"
df_node_similarity,,0.9101403220195211,0.20888888888888887,0.18372615039281703,0.1955011783838037,19,2077,80,152,"[0, 1, 1, 2, 1, 0, 3, 5, 6, 81, 166, 164, 149, 174, 174, 400, 380, 389, 7, 9, 8, 8, 10, 15, 8, 10, 5, 2, 1, 1, 3, 4, 5, 47, 45, 44]"
leiden,0.05,0.1671549233022797,0.9711111111111111,0.056706296794885355,0.10715544310476215,158,307,1850,13,"[2, 2, 2, 5, 5, 5, 47, 45, 45, 12, 19, 14, 15, 12, 23, 69, 75, 68, 76, 156, 158, 142, 172, 166, 339, 315, 326, 0, 0, 0, 0, 0, 0, 3, 5, 5]"
eigenvector,0.05,0.3791349226606577,0.8288888888888889,0.07576939781127376,0.13884670684364742,103,1015,1142,68,"[2, 2, 2, 5, 4, 5, 27, 34, 22, 18, 25, 47, 20, 50, 67, 291, 203, 294, 70, 150, 125, 137, 134, 122, 117, 187, 100, 0, 0, 0, 0, 1, 0, 23, 16, 28]"
louvain,0.05,0.18073270896610188,0.9622222222222222,0.056708357523366004,0.10710453269216799,154,342,1815,17,"[2, 2, 2, 5, 5, 5, 45, 45, 43, 14, 22, 16, 10, 25, 22, 64, 75, 94, 74, 153, 156, 147, 159, 167, 344, 315, 300, 0, 0, 0, 0, 0, 0, 5, 5, 7]"
greedy_modularity,0.05,0.24282103905707794,0.8844444444444445,0.05866232734566289,0.110026926051168,128,599,1558,43,"[2, 2, 2, 4, 5, 5, 33, 33, 42, 9, 38, 21, 15, 26, 21, 170, 167, 132, 79, 137, 151, 142, 158, 168, 238, 223, 262, 0, 0, 0, 1, 0, 0, 17, 17, 8]"
