method,threshold,ACC,recall,PPV,f12
leiden,,0.9131134761692261,0.0688888888888889,0.09281045751633986,0.07908021198239469
eigenvector,,0.9121451518398249,0.20444444444444446,0.19528557861891194,0.19976008468309267
louvain,,0.9172938108116746,0.1922222222222222,0.1212682379349046,0.14871553136983467
greedy_modularity,,0.9181023637612697,0.03333333333333334,0.12362183930811381,0.052508342446930825
label_propagation,,0.8485295477007723,0.23555555555555552,0.07170197005873415,0.10993903148732144
infomap,,0.8660492177222785,0.11888888888888889,0.048033979643175045,0.06842329656696054
surprise_communities,,0.8215355020798414,0.08,0.03823367248937794,0.051739808715237645
walktrap,,0.8764048484985127,0.044444444444444446,0.04319775763599381,0.043812234147549436
df_node_similarity,,0.9160541991196846,0.25555555555555554,0.15124581490587083,0.19002742399751854
leiden,0.05,0.3706978262331714,0.8244444444444444,0.05843856446702869,0.10914096053462792
eigenvector,0.05,0.44239086178193265,0.8488888888888889,0.07095229148518803,0.13095872019664856
louvain,0.05,0.32553144061058414,0.8455555555555556,0.05848297322467476,0.10939932611556177
greedy_modularity,0.05,0.3320641940944773,0.8877777777777778,0.06447138336963813,0.12021278420280149
label_propagation,0.05,0.3077480885634937,0.8077777777777779,0.05229097942479502,0.0982235217913763
infomap,0.05,0.16948369547146439,0.9600000000000001,0.04899549934032757,0.09323268418435163
surprise_communities,0.05,0.21129379250365773,0.8377777777777778,0.04758178643506728,0.09004920692918435
walktrap,0.05,0.26236172973099653,0.8400000000000001,0.04893967812950521,0.0924907069403991
df_node_similarity,0.05,0.3325672718814607,0.903888888888889,0.06497769849634089,0.12123984965757147
leiden,0.1,0.38447708581695494,0.8233333333333334,0.058552689610583304,0.1093301852132413
eigenvector,0.1,0.46889787369571995,0.8488888888888889,0.07164627963458946,0.13213993944323282
louvain,0.1,0.33941234612875465,0.8455555555555556,0.05881213219187872,0.10997501521261502
greedy_modularity,0.1,0.34920746829399313,0.8866666666666667,0.06465529666252749,0.12052217563334047
label_propagation,0.1,0.33600360597285456,0.8044444444444445,0.05318166840606757,0.09976771242039999
infomap,0.1,0.2053432130390853,0.9311111111111112,0.04938091877413807,0.09378785496676875
surprise_communities,0.1,0.2442752807795536,0.8288888888888889,0.04818787384856119,0.09108072385269304
walktrap,0.1,0.2847035906387757,0.8400000000000001,0.0498580314333218,0.094129051881527
df_node_similarity,0.1,0.34587478881343187,0.8833333333333333,0.06533348154959819,0.12166809490980275
leiden,0.15,0.39795774742844914,0.8233333333333334,0.059044732930924125,0.11018745510212007
eigenvector,0.15,0.4840124044934033,0.8488888888888889,0.07213837385938199,0.1329764416506291
louvain,0.15,0.3556105639878957,0.8444444444444446,0.05918261261850713,0.11061295263965164
greedy_modularity,0.15,0.3622784509874655,0.8866666666666667,0.06515846381318269,0.12139590784964764
label_propagation,0.15,0.3675144977085501,0.8011111111111112,0.054486304687498856,0.10203299655317091
infomap,0.15,0.2513292496794388,0.8655555555555555,0.049621092156903523,0.09386124983957529
surprise_communities,0.15,0.2826607915184191,0.7388888888888888,0.047507693131183054,0.08927532848935546
walktrap,0.15,0.3049228914133477,0.8344444444444444,0.05019347226477481,0.09469108951269341
df_node_similarity,0.15,0.36888335465361677,0.8611111111111112,0.06598403747856627,0.12257552618024356
leiden,0.2,0.40876274905035964,0.8222222222222223,0.059299272032964354,0.11062051134283422
eigenvector,0.2,0.5019347776876206,0.8488888888888889,0.07277897409087958,0.13406404830204252
louvain,0.2,0.36522061449565674,0.8322222222222223,0.05901280894145796,0.11021059379299897
greedy_modularity,0.2,0.3716017148819489,0.8855555555555557,0.06536854109199382,0.1217499376168026
label_propagation,0.2,0.3928021167751091,0.7922222222222222,0.05519371732847319,0.10319770340371884
infomap,0.2,0.2820143281156626,0.8244444444444443,0.04972656237069428,0.09379580829888738
surprise_communities,0.2,0.3174859148917906,0.7166666666666668,0.04811200887149045,0.09017059216591043
walktrap,0.2,0.32228871559789185,0.8177777777777777,0.05007030052727382,0.09436301150272683
df_node_similarity,0.2,0.3845991107586647,0.8600000000000001,0.06656761989617625,0.12357037280695465
leiden,0.25,0.427724477489318,0.8222222222222223,0.05991906798457498,0.11169818209101676
eigenvector,0.25,0.5196267550534867,0.8488888888888889,0.07363029384859393,0.13550707563222944
louvain,0.25,0.37670749790833946,0.8322222222222223,0.05943895078096015,0.11095339172138967
greedy_modularity,0.25,0.3856553580121673,0.8844444444444445,0.06575677890703518,0.12241242456783527
label_propagation,0.25,0.42016475455138,0.6988888888888889,0.054644833841417904,0.10136418863529782
infomap,0.25,0.3167741995116617,0.7944444444444445,0.049316934548728084,0.09286882676715721
surprise_communities,0.25,0.35501572525959746,0.6866666666666668,0.048122724912957986,0.08994215617582718
walktrap,0.25,0.33999096976207344,0.8133333333333332,0.05072286826857632,0.09549054667653592
df_node_similarity,0.25,0.406754250858595,0.8538888888888889,0.06727482963669769,0.12472316999331201
leiden,0.3,0.4427158978832088,0.8211111111111111,0.060248944430429684,0.11226076651305648
eigenvector,0.3,0.5441622471803709,0.8366666666666667,0.07424969156632097,0.13639505182304057
louvain,0.3,0.39612982929667206,0.8311111111111112,0.05995813063200244,0.1118473542465171
greedy_modularity,0.3,0.40726238508248525,0.8844444444444445,0.06663851596809627,0.1239388522078878
label_propagation,0.3,0.45097140474270137,0.6722222222222223,0.05438452822918424,0.10062799003179462
infomap,0.3,0.3625345802063734,0.7622222222222222,0.049591366244398034,0.09312394352313898
surprise_communities,0.3,0.3939163293347055,0.6722222222222223,0.04906004244926908,0.09144617127827105
walktrap,0.3,0.3702774458630692,0.7955555555555555,0.051408434136268735,0.09657616115273489
df_node_similarity,0.3,0.4299243849018453,0.8533333333333334,0.06814893537872971,0.12621785608773498
leiden,0.35,0.46825651487465364,0.8088888888888889,0.06083345824419523,0.11315682207918709
eigenvector,0.35,0.5682947521917892,0.8355555555555556,0.07534733422696499,0.13822962780296572
louvain,0.35,0.41970316973082183,0.7755555555555557,0.05950777527143309,0.11053433675456956
greedy_modularity,0.35,0.4260636912750584,0.8711111111111111,0.06679173339263597,0.12407046514392732
label_propagation,0.35,0.48667907486509715,0.5944444444444446,0.05338750740726733,0.09797573920296854
infomap,0.35,0.4025286259629695,0.6744444444444445,0.04912374878483053,0.09157737934927518
surprise_communities,0.35,0.4268612671607156,0.638888888888889,0.04836138798409497,0.0899164524890932
walktrap,0.35,0.40494718556811,0.7899999999999999,0.052723070896258,0.09884914142375775
df_node_similarity,0.35,0.45709909592331577,0.8466666666666667,0.0695093510716577,0.1284714933256689
leiden,0.4,0.49220622636143496,0.8088888888888889,0.0621951347221053,0.11550884198543243
eigenvector,0.4,0.5953330471381427,0.8233333333333335,0.07698394390759465,0.14080246764746832
louvain,0.4,0.4512014023031625,0.7644444444444445,0.06054138223991617,0.1121971355515139
greedy_modularity,0.4,0.45170451385343097,0.8711111111111111,0.06800335553729726,0.1261581643243007
label_propagation,0.4,0.5257763910023009,0.5744444444444445,0.05485652810143715,0.10014930592557955
infomap,0.4,0.4418057477341979,0.6444444444444444,0.04940302739332852,0.0917709088368953
surprise_communities,0.4,0.457668721112325,0.6233333333333334,0.048935282246620755,0.09074644239960307
walktrap,0.4,0.437798052985533,0.73,0.05338006562112336,0.09948542122404835
df_node_similarity,0.4,0.4800452347990098,0.8388888888888888,0.0707061012538388,0.1304197216591768
leiden,0.45,0.5267174030923211,0.7266666666666667,0.06105205038643472,0.11264043620404468
eigenvector,0.45,0.6298225507560314,0.7522222222222222,0.07969379654685332,0.1441189816839913
louvain,0.45,0.491065808835928,0.7611111111111111,0.06258967362638662,0.11566747760970608
greedy_modularity,0.45,0.4904350661455072,0.8022222222222221,0.06840969814269778,0.12606884443792024
label_propagation,0.45,0.5719716367116807,0.5466666666666666,0.056808137367372016,0.10292099980502821
infomap,0.45,0.4909610664557278,0.5588888888888889,0.04749688719401787,0.08755311736044472
surprise_communities,0.45,0.5019714678760545,0.57,0.04846470941997408,0.08933374515513802
walktrap,0.45,0.48218924134862484,0.7022222222222223,0.05394467003407736,0.10019255393565861
df_node_similarity,0.45,0.5283870846898362,0.7894444444444444,0.07305220279599695,0.13372957642501218
leiden,0.5,0.5544377455592051,0.65,0.059802805548895166,0.10952851497035722
eigenvector,0.5,0.6631224027724936,0.6888888888888889,0.08452789700207701,0.15057942912059946
louvain,0.5,0.5202085829972448,0.7333333333333334,0.06319385403576122,0.11636052192842697
greedy_modularity,0.5,0.5267536314152973,0.7788888888888889,0.06987869493340576,0.12825121998316447
label_propagation,0.5,0.601619679210859,0.5288888888888889,0.05765792884605481,0.10398023482860272
infomap,0.5,0.5225350632461552,0.4555555555555556,0.045864222034216376,0.08333816128814377
surprise_communities,0.5,0.5273462048319794,0.4366666666666667,0.04587656488279511,0.08302993537454186
walktrap,0.5,0.5235613435362826,0.6944444444444444,0.056262762140971194,0.10409214739155728
df_node_similarity,0.5,0.5665072045124864,0.7472222222222222,0.07595078557629889,0.13788623834890404
leiden,0.55,0.5925450488964102,0.6255555555555555,0.06097412415412443,0.11111741629546601
eigenvector,0.55,0.7040004448327734,0.6388888888888888,0.09017528260908941,0.15804366299605616
louvain,0.55,0.5696674322836596,0.6522222222222223,0.06280634583039361,0.11457918264362937
greedy_modularity,0.55,0.5783837951398351,0.77,0.07443244442050474,0.13574320262675343
label_propagation,0.55,0.6480167629460682,0.5077777777777777,0.06042608419555202,0.10800005000342813
infomap,0.55,0.5726782569716996,0.3355555555555555,0.04116315159810584,0.07333070506257555
surprise_communities,0.55,0.5734113748754722,0.34777777777777774,0.04451566558014428,0.0789284629344986
walktrap,0.55,0.5704118986459672,0.6488888888888888,0.05648197968155563,0.10391846522408286
df_node_similarity,0.55,0.6209860041970376,0.7366666666666667,0.08128464218460128,0.14641381647379
leiden,0.6,0.639587717096354,0.6022222222222223,0.06376651713282577,0.11532211096629158
eigenvector,0.6,0.7469043031225681,0.6055555555555556,0.10188874801192783,0.17442870653163
louvain,0.6,0.6221089771223265,0.62,0.06390436049464171,0.11586621111180437
greedy_modularity,0.6,0.6316148205067171,0.6777777777777777,0.07757675621451153,0.13921886761274613
label_propagation,0.6,0.677861587910004,0.46888888888888886,0.05913338504935379,0.10502203630626866
infomap,0.6,0.6169843331529342,0.3077777777777778,0.04198298336669999,0.07388724385664748
surprise_communities,0.6,0.6069135411203388,0.3055555555555556,0.04256860263089697,0.07472663255470437
walktrap,0.6,0.6205642179605171,0.6111111111111112,0.05947366937881125,0.10839798705060652
df_node_similarity,0.6,0.6713370614171463,0.6772222222222222,0.09003623716553222,0.15894133161444535
leiden,0.65,0.6913227813750203,0.5422222222222222,0.06553993450433321,0.11694446104589352
eigenvector,0.65,0.784296729763647,0.5644444444444444,0.11244298606612031,0.18752843069900998
louvain,0.65,0.6681973440354549,0.5577777777777777,0.06305942762317011,0.11330876146469021
greedy_modularity,0.65,0.6925473304849034,0.5388888888888889,0.08208898749608609,0.1424747803232691
label_propagation,0.65,0.7084990076293454,0.44111111111111106,0.060566223751145606,0.10650843639171946
