method,threshold,ACC,recall,PPV,f12
eigenvector,,0.8996792243827135,0.6666666666666666,0.7592592592592592,0.7099567099567099
louvain,,0.8894147010238603,0.7222222222222222,0.6666666666666666,0.6933333333333334
greedy_modularity,,0.8928524577408081,0.6388888888888888,0.7037037037037037,0.6697318007662835
label_propagation,,0.8844364205037841,0.5925925925925926,0.7592592592592592,0.6656519533231862
infomap,,0.9187369035711117,0.6666666666666666,0.8148148148148148,0.7333333333333333
surprise_communities,,0.7131160358751928,0.6111111111111112,0.3131834215167548,0.4141317771523372
walktrap,,0.9108548796707814,0.7222222222222222,0.7777777777777778,0.7489711934156379
df_node_similarity,,0.9190028958802982,0.7222222222222222,0.8703703703703703,0.7894056847545219
leiden,,0.8778798681712937,0.625,0.6666666666666666,0.6451612903225806
eigenvector,0.05,0.8146260432944749,0.8703703703703705,0.5438832772166105,0.669441284789273
louvain,0.05,0.796394189149308,0.8703703703703705,0.5039361872695207,0.6383017289971109
greedy_modularity,0.05,0.8266980755426935,0.8981481481481483,0.5354056437389771,0.6708832136661005
label_propagation,0.05,0.8282062621513123,0.9629629629629629,0.5003687670354338,0.6585473144617643
infomap,0.05,0.8003715849395694,0.9722222222222222,0.4654882154882155,0.6295537340619308
surprise_communities,0.05,0.7993545495975911,0.7777777777777778,0.3945326278659611,0.5235110241880212
walktrap,0.05,0.8159014308787719,0.9629629629629629,0.5168991502324836,0.6727042105106872
df_node_similarity,0.05,0.8471698289529314,0.9490740740740742,0.5620370370370371,0.7059901506899057
leiden,0.05,0.7972592522666557,0.8541666666666667,0.518713924963925,0.645457655882192
eigenvector,0.1,0.8383662849345385,0.8425925925925927,0.5716931216931216,0.6811981266713777
louvain,0.1,0.8235998845472231,0.8425925925925927,0.5629629629629629,0.674962182208559
greedy_modularity,0.1,0.8315289934170897,0.8703703703703705,0.5445326278659612,0.6699329432268043
label_propagation,0.1,0.8841651621598077,0.9351851851851851,0.6104938271604938,0.7387365400544313
infomap,0.1,0.8312524762323599,0.9444444444444444,0.5074074074074074,0.6601473922902495
surprise_communities,0.1,0.8138473032207796,0.7777777777777778,0.4059523809523809,0.5334674265281036
walktrap,0.1,0.8261202145529332,0.9351851851851851,0.5227513227513226,0.6706318003723193
df_node_similarity,0.1,0.8566729210901449,0.9074074074074074,0.5920194003527337,0.7165441973275656
leiden,0.1,0.8026940348753513,0.8229166666666667,0.5256944444444445,0.6415529522828699
eigenvector,0.15,0.8679267827500728,0.8425925925925927,0.6499999999999999,0.7338709677419355
louvain,0.15,0.8408147033504119,0.8425925925925927,0.5907407407407407,0.6945401473825246
greedy_modularity,0.15,0.872484053860342,0.8703703703703705,0.6358024691358025,0.7348208864602308
label_propagation,0.15,0.9201232807520479,0.9351851851851851,0.687037037037037,0.7921317436157618
infomap,0.15,0.863233695422864,0.9444444444444444,0.5807760141093474,0.7192542912940693
surprise_communities,0.15,0.8138473032207796,0.7777777777777778,0.4059523809523809,0.5334674265281036
walktrap,0.15,0.8557189342849144,0.9351851851851851,0.588888888888889,0.7226947482111518
df_node_similarity,0.15,0.9145032346151084,0.9074074074074074,0.7486772486772486,0.8204354514258668
leiden,0.15,0.8286396533973597,0.8229166666666667,0.5798611111111112,0.6803320957095711
eigenvector,0.2,0.8875517980526879,0.8425925925925927,0.7037037037037037,0.7669106231980485
louvain,0.2,0.8408147033504119,0.8425925925925927,0.5907407407407407,0.6945401473825246
greedy_modularity,0.2,0.8821458896091343,0.8703703703703705,0.6428571428571428,0.7395104895104895
label_propagation,0.2,0.9302452039174491,0.9351851851851851,0.7277777777777777,0.8185473892600841
infomap,0.2,0.8690816486392383,0.9444444444444444,0.597442680776014,0.731897181711308
surprise_communities,0.2,0.8196952564371539,0.7777777777777778,0.4133597883597883,0.539823554815226
walktrap,0.2,0.8733556185882654,0.9351851851851851,0.6357142857142857,0.7569046817110138
df_node_similarity,0.2,0.925642193122488,0.9074074074074074,0.787037037037037,0.8429467719085205
leiden,0.2,0.8286396533973597,0.8229166666666667,0.5798611111111112,0.6803320957095711
eigenvector,0.25,0.8986907565600676,0.8425925925925927,0.7592592592592593,0.7987582958681224
louvain,0.25,0.8519536618577913,0.8425925925925927,0.6296296296296297,0.720708129513161
greedy_modularity,0.25,0.8874368949001396,0.8703703703703705,0.6706349206349206,0.7575584167858845
label_propagation,0.25,0.9242594201538878,0.8981481481481483,0.7314814814814814,0.8062920875420875
infomap,0.25,0.8802206071466178,0.9444444444444444,0.6529982363315696,0.7721348176771858
surprise_communities,0.25,0.8196952564371539,0.7777777777777778,0.4133597883597883,0.539823554815226
walktrap,0.25,0.8739125665136344,0.9074074074074073,0.6468253968253967,0.755271867612293
df_node_similarity,0.25,0.926199141047857,0.8935185185185186,0.8018518518518518,0.8452070311709853
leiden,0.25,0.8345920343497406,0.8229166666666667,0.6111111111111112,0.7013720742534303
eigenvector,0.3,0.8982583661843618,0.7500000000000001,0.7883597883597884,0.768701633705933
louvain,0.3,0.8563244923155784,0.8148148148148149,0.6402116402116402,0.7170370370370371
greedy_modularity,0.3,0.8928247606999046,0.8148148148148149,0.716931216931217,0.7627454743171497
label_propagation,0.3,0.9349382912446581,0.8981481481481483,0.7777777777777778,0.8336402701043585
infomap,0.3,0.890439390820779,0.9166666666666666,0.6820987654320987,0.782175032175032
surprise_communities,0.3,0.8245261743115502,0.7777777777777778,0.41931216931216925,0.5448741559238797
walktrap,0.3,0.8835744022624267,0.8796296296296295,0.6605820105820105,0.7545294349657111
df_node_similarity,0.3,0.9386107390175531,0.8657407407407407,0.8666666666666667,0.8662034562622484
leiden,0.3,0.846088165983172,0.7916666666666667,0.6438492063492063,0.7101474314674038
eigenvector,0.35,0.9196161083659027,0.7500000000000001,0.8814814814814815,0.8104426787741204
louvain,0.35,0.8715329374757143,0.7592592592592593,0.6777777777777777,0.7162084765177549
greedy_modularity,0.35,0.898672713916279,0.8148148148148149,0.753968253968254,0.7832115420648305
label_propagation,0.35,0.9306852343600222,0.8611111111111112,0.7592592592592592,0.806984126984127
infomap,0.35,0.9156110155347379,0.9166666666666666,0.7452380952380953,0.8221107927411653
surprise_communities,0.35,0.8438498458091346,0.7777777777777778,0.4476190476190476,0.5682210708117443
walktrap,0.35,0.9087460269763855,0.8518518518518517,0.7166666666666666,0.7784336875245965
df_node_similarity,0.35,0.9444586922339274,0.8518518518518519,0.9259259259259258,0.8873456790123456
leiden,0.35,0.869776614156746,0.7604166666666667,0.7044642857142858,0.7313719016659894
eigenvector,0.4,0.9137681551495285,0.6666666666666666,0.8722222222222222,0.7557160048134778
louvain,0.4,0.8763638553501105,0.7592592592592593,0.6851851851851851,0.7203228869895537
greedy_modularity,0.4,0.8897265697044343,0.7314814814814815,0.7296296296296297,0.7305543820119232
label_propagation,0.4,0.909912137144754,0.7314814814814814,0.75,0.740625
infomap,0.4,0.9037772785548019,0.824074074074074,0.7558201058201058,0.7884727493736201
surprise_communities,0.4,0.850714834367487,0.7407407407407407,0.4661375661375661,0.5721986782924967
walktrap,0.4,0.9135769448507816,0.8518518518518517,0.724074074074074,0.7827827827827828
df_node_similarity,0.4,0.936905709179531,0.787037037037037,0.9629629629629629,0.8661571624534586
leiden,0.4,0.869776614156746,0.7604166666666667,0.7044642857142858,0.7313719016659894
eigenvector,0.45,0.9137681551495285,0.6666666666666666,0.8722222222222222,0.7557160048134778
louvain,0.45,0.8845943080250076,0.7592592592592593,0.6944444444444443,0.7254069355980184
greedy_modularity,0.45,0.8897265697044343,0.7314814814814815,0.7296296296296297,0.7305543820119232
label_propagation,0.45,0.917492817240054,0.7037037037037037,0.8148148148148148,0.7551942186088527
infomap,0.45,0.9138782886558121,0.824074074074074,0.7928571428571429,0.8081642670157069
surprise_communities,0.45,0.858945287042384,0.7407407407407407,0.48518518518518516,0.5863265077766587
walktrap,0.45,0.9135769448507816,0.8518518518518517,0.724074074074074,0.7827827827827828
df_node_similarity,0.45,0.936905709179531,0.787037037037037,0.9629629629629629,0.8661571624534586
leiden,0.45,0.8790358734160053,0.7604166666666667,0.7148809523809524,0.7369460695313025
eigenvector,0.5,0.9089372372751323,0.6296296296296297,0.8611111111111112,0.7273982056590751
louvain,0.5,0.8797633901506114,0.7222222222222222,0.6833333333333332,0.7022397891963109
greedy_modularity,0.5,0.8848956518300382,0.6944444444444444,0.7296296296296297,0.711602369599769
label_propagation,0.5,0.9164757818980758,0.6759259259259259,0.8518518518518519,0.7537598204264873
infomap,0.5,0.9025114230689977,0.75,0.7817460317460317,0.7655440414507773
surprise_communities,0.5,0.8647932402587583,0.7407407407407407,0.5222222222222223,0.6125773867709351
walktrap,0.5,0.9080580324803414,0.7777777777777778,0.7314814814814814,0.7539195637355146
df_node_similarity,0.5,0.9320747913051348,0.7314814814814815,0.9629629629629629,0.8314106456182959
leiden,0.5,0.8736010908073096,0.71875,0.7023809523809523,0.7104712041884818
