method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.8937179039577503,0.049889237421444514,0.057917794427189855,0.053604566373025374,52,109251,847,6614,"[6, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 4, 1, 0, 0, 1, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 1, 2, 4, 1, 5400, 6938, 3390, 3704, 14, 15, 18, 7, 17, 10, 12, 19, 16, 3388, 3390, 6132, 160, 169, 112, 582, 483, 481, 797, 765, 786, 7065, 3741, 6925, 379, 341, 359, 393, 390, 421, 396, 389, 394, 3692, 6612, 720, 740, 742, 835, 814, 810, 813, 771, 816, 7052, 79, 61, 42, 63, 72, 87, 79, 86, 84, 7051, 3649, 6086, 3650, 80, 165, 161, 146, 173, 178, 394, 376, 383, 3691, 26, 14, 13, 17, 3, 2, 3, 1, 3, 4, 3, 4, 1, 17, 15, 18, 13, 12, 10, 19, 17, 17, 21, 17, 21, 18, 17, 22, 9, 10, 9, 11, 11, 10, 10, 10, 8, 17, 22, 11, 12, 14, 11, 11, 11, 12, 9, 10, 15, 8, 6, 7, 8, 10, 9, 8, 9, 6, 14, 17, 23, 16, 8, 10, 11, 11, 11, 11, 14, 14, 11, 14, 1259, 127, 402, 41, 2, 2, 2, 1, 3, 3, 4, 4, 3, 404, 402, 1261, 1, 2, 2, 9, 10, 10, 97, 97, 97, 127, 41, 127, 2, 2, 1, 5, 5, 4, 50, 50, 49, 5, 13, 2, 2, 2, 10, 9, 10, 99, 98, 100, 13, 1, 2, 2, 6, 6, 6, 12, 11, 10, 13, 5, 1261, 5, 2, 2, 2, 5, 5, 4, 49, 48, 46, 40]"
louvain,,0.8937519159391942,0.03945882994096512,0.06367384460681563,0.04872355763184931,56,109281,817,6610,"[3, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 1, 3, 7, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 6, 0, 0, 0, 0, 1, 1, 0, 2, 2, 4, 0, 5406, 6939, 3392, 3705, 14, 14, 18, 7, 17, 10, 12, 19, 16, 3389, 3389, 6133, 161, 169, 112, 580, 480, 481, 799, 768, 788, 7068, 3741, 6924, 378, 340, 359, 394, 391, 420, 394, 389, 394, 3692, 6618, 719, 741, 745, 837, 815, 809, 812, 769, 816, 7053, 79, 61, 42, 63, 72, 89, 79, 87, 84, 7051, 3650, 6089, 3651, 80, 164, 162, 149, 173, 177, 394, 376, 383, 3690, 20, 13, 11, 16, 3, 3, 3, 1, 3, 4, 3, 4, 1, 16, 16, 17, 12, 12, 10, 21, 20, 17, 19, 14, 19, 15, 17, 23, 10, 11, 9, 10, 10, 11, 12, 10, 8, 17, 16, 12, 11, 11, 9, 10, 12, 13, 11, 10, 14, 8, 6, 7, 8, 10, 7, 8, 8, 6, 14, 16, 20, 15, 8, 11, 10, 8, 11, 12, 14, 14, 11, 15, 1262, 127, 401, 41, 2, 2, 2, 1, 3, 3, 4, 4, 3, 404, 404, 1261, 2, 2, 2, 10, 10, 9, 97, 93, 97, 127, 41, 127, 2, 2, 1, 5, 5, 5, 49, 49, 49, 5, 13, 2, 2, 2, 9, 10, 10, 100, 99, 97, 13, 2, 2, 2, 6, 6, 5, 12, 11, 10, 13, 5, 1259, 5, 2, 2, 2, 4, 4, 5, 48, 48, 46, 41]"
greedy_modularity,,0.9011757447090583,0.03424439826221968,0.05280286888928508,0.041545301324286084,76,102947,1001,5325,"[24, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 31, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 5348, 6891, 3391, 3709, 14, 15, 18, 7, 18, 11, 12, 20, 16, 3393, 3392, 160, 169, 112, 584, 487, 481, 808, 774, 801, 7010, 3746, 6912, 380, 342, 360, 397, 392, 422, 398, 391, 395, 3696, 6582, 722, 742, 748, 835, 815, 812, 816, 771, 817, 7027, 83, 62, 43, 66, 75, 88, 79, 89, 85, 6993, 3652, 6048, 3653, 80, 166, 164, 147, 174, 178, 400, 381, 387, 3695, 78, 61, 12, 12, 3, 2, 3, 1, 2, 3, 3, 3, 1, 12, 13, 13, 12, 10, 17, 13, 17, 10, 8, 6, 73, 12, 35, 8, 9, 8, 7, 9, 9, 8, 8, 7, 13, 52, 9, 10, 8, 11, 10, 9, 9, 9, 9, 40, 4, 5, 6, 5, 7, 8, 8, 6, 5, 72, 14, 61, 13, 8, 9, 8, 10, 10, 11, 8, 9, 7, 10, 1241, 127, 404, 41, 2, 2, 2, 1, 3, 3, 4, 4, 3, 404, 404, 2, 2, 2, 10, 10, 10, 99, 98, 97, 126, 41, 127, 2, 2, 2, 5, 5, 5, 50, 49, 49, 5, 13, 2, 2, 2, 10, 9, 10, 100, 99, 100, 13, 1, 2, 2, 5, 6, 6, 12, 12, 10, 13, 5, 1234, 5, 2, 2, 2, 4, 4, 5, 49, 50, 50, 41]"
label_propagation,,0.884915944625521,0.028635398834272293,0.042037229666848384,0.03406560256575199,52,89506,1250,3957,"[21, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 2, 1, 0, 0, 2, 1, 0, 2, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 5370, 6913, 3369, 3687, 15, 15, 18, 6, 17, 13, 13, 21, 16, 3376, 3370, 140, 147, 97, 561, 449, 444, 765, 730, 758, 3727, 6890, 387, 350, 367, 403, 400, 430, 405, 398, 401, 3674, 6584, 730, 751, 755, 845, 824, 820, 824, 779, 826, 7012, 80, 60, 42, 64, 74, 88, 81, 86, 83, 7023, 3638, 3638, 76, 157, 147, 138, 162, 159, 407, 366, 370, 3675, 56, 39, 34, 34, 2, 2, 3, 2, 3, 1, 2, 2, 1, 29, 35, 33, 34, 25, 40, 51, 54, 53, 52, 49, 31, 57, 1, 1, 1, 1, 1, 1, 1, 1, 1, 35, 50, 1, 1, 1, 1, 1, 1, 1, 1, 0, 55, 7, 7, 7, 7, 8, 8, 6, 9, 7, 42, 28, 28, 12, 18, 25, 19, 22, 30, 1, 24, 24, 30, 1244, 127, 403, 40, 2, 2, 2, 3, 3, 2, 4, 4, 4, 401, 402, 1, 2, 2, 8, 9, 10, 98, 96, 96, 41, 127, 2, 2, 2, 5, 5, 5, 50, 50, 50, 5, 13, 2, 2, 2, 10, 10, 10, 100, 100, 99, 13, 2, 2, 2, 5, 6, 6, 10, 12, 11, 13, 5, 5, 2, 2, 2, 5, 5, 4, 50, 50, 47, 41]"
infomap,,0.8842900200961529,0.043480557601577804,0.05304982014098995,0.04779087815330243,276,107080,3018,6390,"[78, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 77, 0, 0, 1, 3, 1, 0, 9, 4, 8, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 80, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 5180, 6695, 3396, 3715, 14, 15, 18, 7, 17, 12, 13, 20, 16, 3399, 3399, 5892, 151, 157, 105, 559, 457, 450, 769, 736, 755, 6812, 3752, 6648, 387, 350, 366, 403, 400, 430, 405, 398, 401, 3703, 6407, 730, 751, 755, 845, 824, 820, 824, 779, 826, 6787, 77, 60, 42, 63, 74, 86, 77, 84, 83, 6813, 3661, 5886, 3659, 78, 157, 152, 139, 164, 168, 382, 361, 365, 3699, 246, 257, 7, 6, 3, 2, 3, 1, 3, 2, 2, 3, 1, 6, 6, 258, 22, 24, 17, 42, 43, 48, 49, 46, 52, 271, 6, 299, 1, 1, 2, 1, 1, 1, 1, 1, 1, 6, 227, 1, 1, 1, 1, 1, 1, 1, 1, 0, 280, 10, 7, 7, 8, 8, 10, 10, 11, 7, 252, 5, 223, 7, 10, 18, 20, 18, 20, 21, 26, 29, 29, 6, 1187, 125, 404, 41, 2, 2, 2, 2, 3, 3, 4, 4, 3, 404, 404, 1188, 2, 2, 1, 7, 9, 10, 91, 96, 92, 126, 41, 126, 2, 2, 2, 5, 5, 5, 50, 50, 50, 5, 13, 2, 2, 2, 10, 10, 10, 100, 100, 99, 13, 2, 2, 1, 6, 5, 6, 12, 12, 11, 13, 5, 1185, 5, 2, 2, 2, 5, 3, 5, 48, 50, 49, 41]"
df_node_similarity,,0.9006915762193471,0.05056061272882326,0.057987925084845376,0.054020166134263525,47,109530,568,6619,"[4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 9, 0, 0, 0, 0, 2, 0, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 1, 5408, 6943, 3398, 3716, 15, 15, 19, 6, 18, 10, 12, 21, 16, 3401, 3399, 6131, 163, 168, 112, 582, 479, 471, 801, 757, 787, 7069, 3752, 6936, 386, 348, 367, 402, 400, 429, 405, 397, 400, 3704, 6624, 726, 743, 842, 819, 811, 753, 820, 775, 818, 7058, 80, 60, 45, 65, 76, 87, 81, 89, 84, 7057, 3660, 6089, 3661, 81, 165, 163, 147, 173, 175, 399, 377, 384, 3700, 18, 9, 5, 5, 2, 2, 2, 2, 2, 4, 3, 2, 1, 4, 6, 19, 10, 13, 10, 19, 21, 27, 17, 25, 20, 14, 6, 11, 2, 3, 1, 2, 1, 2, 1, 2, 2, 5, 10, 5, 9, 4, 6, 10, 3, 5, 5, 8, 9, 7, 7, 4, 6, 6, 9, 6, 6, 6, 8, 6, 20, 5, 7, 10, 9, 10, 11, 14, 9, 13, 10, 5, 1261, 127, 404, 41, 2, 2, 2, 2, 3, 3, 4, 4, 3, 403, 404, 1256, 2, 2, 2, 10, 8, 10, 97, 97, 98, 127, 41, 127, 2, 2, 2, 5, 5, 5, 50, 50, 50, 5, 13, 2, 2, 10, 10, 10, 2, 100, 100, 100, 13, 2, 2, 0, 5, 6, 6, 10, 11, 12, 13, 5, 1257, 5, 2, 2, 2, 5, 5, 4, 48, 48, 49, 40]"
eigenvector,,0.894923541399984,0.027058179513272444,0.056529608772552406,0.0365983676168682,40,103332,1340,5361,"[3, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 6709, 3387, 3705, 14, 15, 18, 7, 17, 10, 13, 21, 16, 3389, 3389, 6147, 157, 163, 107, 583, 480, 483, 805, 770, 794, 6769, 3742, 6941, 379, 333, 362, 394, 396, 421, 396, 390, 397, 3691, 6622, 722, 732, 741, 831, 800, 806, 815, 774, 801, 7038, 81, 61, 42, 64, 74, 87, 80, 88, 82, 7033, 3649, 6101, 3649, 81, 159, 159, 147, 173, 181, 399, 379, 383, 3688, 243, 16, 16, 3, 2, 3, 1, 3, 4, 2, 2, 1, 16, 16, 3, 16, 18, 15, 18, 20, 15, 13, 12, 13, 314, 16, 6, 9, 18, 6, 10, 5, 10, 10, 9, 5, 18, 12, 9, 20, 15, 15, 25, 15, 10, 6, 25, 29, 6, 6, 7, 7, 8, 9, 7, 7, 8, 32, 17, 8, 17, 7, 16, 13, 10, 11, 8, 9, 11, 11, 17, 124, 403, 40, 2, 2, 2, 1, 3, 3, 4, 4, 3, 403, 403, 1264, 2, 2, 2, 10, 10, 10, 99, 97, 100, 126, 40, 127, 2, 2, 2, 5, 4, 5, 49, 49, 50, 5, 13, 2, 2, 2, 10, 10, 10, 98, 96, 96, 13, 2, 2, 2, 6, 6, 6, 10, 12, 11, 13, 5, 1263, 5, 2, 2, 2, 5, 5, 4, 49, 48, 50, 40]"
surprise_communities,,0.750070742106067,0.06468419376402117,0.028337869898567875,0.03941026881595135,154,65192,27221,2717,"[0, 11, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 10, 7, 0, 0, 1, 3, 2, 1, 8, 12, 12, 0, 5, 0, 0, 0, 1, 0, 0, 0, 7, 4, 5, 0, 0, 0, 0, 0, 1, 0, 0, 13, 15, 14, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 5, 6, 1, 2, 3339, 3105, 3420, 9, 10, 16, 4, 16, 10, 10, 16, 8, 3096, 3099, 144, 144, 95, 535, 434, 428, 745, 712, 740, 3338, 3452, 3314, 314, 282, 298, 319, 323, 346, 335, 325, 321, 3406, 3374, 604, 624, 629, 703, 684, 685, 684, 648, 686, 3396, 76, 55, 37, 60, 70, 84, 76, 83, 78, 3333, 3372, 3370, 68, 151, 142, 131, 148, 155, 368, 351, 351, 3408, 3613, 298, 301, 8, 7, 5, 4, 4, 4, 5, 7, 9, 309, 306, 29, 37, 27, 66, 66, 70, 73, 70, 67, 3745, 306, 3633, 74, 69, 70, 85, 78, 85, 71, 74, 81, 303, 3260, 127, 128, 127, 143, 141, 136, 141, 132, 140, 3671, 11, 12, 12, 11, 12, 12, 11, 12, 12, 3732, 294, 296, 20, 24, 30, 26, 36, 34, 40, 39, 43, 297, 127, 393, 38, 2, 2, 2, 2, 3, 2, 4, 4, 4, 394, 397, 2, 2, 1, 7, 8, 9, 92, 88, 88, 127, 36, 127, 2, 2, 1, 5, 5, 5, 43, 46, 45, 5, 13, 2, 2, 2, 9, 10, 10, 87, 85, 86, 13, 2, 2, 2, 6, 6, 6, 11, 12, 12, 13, 5, 5, 2, 2, 2, 4, 5, 4, 45, 44, 49, 39]"
walktrap,,0.8594968084150486,0.03991205176662823,0.03959052359536128,0.03975063751108234,103,90715,7848,4033,"[0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4, 57, 1, 0, 0, 0, 1, 0, 2, 3, 3, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 3, 0, 6730, 3347, 3661, 13, 15, 18, 7, 17, 12, 11, 20, 16, 3345, 3343, 5901, 149, 160, 104, 565, 466, 457, 789, 756, 772, 6809, 3697, 4405, 363, 333, 340, 371, 373, 391, 381, 376, 374, 3652, 4475, 636, 668, 705, 759, 774, 780, 730, 742, 770, 6806, 79, 61, 42, 63, 72, 90, 78, 86, 83, 6816, 3610, 3610, 78, 164, 151, 137, 161, 172, 389, 370, 374, 3645, 222, 56, 60, 4, 2, 3, 1, 3, 2, 4, 3, 1, 60, 62, 249, 24, 21, 18, 36, 34, 41, 29, 26, 35, 274, 61, 2542, 25, 18, 28, 33, 28, 40, 25, 23, 28, 57, 2159, 95, 84, 51, 87, 51, 41, 95, 38, 56, 261, 8, 6, 7, 8, 10, 6, 9, 9, 7, 249, 56, 56, 10, 11, 21, 20, 23, 17, 19, 20, 20, 60, 127, 398, 41, 2, 2, 2, 2, 3, 3, 4, 4, 3, 402, 400, 1208, 1, 2, 2, 10, 9, 10, 98, 97, 97, 127, 41, 125, 2, 2, 2, 5, 4, 5, 49, 49, 49, 5, 13, 2, 2, 2, 10, 10, 10, 98, 99, 99, 13, 2, 2, 2, 6, 5, 5, 12, 11, 11, 13, 5, 5, 1, 2, 2, 5, 5, 5, 48, 48, 47, 41]"
leiden,0.05,0.12333662354705807,0.9591565519617427,0.06896285636111016,0.1286741111689703,6580,1861,108237,86,"[1253, 127, 392, 41, 2, 2, 2, 3, 3, 2, 4, 4, 4, 402, 404, 1256, 2, 2, 2, 9, 10, 9, 95, 98, 96, 126, 41, 127, 2, 2, 2, 5, 5, 5, 47, 50, 48, 5, 13, 2, 2, 2, 9, 10, 10, 100, 99, 98, 13, 2, 2, 1, 6, 6, 6, 10, 12, 11, 13, 5, 1253, 5, 2, 2, 1, 3, 5, 4, 48, 48, 49, 39, 32, 32, 278, 55, 3, 2, 3, 3, 3, 3, 5, 4, 2, 18, 19, 28, 23, 14, 11, 24, 20, 20, 28, 32, 29, 39, 19, 44, 17, 12, 11, 18, 17, 13, 29, 12, 10, 18, 179, 16, 16, 22, 11, 14, 17, 18, 14, 21, 76, 9, 9, 9, 10, 11, 12, 7, 11, 10, 25, 19, 69, 21, 10, 13, 12, 14, 15, 12, 16, 18, 20, 155, 5394, 6920, 3125, 3666, 14, 15, 18, 5, 17, 11, 10, 19, 15, 3387, 3386, 6122, 150, 167, 111, 577, 480, 478, 790, 750, 778, 7044, 3739, 6903, 371, 339, 357, 386, 384, 418, 377, 387, 392, 3691, 6455, 715, 736, 734, 835, 811, 804, 807, 766, 805, 6991, 78, 58, 40, 61, 71, 84, 80, 84, 80, 7040, 3647, 6040, 3645, 78, 162, 160, 143, 169, 177, 392, 372, 374, 3550, 12, 0, 12, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 9, 0, 0, 0, 1, 0, 1, 5, 2, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 12, 0, 0, 0, 1, 2, 0, 1, 2, 2, 1, 2]"
