method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9453835418908526,0.014444444444444446,0.03800828800828801,0.020933460618430003,4,7061,101,332,"[0, 0, 0, 0, 1, 0, 1, 2, 0, 720, 740, 742, 835, 814, 810, 813, 771, 816, 11, 12, 14, 11, 11, 11, 12, 9, 10, 2, 2, 2, 10, 9, 10, 99, 98, 100]"
eigenvector,,0.9409829571275127,0.011111111111111112,0.07828863346104725,0.01946031746031746,10,7022,140,326,"[0, 0, 0, 0, 0, 0, 2, 4, 4, 722, 732, 741, 831, 800, 806, 815, 774, 801, 9, 20, 15, 15, 25, 15, 10, 6, 25, 2, 2, 2, 10, 10, 10, 98, 96, 96]"
louvain,,0.9458157172597585,0.015555555555555557,0.04601139601139601,0.023250552727646666,5,7063,99,331,"[0, 0, 0, 1, 0, 0, 0, 1, 3, 719, 741, 745, 837, 815, 809, 812, 769, 816, 12, 11, 11, 9, 10, 12, 13, 11, 10, 2, 2, 2, 9, 10, 10, 100, 99, 97]"
greedy_modularity,,0.947495392549588,0.012222222222222223,0.021212121212121213,0.015508559919436053,2,7078,84,334,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 722, 742, 748, 835, 815, 812, 816, 771, 817, 9, 10, 8, 11, 10, 9, 9, 9, 9, 2, 2, 2, 10, 9, 10, 100, 99, 100]"
label_propagation,,0.9575373466409195,0.0011111111111111111,0.1111111111111111,0.0022002200220022005,1,7154,8,335,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 730, 751, 755, 845, 824, 820, 824, 779, 826, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 10, 10, 10, 100, 100, 99]"
infomap,,0.9575373466409195,0.0011111111111111111,0.1111111111111111,0.0022002200220022005,1,7154,8,335,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 730, 751, 755, 845, 824, 820, 824, 779, 826, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 10, 10, 10, 100, 100, 99]"
surprise_communities,,0.8011304666003404,0.05777777777777778,0.03158999289951671,0.04084693119045387,43,5947,1215,293,"[0, 0, 0, 1, 0, 0, 13, 15, 14, 604, 624, 629, 703, 684, 685, 684, 648, 686, 127, 128, 127, 143, 141, 136, 141, 132, 140, 2, 2, 2, 9, 10, 10, 87, 85, 86]"
walktrap,,0.8782474839302326,0.0044444444444444444,0.007089271332353264,0.005463611761895656,4,6564,598,332,"[0, 0, 0, 0, 0, 0, 2, 1, 1, 636, 668, 705, 759, 774, 780, 730, 742, 770, 95, 84, 51, 87, 51, 41, 95, 38, 56, 2, 2, 2, 10, 10, 10, 98, 99, 99]"
df_node_similarity,,0.9511353854170381,0.02888888888888889,0.05555555555555555,0.03801169590643275,0,7107,55,336,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 726, 743, 842, 819, 811, 753, 820, 775, 818, 5, 9, 4, 6, 10, 3, 5, 5, 8, 2, 2, 10, 10, 10, 2, 100, 100, 100]"
leiden,0.05,0.06101954646644893,0.9855555555555556,0.041841909791099474,0.08027570252133821,332,149,7013,4,"[2, 2, 2, 9, 10, 10, 100, 99, 98, 16, 16, 22, 11, 14, 17, 18, 14, 21, 715, 736, 734, 835, 811, 804, 807, 766, 805, 0, 0, 0, 1, 0, 0, 0, 1, 2]"
eigenvector,0.05,0.06547267031194985,0.938888888888889,0.041885589192076064,0.08019359225976577,330,186,6976,6,"[1, 2, 2, 10, 10, 10, 99, 99, 97, 12, 26, 19, 15, 27, 15, 25, 18, 29, 719, 726, 737, 831, 798, 806, 800, 762, 797, 1, 0, 0, 0, 0, 0, 1, 1, 3]"
louvain,0.05,0.05686612375722027,0.9888888888888889,0.04106643020027535,0.07885805486649027,326,124,7038,10,"[2, 2, 2, 10, 10, 10, 98, 96, 96, 14, 13, 12, 13, 10, 18, 14, 15, 15, 717, 739, 744, 833, 815, 803, 811, 765, 811, 0, 0, 0, 0, 0, 0, 2, 4, 4]"
greedy_modularity,0.05,0.05857912211522212,0.9955555555555556,0.041627802082048505,0.07991410452775657,332,131,7031,4,"[2, 2, 2, 10, 10, 10, 99, 98, 99, 11, 14, 11, 14, 36, 11, 10, 12, 12, 720, 738, 745, 832, 789, 810, 815, 768, 814, 0, 0, 0, 0, 0, 0, 1, 2, 1]"
label_propagation,0.05,0.042640256194316266,0.9877777777777779,0.04128526556503756,0.07925786109726769,334,10,7152,2,"[2, 2, 2, 9, 10, 10, 100, 99, 100, 3, 1, 2, 0, 1, 1, 1, 0, 1, 728, 751, 754, 846, 824, 820, 824, 780, 825, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
infomap,0.05,0.042640256194316266,0.9877777777777779,0.04128526556503756,0.07925786109726769,334,10,7152,2,"[2, 2, 2, 9, 10, 10, 100, 99, 100, 3, 1, 2, 0, 1, 1, 1, 0, 1, 728, 751, 754, 846, 824, 820, 824, 780, 825, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
surprise_communities,0.05,0.22154853103811226,0.9122222222222222,0.04481687164940981,0.08543631396223061,293,1386,5776,43,"[2, 2, 2, 9, 9, 8, 84, 91, 86, 138, 146, 148, 157, 158, 153, 164, 159, 163, 593, 606, 608, 689, 667, 668, 661, 621, 663, 0, 0, 0, 1, 1, 2, 16, 9, 14]"
walktrap,0.05,0.14052126563024947,0.9955555555555554,0.04494747696110846,0.08601168665237931,332,737,6425,4,"[2, 2, 2, 10, 10, 10, 97, 100, 99, 119, 97, 64, 102, 70, 52, 113, 50, 70, 612, 655, 692, 744, 755, 769, 712, 730, 756, 0, 0, 0, 0, 0, 0, 3, 0, 1]"
df_node_similarity,0.05,0.04990600770570339,0.9966666666666667,0.043201468157732736,0.0828133141538079,333,65,7097,3,"[2, 2, 10, 10, 10, 2, 99, 99, 99, 9, 9, 6, 6, 13, 4, 8, 4, 6, 722, 743, 840, 819, 808, 752, 817, 776, 820, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
leiden,0.1,0.06948776881012703,0.9822222222222222,0.041797090366632844,0.08018214203118333,329,214,6948,7,"[2, 2, 2, 9, 10, 10, 99, 99, 96, 22, 27, 30, 18, 25, 22, 22, 21, 27, 709, 725, 726, 828, 800, 799, 803, 759, 799, 0, 0, 0, 1, 0, 0, 1, 1, 4]"
eigenvector,0.1,0.0748512211633836,0.9355555555555556,0.0421723781116391,0.08070671047588844,327,260,6902,9,"[1, 2, 2, 10, 10, 10, 99, 96, 97, 14, 37, 28, 15, 32, 20, 44, 40, 30, 717, 715, 728, 831, 793, 801, 781, 740, 796, 1, 0, 0, 0, 0, 0, 1, 4, 3]"
louvain,0.1,0.07324650468515984,0.9566666666666666,0.04055371033557003,0.07780904558794091,306,272,6890,30,"[2, 2, 2, 10, 10, 9, 97, 79, 95, 18, 16, 15, 14, 12, 25, 18, 130, 24, 713, 736, 741, 832, 813, 796, 807, 650, 802, 0, 0, 0, 0, 0, 1, 3, 21, 5]"
greedy_modularity,0.1,0.0868772666661504,0.9822222222222224,0.04182562494573368,0.08023464605417759,329,346,6816,7,"[2, 2, 2, 10, 9, 10, 98, 98, 98, 17, 20, 14, 19, 213, 16, 20, 13, 14, 714, 732, 742, 827, 612, 805, 805, 767, 812, 0, 0, 0, 0, 1, 0, 2, 2, 2]"
label_propagation,0.1,0.04361228379150098,0.9877777777777779,0.04131431192425547,0.07931138453270026,334,17,7145,2,"[2, 2, 2, 9, 10, 10, 100, 99, 100, 6, 2, 2, 1, 1, 1, 2, 0, 2, 725, 750, 754, 845, 824, 820, 823, 780, 824, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
infomap,0.1,0.04361228379150098,0.9877777777777779,0.04131431192425547,0.07931138453270026,334,17,7145,2,"[2, 2, 2, 9, 10, 10, 100, 99, 100, 6, 2, 2, 1, 1, 1, 2, 0, 2, 725, 750, 754, 845, 824, 820, 823, 780, 824, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
surprise_communities,0.1,0.23928952915441803,0.9044444444444445,0.04482623638587951,0.08541892482995356,286,1525,5637,50,"[2, 2, 2, 9, 9, 8, 82, 87, 85, 153, 163, 158, 172, 172, 175, 184, 173, 175, 578, 589, 598, 674, 653, 646, 641, 607, 651, 0, 0, 0, 1, 1, 2, 18, 13, 15]"
walktrap,0.1,0.1531617850803349,0.9955555555555554,0.04552666788314039,0.08707156095180797,332,831,6331,4,"[2, 2, 2, 10, 10, 10, 97, 100, 99, 128, 108, 76, 114, 77, 64, 124, 63, 77, 603, 644, 680, 732, 748, 757, 701, 717, 749, 0, 0, 0, 0, 0, 0, 3, 0, 1]"
df_node_similarity,0.1,0.05429106229606828,0.9955555555555556,0.043571329018922564,0.08348870443380067,332,100,7062,4,"[2, 2, 10, 10, 10, 2, 98, 99, 99, 10, 12, 11, 6, 17, 7, 22, 5, 10, 721, 740, 835, 819, 804, 749, 803, 775, 816, 0, 0, 0, 0, 0, 0, 2, 1, 1]"
leiden,0.15,0.08156495387970326,0.9788888888888889,0.04191671679355837,0.08039103253255601,326,307,6855,10,"[2, 2, 2, 9, 10, 10, 98, 97, 96, 30, 36, 41, 26, 40, 36, 30, 26, 42, 701, 716, 715, 820, 785, 785, 795, 754, 784, 0, 0, 0, 1, 0, 0, 2, 3, 4]"
eigenvector,0.15,0.10048090887702082,0.9177777777777778,0.04286369167061329,0.08190223915983204,311,474,6688,25,"[1, 2, 2, 10, 10, 10, 96, 83, 97, 15, 48, 55, 16, 35, 27, 83, 160, 35, 716, 704, 701, 830, 790, 794, 742, 620, 791, 1, 0, 0, 0, 0, 0, 4, 17, 3]"
louvain,0.15,0.08666490923552814,0.948888888888889,0.040700675667137295,0.07805340778455717,299,381,6781,37,"[2, 2, 2, 10, 10, 9, 96, 76, 92, 27, 19, 24, 19, 18, 41, 25, 169, 39, 704, 733, 732, 827, 807, 780, 800, 611, 787, 0, 0, 0, 0, 0, 1, 4, 24, 8]"
greedy_modularity,0.15,0.09612938797967925,0.9677777777777776,0.041665233473909526,0.07989096286272404,325,418,6744,11,"[2, 2, 2, 10, 8, 10, 98, 97, 96, 35, 25, 16, 28, 224, 22, 30, 19, 19, 696, 727, 740, 818, 601, 799, 795, 761, 807, 0, 0, 0, 0, 2, 0, 2, 3, 4]"
label_propagation,0.15,0.04498773893117221,0.9877777777777779,0.041359452991842,0.07939455952989738,334,27,7135,2,"[2, 2, 2, 9, 10, 10, 100, 99, 100, 9, 4, 2, 3, 1, 1, 3, 1, 3, 722, 748, 754, 843, 824, 820, 822, 779, 823, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
infomap,0.15,0.04498773893117221,0.9877777777777779,0.041359452991842,0.07939455952989738,334,27,7135,2,"[2, 2, 2, 9, 10, 10, 100, 99, 100, 9, 4, 2, 3, 1, 1, 3, 1, 3, 722, 748, 754, 843, 824, 820, 822, 779, 823, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
surprise_communities,0.15,0.26331755952662333,0.8944444444444444,0.04508069908735831,0.08583523523124206,277,1714,5448,59,"[2, 2, 2, 9, 9, 8, 79, 83, 83, 165, 185, 178, 196, 195, 192, 209, 200, 194, 566, 567, 578, 650, 630, 629, 616, 580, 632, 0, 0, 0, 1, 1, 2, 21, 17, 17]"
walktrap,0.15,0.17243645765485047,0.9933333333333333,0.04613602146610599,0.08817662161576213,330,976,6186,6,"[2, 2, 2, 10, 10, 10, 97, 98, 99, 148, 125, 90, 139, 90, 77, 145, 73, 89, 583, 627, 666, 707, 735, 744, 680, 707, 737, 0, 0, 0, 0, 0, 0, 3, 2, 1]"
df_node_similarity,0.15,0.062001451978738645,0.9955555555555556,0.04411704896320274,0.08449000771807968,332,160,7002,4,"[2, 2, 10, 10, 10, 2, 98, 99, 99, 12, 18, 19, 6, 25, 10, 45, 7, 18, 719, 734, 827, 819, 796, 746, 780, 773, 808, 0, 0, 0, 0, 0, 0, 2, 1, 1]"
leiden,0.2,0.10193407196118381,0.9733333333333333,0.04218106346807554,0.08085800701249084,321,463,6699,15,"[2, 2, 2, 9, 10, 10, 96, 95, 95, 42, 52, 69, 41, 63, 47, 49, 42, 58, 689, 700, 687, 805, 762, 774, 776, 738, 768, 0, 0, 0, 1, 0, 0, 4, 5, 5]"
eigenvector,0.2,0.1250958105214048,0.9055555555555554,0.04301353525585913,0.08212611225126222,300,668,6494,36,"[1, 2, 2, 10, 10, 10, 89, 81, 95, 17, 69, 117, 18, 44, 37, 148, 176, 42, 714, 683, 639, 828, 781, 784, 677, 604, 784, 1, 0, 0, 0, 0, 0, 11, 19, 5]"
louvain,0.2,0.10542561451196704,0.9388888888888888,0.04079682751426962,0.07819586917260227,290,534,6628,46,"[2, 2, 2, 10, 10, 9, 94, 72, 89, 33, 27, 40, 32, 28, 62, 37, 189, 86, 698, 725, 716, 814, 797, 759, 788, 591, 740, 0, 0, 0, 0, 0, 1, 6, 28, 11]"
greedy_modularity,0.2,0.11002508835913732,0.9666666666666666,0.04199248974812133,0.08048851751692775,324,521,6641,12,"[2, 2, 2, 10, 8, 10, 97, 97, 96, 55, 40, 23, 45, 233, 31, 41, 22, 31, 676, 712, 733, 801, 592, 790, 784, 758, 795, 0, 0, 0, 0, 2, 0, 3, 3, 4]"
label_propagation,0.2,0.04788973065693801,0.9866666666666668,0.04135231193166695,0.07937781037507431,333,49,7113,3,"[2, 2, 2, 9, 10, 10, 99, 99, 100, 15, 8, 4, 6, 1, 1, 8, 1, 5, 716, 744, 752, 840, 824, 820, 817, 779, 821, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
infomap,0.2,0.04788973065693801,0.9866666666666668,0.04135231193166695,0.07937781037507431,333,49,7113,3,"[2, 2, 2, 9, 10, 10, 99, 99, 100, 15, 8, 4, 6, 1, 1, 8, 1, 5, 716, 744, 752, 840, 824, 820, 817, 779, 821, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
