method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9564720205550845,0.003810137111272103,0.03529411764705882,0.0068777900659525186,5,32295,143,1345,"[2, 0, 0, 2, 0, 0, 0, 0, 1, 3390, 3704, 3388, 3390, 3741, 3692, 3649, 3650, 3691, 13, 17, 17, 15, 17, 17, 17, 16, 14, 402, 41, 404, 402, 41, 5, 5, 5, 40]"
eigenvector,,0.9563236738095239,0.008955163809063834,0.03885257806826434,0.014555433381418384,6,32289,149,1344,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 3387, 3705, 3389, 3389, 3742, 3691, 3649, 3649, 3688, 16, 16, 16, 16, 16, 18, 17, 17, 17, 403, 40, 403, 403, 40, 5, 5, 5, 40]"
louvain,,0.9565319843074273,0.0008250825082508251,0.023809523809523808,0.001594896331738437,3,32299,139,1347,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 3392, 3705, 3389, 3389, 3741, 3692, 3650, 3651, 3690, 11, 16, 16, 16, 17, 17, 16, 15, 15, 401, 41, 404, 404, 41, 5, 5, 5, 41]"
greedy_modularity,,0.9572728555302648,0.0,0.0,0,0,32327,111,1350,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3391, 3709, 3393, 3392, 3746, 3696, 3652, 3653, 3695, 12, 12, 12, 13, 12, 13, 14, 13, 10, 404, 41, 404, 404, 41, 5, 5, 5, 41]"
label_propagation,,0.9523630609950458,0.004360192116772653,0.02277187902187902,0.00731899654013893,7,32154,284,1343,"[1, 1, 3, 2, 0, 0, 0, 0, 0, 3369, 3687, 3376, 3370, 3727, 3674, 3638, 3638, 3675, 34, 34, 29, 35, 31, 35, 28, 28, 30, 403, 40, 401, 402, 41, 5, 5, 5, 41]"
infomap,,0.9589327716220085,0.0,0.0,0,0,32383,55,1350,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3396, 3715, 3399, 3399, 3752, 3703, 3661, 3659, 3699, 7, 6, 6, 6, 6, 6, 5, 7, 6, 404, 41, 404, 404, 41, 5, 5, 5, 41]"
surprise_communities,,0.8814625364612365,0.03480104107971773,0.013549493313088863,0.019504912585550226,38,29728,2710,1312,"[11, 3, 10, 7, 5, 0, 0, 0, 2, 3105, 3420, 3096, 3099, 3452, 3406, 3372, 3370, 3408, 298, 301, 309, 306, 306, 303, 294, 296, 297, 393, 38, 394, 397, 36, 5, 5, 5, 39]"
walktrap,,0.9452863233890711,0.0033003300330033004,0.02107092429673075,0.0057068055126564595,12,31910,528,1338,"[6, 0, 2, 4, 0, 0, 0, 0, 0, 3347, 3661, 3345, 3343, 3697, 3652, 3610, 3610, 3645, 56, 60, 60, 62, 61, 57, 56, 56, 60, 398, 41, 402, 400, 41, 5, 5, 5, 41]"
df_node_similarity,,0.9592276974046998,0.018893047841369505,0.040740740740740744,0.025814786623788537,2,32391,47,1348,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 3398, 3716, 3401, 3399, 3752, 3704, 3660, 3661, 3700, 5, 5, 4, 6, 6, 5, 6, 5, 5, 404, 41, 403, 404, 41, 5, 5, 5, 40]"
leiden,0.05,0.05669145803936258,0.9907295607609541,0.040112952735400303,0.07710409208789117,1334,602,31836,16,"[392, 41, 402, 404, 41, 5, 5, 5, 39, 278, 55, 18, 19, 19, 18, 19, 21, 155, 3125, 3666, 3387, 3386, 3739, 3691, 3647, 3645, 3550, 12, 0, 2, 0, 0, 0, 0, 0, 2]"
eigenvector,0.05,0.052695744054649704,0.9829147548901231,0.039592275219283525,0.0761184624589631,1341,457,31981,9,"[401, 35, 404, 404, 41, 5, 5, 5, 41, 56, 205, 23, 26, 23, 25, 52, 23, 24, 3347, 3516, 3382, 3379, 3735, 3684, 3614, 3643, 3681, 3, 6, 0, 0, 0, 0, 0, 0, 0]"
louvain,0.05,0.048158300911994634,0.9932048082857067,0.039458146309293646,0.07590089383191106,1343,301,32137,7,"[403, 41, 401, 403, 41, 5, 5, 5, 39, 16, 21, 14, 16, 17, 24, 18, 18, 157, 3387, 3700, 3391, 3389, 3741, 3685, 3648, 3648, 3548, 1, 0, 3, 1, 0, 0, 0, 0, 2]"
greedy_modularity,0.05,0.05787517212336349,0.9774947006895811,0.03944371318911909,0.07582764126458219,1339,634,31804,11,"[403, 37, 404, 402, 41, 5, 5, 5, 37, 14, 348, 15, 19, 18, 25, 22, 16, 157, 3389, 3373, 3390, 3386, 3740, 3684, 3644, 3650, 3548, 1, 4, 0, 2, 0, 0, 0, 0, 4]"
label_propagation,0.05,0.05616010569604429,0.9701575035552337,0.03959666368766798,0.07608782739116582,1339,571,31867,11,"[402, 39, 399, 403, 41, 5, 4, 5, 41, 52, 36, 34, 45, 34, 37, 266, 30, 37, 3351, 3685, 3371, 3360, 3724, 3672, 3400, 3636, 3668, 2, 2, 5, 1, 0, 0, 1, 0, 0]"
infomap,0.05,0.041244813311371725,0.994579945799458,0.039462047078686835,0.07591212139347063,1348,63,32375,2,"[404, 39, 404, 404, 41, 5, 5, 5, 41, 7, 6, 6, 11, 6, 6, 6, 9, 6, 3396, 3715, 3399, 3394, 3752, 3703, 3660, 3657, 3699, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
surprise_communities,0.05,0.12373892641841172,0.9743889023048646,0.041933273423907465,0.08040622794100116,1310,2888,29550,40,"[393, 39, 393, 392, 40, 5, 5, 5, 38, 317, 338, 325, 322, 339, 317, 305, 317, 308, 3086, 3383, 3080, 3083, 3419, 3392, 3361, 3349, 3397, 11, 2, 11, 12, 1, 0, 0, 0, 3]"
walktrap,0.05,0.06006566100361142,0.9888446161689338,0.039814774263728626,0.07654744717415135,1336,709,31729,14,"[395, 41, 402, 404, 40, 5, 5, 5, 39, 60, 71, 78, 76, 72, 65, 155, 63, 69, 3343, 3650, 3327, 3329, 3686, 3644, 3511, 3603, 3636, 9, 0, 2, 0, 1, 0, 0, 0, 2]"
df_node_similarity,0.05,0.04717293920026283,0.9943049182967078,0.04069469999475793,0.07818928555778862,1346,265,32173,4,"[403, 39, 404, 403, 41, 5, 5, 5, 41, 6, 74, 5, 6, 6, 11, 7, 6, 144, 3397, 3647, 3400, 3399, 3752, 3698, 3659, 3660, 3561, 1, 2, 0, 1, 0, 0, 0, 0, 0]"
leiden,0.1,0.059048286204986304,0.9888043682417023,0.040113098023607185,0.0770985192688388,1327,689,31749,23,"[392, 41, 395, 404, 41, 5, 5, 5, 39, 282, 58, 67, 23, 21, 20, 22, 33, 163, 3121, 3663, 3338, 3382, 3737, 3689, 3644, 3633, 3542, 12, 0, 9, 0, 0, 0, 0, 0, 2]"
eigenvector,0.1,0.08666319349637594,0.9525624513670878,0.03976146683720012,0.07633652605881701,1337,1601,30837,13,"[401, 35, 404, 404, 38, 5, 4, 5, 41, 67, 211, 31, 36, 511, 30, 653, 30, 32, 3336, 3510, 3374, 3369, 3247, 3679, 3013, 3636, 3673, 3, 6, 0, 0, 3, 0, 1, 0, 0]"
louvain,0.1,0.04926222023621436,0.9929297807829565,0.03945296399091647,0.07589050298456704,1342,339,32099,8,"[402, 41, 401, 403, 41, 5, 5, 5, 39, 16, 26, 15, 20, 17, 31, 20, 28, 166, 3387, 3695, 3390, 3385, 3741, 3678, 3646, 3638, 3539, 2, 0, 3, 1, 0, 0, 0, 0, 2]"
greedy_modularity,0.1,0.12177265276041184,0.950637258847836,0.04012350048960962,0.0769971845601348,1330,2790,29648,20,"[401, 37, 404, 397, 41, 4, 5, 5, 36, 18, 546, 16, 214, 217, 1161, 222, 25, 371, 3385, 3175, 3389, 3191, 3541, 2548, 3444, 3641, 3334, 3, 4, 0, 7, 0, 1, 0, 0, 5]"
label_propagation,0.1,0.057837356932626295,0.9701575035552337,0.03970300641197325,0.07628413865896827,1339,628,31810,11,"[402, 39, 399, 403, 41, 5, 4, 5, 41, 61, 43, 44, 58, 38, 41, 270, 32, 41, 3342, 3678, 3361, 3347, 3720, 3668, 3396, 3634, 3664, 2, 2, 5, 1, 0, 0, 1, 0, 0]"
infomap,0.1,0.044115278632953385,0.9904545332582038,0.039360246713983166,0.0757117406861821,1333,176,32262,17,"[404, 39, 404, 389, 41, 5, 5, 5, 41, 9, 14, 6, 102, 9, 8, 11, 10, 7, 3394, 3707, 3399, 3303, 3749, 3701, 3655, 3656, 3698, 0, 2, 0, 15, 0, 0, 0, 0, 0]"
surprise_communities,0.1,0.13115559121563786,0.963978105127586,0.04150426840869488,0.07958211315949393,1281,3168,29270,69,"[390, 38, 390, 370, 40, 5, 5, 5, 38, 348, 404, 348, 367, 367, 340, 322, 333, 339, 3055, 3317, 3057, 3038, 3391, 3369, 3344, 3333, 3366, 14, 3, 14, 34, 1, 0, 0, 0, 3]"
walktrap,0.1,0.06355365777245287,0.9877445061579329,0.03984627364620599,0.07660235700520261,1332,831,31607,18,"[394, 41, 399, 404, 40, 5, 5, 5, 39, 67, 88, 91, 93, 95, 72, 165, 76, 84, 3336, 3633, 3314, 3312, 3663, 3637, 3501, 3590, 3621, 10, 0, 5, 0, 1, 0, 0, 0, 2]"
df_node_similarity,0.1,0.049208426382008494,0.9906322949368108,0.04046178661724939,0.07774800234228241,1343,337,32101,7,"[402, 37, 404, 403, 41, 5, 5, 5, 41, 9, 120, 11, 7, 12, 16, 7, 6, 149, 3394, 3601, 3394, 3398, 3746, 3693, 3659, 3660, 3556, 2, 4, 0, 1, 0, 0, 0, 0, 0]"
leiden,0.15,0.06808143755230599,0.9701427459819154,0.03948644204258751,0.07588426675184812,1268,1056,31382,82,"[388, 41, 343, 402, 41, 5, 5, 5, 38, 299, 60, 354, 33, 22, 22, 27, 66, 173, 3104, 3661, 3051, 3372, 3736, 3687, 3639, 3600, 3532, 16, 0, 61, 2, 0, 0, 0, 0, 3]"
eigenvector,0.15,0.08915254531291558,0.9511873138533365,0.039732537245988575,0.07627879355461882,1332,1690,30748,18,"[399, 35, 403, 402, 38, 5, 4, 5, 41, 74, 223, 42, 47, 523, 38, 670, 36, 37, 3329, 3498, 3363, 3358, 3235, 3671, 2996, 3630, 3668, 5, 6, 1, 2, 3, 0, 1, 0, 0]"
louvain,0.15,0.07052909778372021,0.9673924709544125,0.03811436624509658,0.07333923465582465,1258,1139,31299,92,"[402, 41, 320, 401, 41, 5, 5, 5, 38, 24, 48, 310, 29, 19, 393, 26, 109, 181, 3379, 3673, 3095, 3376, 3739, 3316, 3640, 3557, 3524, 2, 0, 84, 3, 0, 0, 0, 0, 3]"
greedy_modularity,0.15,0.12884418198867095,0.950637258847836,0.04020570168802598,0.07714852820287152,1330,3027,29411,20,"[401, 37, 404, 397, 41, 4, 5, 5, 36, 24, 548, 19, 221, 223, 1304, 234, 39, 415, 3379, 3173, 3386, 3184, 3535, 2405, 3432, 3627, 3290, 3, 4, 0, 7, 0, 1, 0, 0, 5]"
label_propagation,0.15,0.06401156251167142,0.9613968713944564,0.03962961645226484,0.07612144080967335,1316,861,31577,34,"[401, 39, 379, 402, 41, 5, 4, 5, 40, 74, 50, 185, 73, 43, 49, 294, 38, 55, 3329, 3671, 3220, 3332, 3715, 3660, 3372, 3628, 3650, 3, 2, 25, 2, 0, 0, 1, 0, 1]"
infomap,0.15,0.06986665526864227,0.9665271405189299,0.0386749572676303,0.07437389145901226,1246,1131,31307,104,"[401, 39, 404, 305, 41, 5, 5, 5, 41, 22, 22, 8, 638, 13, 12, 19, 389, 8, 3381, 3699, 3397, 2767, 3745, 3697, 3647, 3277, 3697, 3, 2, 0, 99, 0, 0, 0, 0, 0]"
surprise_communities,0.15,0.14441990157868315,0.9241943706565778,0.04066749688047046,0.07790684438916658,1225,3672,28766,125,"[386, 37, 387, 323, 40, 5, 5, 4, 38, 443, 454, 384, 450, 410, 381, 363, 403, 384, 2960, 3267, 3021, 2955, 3348, 3328, 3303, 3263, 3321, 18, 4, 17, 81, 1, 0, 0, 1, 3]"
walktrap,0.15,0.07363630012758662,0.9733290402210952,0.03964174770209449,0.07618080344187017,1315,1188,31250,35,"[390, 41, 395, 399, 39, 5, 5, 5, 36, 83, 182, 115, 112, 124, 91, 208, 97, 176, 3320, 3539, 3290, 3293, 3634, 3618, 3458, 3569, 3529, 14, 0, 9, 5, 2, 0, 0, 0, 5]"
