method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.7332531658670962,0.10185185185185185,0.12962962962962962,0.11407407407407408,3,128,24,24,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 14, 15, 18, 7, 17, 10, 12, 19, 16, 3, 2, 3, 1, 3, 4, 3, 4, 1, 2, 2, 2, 1, 3, 3, 4, 4, 3]"
eigenvector,,0.7473315717583675,0.10185185185185185,0.12962962962962962,0.11407407407407408,3,131,21,24,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 14, 15, 18, 7, 17, 10, 13, 21, 16, 3, 2, 3, 1, 3, 4, 2, 2, 1, 2, 2, 2, 1, 3, 3, 4, 4, 3]"
louvain,,0.727405212650722,0.10185185185185185,0.12962962962962962,0.11407407407407408,3,127,25,24,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 14, 14, 18, 7, 17, 10, 12, 19, 16, 3, 3, 3, 1, 3, 4, 3, 4, 1, 2, 2, 2, 1, 3, 3, 4, 4, 3]"
greedy_modularity,,0.7487352577913593,0.10185185185185185,0.12962962962962962,0.11407407407407408,3,131,21,24,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 14, 15, 18, 7, 18, 11, 12, 20, 16, 3, 2, 3, 1, 2, 3, 3, 3, 1, 2, 2, 2, 1, 3, 3, 4, 4, 3]"
label_propagation,,0.7437292802303794,0.037037037037037035,0.05555555555555555,0.04444444444444444,1,134,18,26,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 15, 15, 18, 6, 17, 13, 13, 21, 16, 2, 2, 3, 2, 3, 1, 2, 2, 1, 2, 2, 2, 3, 3, 2, 4, 4, 4]"
infomap,,0.7461872307447455,0.06481481481481481,0.1111111111111111,0.08187134502923976,2,132,20,25,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 14, 15, 18, 7, 17, 12, 13, 20, 16, 3, 2, 3, 1, 3, 2, 2, 3, 1, 2, 2, 2, 2, 3, 3, 4, 4, 3]"
surprise_communities,,0.5547521543244012,0.07407407407407407,0.044444444444444446,0.05555555555555555,2,99,53,25,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 9, 10, 16, 4, 16, 10, 10, 16, 8, 8, 7, 5, 4, 4, 4, 5, 7, 9, 2, 2, 2, 2, 3, 2, 4, 4, 4]"
walktrap,,0.7286433710956228,0.06481481481481481,0.1111111111111111,0.08187134502923976,2,129,23,25,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 13, 15, 18, 7, 17, 12, 11, 20, 16, 4, 2, 3, 1, 3, 2, 4, 3, 1, 2, 2, 2, 2, 3, 3, 4, 4, 3]"
df_node_similarity,,0.7367913873051397,0.08333333333333333,0.1111111111111111,0.09523809523809525,2,132,20,25,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 15, 19, 6, 18, 10, 12, 21, 16, 2, 2, 2, 2, 2, 4, 3, 2, 1, 2, 2, 2, 2, 3, 3, 4, 4, 3]"
leiden,0.05,0.3163568961268666,0.9629629629629631,0.18796076196130035,0.3145286665646599,26,28,124,1,"[2, 2, 2, 3, 3, 2, 4, 4, 4, 3, 2, 3, 3, 3, 3, 5, 4, 2, 14, 15, 18, 5, 17, 11, 10, 19, 15, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
eigenvector,0.05,0.3084853971020795,1.0,0.18994443121378107,0.31924924598375026,27,25,127,0,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 3, 2, 4, 3, 3, 4, 2, 2, 2, 14, 15, 17, 5, 17, 10, 13, 21, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
louvain,0.05,0.31050894291049236,0.9629629629629631,0.18480950145709868,0.31010450350323837,26,27,125,1,"[2, 2, 2, 3, 3, 2, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 2, 14, 14, 18, 5, 17, 11, 12, 19, 15, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
greedy_modularity,0.05,0.31394669962744026,1.0,0.1930774649040903,0.32366291474562636,27,26,126,0,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 3, 2, 3, 3, 2, 3, 5, 3, 2, 14, 15, 18, 5, 18, 11, 10, 20, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
label_propagation,0.05,0.26934261519445707,1.0,0.17932461873638345,0.3041140935877778,27,19,133,0,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 2, 2, 3, 2, 3, 2, 2, 2, 1, 15, 15, 18, 6, 17, 12, 13, 21, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
infomap,0.05,0.28871202637673377,0.9722222222222222,0.1794064409389487,0.3029152265312,26,24,128,1,"[2, 2, 2, 3, 3, 3, 4, 3, 4, 3, 2, 3, 2, 3, 2, 2, 5, 2, 14, 15, 18, 6, 17, 12, 13, 18, 15, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
surprise_communities,0.05,0.41358375400642194,0.7685185185185186,0.19466427010286658,0.31064320964886105,21,49,103,6,"[1, 2, 1, 3, 3, 2, 3, 3, 3, 7, 7, 4, 5, 4, 4, 4, 6, 8, 10, 10, 17, 3, 16, 10, 11, 17, 9, 1, 0, 1, 0, 0, 1, 1, 1, 1]"
