method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9319122699345207,0.0012296881862099251,0.05749625888514778,0.002407878419276009,14,59261,172,4201,"[6, 0, 4, 0, 0, 0, 0, 0, 4, 5400, 6938, 6132, 7065, 6925, 6612, 7052, 7051, 6086, 26, 14, 18, 18, 22, 22, 15, 14, 23, 1259, 127, 1261, 127, 127, 13, 13, 13, 1261]"
louvain,,0.9322146230449779,0.0011418533157663592,0.06129780042823521,0.0022419437799937837,13,59281,152,4202,"[3, 0, 4, 0, 0, 0, 0, 0, 6, 5406, 6939, 6133, 7068, 6924, 6618, 7053, 7051, 6089, 20, 13, 17, 15, 23, 16, 14, 14, 20, 1262, 127, 1261, 127, 127, 13, 13, 13, 1259]"
greedy_modularity,,0.9401149983117059,0.006419034577199589,0.07322051911246284,0.011803306828536664,56,52811,472,2894,"[24, 0, 1, 0, 0, 0, 0, 31, 5348, 6891, 7010, 6912, 6582, 7027, 6993, 6048, 78, 61, 73, 35, 52, 40, 72, 61, 1241, 127, 126, 127, 13, 13, 13, 1234]"
label_propagation,,0.9548992903003831,0.002766798418972332,0.04545454545454545,0.005216095380029807,21,39792,299,1537,"[21, 0, 0, 0, 0, 0, 5370, 6913, 6890, 6584, 7012, 7023, 56, 39, 57, 50, 55, 42, 1244, 127, 127, 13, 13, 13]"
infomap,,0.9017606449702791,0.0241407571089187,0.08326107792147086,0.03742925729640006,239,57120,2313,3976,"[78, 2, 77, 1, 1, 0, 0, 0, 80, 5180, 6695, 5892, 6812, 6648, 6407, 6787, 6813, 5886, 246, 257, 258, 271, 299, 227, 280, 252, 223, 1187, 125, 1188, 126, 126, 13, 13, 13, 1185]"
df_node_similarity,,0.9328791616318564,0.012992644694116793,0.08766233766233766,0.02263108252841317,21,59315,118,4194,"[4, 0, 9, 0, 0, 0, 0, 0, 8, 5408, 6943, 6131, 7069, 6936, 6624, 7058, 7057, 6089, 18, 9, 19, 14, 11, 10, 9, 8, 20, 1261, 127, 1256, 127, 127, 13, 13, 13, 1257]"
eigenvector,,0.9386307104495731,0.004233450561762783,0.05817121564072784,0.007892517675956567,7,53360,647,2943,"[3, 1, 1, 0, 0, 0, 0, 2, 6709, 6147, 6769, 6941, 6622, 7038, 7033, 6101, 243, 3, 314, 6, 12, 29, 32, 8, 124, 1264, 126, 127, 13, 13, 13, 1263]"
surprise_communities,,0.4768791937732562,0.0,0.0,0,0,20094,21654,420,"[0, 0, 0, 0, 0, 0, 3339, 3338, 3314, 3374, 3396, 3333, 3613, 3745, 3633, 3260, 3671, 3732, 127, 127, 127, 13, 13, 13]"
walktrap,,0.8455847735751488,0.00868676000480177,0.026722953332276308,0.013111423976083355,59,41942,5956,1626,"[0, 57, 0, 2, 0, 0, 0, 6730, 5901, 6809, 4405, 4475, 6806, 6816, 222, 249, 274, 2542, 2159, 261, 249, 127, 1208, 127, 125, 13, 13, 13]"
leiden,0.05,0.07342592960754542,0.9962265586366921,0.06554668734473612,0.12300055781330896,4181,524,58909,34,"[1253, 127, 1256, 126, 127, 13, 13, 13, 1253, 32, 32, 28, 39, 44, 179, 76, 25, 69, 5394, 6920, 6122, 7044, 6903, 6455, 6991, 7040, 6040, 12, 0, 9, 1, 0, 0, 0, 0, 12]"
louvain,0.05,0.07027309091248532,0.9959665120911269,0.06549651124297458,0.1229102294150673,4187,326,59107,28,"[1256, 127, 1256, 125, 127, 13, 13, 13, 1257, 26, 31, 29, 73, 42, 31, 30, 38, 26, 5400, 6921, 6121, 7010, 6905, 6603, 7037, 7027, 6083, 9, 0, 9, 2, 0, 0, 0, 0, 8]"
greedy_modularity,0.05,0.06360816858904536,0.9912210948927827,0.052377075524230224,0.09949665229417516,2897,681,52602,53,"[1237, 125, 126, 126, 13, 13, 13, 1244, 91, 84, 93, 54, 63, 65, 129, 102, 5335, 6868, 6990, 6893, 6571, 7002, 6936, 6007, 28, 2, 1, 1, 0, 0, 0, 21]"
label_propagation,0.05,0.04746286318533822,0.9974967061923584,0.03845997339124517,0.074064287694796,1539,395,39696,19,"[1246, 127, 127, 13, 13, 13, 75, 54, 67, 67, 71, 61, 5351, 6898, 6880, 6567, 6996, 7004, 19, 0, 0, 0, 0, 0]"
infomap,0.05,0.10712872624632791,0.9735893685226107,0.06543543541120628,0.12262891896285542,3986,2870,56563,229,"[1189, 124, 1188, 125, 124, 13, 13, 13, 1197, 303, 357, 309, 352, 349, 268, 352, 294, 286, 5123, 6595, 5841, 6731, 6598, 6366, 6715, 6771, 5823, 76, 3, 77, 2, 3, 0, 0, 0, 68]"
df_node_similarity,0.05,0.06901053388753817,0.9975406236275801,0.06555515133975257,0.12302546598205909,4187,246,59187,28,"[1260, 127, 1256, 127, 127, 13, 13, 13, 1251, 28, 24, 38, 26, 22, 19, 28, 19, 42, 5398, 6928, 6112, 7057, 6925, 6615, 7039, 7046, 6067, 5, 0, 9, 0, 0, 0, 0, 0, 14]"
eigenvector,0.05,0.06933598820807085,0.9911378419594784,0.0503070672973291,0.09575396196802542,2932,1109,52898,18,"[123, 1259, 124, 126, 13, 13, 13, 1261, 352, 31, 405, 27, 65, 62, 141, 26, 6600, 6119, 6678, 6920, 6569, 7005, 6924, 6083, 4, 6, 3, 1, 0, 0, 0, 4]"
surprise_communities,0.05,0.5291759098435517,0.9960629921259843,0.020454189356106687,0.04008522713182301,417,21914,19834,3,"[126, 126, 126, 13, 13, 13, 3645, 3827, 3678, 3285, 3708, 3771, 3307, 3256, 3269, 3349, 3359, 3294, 1, 1, 1, 0, 0, 0]"
walktrap,0.05,0.15865156396278288,0.9829919481408698,0.034561141368882047,0.06677454775462854,1624,6170,41728,61,"[125, 1214, 125, 121, 13, 13, 13, 250, 300, 331, 2562, 2182, 281, 264, 6702, 5850, 6752, 4385, 4452, 6786, 6801, 2, 51, 2, 6, 0, 0, 0]"
leiden,0.1,0.0780874766083215,0.9919261080507229,0.06556033731101044,0.12299166673319974,4141,863,58570,74,"[1252, 127, 1219, 126, 126, 13, 13, 13, 1252, 38, 48, 203, 53, 61, 251, 93, 34, 82, 5388, 6904, 5947, 7030, 6886, 6383, 6974, 7031, 6027, 13, 0, 46, 1, 1, 0, 0, 0, 13]"
louvain,0.1,0.07154143702635733,0.994828116841126,0.06550749726154688,0.12292089273042106,4183,411,59022,32,"[1256, 127, 1254, 125, 126, 13, 13, 13, 1256, 30, 40, 38, 84, 55, 36, 46, 49, 33, 5396, 6912, 6112, 6999, 6892, 6598, 7021, 7016, 6076, 9, 0, 11, 2, 1, 0, 0, 0, 9]"
greedy_modularity,0.1,0.0693820703160046,0.9866756403473281,0.052706572072031076,0.10006769430589738,2851,1048,52235,99,"[1212, 125, 126, 126, 13, 13, 13, 1223, 278, 99, 112, 60, 70, 77, 141, 211, 5148, 6853, 6971, 6887, 6564, 6990, 6924, 5898, 53, 2, 1, 1, 0, 0, 0, 42]"
label_propagation,0.1,0.04863842136436535,0.9972332015810276,0.03846808567887276,0.07407860299512989,1537,446,39645,21,"[1244, 127, 127, 13, 13, 13, 84, 60, 72, 75, 78, 77, 5342, 6892, 6875, 6559, 6989, 6988, 21, 0, 0, 0, 0, 0]"
infomap,0.1,0.11295845510281222,0.9594313024645102,0.06539557412065727,0.12244519008529817,3948,3281,56152,267,"[1181, 122, 1174, 124, 124, 13, 12, 13, 1185, 337, 424, 383, 414, 391, 298, 389, 316, 329, 5089, 6528, 5767, 6669, 6556, 6336, 6678, 6749, 5780, 84, 5, 91, 3, 3, 0, 1, 0, 80]"
df_node_similarity,0.1,0.06973206596544122,0.9975406236275801,0.06559209173119578,0.12309051380945138,4187,292,59141,28,"[1260, 127, 1256, 127, 127, 13, 13, 13, 1251, 29, 32, 43, 27, 30, 25, 31, 27, 48, 5397, 6920, 6107, 7056, 6917, 6609, 7036, 7038, 6061, 5, 0, 9, 0, 0, 0, 0, 0, 14]"
eigenvector,0.1,0.07608372975450095,0.9774827449168428,0.0502022302165975,0.09549972020695396,2917,1507,52500,33,"[122, 1255, 122, 126, 13, 13, 12, 1254, 404, 41, 462, 43, 76, 169, 271, 41, 6548, 6109, 6621, 6904, 6558, 6898, 6794, 6068, 5, 10, 5, 1, 0, 0, 1, 11]"
surprise_communities,0.1,0.5352897830847844,0.9960629921259843,0.020722443068273044,0.04060022485039032,417,22171,19577,3,"[126, 126, 126, 13, 13, 13, 3697, 3867, 3719, 3337, 3748, 3803, 3255, 3216, 3228, 3297, 3319, 3262, 1, 1, 1, 0, 0, 0]"
walktrap,0.1,0.17100561950248386,0.9601559686462117,0.034380724884747034,0.06638439470196503,1601,6805,41093,84,"[125, 1211, 125, 101, 13, 13, 13, 275, 308, 368, 3098, 2193, 291, 272, 6677, 5842, 6715, 3849, 4441, 6776, 6793, 2, 54, 2, 26, 0, 0, 0]"
leiden,0.15,0.08067125312363889,0.9892066851327379,0.06550035515731979,0.12286518763043497,4119,1051,58382,96,"[1251, 127, 1212, 126, 125, 13, 13, 13, 1239, 46, 58, 242, 63, 75, 260, 102, 91, 114, 5380, 6894, 5908, 7020, 6872, 6374, 6965, 6974, 5995, 14, 0, 53, 1, 2, 0, 0, 0, 26]"
louvain,0.15,0.079306330823328,0.9748930593162021,0.06444519159528296,0.12089840807349418,3965,1108,58325,250,"[1049, 127, 1254, 125, 125, 13, 13, 13, 1246, 573, 44, 41, 90, 64, 45, 51, 54, 146, 4853, 6908, 6109, 6993, 6883, 6589, 7016, 7011, 5963, 216, 0, 11, 2, 2, 0, 0, 0, 19]"
