method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.8976440529130237,0.03777777777777778,0.060185185185185196,0.04641881957571939,8,2056,101,163,"[0, 0, 0, 0, 0, 1, 1, 2, 4, 80, 165, 161, 146, 173, 178, 394, 376, 383, 8, 10, 11, 11, 11, 11, 14, 14, 11, 2, 2, 2, 5, 5, 4, 49, 48, 46]"
eigenvector,,0.89720866553098,0.02888888888888889,0.04055080721747389,0.03374057865305131,4,2061,96,167,"[0, 0, 0, 0, 0, 1, 1, 2, 0, 81, 159, 159, 147, 173, 181, 399, 379, 383, 7, 16, 13, 10, 11, 8, 9, 11, 11, 2, 2, 2, 5, 5, 4, 49, 48, 50]"
louvain,,0.9000833751353987,0.062222222222222213,0.07901234567901233,0.0696192696192696,10,2058,99,161,"[0, 0, 0, 1, 1, 0, 2, 2, 4, 80, 164, 162, 149, 173, 177, 394, 376, 383, 8, 11, 10, 8, 11, 12, 14, 14, 11, 2, 2, 2, 4, 4, 5, 48, 48, 46]"
greedy_modularity,,0.9043754713289095,0.04666666666666667,0.03254769921436588,0.03834891848493435,3,2077,80,168,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 80, 166, 164, 147, 174, 178, 400, 381, 387, 8, 9, 8, 10, 10, 11, 8, 9, 7, 2, 2, 2, 4, 4, 5, 49, 50, 50]"
label_propagation,,0.8522854686136311,0.02888888888888889,0.01592990840302668,0.02053590822028711,4,1982,175,167,"[0, 0, 0, 0, 0, 1, 0, 0, 3, 76, 157, 147, 138, 162, 159, 407, 366, 370, 12, 18, 25, 19, 22, 30, 1, 24, 24, 2, 2, 2, 5, 5, 4, 50, 50, 47]"
infomap,,0.8569725892511456,0.051111111111111114,0.021741221741221742,0.030506037530994613,5,1966,191,166,"[0, 0, 0, 0, 2, 0, 2, 0, 1, 78, 157, 152, 139, 164, 168, 382, 361, 365, 10, 18, 20, 18, 20, 21, 26, 29, 29, 2, 2, 2, 5, 3, 5, 48, 50, 49]"
surprise_communities,,0.8050365636600989,0.07111111111111111,0.036975575864464746,0.04865306463300934,14,1865,292,157,"[0, 0, 0, 1, 0, 1, 5, 6, 1, 68, 151, 142, 131, 148, 155, 368, 351, 351, 20, 24, 30, 26, 36, 34, 40, 39, 43, 2, 2, 2, 4, 5, 4, 45, 44, 49]"
walktrap,,0.8671713088151892,0.07111111111111112,0.04527678440721919,0.05532675769068286,8,1996,161,163,"[1, 0, 0, 0, 0, 0, 2, 2, 3, 78, 164, 151, 137, 161, 172, 389, 370, 374, 10, 11, 21, 20, 23, 17, 19, 20, 20, 1, 2, 2, 5, 5, 5, 48, 48, 47]"
df_node_similarity,,0.9003310468479702,0.05222222222222223,0.06576879910213243,0.05821786782502088,6,2064,93,165,"[0, 0, 0, 0, 0, 1, 2, 2, 1, 81, 165, 163, 147, 173, 175, 399, 377, 384, 7, 10, 9, 10, 11, 14, 9, 13, 10, 2, 2, 2, 5, 5, 4, 48, 48, 49]"
leiden,0.05,0.11457419340270082,0.8666666666666666,0.05044502153934268,0.09534066402086849,162,130,2027,9,"[2, 2, 1, 3, 5, 4, 48, 48, 49, 10, 13, 12, 14, 15, 12, 16, 18, 20, 78, 162, 160, 143, 169, 177, 392, 372, 374, 0, 0, 1, 2, 0, 1, 2, 2, 1]"
eigenvector,0.05,0.11181994402552317,0.9177777777777778,0.05006026925485906,0.09494192300570399,161,116,2041,10,"[2, 2, 2, 3, 4, 5, 48, 49, 46, 8, 20, 15, 12, 13, 13, 13, 12, 10, 80, 155, 157, 145, 171, 176, 395, 378, 384, 0, 0, 0, 2, 1, 0, 2, 1, 4]"
louvain,0.05,0.11414607951619482,0.86,0.0497178462217965,0.09400133882900744,159,131,2026,12,"[2, 2, 1, 3, 4, 5, 44, 49, 49, 9, 17, 11, 13, 16, 12, 14, 18, 21, 79, 158, 161, 144, 168, 177, 394, 372, 373, 0, 0, 1, 2, 1, 0, 6, 1, 1]"
greedy_modularity,0.05,0.10721731305132651,0.991111111111111,0.052669559753068335,0.10002366846931054,167,102,2055,4,"[2, 2, 2, 5, 5, 5, 50, 49, 47, 9, 10, 13, 13, 13, 11, 15, 11, 7, 79, 165, 159, 144, 171, 178, 393, 379, 387, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
label_propagation,0.05,0.15930094563238897,0.9377777777777777,0.052495773782818056,0.09942580007957255,161,204,1953,10,"[2, 2, 2, 5, 4, 4, 49, 50, 43, 12, 25, 27, 20, 24, 35, 1, 32, 28, 76, 150, 145, 137, 160, 154, 407, 358, 366, 0, 0, 0, 0, 1, 1, 1, 0, 7]"
infomap,0.05,0.1577147378433248,0.8799999999999999,0.05240475716534429,0.09891881385441095,159,224,1933,12,"[2, 2, 1, 5, 4, 4, 47, 48, 46, 13, 21, 21, 20, 24, 27, 37, 31, 30, 75, 154, 151, 137, 160, 162, 371, 359, 364, 0, 0, 1, 0, 1, 1, 3, 2, 4]"
surprise_communities,0.05,0.20988729928614494,0.9333333333333333,0.05358467574078918,0.10135059562172888,150,322,1835,21,"[2, 2, 2, 5, 4, 5, 44, 44, 42, 23, 25, 33, 29, 39, 40, 44, 48, 41, 65, 150, 139, 128, 145, 149, 364, 342, 353, 0, 0, 0, 0, 1, 0, 6, 6, 8]"
walktrap,0.05,0.15200721174229603,0.922222222222222,0.052433948716832254,0.09922627927125037,160,194,1963,11,"[2, 2, 1, 5, 5, 5, 47, 47, 46, 12, 17, 33, 22, 25, 19, 21, 20, 25, 76, 158, 139, 135, 159, 170, 387, 370, 369, 0, 0, 1, 0, 0, 0, 3, 3, 4]"
df_node_similarity,0.05,0.10421649224793754,0.94,0.0520311190498563,0.09860426949853958,163,107,2050,8,"[2, 1, 2, 3, 5, 5, 48, 49, 48, 7, 10, 11, 11, 11, 18, 14, 15, 10, 81, 165, 161, 146, 173, 171, 394, 375, 384, 0, 1, 0, 2, 0, 0, 2, 1, 2]"
leiden,0.1,0.1314267599038673,0.8644444444444443,0.05111832834000552,0.0965285095819599,161,168,1989,10,"[2, 2, 1, 3, 5, 4, 47, 48, 49, 12, 16, 14, 18, 20, 13, 24, 25, 26, 76, 159, 158, 139, 164, 176, 384, 365, 368, 0, 0, 1, 2, 0, 1, 3, 2, 1]"
eigenvector,0.1,0.1290233939428287,0.8711111111111111,0.04947771690332182,0.09363700196070149,158,158,1999,13,"[2, 2, 2, 3, 3, 4, 48, 49, 45, 9, 24, 18, 17, 19, 14, 24, 13, 20, 79, 151, 154, 140, 165, 175, 384, 377, 374, 0, 0, 0, 2, 2, 1, 2, 1, 5]"
louvain,0.1,0.1310487778764382,0.8533333333333333,0.049914204023197475,0.09431180786708893,156,171,1986,15,"[2, 2, 1, 3, 4, 5, 43, 49, 47, 11, 23, 13, 13, 22, 14, 22, 25, 28, 77, 152, 159, 144, 162, 175, 386, 365, 366, 0, 0, 1, 2, 1, 0, 7, 1, 3]"
greedy_modularity,0.1,0.12487107909937362,0.9866666666666666,0.052926521553319866,0.10046397993178316,165,139,2018,6,"[2, 2, 2, 5, 5, 5, 50, 47, 47, 9, 14, 18, 15, 18, 20, 18, 15, 12, 79, 161, 154, 142, 166, 169, 390, 375, 382, 0, 0, 0, 0, 0, 0, 0, 3, 3]"
label_propagation,0.1,0.17176644008375264,0.9266666666666666,0.051855714282157205,0.09821535579977464,156,231,1926,15,"[2, 2, 2, 5, 4, 4, 49, 48, 40, 13, 31, 30, 22, 28, 36, 2, 38, 31, 75, 144, 142, 135, 156, 153, 406, 352, 363, 0, 0, 0, 0, 1, 1, 1, 2, 10]"
infomap,0.1,0.1825840787505079,0.8733333333333334,0.053091222291855554,0.1000973772842135,156,279,1878,15,"[2, 2, 1, 5, 4, 4, 45, 48, 45, 16, 26, 23, 27, 27, 34, 51, 36, 39, 72, 149, 149, 130, 157, 155, 357, 354, 355, 0, 0, 1, 0, 1, 1, 5, 2, 5]"
surprise_communities,0.1,0.22460645978486152,0.9244444444444445,0.05349308038439171,0.10113402895798737,146,354,1803,25,"[2, 2, 2, 5, 4, 5, 42, 44, 40, 26, 28, 34, 32, 41, 44, 51, 50, 48, 62, 147, 138, 125, 143, 145, 357, 340, 346, 0, 0, 0, 0, 1, 0, 8, 6, 10]"
walktrap,0.1,0.17448554794434168,0.9199999999999999,0.05319647114292905,0.10057733438761518,159,236,1921,12,"[2, 2, 1, 5, 5, 5, 47, 46, 46, 17, 25, 35, 24, 31, 21, 28, 26, 29, 71, 150, 137, 133, 153, 168, 380, 364, 365, 0, 0, 1, 0, 0, 0, 3, 4, 4]"
df_node_similarity,0.1,0.11796621518391487,0.9344444444444444,0.05189878915486009,0.09833602248617239,160,133,2024,11,"[2, 1, 2, 3, 5, 5, 48, 47, 47, 9, 12, 13, 16, 16, 20, 16, 16, 15, 79, 163, 159, 141, 168, 169, 392, 374, 379, 0, 1, 0, 2, 0, 0, 2, 3, 3]"
leiden,0.15,0.1524077785662864,0.8577777777777778,0.051621082184665774,0.09738173009074434,158,219,1938,13,"[2, 2, 1, 3, 5, 4, 47, 46, 48, 13, 20, 17, 25, 25, 15, 35, 32, 37, 75, 155, 155, 132, 159, 174, 373, 358, 357, 0, 0, 1, 2, 0, 1, 3, 4, 2]"
eigenvector,0.15,0.15168660292649486,0.8644444444444445,0.04992403587721797,0.09439641979593241,155,209,1948,16,"[2, 2, 2, 3, 3, 4, 47, 49, 43, 12, 28, 22, 21, 23, 19, 36, 19, 29, 76, 147, 150, 136, 161, 170, 372, 371, 365, 0, 0, 0, 2, 2, 1, 3, 1, 7]"
louvain,0.15,0.1560090325003066,0.7955555555555556,0.049351938526577294,0.09293847941284368,154,222,1935,17,"[1, 2, 1, 3, 4, 5, 43, 48, 47, 16, 29, 16, 17, 29, 18, 32, 31, 34, 72, 146, 156, 140, 155, 171, 376, 359, 360, 1, 0, 1, 2, 1, 0, 7, 2, 3]"
greedy_modularity,0.15,0.1422584873243877,0.9599999999999999,0.05258473832218258,0.09970789975156273,162,178,1979,9,"[2, 2, 2, 4, 5, 5, 49, 46, 47, 11, 20, 22, 16, 22, 24, 26, 18, 19, 77, 155, 150, 141, 162, 165, 382, 372, 375, 0, 0, 0, 1, 0, 0, 1, 4, 3]"
label_propagation,0.15,0.18880810784950974,0.8199999999999998,0.04985905986137482,0.09400242170919713,150,274,1883,21,"[2, 1, 2, 4, 4, 3, 48, 48, 38, 14, 35, 34, 24, 37, 39, 6, 45, 40, 74, 140, 138, 133, 147, 150, 402, 345, 354, 0, 1, 0, 1, 1, 2, 2, 2, 12]"
infomap,0.15,0.20655327239519988,0.8622222222222222,0.053435666499383395,0.10063457036197054,151,341,1816,20,"[2, 2, 1, 5, 4, 4, 43, 46, 44, 16, 31, 26, 31, 36, 40, 64, 47, 50, 72, 144, 146, 126, 148, 149, 344, 343, 344, 0, 0, 1, 0, 1, 1, 7, 4, 6]"
surprise_communities,0.15,0.2436610534714088,0.9199999999999999,0.054421817152135274,0.10276467726532315,144,405,1752,27,"[2, 2, 2, 5, 4, 5, 42, 43, 39, 26, 28, 37, 36, 47, 50, 63, 58, 60, 62, 147, 135, 121, 137, 139, 345, 332, 334, 0, 0, 0, 0, 1, 0, 8, 7, 11]"
walktrap,0.15,0.1955961130674955,0.8555555555555556,0.05271040868282788,0.0993028138448687,154,282,1875,17,"[2, 1, 1, 5, 5, 5, 45, 45, 45, 22, 32, 37, 26, 36, 22, 32, 36, 39, 66, 143, 135, 131, 148, 167, 376, 354, 355, 0, 1, 1, 0, 0, 0, 5, 5, 5]"
df_node_similarity,0.15,0.13167931812082112,0.891111111111111,0.05180227477290613,0.09791266795452103,157,166,1991,14,"[1, 1, 2, 3, 5, 5, 47, 47, 46, 9, 14, 15, 23, 21, 23, 24, 19, 18, 79, 161, 157, 134, 163, 166, 384, 371, 376, 1, 1, 0, 2, 0, 0, 3, 3, 4]"
leiden,0.2,0.1760193983977026,0.8533333333333333,0.052694764071603145,0.09926005342047947,156,277,1880,15,"[2, 2, 1, 3, 5, 4, 46, 45, 48, 16, 26, 19, 28, 30, 17, 45, 47, 49, 72, 149, 153, 129, 154, 172, 363, 343, 345, 0, 0, 1, 2, 0, 1, 4, 5, 2]"
