method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
leiden,,0.9118793937348525,0.07666666666666667,0.05793650793650794,0.06599842767295597,11,4335,147,325
eigenvector,,0.9029689056570176,0.0044444444444444444,0.030158730158730163,0.007747196738022425,4,4342,140,332
louvain,,0.9122678822016584,0.025555555555555557,0.07351290684624018,0.03792656369975958,14,4338,144,322
greedy_modularity,,0.9162324789116494,0.006666666666666666,0.06936026936026936,0.012164157071154412,6,4376,106,330
label_propagation,,0.8418782025760803,0.1,0.031058387495679393,0.04739626068831848,14,4091,391,322
infomap,,0.8674467332088569,0.12333333333333335,0.057050582452881304,0.07801403436502795,26,4139,343,310
surprise_communities,,0.8260088755981009,0.15777777777777782,0.05774382755806684,0.08454551717260933,39,3977,505,297
walktrap,,0.87631565485469,0.07555555555555556,0.03505368909853425,0.04788932358039655,10,4218,264,326
df_node_similarity,,0.9092135965166259,0.09444444444444447,0.06092359063373556,0.07406793383296119,10,4320,162,326
leiden,0.05,0.10269374527574673,0.9655555555555557,0.04774320384430644,0.09098741172681182,323,201,4281,13
eigenvector,0.05,0.10223678945845506,0.9344444444444444,0.04713160753791332,0.08973704835726898,326,165,4317,10
louvain,0.05,0.0973637558804122,0.8955555555555557,0.046229193338360924,0.08791990095750517,318,187,4295,18
greedy_modularity,0.05,0.09262031245581424,0.9188888888888891,0.04717408023164498,0.08974102010736143,330,142,4340,6
label_propagation,0.05,0.17102577655076479,0.8555555555555556,0.04785285307805259,0.09063624803323223,313,447,4035,23
infomap,0.05,0.15136594711045423,0.8722222222222222,0.04701986898477998,0.08922954030673773,306,420,4062,30
surprise_communities,0.05,0.20134751173973386,0.8344444444444443,0.04833778598123531,0.09138198658424881,303,610,3872,33
walktrap,0.05,0.13559309195418684,0.838888888888889,0.0464656658036922,0.08805405823224467,316,314,4168,20
df_node_similarity,0.05,0.10210663228977696,0.9444444444444445,0.04792705798081916,0.09122479542777949,325,221,4261,11
leiden,0.1,0.12121189391504987,0.948888888888889,0.04783131483389227,0.09107190366425057,317,282,4200,19
eigenvector,0.1,0.11076793849600497,0.9344444444444444,0.047344986257496974,0.09012372306551687,326,195,4287,10
louvain,0.1,0.11355744811287022,0.8922222222222221,0.04642718871120695,0.08826164274103264,315,252,4230,21
greedy_modularity,0.1,0.10804669778843883,0.9033333333333332,0.04698780095668478,0.08932906010959392,325,193,4289,11
label_propagation,0.1,0.18145154440819428,0.84,0.04793382291358677,0.09069236965271317,308,515,3967,28
infomap,0.1,0.1715471164894194,0.8688888888888888,0.047596877151371335,0.0902499509213747,303,509,3973,33
surprise_communities,0.1,0.22221483197601657,0.8244444444444443,0.048486141147173326,0.09158604443730027,294,725,3757,42
walktrap,0.1,0.15496967785203675,0.8333333333333334,0.04669637850303005,0.08843712485871344,311,395,4087,25
df_node_similarity,0.1,0.11306241838468248,0.9333333333333335,0.04795251770360858,0.09121844188977261,320,273,4209,16
leiden,0.15,0.14260605794617057,0.9344444444444444,0.048347678630347425,0.09193850588986745,313,384,4098,23
eigenvector,0.15,0.12830300212528023,0.9311111111111112,0.047452877393778126,0.09030355074285328,323,253,4229,13
louvain,0.15,0.13564617118707373,0.8866666666666667,0.04657291488380808,0.08849742769883374,310,330,4152,26
greedy_modularity,0.15,0.12743579558419801,0.8999999999999999,0.04730128479610508,0.08987881046874646,322,271,4211,14
label_propagation,0.15,0.20296086364810778,0.8333333333333334,0.04842637367935655,0.09153358013190098,302,629,3853,34
infomap,0.15,0.19363244114489972,0.7977777777777777,0.04739173186304509,0.08946860978647457,297,616,3866,39
surprise_communities,0.15,0.25043738300091956,0.8177777777777778,0.04965227027535753,0.09362028290012894,288,876,3606,48
walktrap,0.15,0.17355352702638432,0.8255555555555555,0.04689227814669436,0.08874382912359123,304,491,3991,32
df_node_similarity,0.15,0.1379217944737198,0.9188888888888889,0.0487244673473082,0.0925418636977597,316,368,4114,20
leiden,0.2,0.17265940717491102,0.9066666666666667,0.04905630722942246,0.0930765917938731,306,529,3953,30
eigenvector,0.2,0.14958699505751932,0.9200000000000002,0.04786940941470426,0.09100371647898235,322,326,4156,14
louvain,0.2,0.1647502745977026,0.8255555555555556,0.046638377030955476,0.08828901422375102,304,466,4016,32
greedy_modularity,0.2,0.15197838946414763,0.8755555555555555,0.0475200991405877,0.09014751194318586,318,371,4111,18
label_propagation,0.2,0.2392874450942021,0.7544444444444444,0.04829327493921051,0.09077583400438714,289,816,3666,47
infomap,0.2,0.22767853656090267,0.768888888888889,0.04785508519245877,0.09010227059881055,289,764,3718,47
