method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
surprise_communities,,0.7730183424420581,0.29055286570064487,0.08765208079844292,0.13467599245518322,474,65512,26901,2397,"[16, 27, 15, 1, 2, 2, 0, 2, 2, 1, 2, 1, 33, 30, 1, 0, 1, 2, 0, 3, 12, 13, 9, 16, 14, 14, 2, 1, 1, 1, 2, 2, 19, 20, 24, 4, 0, 1, 1, 1, 3, 6, 3, 39, 38, 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 4, 4, 0, 0, 0, 2, 0, 0, 10, 5, 5, 15, 3355, 3121, 3432, 10, 12, 18, 3, 18, 11, 11, 18, 9, 3119, 3122, 145, 144, 95, 534, 432, 430, 749, 713, 737, 3354, 3461, 3328, 316, 283, 298, 320, 325, 348, 347, 341, 340, 3410, 3374, 605, 625, 630, 705, 690, 688, 710, 671, 709, 3396, 76, 55, 37, 60, 70, 84, 75, 86, 80, 3333, 3376, 3374, 68, 151, 142, 132, 148, 154, 373, 350, 355, 3421, 3597, 282, 289, 7, 5, 3, 5, 2, 3, 4, 5, 8, 286, 283, 28, 37, 27, 67, 68, 68, 69, 69, 70, 3729, 297, 3619, 72, 68, 70, 84, 76, 83, 59, 58, 62, 299, 3260, 126, 127, 126, 141, 135, 133, 115, 109, 117, 3671, 11, 12, 12, 11, 12, 12, 12, 9, 10, 3732, 290, 292, 20, 24, 30, 25, 36, 35, 35, 40, 39, 284, 111, 377, 26, 1, 0, 0, 3, 1, 1, 3, 2, 3, 371, 374, 1, 2, 1, 8, 10, 7, 88, 87, 91, 111, 27, 113, 0, 1, 1, 4, 3, 3, 31, 30, 26, 1, 13, 1, 1, 1, 7, 4, 7, 61, 62, 63, 13, 2, 2, 2, 6, 6, 6, 12, 9, 10, 13, 1, 1, 2, 2, 2, 3, 5, 5, 40, 45, 45, 26]"
leiden,,0.9161888375380787,0.2890299572288373,0.28889616051840317,0.2889630433858622,181,57182,548,2283,"[9, 8, 2, 2, 1, 2, 2, 2, 2, 2, 2, 10, 10, 2, 0, 1, 1, 2, 3, 4, 2, 2, 8, 1, 0, 2, 3, 4, 3, 9, 9, 5, 4, 0, 1, 1, 3, 4, 2, 10, 8, 5, 0, 0, 0, 0, 1, 0, 3, 1, 0, 3, 4, 4, 0, 0, 0, 1, 0, 1, 1, 1, 0, 8, 3397, 3712, 16, 17, 19, 7, 19, 12, 14, 21, 17, 3398, 3398, 161, 169, 113, 582, 485, 484, 798, 764, 785, 3749, 380, 341, 360, 396, 394, 423, 405, 398, 398, 3696, 720, 741, 743, 838, 817, 812, 822, 777, 821, 78, 61, 42, 63, 73, 87, 82, 86, 82, 7052, 3653, 3654, 80, 165, 161, 147, 173, 178, 394, 375, 379, 3698, 6, 9, 1, 0, 2, 1, 1, 2, 1, 2, 0, 7, 7, 12, 12, 9, 19, 15, 14, 20, 18, 22, 9, 8, 10, 8, 8, 7, 8, 1, 1, 4, 13, 11, 11, 13, 8, 8, 9, 3, 3, 5, 9, 6, 7, 8, 9, 9, 5, 9, 8, 13, 13, 12, 8, 10, 11, 10, 11, 11, 14, 15, 15, 7, 395, 33, 0, 0, 1, 1, 1, 1, 2, 2, 2, 394, 394, 0, 2, 1, 9, 8, 7, 96, 98, 98, 33, 1, 2, 0, 2, 1, 2, 41, 41, 45, 1, 2, 1, 1, 7, 6, 8, 90, 92, 95, 2, 2, 2, 6, 5, 6, 9, 11, 12, 10, 1, 1, 2, 2, 2, 4, 5, 4, 49, 49, 50, 33]"
eigenvector,,0.9188159211948198,0.2902224791252577,0.29872277782699447,0.29441128569666924,184,57156,574,2280,"[10, 8, 2, 2, 1, 2, 2, 2, 2, 2, 2, 10, 10, 1, 1, 2, 0, 3, 3, 5, 2, 3, 8, 1, 0, 1, 2, 2, 1, 7, 5, 5, 4, 1, 1, 1, 2, 3, 3, 8, 5, 12, 0, 0, 1, 0, 0, 0, 4, 1, 1, 5, 4, 4, 0, 0, 0, 1, 1, 0, 3, 3, 1, 8, 3396, 3712, 16, 17, 19, 7, 19, 12, 15, 23, 17, 3398, 3398, 158, 164, 109, 583, 483, 486, 809, 769, 797, 3749, 380, 333, 363, 396, 397, 422, 402, 394, 402, 3695, 723, 733, 742, 833, 803, 809, 821, 775, 809, 81, 61, 43, 64, 74, 87, 82, 89, 82, 7038, 3653, 3653, 81, 159, 159, 148, 174, 180, 401, 380, 384, 3695, 7, 9, 1, 0, 2, 1, 1, 2, 0, 0, 0, 7, 7, 15, 17, 13, 18, 17, 12, 9, 13, 10, 9, 8, 18, 5, 8, 4, 9, 4, 5, 0, 14, 8, 19, 14, 13, 22, 12, 4, 5, 17, 6, 6, 6, 7, 8, 9, 5, 6, 8, 27, 13, 13, 7, 16, 13, 9, 10, 9, 7, 10, 10, 10, 394, 33, 0, 0, 1, 1, 1, 1, 2, 2, 2, 394, 394, 1, 1, 0, 10, 7, 7, 95, 98, 97, 33, 1, 2, 1, 3, 3, 4, 43, 45, 45, 1, 1, 1, 1, 8, 7, 7, 92, 95, 88, 2, 2, 1, 6, 6, 6, 8, 11, 11, 8, 1, 1, 2, 2, 2, 4, 4, 5, 47, 47, 49, 33]"
louvain,,0.9128759682509071,0.2722937932278218,0.27882862643892053,0.27552246703905453,181,57187,543,2283,"[10, 8, 2, 2, 1, 1, 2, 2, 2, 2, 2, 10, 10, 1, 0, 1, 1, 2, 1, 3, 3, 1, 8, 1, 1, 1, 3, 2, 2, 10, 8, 6, 4, 0, 0, 1, 4, 4, 5, 11, 7, 9, 1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 4, 4, 0, 0, 0, 1, 0, 1, 0, 2, 1, 8, 3399, 3713, 16, 16, 19, 6, 19, 12, 14, 21, 17, 3399, 3399, 162, 169, 113, 581, 482, 481, 799, 764, 786, 3749, 379, 341, 359, 397, 393, 422, 403, 396, 399, 3696, 719, 741, 746, 840, 819, 814, 823, 775, 822, 80, 61, 43, 63, 72, 88, 80, 87, 82, 7051, 3654, 3655, 80, 164, 162, 149, 172, 178, 392, 376, 380, 3698, 4, 8, 1, 1, 2, 2, 1, 2, 1, 2, 0, 6, 6, 11, 12, 9, 20, 18, 17, 19, 18, 21, 9, 9, 10, 9, 7, 8, 9, 3, 3, 3, 13, 12, 11, 10, 6, 6, 7, 2, 5, 4, 7, 6, 6, 8, 10, 8, 7, 8, 8, 14, 12, 11, 8, 11, 10, 8, 12, 11, 16, 14, 14, 7, 394, 33, 0, 0, 1, 2, 1, 1, 2, 2, 2, 394, 394, 1, 2, 1, 9, 8, 9, 97, 97, 99, 33, 1, 1, 1, 2, 3, 3, 40, 42, 44, 1, 2, 2, 1, 6, 6, 5, 89, 93, 91, 1, 2, 1, 6, 6, 6, 11, 11, 12, 11, 1, 1, 2, 2, 2, 4, 5, 4, 50, 48, 49, 33]"
greedy_modularity,,0.9221104866295158,0.2589543278905751,0.30862648381030733,0.2816168624334956,148,57257,473,2316,"[9, 5, 2, 2, 2, 1, 2, 2, 2, 2, 2, 7, 8, 1, 0, 2, 1, 0, 2, 2, 3, 1, 7, 0, 1, 0, 2, 3, 4, 5, 4, 6, 2, 1, 1, 1, 3, 2, 3, 5, 4, 6, 0, 0, 0, 0, 0, 0, 2, 2, 1, 1, 3, 3, 0, 0, 1, 0, 0, 1, 1, 5, 3, 7, 3400, 3714, 16, 17, 20, 6, 20, 13, 14, 22, 17, 3400, 3400, 161, 169, 114, 585, 487, 483, 809, 775, 799, 3753, 380, 343, 360, 399, 395, 426, 403, 394, 400, 3698, 723, 743, 749, 838, 816, 815, 821, 774, 823, 82, 62, 43, 65, 75, 88, 81, 91, 84, 6994, 3655, 3656, 80, 166, 165, 146, 173, 179, 400, 386, 390, 3702, 3, 7, 1, 0, 1, 2, 0, 1, 1, 1, 0, 5, 5, 12, 12, 8, 16, 13, 15, 9, 7, 8, 5, 8, 8, 8, 5, 6, 5, 3, 5, 2, 11, 8, 9, 7, 8, 9, 6, 4, 6, 3, 5, 5, 6, 6, 7, 8, 6, 4, 6, 71, 11, 10, 8, 9, 7, 11, 11, 10, 8, 4, 4, 3, 395, 36, 0, 0, 0, 2, 1, 1, 2, 2, 2, 397, 396, 1, 2, 0, 9, 10, 8, 98, 97, 99, 34, 2, 1, 2, 3, 2, 1, 45, 46, 44, 3, 1, 1, 1, 7, 8, 7, 95, 96, 94, 2, 2, 2, 6, 6, 6, 10, 10, 11, 12, 2, 2, 2, 2, 1, 5, 5, 4, 49, 45, 47, 34]"
label_propagation,,0.8992721423458943,0.23610591721193017,0.3843810339532883,0.2925271398858016,143,49826,839,2308,"[10, 8, 2, 2, 2, 0, 2, 2, 2, 1, 0, 9, 9, 0, 1, 1, 4, 3, 3, 13, 6, 9, 8, 1, 1, 1, 1, 0, 1, 0, 1, 1, 4, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 4, 0, 1, 0, 0, 2, 0, 0, 2, 4, 8, 3378, 3694, 17, 17, 20, 6, 19, 14, 15, 22, 16, 3382, 3377, 139, 148, 98, 563, 451, 447, 776, 732, 763, 3735, 388, 351, 368, 404, 400, 431, 405, 399, 402, 3678, 730, 752, 756, 846, 825, 821, 825, 780, 826, 80, 60, 42, 63, 74, 88, 81, 86, 82, 3642, 3642, 76, 158, 147, 138, 164, 158, 407, 368, 371, 3683, 25, 27, 0, 0, 1, 2, 1, 0, 0, 1, 1, 23, 28, 34, 33, 24, 38, 49, 51, 42, 50, 44, 23, 0, 0, 0, 0, 1, 0, 1, 0, 0, 31, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 8, 8, 8, 6, 9, 8, 24, 24, 12, 17, 25, 19, 20, 31, 1, 22, 23, 22, 394, 33, 0, 0, 0, 3, 1, 1, 2, 3, 4, 395, 395, 2, 1, 1, 6, 7, 7, 87, 94, 91, 33, 1, 1, 1, 4, 5, 4, 50, 49, 49, 1, 2, 1, 1, 9, 9, 9, 99, 99, 99, 2, 2, 2, 6, 6, 6, 10, 12, 12, 1, 1, 2, 1, 2, 5, 3, 5, 50, 48, 46, 33]"
infomap,,0.9093123764002788,0.23334379392442048,0.4823197394978107,0.3145229920012051,131,56867,863,2333,"[7, 6, 2, 2, 1, 2, 2, 2, 2, 2, 2, 6, 6, 0, 1, 0, 2, 1, 3, 7, 8, 7, 6, 1, 1, 1, 1, 0, 1, 0, 1, 1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 5, 3, 3, 0, 1, 0, 2, 1, 0, 4, 3, 5, 6, 3403, 3721, 16, 17, 19, 8, 19, 14, 15, 22, 17, 3405, 3405, 151, 158, 104, 558, 457, 453, 767, 740, 754, 3758, 388, 351, 367, 404, 400, 431, 405, 399, 402, 3706, 730, 752, 756, 846, 825, 821, 825, 780, 826, 77, 60, 41, 63, 74, 86, 77, 86, 82, 6818, 3664, 3662, 78, 158, 152, 141, 163, 168, 384, 364, 369, 3705, 0, 0, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 22, 23, 18, 43, 43, 45, 51, 42, 53, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 8, 8, 8, 10, 10, 9, 8, 247, 2, 4, 10, 17, 20, 16, 21, 21, 24, 26, 25, 0, 397, 35, 0, 0, 1, 1, 1, 1, 2, 2, 2, 398, 398, 2, 1, 2, 8, 9, 7, 93, 92, 93, 35, 1, 1, 1, 4, 5, 4, 50, 49, 49, 2, 2, 1, 1, 9, 9, 9, 99, 99, 99, 2, 2, 2, 6, 5, 6, 12, 10, 12, 8, 2, 2, 2, 1, 2, 3, 4, 5, 46, 47, 45, 35]"
walktrap,,0.8892192298267744,0.23540506442764345,0.1545455440323663,0.18659185527941205,146,55691,2039,2318,"[16, 9, 2, 2, 2, 2, 2, 2, 2, 2, 2, 12, 14, 1, 0, 2, 0, 1, 1, 5, 4, 0, 11, 1, 1, 0, 0, 0, 1, 3, 1, 1, 4, 1, 1, 0, 1, 1, 1, 2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4, 4, 0, 0, 0, 3, 0, 0, 1, 3, 2, 10, 3357, 3670, 15, 17, 20, 8, 19, 14, 13, 22, 17, 3355, 3353, 149, 160, 106, 565, 466, 458, 792, 757, 769, 3708, 364, 334, 340, 371, 372, 392, 383, 376, 374, 3656, 637, 669, 705, 760, 775, 781, 730, 742, 772, 79, 61, 42, 63, 71, 89, 78, 86, 82, 6817, 3614, 3614, 77, 164, 151, 140, 161, 172, 388, 371, 373, 3655, 46, 51, 2, 0, 1, 0, 1, 0, 2, 1, 0, 50, 52, 24, 21, 16, 36, 34, 40, 26, 25, 38, 50, 24, 17, 28, 33, 29, 39, 23, 23, 28, 53, 94, 83, 51, 86, 50, 40, 95, 38, 54, 8, 6, 7, 8, 11, 7, 9, 9, 8, 248, 52, 52, 11, 11, 21, 17, 23, 17, 20, 19, 21, 50, 388, 32, 0, 0, 0, 1, 1, 1, 2, 2, 2, 392, 390, 1, 2, 0, 10, 9, 9, 95, 96, 100, 30, 1, 1, 2, 5, 5, 4, 47, 49, 49, 1, 1, 1, 2, 9, 9, 9, 98, 99, 97, 2, 2, 2, 6, 6, 6, 12, 11, 12, 12, 1, 1, 2, 2, 2, 2, 5, 5, 49, 47, 48, 31]"
df_node_similarity,,0.9205944740832037,0.2655958416785455,0.4243821033852177,0.3267180429411903,112,50300,365,2339,"[6, 6, 2, 2, 2, 1, 2, 2, 2, 2, 2, 6, 6, 1, 1, 1, 0, 3, 3, 3, 3, 3, 6, 0, 1, 1, 1, 0, 1, 0, 1, 1, 3, 0, 1, 1, 2, 1, 1, 2, 3, 2, 0, 0, 1, 0, 1, 0, 0, 1, 0, 3, 3, 0, 1, 0, 1, 0, 0, 3, 2, 3, 6, 3403, 3721, 17, 17, 21, 6, 20, 12, 14, 23, 17, 3405, 3405, 164, 169, 113, 582, 480, 474, 801, 757, 788, 3758, 386, 349, 368, 403, 400, 430, 405, 398, 401, 3706, 726, 745, 843, 821, 814, 754, 821, 778, 821, 80, 60, 44, 64, 77, 87, 79, 89, 84, 3663, 3664, 81, 166, 163, 148, 173, 174, 400, 377, 386, 3705, 0, 0, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 9, 12, 9, 19, 20, 24, 17, 25, 19, 0, 2, 2, 0, 1, 1, 1, 1, 1, 1, 3, 5, 7, 3, 4, 7, 2, 4, 2, 5, 7, 7, 5, 7, 5, 9, 8, 6, 6, 3, 2, 7, 9, 9, 9, 11, 15, 8, 13, 8, 0, 398, 35, 0, 0, 0, 2, 1, 1, 2, 2, 2, 398, 398, 1, 1, 1, 10, 7, 7, 97, 97, 97, 35, 2, 1, 1, 4, 5, 4, 50, 49, 49, 2, 2, 1, 9, 8, 9, 1, 98, 97, 98, 2, 2, 1, 6, 5, 6, 12, 11, 12, 2, 2, 2, 1, 2, 4, 5, 5, 47, 48, 47, 35]"
surprise_communities,0.05,0.5276769658406126,0.7108904674086449,0.08963529419810648,0.15919756551221503,1393,65098,27315,1478,"[17, 98, 24, 1, 2, 2, 0, 3, 3, 4, 4, 4, 127, 107, 2, 2, 2, 8, 8, 8, 77, 82, 84, 16, 23, 15, 2, 2, 2, 5, 5, 5, 46, 49, 49, 5, 0, 2, 2, 2, 7, 10, 10, 91, 92, 90, 0, 0, 0, 0, 4, 2, 2, 5, 5, 4, 0, 5, 5, 2, 2, 2, 5, 4, 4, 40, 38, 41, 24, 5656, 2605, 2872, 14, 10, 13, 8, 13, 12, 11, 15, 15, 2552, 2653, 53, 63, 55, 159, 129, 121, 188, 178, 208, 5776, 2829, 5721, 147, 143, 145, 180, 161, 189, 155, 157, 174, 2825, 5338, 280, 239, 232, 296, 267, 263, 308, 285, 307, 5831, 49, 45, 33, 37, 56, 46, 51, 49, 47, 5790, 2814, 2799, 36, 44, 60, 54, 62, 59, 83, 93, 89, 2851, 1296, 798, 849, 3, 7, 8, 0, 7, 2, 4, 8, 2, 853, 752, 120, 118, 67, 442, 371, 377, 630, 604, 599, 1307, 929, 1226, 241, 208, 223, 224, 240, 242, 251, 242, 228, 884, 1296, 451, 513, 524, 550, 558, 558, 517, 495, 519, 1236, 38, 22, 16, 34, 26, 50, 36, 46, 43, 1275, 852, 867, 52, 131, 112, 103, 122, 130, 325, 297, 305, 854, 110, 306, 17, 1, 0, 0, 3, 0, 0, 0, 0, 0, 277, 297, 0, 0, 0, 2, 2, 2, 23, 18, 16, 111, 18, 112, 0, 0, 0, 0, 0, 0, 4, 1, 1, 0, 13, 0, 0, 0, 3, 0, 0, 9, 8, 10, 13, 2, 2, 2, 2, 4, 4, 7, 7, 8, 13, 0, 0, 0, 0, 0, 0, 1, 1, 10, 12, 9, 17]"
