method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9529607034198361,0.23666666666666666,0.32657157657157654,0.2744437451935625,34,7091,71,302,"[0, 1, 1, 3, 4, 2, 10, 8, 5, 720, 741, 743, 838, 817, 812, 822, 777, 821, 11, 11, 13, 8, 8, 9, 3, 3, 5, 2, 1, 1, 7, 6, 8, 90, 92, 95]"
eigenvector,,0.94760769221455,0.2833333333333333,0.2512856534695615,0.26634894597421077,36,7048,114,300,"[1, 1, 1, 2, 3, 3, 8, 5, 12, 723, 733, 742, 833, 803, 809, 821, 775, 809, 8, 19, 14, 13, 22, 12, 4, 5, 17, 1, 1, 1, 8, 7, 7, 92, 95, 88]"
louvain,,0.9548869963255847,0.23000000000000004,0.3810411810411811,0.2868529138744422,41,7099,63,295,"[0, 0, 1, 4, 4, 5, 11, 7, 9, 719, 741, 746, 840, 819, 814, 823, 775, 822, 12, 11, 10, 6, 6, 7, 2, 5, 4, 2, 2, 1, 6, 6, 5, 89, 93, 91]"
greedy_modularity,,0.9536323129024142,0.2722222222222222,0.30513468013468015,0.28774035735691955,26,7102,60,310,"[1, 1, 1, 3, 2, 3, 5, 4, 6, 723, 743, 749, 838, 816, 815, 821, 774, 823, 8, 9, 7, 8, 9, 6, 4, 6, 3, 1, 1, 1, 7, 8, 7, 95, 96, 94]"
label_propagation,,0.9594111609524786,0.1477777777777778,0.8888888888888888,0.2534238418482792,8,7161,1,328,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 730, 752, 756, 846, 825, 821, 825, 780, 826, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 9, 9, 9, 99, 99, 99]"
infomap,,0.9594111609524786,0.1477777777777778,0.8888888888888888,0.2534238418482792,8,7161,1,328,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 730, 752, 756, 846, 825, 821, 825, 780, 826, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 9, 9, 9, 99, 99, 99]"
surprise_communities,,0.8225136772643888,0.42666666666666664,0.09566841941280084,0.156292490027822,129,6033,1129,207,"[1, 1, 1, 3, 6, 3, 39, 38, 37, 605, 625, 630, 705, 690, 688, 710, 671, 709, 126, 127, 126, 141, 135, 133, 115, 109, 117, 1, 1, 1, 7, 4, 7, 61, 62, 63]"
walktrap,,0.8801184933002085,0.15111111111111114,0.019646064321879746,0.034771465399468494,11,6571,591,325,"[1, 1, 0, 1, 1, 1, 2, 1, 3, 637, 669, 705, 760, 775, 781, 730, 742, 772, 94, 83, 51, 86, 50, 40, 95, 38, 54, 1, 1, 2, 9, 9, 9, 98, 99, 97]"
df_node_similarity,,0.9549152344016765,0.295,0.5769841269841269,0.39039774278692996,13,7123,39,323,"[0, 1, 1, 2, 1, 1, 2, 3, 2, 726, 745, 843, 821, 814, 754, 821, 778, 821, 5, 7, 3, 4, 7, 2, 4, 2, 5, 2, 1, 9, 8, 9, 1, 98, 97, 98]"
leiden,0.05,0.881482994318163,0.6777777777777778,0.17530106175923202,0.27855611597573243,118,6496,666,218,"[2, 2, 2, 7, 9, 6, 33, 32, 25, 642, 642, 639, 764, 741, 765, 776, 732, 795, 89, 110, 117, 82, 84, 56, 49, 48, 31, 0, 0, 0, 3, 1, 4, 67, 68, 75]"
eigenvector,0.05,0.8975165744268553,0.5577777777777777,0.18604007687034238,0.279017288993249,117,6609,553,219,"[2, 1, 1, 5, 8, 8, 30, 16, 46, 687, 631, 673, 824, 768, 738, 788, 757, 743, 44, 121, 83, 22, 57, 83, 37, 23, 83, 0, 1, 1, 5, 2, 2, 70, 84, 54]"
louvain,0.05,0.8838565074513964,0.6655555555555555,0.15917455367508745,0.2569070955839288,138,6483,679,198,"[2, 1, 2, 7, 8, 9, 35, 35, 39, 652, 657, 686, 780, 751, 715, 762, 722, 758, 79, 95, 70, 66, 74, 106, 63, 58, 68, 0, 1, 0, 3, 2, 1, 65, 65, 61]"
greedy_modularity,0.05,0.9049436770030349,0.5522222222222222,0.1339395245277598,0.21558876526836726,72,6697,465,264,"[1, 2, 2, 5, 8, 7, 14, 19, 14, 680, 688, 708, 774, 773, 779, 774, 731, 790, 51, 64, 48, 72, 52, 42, 51, 49, 36, 1, 0, 0, 5, 2, 3, 86, 81, 86]"
label_propagation,0.05,0.959600650260554,0.18444444444444444,0.7685185185185185,0.2974910394265233,14,7157,5,322,"[0, 1, 1, 2, 2, 2, 2, 2, 2, 730, 752, 753, 846, 825, 820, 825, 780, 826, 1, 0, 3, 0, 0, 1, 0, 0, 0, 2, 1, 1, 8, 8, 8, 98, 98, 98]"
infomap,0.05,0.959600650260554,0.18444444444444444,0.7685185185185185,0.2974910394265233,14,7157,5,322,"[0, 1, 1, 2, 2, 2, 2, 2, 2, 730, 752, 753, 846, 825, 820, 825, 780, 826, 1, 0, 3, 0, 0, 1, 0, 0, 0, 2, 1, 1, 8, 8, 8, 98, 98, 98]"
surprise_communities,0.05,0.3684189542233165,0.9366666666666666,0.057118090572367226,0.1076704208090717,306,2477,4685,30,"[2, 2, 2, 7, 10, 10, 91, 92, 90, 280, 239, 232, 296, 267, 263, 308, 285, 307, 451, 513, 524, 550, 558, 558, 517, 495, 519, 0, 0, 0, 3, 0, 0, 9, 8, 10]"
walktrap,0.05,0.5819453885811952,0.4277777777777778,0.01690506791052819,0.03252480932901587,50,4304,2858,286,"[2, 2, 1, 7, 1, 2, 9, 7, 19, 390, 430, 467, 464, 510, 579, 401, 555, 508, 341, 322, 289, 382, 315, 242, 424, 225, 318, 0, 0, 1, 3, 9, 8, 91, 93, 81]"
df_node_similarity,0.05,0.9268417055729822,0.5905555555555555,0.42008259540512793,0.4909415111093427,19,6904,258,317,"[1, 1, 2, 2, 2, 1, 4, 4, 2, 709, 724, 824, 789, 782, 743, 794, 758, 781, 22, 28, 22, 36, 39, 13, 31, 22, 45, 1, 1, 8, 8, 8, 1, 96, 96, 98]"
leiden,0.1,0.9113924286673536,0.6222222222222222,0.20686732496963847,0.31050312257281026,95,6735,427,241,"[2, 2, 2, 6, 9, 4, 25, 26, 19, 667, 680, 681, 796, 776, 782, 797, 750, 806, 64, 72, 75, 50, 49, 39, 28, 30, 20, 0, 0, 0, 4, 1, 6, 75, 74, 81]"
eigenvector,0.1,0.9221556013342873,0.48000000000000004,0.20927381198782447,0.29147032139364126,92,6812,350,244,"[2, 1, 1, 4, 6, 6, 25, 12, 35, 707, 675, 694, 833, 783, 786, 795, 762, 777, 24, 77, 62, 13, 42, 35, 30, 18, 49, 0, 1, 1, 6, 4, 4, 75, 88, 65]"
louvain,0.1,0.914171360671826,0.6333333333333333,0.20004642436431594,0.3040536264381698,118,6727,435,218,"[2, 1, 2, 7, 8, 8, 28, 30, 32, 671, 699, 704, 803, 776, 759, 794, 737, 784, 60, 53, 52, 43, 49, 62, 31, 43, 42, 0, 1, 0, 3, 2, 2, 72, 70, 68]"
greedy_modularity,0.1,0.9207005555630674,0.4555555555555555,0.15707158389219608,0.23359994376515222,61,6826,336,275,"[1, 2, 1, 5, 5, 7, 13, 15, 12, 695, 701, 715, 796, 786, 792, 792, 748, 801, 36, 51, 41, 50, 39, 29, 33, 32, 25, 1, 0, 1, 5, 5, 3, 87, 85, 88]"
label_propagation,0.1,0.9594941772401528,0.17222222222222222,0.7777777777777778,0.2820012995451592,12,7158,4,324,"[0, 1, 1, 2, 1, 2, 2, 2, 1, 730, 752, 754, 846, 825, 820, 825, 780, 826, 1, 0, 2, 0, 0, 1, 0, 0, 0, 2, 1, 1, 8, 9, 8, 98, 98, 99]"
infomap,0.1,0.9594941772401528,0.17222222222222222,0.7777777777777778,0.2820012995451592,12,7158,4,324,"[0, 1, 1, 2, 1, 2, 2, 2, 1, 730, 752, 754, 846, 825, 820, 825, 780, 826, 1, 0, 2, 0, 0, 1, 0, 0, 0, 2, 1, 1, 8, 9, 8, 98, 98, 99]"
surprise_communities,0.1,0.42114903870642384,0.9122222222222222,0.05942101489738885,0.11157422433584659,293,2880,4282,43,"[2, 2, 2, 6, 10, 10, 87, 88, 86, 325, 282, 287, 339, 307, 310, 343, 335, 352, 406, 470, 469, 507, 518, 511, 482, 445, 474, 0, 0, 0, 4, 0, 0, 13, 12, 14]"
walktrap,0.1,0.6416731712068863,0.2877777777777778,0.01656548799723441,0.03132764782232927,40,4763,2399,296,"[1, 1, 1, 5, 1, 2, 6, 5, 18, 428, 465, 519, 523, 569, 630, 456, 610, 563, 303, 287, 237, 323, 256, 191, 369, 170, 263, 1, 1, 1, 5, 9, 8, 94, 95, 82]"
df_node_similarity,0.1,0.9385982814710128,0.5499999999999999,0.4357637336302609,0.4862626719163492,17,6996,166,319,"[0, 1, 2, 2, 2, 1, 4, 3, 2, 715, 734, 832, 804, 794, 745, 809, 764, 799, 16, 18, 14, 21, 27, 11, 16, 16, 27, 2, 1, 8, 8, 8, 1, 96, 97, 98]"
leiden,0.15,0.9220728173868528,0.5322222222222224,0.2230581980829074,0.3143641134523485,81,6826,336,255,"[1, 2, 2, 5, 9, 3, 24, 20, 15, 675, 692, 702, 806, 789, 787, 806, 759, 810, 56, 60, 54, 40, 36, 34, 19, 21, 16, 1, 0, 0, 5, 1, 7, 76, 80, 85]"
eigenvector,0.15,0.9332037792200563,0.4722222222222222,0.24181528148865558,0.319844683222976,85,6900,262,251,"[2, 1, 1, 4, 6, 6, 22, 10, 33, 713, 695, 705, 834, 792, 798, 806, 765, 792, 18, 57, 51, 12, 33, 23, 19, 15, 34, 0, 1, 1, 6, 4, 4, 78, 90, 67]"
louvain,0.15,0.92564289976196,0.6211111111111111,0.22693251223257072,0.332412864008732,107,6822,340,229,"[2, 1, 2, 7, 8, 8, 24, 29, 26, 684, 710, 713, 814, 785, 771, 804, 746, 795, 47, 42, 43, 32, 40, 50, 21, 34, 31, 0, 1, 0, 3, 2, 2, 76, 71, 74]"
greedy_modularity,0.15,0.92896858506412,0.4277777777777778,0.16678440488162644,0.2399973095131156,54,6893,269,282,"[1, 2, 1, 5, 4, 6, 12, 13, 10, 701, 715, 723, 806, 795, 797, 796, 754, 806, 30, 37, 33, 40, 30, 24, 29, 26, 20, 1, 0, 1, 5, 6, 4, 88, 87, 90]"
