method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9600101588286116,0.33968311465292866,0.44128540305010894,0.3838751415993243,65,32355,83,1285,"[9, 8, 10, 10, 8, 4, 4, 4, 8, 3397, 3712, 3398, 3398, 3749, 3696, 3653, 3654, 3698, 6, 9, 7, 7, 9, 13, 13, 12, 7, 395, 33, 394, 394, 33, 1, 1, 1, 33]"
eigenvector,,0.9598609909325497,0.33995814215567904,0.4270152505446624,0.37854588602142675,66,32349,89,1284,"[10, 8, 10, 10, 8, 4, 4, 4, 8, 3396, 3712, 3398, 3398, 3749, 3695, 3653, 3653, 3695, 7, 9, 7, 7, 9, 14, 13, 13, 10, 394, 33, 394, 394, 33, 1, 1, 1, 33]"
louvain,,0.9602461278281255,0.33995814215567904,0.4689075630252101,0.3941542902555086,66,32362,76,1284,"[10, 8, 10, 10, 8, 4, 4, 4, 8, 3399, 3713, 3399, 3399, 3749, 3696, 3654, 3655, 3698, 4, 8, 6, 6, 9, 13, 12, 11, 7, 394, 33, 394, 394, 33, 1, 1, 1, 33]"
greedy_modularity,,0.9602762717540073,0.23586895274893344,0.47195767195767196,0.31454075882670574,51,32378,60,1299,"[9, 5, 7, 8, 7, 2, 3, 3, 7, 3400, 3714, 3400, 3400, 3753, 3698, 3655, 3656, 3702, 3, 7, 5, 5, 5, 11, 11, 10, 3, 395, 36, 397, 396, 34, 3, 2, 2, 34]"
label_propagation,,0.9557264888039203,0.33940808715017845,0.21816779336940625,0.26560658741652526,64,32211,227,1286,"[10, 8, 9, 9, 8, 4, 4, 4, 8, 3378, 3694, 3382, 3377, 3735, 3678, 3642, 3642, 3683, 25, 27, 23, 28, 23, 31, 24, 24, 22, 394, 33, 395, 395, 33, 1, 1, 1, 33]"
infomap,,0.9616455062050995,0.25400601035713327,0.8365079365079365,0.38968422952365817,46,32429,9,1304,"[7, 6, 6, 6, 6, 3, 3, 3, 6, 3403, 3721, 3405, 3405, 3758, 3706, 3664, 3662, 3705, 0, 0, 0, 0, 0, 3, 2, 4, 0, 397, 35, 398, 398, 35, 2, 2, 2, 35]"
surprise_communities,,0.8878102918087838,0.4106603343261155,0.05239102714915791,0.09292669675439735,146,29836,2602,1204,"[27, 15, 33, 30, 14, 4, 4, 4, 15, 3121, 3432, 3119, 3122, 3461, 3410, 3376, 3374, 3421, 282, 289, 286, 283, 297, 299, 290, 292, 284, 377, 26, 371, 374, 27, 1, 1, 1, 26]"
walktrap,,0.9495287830085967,0.3595186347903084,0.1526401369244198,0.21429672465646865,84,31982,456,1266,"[16, 9, 12, 14, 11, 4, 4, 4, 10, 3357, 3670, 3355, 3353, 3708, 3656, 3614, 3614, 3655, 46, 51, 50, 52, 50, 53, 52, 52, 50, 388, 32, 392, 390, 30, 1, 1, 1, 31]"
df_node_similarity,,0.9616465874626111,0.33219565859024924,0.8444444444444444,0.47681661986805174,45,32430,8,1305,"[6, 6, 6, 6, 6, 3, 3, 3, 6, 3403, 3721, 3405, 3405, 3758, 3706, 3663, 3664, 3705, 0, 0, 0, 0, 0, 3, 3, 2, 0, 398, 35, 398, 398, 35, 2, 2, 2, 35]"
leiden,0.05,0.9347543896327308,0.3709892940513564,0.10522501400928287,0.16394868026047246,108,31461,977,1242,"[19, 10, 22, 23, 11, 4, 4, 4, 11, 3330, 3620, 3301, 3295, 3648, 3577, 3530, 3532, 3628, 73, 101, 104, 110, 110, 132, 136, 134, 77, 385, 31, 382, 381, 30, 1, 1, 1, 30]"
eigenvector,0.05,0.9327429961000077,0.36855429445383564,0.09386923639264011,0.14962867536728186,108,31392,1046,1242,"[20, 11, 22, 23, 10, 4, 4, 4, 10, 3304, 3602, 3296, 3297, 3637, 3585, 3538, 3545, 3588, 99, 119, 109, 108, 121, 124, 128, 121, 117, 384, 30, 382, 381, 31, 1, 1, 1, 31]"
