method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.8856008184914423,0.6666666666666666,0.6666666666666666,0.6666666666666666,17,142,10,10,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 16, 17, 19, 7, 19, 12, 14, 21, 17, 1, 0, 2, 1, 1, 2, 1, 2, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2]"
eigenvector,,0.8996792243827135,0.6666666666666666,0.7592592592592592,0.7099567099567099,17,145,7,10,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 16, 17, 19, 7, 19, 12, 15, 23, 17, 1, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2]"
louvain,,0.8595508450730479,0.6296296296296297,0.5925925925925926,0.6105499438832772,16,140,12,11,"[2, 2, 1, 1, 2, 2, 2, 2, 2, 16, 16, 19, 6, 19, 12, 14, 21, 17, 1, 1, 2, 2, 1, 2, 1, 2, 0, 0, 0, 1, 2, 1, 1, 2, 2, 2]"
greedy_modularity,,0.8905427259624774,0.6851851851851852,0.7407407407407408,0.711880711880712,17,145,7,10,"[2, 2, 2, 1, 2, 2, 2, 2, 2, 16, 17, 20, 6, 20, 13, 14, 22, 17, 1, 0, 1, 2, 0, 1, 1, 1, 0, 0, 0, 0, 2, 1, 1, 2, 2, 2]"
label_propagation,,0.8738544099217735,0.5648148148148148,0.6481481481481481,0.6036188860616342,13,146,6,14,"[2, 2, 2, 0, 2, 2, 2, 1, 0, 17, 17, 20, 6, 19, 14, 15, 22, 16, 0, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 3, 1, 1, 2, 3, 4]"
infomap,,0.9187369035711117,0.6666666666666666,0.8148148148148148,0.7333333333333333,17,147,5,10,"[2, 2, 1, 2, 2, 2, 2, 2, 2, 16, 17, 19, 8, 19, 14, 15, 22, 17, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2]"
surprise_communities,,0.6600959142051858,0.537037037037037,0.25639329805996475,0.34708200837681247,13,110,42,14,"[1, 2, 2, 0, 2, 2, 1, 2, 1, 10, 12, 18, 3, 18, 11, 11, 18, 9, 7, 5, 3, 5, 2, 3, 4, 5, 8, 1, 0, 0, 3, 1, 1, 3, 2, 3]"
walktrap,,0.9108548796707814,0.7222222222222222,0.7777777777777778,0.7489711934156379,18,145,7,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 15, 17, 20, 8, 19, 14, 13, 22, 17, 2, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2]"
df_node_similarity,,0.8988008756782779,0.7037037037037037,0.8333333333333335,0.7630522088353415,17,147,5,10,"[2, 2, 2, 1, 2, 2, 2, 2, 2, 17, 17, 21, 6, 20, 12, 14, 23, 17, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 2, 1, 1, 2, 2, 2]"
leiden,0.05,0.676951966403216,0.9629629629629629,0.35446343779677114,0.5181847913871702,26,92,60,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 10, 10, 10, 7, 10, 10, 12, 11, 12, 7, 7, 11, 1, 10, 4, 3, 12, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
eigenvector,0.05,0.6769796634441194,0.9629629629629629,0.34653790291045194,0.5096646737122179,26,92,60,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 13, 10, 11, 7, 10, 9, 10, 10, 12, 4, 7, 10, 1, 10, 5, 5, 13, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
louvain,0.05,0.6924617553683825,0.9629629629629629,0.3606578606578606,0.5247728895121517,26,95,57,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 10, 11, 12, 7, 10, 10, 12, 11, 12, 7, 6, 9, 1, 10, 4, 3, 12, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
greedy_modularity,0.05,0.668268944079955,0.9629629629629629,0.3502815086148419,0.5137019446221222,26,91,61,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 10, 10, 9, 7, 8, 9, 12, 14, 12, 7, 7, 12, 1, 12, 5, 3, 9, 5, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
label_propagation,0.05,0.7181828749857945,0.9722222222222222,0.37443883277216616,0.5406523827713536,26,104,48,1,"[2, 2, 2, 3, 3, 3, 3, 4, 4, 13, 10, 19, 3, 12, 12, 9, 15, 11, 4, 7, 2, 5, 8, 2, 6, 8, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
infomap,0.05,0.6818930177838958,1.0,0.3575498575498576,0.5267576075550893,27,91,61,0,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 10, 10, 10, 7, 10, 11, 10, 11, 12, 7, 7, 11, 1, 10, 3, 5, 12, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
surprise_communities,0.05,0.752938186628978,0.8333333333333334,0.34135802469135806,0.48432299877386586,23,111,41,4,"[1, 2, 2, 0, 3, 3, 4, 4, 4, 14, 10, 13, 8, 13, 12, 11, 15, 15, 3, 7, 8, 0, 7, 2, 4, 8, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0]"
walktrap,0.05,0.6577554279203971,1.0,0.3415966749300083,0.509239000533196,27,89,63,0,"[2, 2, 2, 3, 3, 3, 4, 4, 4, 12, 6, 12, 4, 10, 11, 11, 9, 14, 5, 11, 9, 4, 10, 3, 4, 14, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
df_node_similarity,0.05,0.6297230513888955,0.9814814814814814,0.35503246753246753,0.5214428064366657,26,83,69,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 7, 10, 9, 7, 8, 10, 9, 9, 14, 10, 7, 12, 1, 12, 4, 6, 14, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
leiden,0.1,0.7801783630443089,0.9074074074074073,0.4423280423280423,0.5947413505233967,24,114,38,3,"[2, 2, 2, 2, 3, 3, 4, 4, 2, 13, 14, 13, 7, 16, 10, 12, 13, 16, 4, 3, 8, 1, 4, 4, 3, 10, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2]"
eigenvector,0.1,0.8372459000627888,0.9074074074074073,0.5278659611992945,0.6674540109044901,24,125,27,3,"[2, 2, 2, 2, 3, 3, 4, 4, 2, 16, 14, 14, 7, 16, 11, 14, 17, 16, 1, 3, 7, 1, 4, 3, 1, 6, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2]"
louvain,0.1,0.7781442923603525,0.9074074074074073,0.4513227513227513,0.6028181608399678,24,114,38,3,"[2, 2, 2, 2, 3, 3, 4, 4, 2, 11, 12, 15, 7, 16, 10, 14, 13, 16, 6, 5, 6, 1, 4, 4, 1, 10, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2]"
greedy_modularity,0.1,0.7869774326453107,0.9074074074074073,0.44705387205387204,0.5989982898192455,24,116,36,3,"[2, 2, 2, 2, 3, 3, 4, 4, 2, 13, 14, 12, 7, 15, 10, 12, 17, 16, 4, 3, 9, 1, 5, 4, 3, 6, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2]"
label_propagation,0.1,0.7722181399661545,0.9166666666666666,0.44320987654320987,0.5975185353306098,24,115,37,3,"[2, 2, 2, 3, 3, 3, 3, 2, 4, 16, 14, 19, 3, 13, 13, 10, 16, 11, 1, 3, 2, 5, 7, 1, 5, 7, 6, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
