method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
surprise_communities,,0.4790320019872541,0.060367454068241476,0.002092396751228957,0.004044603472955355,46,20140,21608,374,"[16, 16, 14, 0, 0, 0, 3355, 3354, 3328, 3374, 3396, 3333, 3597, 3729, 3619, 3260, 3671, 3732, 111, 111, 113, 13, 13, 13]"
leiden,,0.9967504944899689,0.23076923076923078,0.1875,0.20689655172413793,3,7052,13,10,"[3, 7052, 13, 10]"
eigenvector,,0.9950551003108222,0.38461538461538464,0.15625,0.22222222222222224,5,7038,27,8,"[5, 7038, 27, 8]"
louvain,,0.9964679287934445,0.15384615384615385,0.125,0.13793103448275862,2,7051,14,11,"[2, 7051, 14, 11]"
greedy_modularity,,0.9882735235942357,0.07692307692307693,0.013888888888888888,0.023529411764705882,1,6994,71,12,"[1, 6994, 71, 12]"
infomap,,0.9639728736931337,0.38461538461538464,0.01984126984126984,0.03773584905660377,5,6818,247,8,"[5, 6818, 247, 8]"
walktrap,,0.9632664594518225,0.07692307692307693,0.004016064257028112,0.0076335877862595426,1,6817,248,12,"[1, 6817, 248, 12]"
surprise_communities,0.05,0.8100423434003728,0.06299212598425197,0.006188033593652019,0.011269051534556216,48,34112,7636,372,"[17, 16, 15, 0, 0, 0, 5656, 5776, 5721, 5338, 5831, 5790, 1296, 1307, 1226, 1296, 1236, 1275, 110, 111, 112, 13, 13, 13]"
leiden,0.05,0.9867194122633512,0.38461538461538464,0.054945054945054944,0.09615384615384616,5,6979,86,8,"[5, 6979, 86, 8]"
eigenvector,0.05,0.8571630404068946,0.46153846153846156,0.005940594059405941,0.011730205278592375,6,6061,1004,7,"[6, 6061, 1004, 7]"
louvain,0.05,0.9895450692285956,0.23076923076923078,0.04477611940298507,0.075,3,7001,64,10,"[3, 7001, 64, 10]"
greedy_modularity,0.05,0.9838937552981069,0.15384615384615385,0.01904761904761905,0.03389830508474577,2,6962,103,11,"[2, 6962, 103, 11]"
infomap,0.05,0.8512291607798813,0.5384615384615384,0.006641366223908918,0.013120899718837864,7,6018,1047,6,"[7, 6018, 1047, 6]"
walktrap,0.05,0.9710370161062447,0.07692307692307693,0.005154639175257732,0.00966183574879227,1,6872,193,12,"[1, 6872, 193, 12]"
surprise_communities,0.1,0.8734229076695718,0.06167979002624672,0.00921000751384294,0.01602688537155804,47,36784,4964,373,"[16, 16, 15, 0, 0, 0, 6106, 6241, 6131, 5787, 6267, 6252, 846, 842, 816, 847, 800, 813, 111, 111, 112, 13, 13, 13]"
leiden,0.1,0.9908166148629557,0.38461538461538464,0.08064516129032258,0.13333333333333333,5,7008,57,8,"[5, 7008, 57, 8]"
eigenvector,0.1,0.86705283978525,0.46153846153846156,0.006382978723404255,0.012591815320041973,6,6131,934,7,"[6, 6131, 934, 7]"
louvain,0.1,0.9920881604973156,0.23076923076923078,0.061224489795918366,0.0967741935483871,3,7019,46,10,"[3, 7019, 46, 10]"
greedy_modularity,0.1,0.9861542808703023,0.15384615384615385,0.02247191011235955,0.0392156862745098,2,6978,87,11,"[2, 6978, 87, 11]"
infomap,0.1,0.9063294716021475,0.5384615384615384,0.010542168674698794,0.020679468242245196,7,6408,657,6,"[7, 6408, 657, 6]"
walktrap,0.1,0.9754167844023736,0.07692307692307693,0.006134969325153374,0.011363636363636362,1,6903,162,12,"[1, 6903, 162, 12]"
surprise_communities,0.15,0.8944487857623683,0.06167979002624672,0.011301259505816218,0.019102474349718096,47,37671,4077,373,"[16, 16, 15, 0, 0, 0, 6264, 6397, 6289, 5922, 6400, 6399, 688, 686, 658, 712, 667, 666, 111, 111, 112, 13, 13, 13]"
leiden,0.15,0.9918055948007912,0.3076923076923077,0.07547169811320754,0.12121212121212122,4,7016,49,9,"[4, 7016, 49, 9]"
eigenvector,0.15,0.8708674766883301,0.38461538461538464,0.005488474204171241,0.010822510822510824,5,6159,906,8,"[5, 6159, 906, 8]"
louvain,0.15,0.9932184232834134,0.23076923076923078,0.07317073170731707,0.1111111111111111,3,7027,38,10,"[3, 7027, 38, 10]"
greedy_modularity,0.15,0.9882735235942357,0.15384615384615385,0.02702702702702703,0.04597701149425287,2,6993,72,11,"[2, 6993, 72, 11]"
infomap,0.15,0.9254026561175474,0.38461538461538464,0.009523809523809525,0.01858736059479554,5,6545,520,8,"[5, 6545, 520, 8]"
walktrap,0.15,0.9781011585193558,0.07692307692307693,0.006944444444444444,0.012738853503184714,1,6922,143,12,"[1, 6922, 143, 12]"
surprise_communities,0.2,0.9059331561618915,0.06167979002624672,0.012818682802080388,0.021226036820039137,47,38155,3593,373,"[16, 16, 15, 0, 0, 0, 6346, 6478, 6372, 6002, 6476, 6481, 606, 605, 575, 632, 591, 584, 111, 111, 112, 13, 13, 13]"
leiden,0.2,0.992935857586889,0.23076923076923078,0.06976744186046512,0.10714285714285714,3,7025,40,10,"[3, 7025, 40, 10]"
eigenvector,0.2,0.8728454365640012,0.38461538461538464,0.005574136008918618,0.01098901098901099,5,6173,892,8,"[5, 6173, 892, 8]"
louvain,0.2,0.9939248375247245,0.23076923076923078,0.08333333333333333,0.12244897959183675,3,7032,33,10,"[3, 7032, 33, 10]"
greedy_modularity,0.2,0.9894037863803334,0.15384615384615385,0.030303030303030304,0.05063291139240506,2,7001,64,11,"[2, 7001, 64, 11]"
infomap,0.2,0.9334557784684939,0.38461538461538464,0.010683760683760684,0.020790020790020788,5,6602,463,8,"[5, 6602, 463, 8]"
walktrap,0.2,0.9797965526985024,0.07692307692307693,0.007575757575757576,0.013793103448275862,1,6934,131,12,"[1, 6934, 131, 12]"
surprise_communities,0.25,0.9134961666350696,0.06167979002624672,0.013970735764104673,0.022781389539319134,47,38473,3275,373,"[16, 16, 15, 0, 0, 0, 6400, 6524, 6423, 6064, 6523, 6539, 552, 559, 524, 570, 544, 526, 111, 111, 112, 13, 13, 13]"
leiden,0.25,0.9935009889799379,0.23076923076923078,0.07692307692307693,0.11538461538461538,3,7029,36,10,"[3, 7029, 36, 10]"
eigenvector,0.25,0.8751059621361966,0.38461538461538464,0.0056753688989784334,0.011185682326621923,5,6189,876,8,"[5, 6189, 876, 8]"
louvain,0.25,0.9944899689177734,0.23076923076923078,0.09375,0.13333333333333333,3,7036,29,10,"[3, 7036, 29, 10]"
greedy_modularity,0.25,0.9894037863803334,0.15384615384615385,0.030303030303030304,0.05063291139240506,2,7001,64,11,"[2, 7001, 64, 11]"
infomap,0.25,0.9393896580955072,0.38461538461538464,0.011737089201877934,0.022779043280182234,5,6644,421,8,"[5, 6644, 421, 8]"
walktrap,0.25,0.9819157954224357,0.07692307692307693,0.008547008547008548,0.015384615384615387,1,6949,116,12,"[1, 6949, 116, 12]"
surprise_communities,0.3,0.9204950742984059,0.06167979002624672,0.01537830960500452,0.02461859069804029,47,38767,2981,373,"[16, 16, 15, 0, 0, 0, 6450, 6568, 6482, 6126, 6563, 6578, 502, 515, 465, 508, 504, 487, 111, 111, 112, 13, 13, 13]"
leiden,0.3,0.9942074032212489,0.23076923076923078,0.08823529411764706,0.12765957446808512,3,7034,31,10,"[3, 7034, 31, 10]"
eigenvector,0.3,0.8766600734670811,0.38461538461538464,0.005747126436781609,0.011325028312570781,5,6200,865,8,"[5, 6200, 865, 8]"
louvain,0.3,0.9947725346142978,0.23076923076923078,0.1,0.13953488372093023,3,7038,27,10,"[3, 7038, 27, 10]"
greedy_modularity,0.3,0.9901102006216446,0.07692307692307693,0.01694915254237288,0.027777777777777776,1,7007,58,12,"[1, 7007, 58, 12]"
infomap,0.3,0.9447584063294716,0.38461538461538464,0.01288659793814433,0.024937655860349125,5,6682,383,8,"[5, 6682, 383, 8]"
walktrap,0.3,0.9831873410567957,0.07692307692307693,0.009259259259259259,0.01652892561983471,1,6958,107,12,"[1, 6958, 107, 12]"
surprise_communities,0.35,0.9254621857603494,0.06167979002624672,0.016717827085279812,0.026305699134918023,47,38977,2771,373,"[16, 16, 15, 0, 0, 0, 6490, 6616, 6517, 6154, 6590, 6610, 462, 467, 430, 480, 477, 455, 111, 111, 112, 13, 13, 13]"
leiden,0.35,0.9947725346142978,0.23076923076923078,0.1,0.13953488372093023,3,7038,27,10,"[3, 7038, 27, 10]"
eigenvector,0.35,0.8784967504944899,0.38461538461538464,0.005834305717619603,0.011494252873563218,5,6213,852,8,"[5, 6213, 852, 8]"
louvain,0.35,0.9950551003108222,0.23076923076923078,0.10714285714285714,0.14634146341463414,3,7040,25,10,"[3, 7040, 25, 10]"
greedy_modularity,0.35,0.9905340491664312,0.07692307692307693,0.017857142857142856,0.028985507246376815,1,7010,55,12,"[1, 7010, 55, 12]"
infomap,0.35,0.9495620231703871,0.38461538461538464,0.014124293785310734,0.027247956403269755,5,6716,349,8,"[5, 6716, 349, 8]"
walktrap,0.35,0.9846001695394179,0.07692307692307693,0.01020408163265306,0.018018018018018018,1,6968,97,12,"[1, 6968, 97, 12]"
surprise_communities,0.4,0.9305020460319513,0.06167979002624672,0.01786987562279398,0.027711245979884745,47,39189,2559,373,"[16, 16, 15, 0, 0, 0, 6523, 6650, 6541, 6195, 6633, 6647, 429, 433, 406, 439, 434, 418, 111, 111, 112, 13, 13, 13]"
leiden,0.4,0.99491381746256,0.23076923076923078,0.10344827586206896,0.14285714285714288,3,7039,26,10,"[3, 7039, 26, 10]"
eigenvector,0.4,0.8790618818875389,0.38461538461538464,0.005861664712778429,0.011547344110854504,5,6217,848,8,"[5, 6217, 848, 8]"
louvain,0.4,0.995478948855609,0.23076923076923078,0.12,0.15789473684210525,3,7043,22,10,"[3, 7043, 22, 10]"
greedy_modularity,0.4,0.9913817462560045,0.07692307692307693,0.02,0.03174603174603175,1,7016,49,12,"[1, 7016, 49, 12]"
infomap,0.4,0.9540830743147782,0.38461538461538464,0.015527950310559006,0.029850746268656716,5,6748,317,8,"[5, 6748, 317, 8]"
walktrap,0.4,0.9854478666289912,0.07692307692307693,0.010869565217391304,0.01904761904761905,1,6974,91,12,"[1, 6974, 91, 12]"
surprise_communities,0.45,0.9344721726144035,0.060367454068241476,0.018641339488958297,0.02848620146453657,46,39357,2391,374,"[16, 16, 14, 0, 0, 0, 6551, 6669, 6575, 6225, 6664, 6673, 401, 414, 372, 409, 403, 392, 111, 111, 113, 13, 13, 13]"
leiden,0.45,0.9950551003108222,0.23076923076923078,0.10714285714285714,0.14634146341463414,3,7040,25,10,"[3, 7040, 25, 10]"
eigenvector,0.45,0.8794857304323255,0.38461538461538464,0.0058823529411764705,0.011587485515643106,5,6220,845,8,"[5, 6220, 845, 8]"
louvain,0.45,0.9956202317038712,0.23076923076923078,0.125,0.16216216216216217,3,7044,21,10,"[3, 7044, 21, 10]"
greedy_modularity,0.45,0.9916643119525289,0.07692307692307693,0.020833333333333332,0.03278688524590164,1,7018,47,12,"[1, 7018, 47, 12]"
infomap,0.45,0.9567674484317604,0.38461538461538464,0.0165016501650165,0.03164556962025316,5,6767,298,8,"[5, 6767, 298, 8]"
walktrap,0.45,0.9884148064424979,0.07692307692307693,0.014084507042253521,0.02380952380952381,1,6995,70,12,"[1, 6995, 70, 12]"
surprise_communities,0.5,0.9380876783679448,0.060367454068241476,0.019830016373795178,0.029853500266763682,46,39510,2238,374,"[16, 16, 14, 0, 0, 0, 6576, 6696, 6597, 6241, 6695, 6705, 376, 387, 350, 393, 372, 360, 111, 111, 113, 13, 13, 13]"
leiden,0.5,0.9950551003108222,0.23076923076923078,0.10714285714285714,0.14634146341463414,3,7040,25,10,"[3, 7040, 25, 10]"
eigenvector,0.5,0.8794857304323255,0.38461538461538464,0.0058823529411764705,0.011587485515643106,5,6220,845,8,"[5, 6220, 845, 8]"
louvain,0.5,0.9957615145521334,0.23076923076923078,0.13043478260869565,0.16666666666666669,3,7045,20,10,"[3, 7045, 20, 10]"
greedy_modularity,0.5,0.9919468776490534,0.07692307692307693,0.021739130434782608,0.03389830508474576,1,7020,45,12,"[1, 7020, 45, 12]"
infomap,0.5,0.9594518225487426,0.38461538461538464,0.017605633802816902,0.033670033670033676,5,6786,279,8,"[5, 6786, 279, 8]"
walktrap,0.5,0.9894037863803334,0.07692307692307693,0.015625,0.025974025974025976,1,7002,63,12,"[1, 7002, 63, 12]"
surprise_communities,0.55,0.9391750755473479,0.060367454068241476,0.020322949914733646,0.030408690127953934,46,39556,2192,374,"[16, 16, 14, 0, 0, 0, 6587, 6704, 6606, 6246, 6701, 6712, 365, 379, 341, 388, 366, 353, 111, 111, 113, 13, 13, 13]"
leiden,0.55,0.9953376660073467,0.23076923076923078,0.11538461538461539,0.15384615384615388,3,7042,23,10,"[3, 7042, 23, 10]"
eigenvector,0.55,0.8810398417632099,0.38461538461538464,0.0059594755661501785,0.011737089201877935,5,6231,834,8,"[5, 6231, 834, 8]"
louvain,0.55,0.9960440802486578,0.23076923076923078,0.14285714285714285,0.17647058823529413,3,7047,18,10,"[3, 7047, 18, 10]"
greedy_modularity,0.55,0.9919468776490534,0.07692307692307693,0.021739130434782608,0.03389830508474576,1,7020,45,12,"[1, 7020, 45, 12]"
infomap,0.55,0.959734388245267,0.38461538461538464,0.01773049645390071,0.03389830508474576,5,6788,277,8,"[5, 6788, 277, 8]"
walktrap,0.55,0.9899689177733824,0.07692307692307693,0.016666666666666666,0.0273972602739726,1,7006,59,12,"[1, 7006, 59, 12]"
surprise_communities,0.6,0.9429808817615867,0.060367454068241476,0.021868653380601243,0.03210645468133274,46,39716,2032,374,"[16, 16, 14, 0, 0, 0, 6607, 6736, 6634, 6280, 6725, 6734, 345, 347, 313, 354, 342, 331, 111, 111, 113, 13, 13, 13]"
leiden,0.6,0.9953376660073467,0.23076923076923078,0.11538461538461539,0.15384615384615388,3,7042,23,10,"[3, 7042, 23, 10]"
eigenvector,0.6,0.8813224074597343,0.38461538461538464,0.005973715651135006,0.011764705882352941,5,6233,832,8,"[5, 6233, 832, 8]"
louvain,0.6,0.9961853630969201,0.23076923076923078,0.15,0.18181818181818185,3,7048,17,10,"[3, 7048, 17, 10]"
greedy_modularity,0.6,0.9920881604973156,0.07692307692307693,0.022222222222222223,0.034482758620689655,1,7021,44,12,"[1, 7021, 44, 12]"
infomap,0.6,0.9605820853348404,0.38461538461538464,0.018115942028985508,0.03460207612456748,5,6794,271,8,"[5, 6794, 271, 8]"
walktrap,0.6,0.9901102006216446,0.07692307692307693,0.01694915254237288,0.027777777777777776,1,7007,58,12,"[1, 7007, 58, 12]"
surprise_communities,0.65,0.9452362575268779,0.060367454068241476,0.022782346428725245,0.03308035000403898,46,39811,1937,374,"[16, 16, 14, 0, 0, 0, 6620, 6750, 6649, 6296, 6748, 6748, 332, 333, 298, 338, 319, 317, 111, 111, 113, 13, 13, 13]"
leiden,0.65,0.9957615145521334,0.23076923076923078,0.13043478260869565,0.16666666666666669,3,7045,20,10,"[3, 7045, 20, 10]"
eigenvector,0.65,0.8814636903079967,0.38461538461538464,0.005980861244019139,0.011778563015312132,5,6234,831,8,"[5, 6234, 831, 8]"
louvain,0.65,0.9961853630969201,0.23076923076923078,0.15,0.18181818181818185,3,7048,17,10,"[3, 7048, 17, 10]"
greedy_modularity,0.65,0.99237072619384,0.07692307692307693,0.023255813953488372,0.03571428571428571,1,7023,42,12,"[1, 7023, 42, 12]"
infomap,0.65,0.9627013280587736,0.38461538461538464,0.019157088122605363,0.0364963503649635,5,6809,256,8,"[5, 6809, 256, 8]"
walktrap,0.65,0.990392766318169,0.07692307692307693,0.017543859649122806,0.02857142857142857,1,7009,56,12,"[1, 7009, 56, 12]"
surprise_communities,0.7,0.9472130366608686,0.060367454068241476,0.02372949766250326,0.03406756917397066,46,39894,1854,374,"[16, 16, 14, 0, 0, 0, 6633, 6762, 6664, 6314, 6763, 6758, 319, 321, 283, 320, 304, 307, 111, 111, 113, 13, 13, 13]"
leiden,0.7,0.9959027974003956,0.23076923076923078,0.13636363636363635,0.1714285714285714,3,7046,19,10,"[3, 7046, 19, 10]"
eigenvector,0.7,0.8814636903079967,0.38461538461538464,0.005980861244019139,0.011778563015312132,5,6234,831,8,"[5, 6234, 831, 8]"
louvain,0.7,0.9963266459451823,0.23076923076923078,0.15789473684210525,0.18749999999999997,3,7049,16,10,"[3, 7049, 16, 10]"
greedy_modularity,0.7,0.9925120090421022,0.07692307692307693,0.023809523809523808,0.03636363636363636,1,7024,41,12,"[1, 7024, 41, 12]"
infomap,0.7,0.9629838937552981,0.38461538461538464,0.019305019305019305,0.036764705882352935,5,6811,254,8,"[5, 6811, 254, 8]"
walktrap,0.7,0.9910991805594801,0.07692307692307693,0.019230769230769232,0.03076923076923077,1,7014,51,12,"[1, 7014, 51, 12]"
surprise_communities,0.75,0.9503993382326019,0.060367454068241476,0.025665506108108267,0.0360178531098669,46,40028,1720,374,"[16, 16, 14, 0, 0, 0, 6659, 6786, 6687, 6341, 6780, 6775, 293, 297, 260, 293, 287, 290, 111, 111, 113, 13, 13, 13]"
leiden,0.75,0.9960440802486578,0.23076923076923078,0.14285714285714285,0.17647058823529413,3,7047,18,10,"[3, 7047, 18, 10]"
eigenvector,0.75,0.8816049731562589,0.38461538461538464,0.005988023952095809,0.01179245283018868,5,6235,830,8,"[5, 6235, 830, 8]"
louvain,0.75,0.9963266459451823,0.23076923076923078,0.15789473684210525,0.18749999999999997,3,7049,16,10,"[3, 7049, 16, 10]"
greedy_modularity,0.75,0.9925120090421022,0.07692307692307693,0.023809523809523808,0.03636363636363636,1,7024,41,12,"[1, 7024, 41, 12]"
infomap,0.75,0.9642554393896581,0.38461538461538464,0.02,0.03802281368821293,5,6820,245,8,"[5, 6820, 245, 8]"
walktrap,0.75,0.9910991805594801,0.07692307692307693,0.019230769230769232,0.03076923076923077,1,7014,51,12,"[1, 7014, 51, 12]"
