method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
leiden,,0.896508742518454,0.0488888888888889,0.033712121212121214,0.039906246815448895,4,2052,105,167
eigenvector,,0.9005866649474186,0.060000000000000005,0.0902874902874903,0.07209182090786889,9,2066,91,162
louvain,,0.8975811673354924,0.051111111111111114,0.04290123456790123,0.04664769825636536,5,2053,104,166
greedy_modularity,,0.908277318870077,0.09777777777777777,0.1456830206830207,0.11701729487783166,11,2085,72,160
label_propagation,,0.8562576454399831,0.11333333333333334,0.041994014216236435,0.061281180503705124,9,1987,170,162
infomap,,0.8642833435377522,0.14888888888888893,0.06945481083412117,0.09472267462902641,16,1977,180,155
surprise_communities,,0.8091857886900728,0.08888888888888889,0.057893752338196776,0.0701187998244198,22,1873,284,149
walktrap,,0.8683367479961549,0.08,0.04677102285797938,0.059030553580531234,9,1997,160,162
df_node_similarity,,0.9032990087286549,0.12222222222222225,0.12166305916305917,0.12194199968772856,10,2068,89,161
leiden,0.05,0.4688099262647232,0.7244444444444444,0.06191340843245785,0.11407738756958848,80,1145,1012,91
eigenvector,0.05,0.6003797743901456,0.6955555555555556,0.07717394652624607,0.13893287911452187,67,1437,720,104
louvain,0.05,0.4734747290852557,0.7222222222222222,0.06027815395590097,0.11126952427579204,79,1137,1020,92
greedy_modularity,0.05,0.5788610336699963,0.5977777777777777,0.07446977792843927,0.1324404320515563,50,1467,690,121
label_propagation,0.05,0.5502198111439188,0.5555555555555557,0.0990226988705804,0.16808566466017097,58,1356,801,113
infomap,0.05,0.29955552893748993,0.8866666666666666,0.05624532255067097,0.10578050386863812,120,643,1514,51
surprise_communities,0.05,0.32618402583881273,0.8866666666666666,0.057670061302831394,0.10829637248525074,138,580,1577,33
walktrap,0.05,0.43404765930258754,0.6711111111111111,0.054096334184094784,0.10012211313287749,89,977,1180,82
df_node_similarity,0.05,0.5497803447544684,0.8033333333333332,0.08701249970854077,0.1570177313993006,69,1348,809,102
leiden,0.1,0.5903798108973808,0.6111111111111112,0.06129805848393424,0.11142002912194357,56,1409,748,115
eigenvector,0.1,0.6834367535831698,0.5933333333333333,0.0828521881563923,0.1454008209595766,54,1610,547,117
louvain,0.1,0.5924289335838772,0.6244444444444444,0.058059778347429064,0.10624141162503475,53,1403,754,118
greedy_modularity,0.1,0.6618599165841018,0.56,0.08717099079076664,0.1508589091213196,42,1622,535,129
label_propagation,0.1,0.6300056924789667,0.54,0.08505991153858687,0.146969438874345,51,1499,658,120
infomap,0.1,0.40927354351811723,0.8022222222222221,0.05520746105383686,0.10330561899988844,91,915,1242,80
surprise_communities,0.1,0.3843079868193826,0.7444444444444442,0.053991489570644514,0.10068100080622595,116,749,1408,55
walktrap,0.1,0.5374076076330573,0.5333333333333333,0.05351336690958681,0.09726718183800148,69,1220,937,102
df_node_similarity,0.1,0.6450213592333394,0.7166666666666666,0.0858685782465067,0.1533618570234576,56,1555,602,115
