method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9168702568948616,0.24222222222222223,0.10410830999066294,0.14562589117749258,17,4341,141,319,"[2, 0, 1, 1, 2, 3, 4, 2, 2, 161, 169, 113, 582, 485, 484, 798, 764, 785, 12, 12, 9, 19, 15, 14, 20, 18, 22, 0, 2, 1, 9, 8, 7, 96, 98, 98]"
eigenvector,,0.9131081907065697,0.29999999999999993,0.14695936779270113,0.19727882897068252,20,4358,124,316,"[1, 1, 2, 0, 3, 3, 5, 2, 3, 158, 164, 109, 583, 483, 486, 809, 769, 797, 15, 17, 13, 18, 17, 12, 9, 13, 10, 1, 1, 0, 10, 7, 7, 95, 98, 97]"
louvain,,0.9150671738960536,0.16333333333333336,0.07902036235369568,0.10651093351680825,13,4337,145,323,"[1, 0, 1, 1, 2, 1, 3, 3, 1, 162, 169, 113, 581, 482, 481, 799, 764, 786, 11, 12, 9, 20, 18, 17, 19, 18, 21, 1, 2, 1, 9, 8, 9, 97, 97, 99]"
greedy_modularity,,0.9223291515470883,0.20666666666666667,0.1162581064541849,0.14880664064056257,12,4382,100,324,"[1, 0, 2, 1, 0, 2, 2, 3, 1, 161, 169, 114, 585, 487, 483, 809, 775, 799, 12, 12, 8, 16, 13, 15, 9, 7, 8, 1, 2, 0, 9, 10, 8, 98, 97, 99]"
label_propagation,,0.8509177443125501,0.2533333333333333,0.08791283749478346,0.1305289498856414,40,4117,365,296,"[0, 1, 1, 4, 3, 3, 13, 6, 9, 139, 148, 98, 563, 451, 447, 776, 732, 763, 34, 33, 24, 38, 49, 51, 42, 50, 44, 2, 1, 1, 6, 7, 7, 87, 94, 91]"
infomap,,0.8680962393572084,0.14666666666666667,0.06318830063082938,0.08832402249232396,29,4142,340,307,"[0, 1, 0, 2, 1, 3, 7, 8, 7, 151, 158, 104, 558, 457, 453, 767, 740, 754, 22, 23, 18, 43, 43, 45, 51, 42, 53, 2, 1, 2, 8, 9, 7, 93, 92, 93]"
surprise_communities,,0.8274036626148777,0.20444444444444446,0.062449428539447335,0.09567427367949294,41,3979,503,295,"[1, 0, 1, 2, 0, 3, 12, 13, 9, 145, 144, 95, 534, 432, 430, 749, 713, 737, 28, 37, 27, 67, 68, 68, 69, 69, 70, 1, 2, 1, 8, 10, 7, 88, 87, 91]"
walktrap,,0.8805804747218257,0.19888888888888892,0.0559215711831536,0.08729766552278707,14,4222,260,322,"[1, 0, 2, 0, 1, 1, 5, 4, 0, 149, 160, 106, 565, 466, 458, 792, 757, 769, 24, 21, 16, 36, 34, 40, 26, 25, 38, 1, 2, 0, 10, 9, 9, 95, 96, 100]"
df_node_similarity,,0.9154829553332477,0.2716666666666666,0.12414498746020486,0.17041466351507983,18,4328,154,318,"[1, 1, 1, 0, 3, 3, 3, 3, 3, 164, 169, 113, 582, 480, 474, 801, 757, 788, 9, 12, 9, 19, 20, 24, 17, 25, 19, 1, 1, 1, 10, 7, 7, 97, 97, 97]"
leiden,0.05,0.586190975404262,0.6488888888888891,0.05569803325740974,0.10259013835681892,101,3036,1446,235,"[2, 2, 2, 7, 7, 7, 27, 24, 23, 67, 81, 46, 388, 333, 326, 601, 609, 585, 106, 100, 76, 213, 167, 172, 217, 173, 222, 0, 0, 0, 3, 3, 3, 73, 76, 77]"
eigenvector,0.05,0.6658603761782155,0.6055555555555555,0.08706482479044483,0.1522409384459268,80,3576,906,256,"[2, 2, 2, 5, 8, 6, 18, 16, 21, 65, 80, 53, 473, 346, 388, 741, 688, 742, 108, 101, 69, 128, 154, 110, 77, 94, 65, 0, 0, 0, 5, 2, 4, 82, 84, 79]"
louvain,0.05,0.5848457151175886,0.6311111111111112,0.05799249627354475,0.10622411018340218,103,3044,1438,233,"[2, 2, 2, 4, 6, 9, 29, 29, 20, 73, 73, 49, 384, 312, 309, 620, 575, 649, 100, 108, 73, 217, 188, 189, 198, 207, 158, 0, 0, 0, 6, 4, 1, 71, 71, 80]"
greedy_modularity,0.05,0.6565815696049837,0.48777777777777775,0.0700216748866214,0.12246342949720901,55,3570,912,281,"[2, 2, 2, 3, 3, 4, 13, 17, 9, 67, 82, 48, 446, 372, 348, 737, 727, 743, 106, 99, 74, 155, 128, 150, 81, 55, 64, 0, 0, 0, 7, 7, 6, 87, 83, 91]"
label_propagation,0.05,0.5076619863898741,0.6444444444444444,0.055327733065331855,0.10190645282452708,173,2359,2123,163,"[1, 2, 2, 5, 7, 6, 50, 58, 42, 74, 87, 61, 320, 247, 232, 493, 394, 451, 99, 94, 61, 281, 253, 266, 325, 388, 356, 1, 0, 0, 5, 3, 4, 50, 42, 58]"
infomap,0.05,0.33691941073515896,0.8088888888888888,0.051853917919840946,0.0974601419121389,236,1467,3015,100,"[2, 2, 2, 6, 8, 8, 73, 62, 73, 48, 46, 47, 212, 146, 128, 285, 319, 236, 125, 135, 75, 389, 354, 370, 533, 463, 571, 0, 0, 0, 4, 2, 2, 27, 38, 27]"
surprise_communities,0.05,0.3144930376792458,0.87,0.052571337348758865,0.09915127782932685,273,1154,3328,63,"[2, 2, 2, 8, 8, 8, 77, 82, 84, 53, 63, 55, 159, 129, 121, 188, 178, 208, 120, 118, 67, 442, 371, 377, 630, 604, 599, 0, 0, 0, 2, 2, 2, 23, 18, 16]"
walktrap,0.05,0.5209588428908634,0.5611111111111112,0.04476357708418224,0.08291265822584497,112,2518,1964,224,"[2, 2, 2, 5, 2, 4, 28, 33, 34, 74, 92, 61, 296, 256, 225, 550, 510, 454, 99, 89, 61, 305, 244, 273, 268, 272, 353, 0, 0, 0, 5, 8, 6, 72, 67, 66]"
df_node_similarity,0.05,0.5782805330909139,0.7594444444444444,0.07476059728999582,0.13612125900651142,119,2988,1494,217,"[2, 2, 2, 4, 8, 7, 25, 42, 27, 94, 72, 39, 401, 319, 248, 622, 558, 635, 79, 109, 83, 200, 181, 250, 196, 224, 172, 0, 0, 0, 6, 2, 3, 75, 58, 73]"
leiden,0.1,0.6768142272716514,0.5966666666666667,0.0622489529428851,0.1127363630503411,81,3416,1066,255,"[2, 2, 2, 5, 7, 6, 20, 17, 20, 86, 105, 63, 436, 380, 376, 662, 661, 647, 87, 76, 59, 165, 120, 122, 156, 121, 160, 0, 0, 0, 5, 3, 4, 80, 83, 80]"
eigenvector,0.1,0.7380714702812443,0.5511111111111111,0.08872073737863236,0.1528369813748618,58,3831,651,278,"[2, 2, 2, 4, 7, 5, 12, 11, 13, 90, 108, 63, 518, 394, 414, 768, 717, 759, 83, 73, 59, 83, 106, 84, 50, 65, 48, 0, 0, 0, 6, 3, 5, 88, 89, 87]"
louvain,0.1,0.6781331531256579,0.5833333333333335,0.061834427822345765,0.11181613548623874,78,3421,1061,258,"[2, 2, 2, 4, 5, 8, 20, 19, 16, 96, 104, 63, 432, 366, 357, 676, 634, 693, 77, 77, 59, 169, 134, 141, 142, 148, 114, 0, 0, 0, 6, 5, 2, 80, 81, 84]"
