network,sd_method,method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
Średnio,BC,LN,,0.9187537271584897,0.34179821589664416,0.3867571402737641,0.3628904774668651,342,109545,553,6324
Średnio,BC,LN,1.0,0.919253467811406,0.3464607836026901,0.3853743501415068,0.3648829993916991,349,109518,580,6317
Średnio,BC,LN,0.7,0.8958084941538491,0.441799168230701,0.3457054105004275,0.3878894597870982,486,108820,1278,6180
Średnio,BC,LV,,0.9193039398750281,0.34209336768400767,0.38014118880353975,0.3601150853419385,331,109556,542,6335
Średnio,BC,LV,1.0,0.9196468779536284,0.34671201795483186,0.39401643880810555,0.36885375027587336,334,109552,546,6332
Średnio,BC,LV,0.65,0.8902027117243896,0.4529597310089919,0.3347783551865463,0.38500388992310136,503,108638,1460,6163
Średnio,BC,IP,,0.9095155501746137,0.2665667327633104,0.5091837236507297,0.3499358343074893,888,107692,2406,5778
Średnio,BC,IP,1.0,0.9092133234607852,0.2696327187097311,0.5152990815142907,0.35402182013181593,854,108180,1918,5812
Średnio,BC,IP,0.55,0.8646541670723603,0.4522722748828454,0.45949904593713176,0.45585702043268367,1190,106379,3719,5476
Średnio,BC,BLOCD,,0.9261353237407756,0.3126058705852057,0.4647362564806291,0.373784661839979,189,109677,421,6477
Średnio,BC,BLOCD,1.0,0.9276205350232447,0.3077462397466092,0.47827947311597896,0.3745137264362325,192,109689,409,6474
Średnio,BC,BLOCD,0.55,0.8916555418445289,0.4566330189214928,0.4250776069944039,0.4402906469594786,363,108693,1405,6303
Średnio,BC,GN,,0.9231223077978886,0.36839887147662814,0.34347098662922254,0.3554984732626641,280,84386,1080,2464
Średnio,BC,GN,1.0,0.9250955718784394,0.3632653219938429,0.3804674577936432,0.3716674518583916,277,84903,563,2467
Średnio,BC,GN,0.7,0.9073872170200149,0.4441648628663336,0.3438416045292195,0.38761701951057553,391,84355,1111,2353
Średnio,BC,SRC,,0.7811375444282418,0.31733349891374196,0.09837940507278879,0.15019538981552474,505,65543,26870,2366
Średnio,BC,SRC,1.0,0.8402670066963818,0.338389091217405,0.13546206878904887,0.1934737749774909,517,86857,5556,2354
Średnio,BC,SRC,0.7,0.8048620664720172,0.409350303762203,0.13072388645215913,0.19816485807969292,658,84403,8010,2213
Średnio,BC,CNM,,0.9249382911215837,0.3073604921467756,0.3367011058855978,0.3213624843571535,185,70903,528,2305
Średnio,BC,CNM,1.0,0.9228840551511183,0.3086231184094019,0.33390174544921847,0.3207651679159142,186,70931,500,2304
Średnio,BC,CNM,0.7,0.8952030458631194,0.4329438825683694,0.2679422802525215,0.33102086264583086,284,70264,1167,2206
Średnio,BC,LP,,0.9070960954174703,0.28379532606168667,0.4523514289948999,0.34877616563346664,163,70465,966,2327
Średnio,BC,LP,1.0,0.9138339668929897,0.2846899155206326,0.4649614162110383,0.35315037991249637,174,70508,923,2316
Średnio,BC,LP,0.6,0.8901178610649718,0.4381242589549762,0.40769244828749146,0.4223608974805761,289,69824,1607,2201
Średnio,BC,WP,,0.8831478954923059,0.25395032996449035,0.15076398110014508,0.18920291030196573,186,71415,6963,2431
Średnio,BC,WP,1.0,0.8926619173807946,0.2577925052267927,0.15283347250050025,0.19189883687573306,192,76091,2287,2425
Średnio,BC,WP,0.55,0.8262323856136997,0.39688038803221043,0.15106327519921942,0.2188329030941291,345,73384,4994,2272
Facebook,BC,LN,,0.9604186402640499,0.34160830717218066,0.4896514161220044,0.4024470010480755,72,32362,76,1278
Facebook,BC,LN,1.0,0.960064782459258,0.34160830717218066,0.45076582821680866,0.38866829350156945,72,32350,88,1278
Facebook,BC,LN,0.95,0.9588184045266362,0.34160830717218066,0.364578111946533,0.35271964535797334,72,32308,130,1278
Facebook,BC,GN,,0.9602111003632015,0.34160830717218066,0.46623093681917216,0.3943070660721754,72,32355,83,1278
Facebook,BC,GN,1.0,0.9595016780515269,0.34160830717218066,0.4011695906432749,0.3690009224874765,72,32331,107,1278
Facebook,BC,GN,0.95,0.9594103102098176,0.34243338968043147,0.3978835978835979,0.368081866039153,75,32325,113,1275
Facebook,BC,LV,,0.9605962372587771,0.34160830717218066,0.5125583566760038,0.40997664732597167,72,32368,70,1278
Facebook,BC,LV,1.0,0.9604474292277297,0.34160830717218066,0.4963689179375454,0.4046977428708256,72,32363,75,1278
Facebook,BC,LV,0.95,0.9592621195986051,0.34188333467493087,0.39397584871269087,0.36608574026133867,73,32322,116,1277
Facebook,BC,CNM,,0.9604551628836487,0.28545842389116965,0.499023199023199,0.363170714819514,54,32381,57,1296
Facebook,BC,CNM,1.0,0.9600452634553306,0.28545842389116965,0.4343708851061792,0.34451175215228397,54,32367,71,1296
Facebook,BC,CNM,0.95,0.9594772875367757,0.2857334513939199,0.38880254830977223,0.32939352114076476,55,32347,91,1295
Facebook,BC,LP,,0.9556098060933811,0.3388580321446779,0.21169256814418103,0.26058904312647585,62,32209,229,1288
Facebook,BC,LP,1.0,0.9534074287669476,0.3402331696584293,0.17683097585058372,0.23271295807296907,67,32129,309,1283
Facebook,BC,LP,0.95,0.9526964020079866,0.3402331696584293,0.1655313072035994,0.2227093594117626,67,32105,333,1283
Facebook,BC,IP,,0.9618264089071378,0.3206726770238,0.8931216931216931,0.47190814405743603,49,32432,6,1301
Facebook,BC,IP,1.0,0.9618264089071378,0.3206726770238,0.8931216931216931,0.47190814405743603,49,32432,6,1301
Facebook,BC,IP,0.55,0.9618555949095309,0.32094770452655025,0.8931216931216931,0.4722058851422005,50,32432,6,1300
Facebook,BC,SRC,,0.8884527594070483,0.41855563605141,0.05632286788657919,0.09928541130842626,157,29847,2591,1193
Facebook,BC,SRC,1.0,0.9317339451412536,0.4085003622313451,0.11362400866565915,0.17779460712917114,147,31319,1119,1203
Facebook,BC,SRC,0.95,0.9284148443611824,0.4096004722423462,0.10685995409485778,0.16949948313163196,151,31203,1235,1199
Facebook,BC,WP,,0.9502306506314676,0.3676889640183531,0.17383053553417327,0.23606008492078687,96,31994,444,1254
Facebook,BC,WP,1.0,0.9448565373439846,0.3685140465266039,0.13246965770091745,0.19488430138314047,99,31809,629,1251
