network,sd_method,method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
Średnio,Ensemble: 2,LN,,0.9344160551293894,0.33717538130119634,0.31100486949957173,0.3235618034659276,425,123291,1178,4477
Średnio,Ensemble: 2,LN,1.0,0.9285085432506227,0.3411436352694501,0.2956298305951207,0.316760168284903,431,123225,1244,4471
Średnio,Ensemble: 2,LN,0.95,0.9260518747926729,0.35134086927856545,0.2752177313713938,0.30865504640936575,456,122876,1593,4446
Średnio,Ensemble: 2,GN,,0.9374993745268301,0.34471415136754585,0.3073027599985236,0.3249351612793407,396,112531,1033,3294
Średnio,Ensemble: 2,GN,1.0,0.9314082510652674,0.34877919201795243,0.32357158602344727,0.3357028504138247,402,112456,1108,3288
Średnio,Ensemble: 2,GN,0.95,0.9272104474168251,0.3867257427705889,0.3247620066426226,0.35304565214542827,442,112248,1316,3248
Średnio,Ensemble: 2,LV,,0.9351762575833207,0.331738480468256,0.29092441737914143,0.3099938168344888,403,123272,1197,4499
Średnio,Ensemble: 2,LV,1.0,0.928032404585332,0.3357067344365097,0.27507474417652655,0.30238128472119347,409,123191,1278,4493
Średnio,Ensemble: 2,LV,0.95,0.9243582728139401,0.3426091389626766,0.26453383354704063,0.29855145506636677,442,122847,1622,4460
Średnio,Ensemble: 2,CNM,,0.9465602380205315,0.30546310031700097,0.32506613756613745,0.3149598915425027,324,123780,689,4578
Średnio,Ensemble: 2,CNM,1.0,0.949328847086796,0.31736786222176283,0.3361250348092457,0.3264772554415818,336,123753,716,4566
Średnio,Ensemble: 2,CNM,0.95,0.9469593646247524,0.3346789173690889,0.34218889576032435,0.33839224423836844,382,123601,868,4520
Średnio,Ensemble: 2,LP,,0.9313171904413777,0.37082853233058477,0.44317464245703614,0.4037866370026193,330,121995,2474,4572
Średnio,Ensemble: 2,LP,1.0,0.9273294960914771,0.3396765599904937,0.471749816601103,0.394964619100277,330,121614,2855,4572
Średnio,Ensemble: 2,LP,0.75,0.91345647542902,0.4401527504666838,0.45018943872817185,0.4451145235888421,504,119976,4493,4398
Średnio,Ensemble: 2,IP,,0.9303574469499644,0.24608855310618166,0.5354219046630769,0.33719626016519694,265,122724,1745,4637
Średnio,Ensemble: 2,IP,1.0,0.9141174328057019,0.2540250610426895,0.5094478786890515,0.33901012530326546,277,122518,1951,4625
Średnio,Ensemble: 2,IP,0.55,0.8371328111027493,0.4746599816776103,0.42294281829191105,0.44731150657714547,667,116061,8408,4235
Średnio,Ensemble: 2,SRC,,0.8529427512048702,0.4271022642333921,0.11374102096757574,0.1796418627012008,929,111104,13365,3973
Średnio,Ensemble: 2,SRC,1.0,0.8481772549252627,0.45004293112238053,0.11827271496747004,0.18731773331240212,949,114312,10157,3953
Średnio,Ensemble: 2,SRC,0.95,0.8424096896010228,0.4583726229765832,0.11814144910576911,0.18786291100672536,1005,113668,10801,3897
Średnio,Ensemble: 2,WP,,0.9123298713087666,0.24400403629213088,0.11539627011468717,0.15668965874040505,333,120459,4010,4569
Średnio,Ensemble: 2,WP,1.0,0.9047702491899767,0.24803122472525996,0.1098164418664982,0.15223185234398393,342,119926,4543,4560
Średnio,Ensemble: 2,WP,0.55,0.7846018622277627,0.4246984152538363,0.10176723043350143,0.16419070016792,798,106235,18234,4104
Średnio,Ensemble: 2,BLOCD,,0.9448666029319729,0.3350874721618504,0.46756747096747686,0.3903944110797232,283,123549,920,4619
Średnio,Ensemble: 2,BLOCD,1.0,0.9487361681493638,0.34655780560634464,0.4556627090627152,0.3936909257788325,283,123621,848,4619
Średnio,Ensemble: 2,BLOCD,0.55,0.872586974118285,0.5795219121215253,0.3974616080906101,0.47152834484977346,792,117642,6827,4110
