method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN,ALL
leiden,,0.9561954028389328,0.5764040946361403,0.5192234848484848,0.5463216667815041,101,10578,90,427,"[1, 1, 2, 2, 1, 1, 6, 7, 5, 6, 10, 13, 11, 12, 10, 13, 685, 647, 613, 573, 538, 500, 797, 757, 712, 670, 784, 747, 699, 659, 619, 578, 9, 11, 8, 11, 10, 12, 7, 4, 6, 7, 1, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 3, 2, 4, 1, 83, 72, 74, 69, 62, 56]"
eigenvector,,0.9486127193388317,0.5552743594970583,0.33279071124961124,0.4161635337832396,107,11094,209,428,"[2, 1, 0, 2, 1, 1, 6, 5, 4, 6, 7, 12, 6, 11, 13, 14, 16, 684, 644, 611, 576, 531, 488, 791, 746, 693, 659, 627, 779, 740, 697, 641, 615, 572, 10, 14, 10, 8, 17, 24, 13, 15, 25, 18, 8, 6, 7, 4, 18, 6, 6, 0, 0, 2, 0, 0, 0, 3, 4, 5, 1, 0, 81, 79, 74, 68, 58, 53]"
louvain,,0.9548225449709244,0.5525327324841942,0.4838328338328338,0.5159057506961756,97,10567,101,431,"[1, 1, 2, 2, 1, 1, 4, 6, 6, 5, 10, 14, 12, 10, 12, 10, 684, 648, 610, 572, 535, 502, 797, 754, 712, 671, 784, 746, 701, 656, 618, 577, 10, 10, 11, 12, 13, 10, 7, 7, 6, 6, 1, 1, 0, 3, 3, 1, 1, 0, 0, 0, 0, 0, 5, 3, 3, 2, 83, 71, 73, 71, 60, 59]"
greedy_modularity,,0.9502829876844474,0.42376164237057345,0.3495535714285714,0.3830970680050386,60,10550,118,468,"[0, 1, 1, 2, 1, 1, 3, 4, 4, 4, 6, 6, 8, 7, 5, 7, 684, 649, 611, 574, 535, 499, 797, 753, 711, 670, 782, 742, 699, 655, 616, 573, 10, 9, 10, 10, 13, 13, 7, 8, 7, 7, 3, 5, 2, 4, 5, 5, 2, 0, 1, 0, 0, 0, 6, 5, 5, 3, 87, 79, 77, 74, 67, 62]"
label_propagation,,0.9593174069246939,0.30553276708875243,0.8970588235294118,0.4558170317047323,17,11298,5,518,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 694, 658, 621, 547, 509, 804, 761, 718, 677, 634, 785, 747, 701, 659, 621, 578, 584, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8, 8, 8, 6, 6, 92, 84, 84, 80, 71, 68, 1]"
infomap,,0.9129004725378402,0.5656505525305026,0.3315204893644475,0.4180356681778404,137,10084,584,391,"[1, 1, 1, 1, 1, 1, 7, 7, 7, 1, 25, 22, 18, 18, 24, 2, 694, 606, 574, 500, 461, 804, 711, 668, 626, 785, 710, 665, 616, 584, 544, 536, 0, 52, 47, 48, 51, 0, 50, 50, 51, 0, 37, 36, 43, 37, 34, 48, 1, 0, 1, 0, 0, 8, 2, 2, 0, 92, 60, 63, 63, 54, 45, 0]"
surprise_communities,,0.8192052871752146,0.47227883056240516,0.1044470316718291,0.1710626320192715,219,8949,1718,310,"[1, 0, 0, 1, 6, 6, 3, 7, 40, 35, 30, 29, 30, 29, 0, 2, 580, 545, 515, 453, 677, 638, 598, 560, 663, 643, 595, 561, 533, 494, 476, 418, 114, 113, 106, 95, 127, 123, 120, 117, 122, 104, 106, 98, 88, 84, 108, 93, 1, 1, 2, 0, 3, 3, 6, 0, 53, 50, 55, 52, 42, 40, 2, 0]"
walktrap,,0.8469197919554006,0.29842406873403354,0.027360727343981914,0.05012572517692519,33,9444,1224,495,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 6, 2, 3, 5, 4, 4, 1, 617, 548, 549, 457, 421, 744, 700, 633, 596, 691, 682, 625, 584, 548, 532, 517, 77, 110, 72, 91, 91, 60, 61, 85, 81, 94, 65, 76, 75, 73, 46, 67, 2, 0, 1, 0, 0, 8, 8, 8, 6, 87, 83, 82, 76, 68, 65, 1]"
df_node_similarity,,0.9519759059463878,0.46066322248602315,0.6200391520244461,0.5285992528117935,37,10588,80,491,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 4, 4, 3, 2, 6, 6, 1, 692, 653, 619, 542, 498, 800, 757, 709, 672, 779, 746, 699, 656, 618, 573, 575, 2, 5, 2, 6, 14, 4, 4, 9, 5, 6, 1, 2, 3, 3, 5, 9, 1, 0, 1, 0, 0, 7, 7, 8, 6, 89, 81, 82, 79, 66, 63, 1]"
leiden,0.05,0.5519835181861006,0.9750208879523448,0.08520143333442752,0.1567089760640422,496,5750,4918,32,"[2, 1, 2, 2, 1, 1, 9, 9, 9, 7, 87, 82, 79, 75, 65, 65, 413, 342, 336, 291, 277, 233, 389, 425, 361, 331, 495, 432, 415, 401, 334, 275, 281, 316, 285, 293, 271, 279, 415, 336, 357, 346, 290, 315, 286, 258, 287, 303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 6, 6, 7, 4]"
eigenvector,0.05,0.7261031299181284,0.9416515563804502,0.12617360342396622,0.22253000680386498,454,8204,3099,81,"[2, 1, 2, 2, 1, 1, 9, 9, 9, 7, 7, 84, 62, 69, 64, 63, 62, 556, 511, 430, 431, 343, 327, 595, 498, 475, 423, 442, 587, 682, 535, 510, 442, 417, 138, 147, 191, 153, 205, 185, 209, 263, 243, 254, 193, 198, 65, 166, 149, 179, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 16, 17, 9, 7]"
louvain,0.05,0.5459592479056191,0.9601464060053921,0.08320648406717461,0.15314167889617122,476,5730,4938,52,"[2, 1, 2, 2, 1, 1, 9, 9, 9, 7, 78, 78, 78, 74, 61, 64, 367, 355, 324, 260, 259, 206, 463, 392, 398, 361, 555, 426, 358, 376, 311, 319, 327, 303, 297, 324, 289, 306, 341, 369, 320, 316, 230, 321, 343, 283, 310, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 7, 7, 11, 5]"
greedy_modularity,0.05,0.5740589606649981,0.93735235997417,0.08893835093361652,0.162461907242824,447,6084,4584,81,"[2, 1, 2, 2, 1, 1, 9, 9, 9, 7, 71, 74, 71, 74, 62, 52, 366, 370, 351, 259, 274, 203, 447, 449, 404, 365, 583, 427, 457, 432, 338, 359, 328, 288, 270, 325, 274, 309, 357, 312, 314, 312, 202, 320, 244, 227, 283, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 11, 14, 7, 10, 17]"
label_propagation,0.05,0.922467382530716,0.9074350037509098,0.37611259493977756,0.5318037824979615,404,10562,741,131,"[2, 1, 2, 1, 1, 9, 9, 9, 7, 7, 57, 58, 63, 58, 60, 58, 2, 617, 576, 554, 487, 440, 755, 708, 672, 601, 576, 785, 747, 701, 659, 598, 571, 515, 77, 82, 67, 61, 72, 49, 53, 46, 76, 59, 0, 0, 0, 0, 23, 7, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 27, 22, 23, 12, 11, 0]"
